kadikit	a little
dakulon	a lot
dakol nin	a lot of
pabayaan	abandon
pabayaan	abandoned
utob	abide
kakayahan	ability
may kakayahan	able
manungod	about
itaas	above
ibang nasyon	abroad
mayo	absence
dai naglaog	absent
lubos	absolutely
nasopsop	absorb
abstrak	abstract
mayong katotoohan	absurd
abunda	abundance
abundansiya	abundant
pag-abuso	abuse
abuso	abuse
akuon	accept
aksidente	accident
dagusan	accommodation
magibo	accomplish
nagibo na	accomplished
oyon sa	according
eksakto	accuracy
tama	accurate
akusado	accused
kulog	ache
nagkukulog	ache
makamtan	achieve
nakamtan	achievement
minidbid	acknowledge
kamidbid	acquaintance
kua	acquire
nakua	acquired
nakua	acquisition
sa ibong	across
gibo	act
aksyon	action
aktibo	active
aktibidad	activities
aktibidad	activity
artista	actor
aktuwal	actual
sa totoo	actually
malala	acute
maki-angay	adapt
dagdag	add
sugapa	addicted
dagdag	addition
kadagdagan	additional
istaran	address
magtaram	address
sapat	adequate
kataed	adjacent
isaayos	adjust
hanga	admire
akuon	admit
kupkop	adopt
kagusto-gusto	adorable
masulong	advanced
bentaha	advantage
pamamasyar	adventure
anunsiyo	advertisement
anunsiyo	advertising
sadol	advice
payo	advise
nagtataguyod	advocate
tagapagtaguyod	advocate
estitiko	aesthetic
pangyayari	affair
apekto	affect
pagpahiling nin pagkamoot	affection
kayang bumakal	afford
abot-kaya	affordable
takot	afraid
pagkatapos	after
hapon	afternoon
pagkatapos	afterwards
giraray	again
kontra sa	against
edad	age
ahensiya	agency
ahente	agent
agresibo	aggressive
maliksi	agile
kaidto	ago
nagkasundo	agree
kasunduan	agreement
agrikultura	agriculture
naeenot	ahead
tabang	aid
katuyuhan	aim
hangin	air
eropuerto	airport
pasilyo	aisle
takot	alarm
alkohol	alcohol
alerto	alert
buhay	alive
gabos	all
gabos tama	all right
tugot	allow
tinugutan	allowed
halos	almost
solo	alone
sa gilid	along
tapos na	already
iyo man	also
alternatibo	alternative
maski	although
pirme	always
makangalas	amazing
bakong malinaw	ambiguous
ambisyon	ambition
ambisyoso	ambitious
binago	amend
sa tahaw	amid
sa mga	among
satuya	among us
halaga	amount
nakakaogma	amusing
sarong	an
analisar	analysis
mga ginikanan	ancestors
angkla	anchor
suanoy	ancient
asin	and
asin ika	and you
anghel	angel
kaangotan	anger
anggulo	angle
anggot	angry
hayop	animal
buol	ankle
anibersaryo	anniversary
anunsiyo	announcement
uyam	annoy
nauyam	annoyed
makauyam	annoying
taunan	annual
iba	another
magsimbag	answer
simbag	answer
antisipar	anticipate
nababahala	anxiety
nababahala	anxious
maski arin	any
pa	anymore
maski siisay	anyone
maski ano	anything
baga man	anyway
kunsabagay	anyways
bulag	apart
hagad tawad	apologize
hiling hiling	apparent
gari	apparently
apela	appeal
magbutwa	appear
itsura	appearance
nagbutwa	appeared
gana	appetite
mansanas	apple
aplikasyon	application
appointment	appointment
apresyar	appreciate
apresasyon	appreciation
magrani	approach
pagrani	approach
angay	appropriate
pag-oyon	approval
aprobar	approve
naaprubahan	approved
halos	approximately
abril	april
bakong makatwiran	arbitrary
arkitekto	architect
arkitektura	architecture
ika daw	are you
dakol kang gibo	are you busy
may agom kana	are you married
kasal ka o mayong agom	are you married or single
Yaon pa kamo diyan?	Are you still there?
yaon ka diyan	are you there
lugar	area
diskusyon	argue
argumento	argument
bangon	arise
takyag	arm
soldados	army
sa palibot	around
pakarhayon	arrange
kaayusan	arrangement
pag-abot	arrival
nag-abot	arrive
nag-abot	arrived
arogante	arrogant
pana	arrow
arte	art
artikulo	article
artipisyal	artificial
pintor	artist
arog kan	as
hanggang sa	as long as
iyo man	as well
siring man kan	as well as
abo	ash
supog	ashamed
hapot	ask
naghapot	asked
turog	asleep
aspeto	aspect
asunto	assault
asembleya	assembly
mapamirit	assertive
karkulo	assess
pagsadiri	asset
mga pagsadiri	assets
nag-asignar	assign
asignasyon	assignment
magtabang	assist
katabang	assistant
asosyar	associate
asosyado	associated
asosasyon	association
asumir	assume
paghuna	assumption
sa	at
minsan paano	at least
nagkaon	ate
atleta	athlete
kadukot	attach
nakadukot	attached
kadukot	attachment
atake	attack
binalo	attempt
pagbalo	attempt
atender	attend
pagdalo	attendance
atensyon	attention
aktitud	attitude
dagka	attract
atraksyon	attraction
magayon	attractive
atributo	attribute
mga naghihling	audience
agosto	august
inaon	aunt
tiyaon	aunty
awtor	author
awtoridad	authority
tigrakdag	autumn
igwa	available
likay	avoid
mata	awake
premyo	award
aram	aware
kaaraman	awareness
mayo digdi	away
makangangalas	awesome
nakakatakot	awful
bakong komportable	awkward
aki	baby
mayong agom na lalaki	bachelor
likod	back
dangog	background
maraot	bad
bag	bag
subad	bait
bakalan nin tinapay	bakery
timbang	balance
timbangon	balance
bola	ball
batag	banana
banda	band
banko	bank
bihira	barely
subasta	bargain
nagbabatok	bark
batok	bark
harang	barrier
base	base
base sa	based
sirong kan harong	basement
talaga	basically
bastardo	bastard
grupo	batch
karigusan	bath
karigusan	bathroom
baterya	battery
labanan	battle
magin	be
magin maingat	be careful
pampang nin dagat	beach
sinag	beam
gisantes	beans
tioson	bear
oso	bear
bigote	beard
nagdadara	bearing
hayop	beast
daog	beat
daogon	beat
magayon	beautiful
gayon	beauty
nagin	became
huli	because
naging	become
higdaan	bed
kwarto	bedroom
sugod	bee
karneng baka	beef
nagin	been
bago	before
nagpuon	began
magpuon	begin
kapinunan	beginning
sa pangaran ni	behalf
paghiro	behave
pag-uugali	behavior
pag-hiro	behaviour
likod	behind
pagkatawo	being
paniniwala	belief
tubod	believe
tulak	belly
kaiba	belong
namumutan	beloved
sa ibaba	below
paha	belt
tukawan	bench
tiko	bend
sa irarom	beneath
benepisyaran	benefit
benepisyo	benefit
mga benepisyo	benefits
sa gilid	beside
maliban sa	besides
pinaka	best
mas marahay	better
pag-ultanan	between
inumon	beverage
sa ibong kan	beyond
bakong pantay na trato	bias
igwa nin kinikilingan	biased
bisekleta	bicycle
dakula	big
bisekleta	bike
bayadan	bill
bugkuson	bind
bayong	bird
kumpleanyo	birthday
dikit	bit
kagaton	bite
kagat	bite
pait	bitter
itom	black
tarom	blade
pagbabasol	blame
basol	blame
blanko	blank
tamong	blanket
putok	blast
ikinula	bleach
maghalo	blend
bisa	bless
bendisyon	bless
benendisyunan	blessed
buta	blind
kaogmahan	bliss
harang	block
dugo	blood
namurak	bloom
huyop	blow
azul	blue
bakong mattarom	blunt
naglunad	board
bangka	boat
lawas	body
kalakaga	boil
huba	bold
agresibo	bold
bugkos	bond
tolang	bone
libro	book
magbunsod	boost
pagbubunsod	boost
pampakusog	booster
bota	boot
bota	boots
sagkodan	border
langkag	bore
langkag	bored
nalalangkag	boring
ipinangaki	born
suble	borrow
amo	boss
pareho	both
disturbuhon	bother
botelya	bottle
irarom	bottom
nagbakal	bought
talbog	bounce
pasiring	bound
sagkodan	boundaries
duko	bow
mangko	bowl
kahon	box
aking lalaki	boy
syota	boyfriend
pulseras	bracelet
hutok	brain
sanga	branch
maisog	brave
paglabag	breach
tinapay	bread
pahingalo	break
pasa	break
pamahawan	breakfast
dudo	breast
hinangos	breath
hangos	breathe
lahi	breed
laryo	brick
nobya	bride
tulay	bridge
halipot	brief
brip	brief
maliwanag	bright
matali	brilliant
magdara	bring
tugang na lalaki	bro
ha	broad
ibalingibog	broadcast
napasa	broke
pasa	broken
sigid	broom
tugang na lalaki	brother
bayaw	brother in law
nagdara	brought
de kape	brown
sipilyo	brush
balde	bucket
kurukaiba	buddy
badyet	budget
sublat	bug
magtindog	build
edipisyo	building
nagtindog	built
kadaklan	bulk
toro	bull
bunggo	bump
tumpok	bunch
bugkos	bundle
pagabat	burden
pasan	burden
ilubong	buried
sulo	burn
pagputok	burst
piglubong	bury
palungpong	bush
negosyo	business
dudo	bust
dakol na gibo	busy
pero	but
mantikilya	butter
alibangbang	butterfly
butones	button
magbakal	buy
paagi sa	by
maiba ako	by the way
paaram	bye
repolyo	cabbage
kabinet	cabinet
hawla	cage
keyk	cake
aki nin baka	calf
mag-apod	call
apod	call
apudan mo ako	call me
nag apod	called
kalmado	calm
nagdigdi	came
kampanya	campaign
makakagibo	can
lata	can
dai kayang gibuhon	can't
ikansela	Cancel
may kakayahan	capable
kapasidad	capacity
sentro	capital
kapital	capital
paliwanag	caption
nadakop	capture
awto	car
karera	career
maingat	careful
maingat	carefully
bakong maingat	careless
nagpapahalaga	caring
karpentero	carpenter
karpet	carpet
karot	carrot
darahon	carry
magpadagos	carry on
gibuhon	carry out
kaso	case
kwarta	cash
palayason	cast
kastilyo	castle
kaswal	casual
ikos	cat
dakop	catch
kategorya	category
bakahan	cattle
nakadakop	caught
kawsa	cause
magkawsa	cause
mag-ingat	caution
maingat	cautious
kweba	cave
nagpundo	cease
kisame	ceiling
selebrar	celebrate
sentro	center
Sentral Bikol	Central Bikol
siglo	century
seremonya	ceremony
nagkapira	certain
sigurado	certain
sigurado	certainly
sertipiko	certificate
kadena	chain
tukawan	chair
inangat	challenge
angat	challenge
tyansa	chance
magbago	change
karibukan	chaos
karakter	character
karakteristiko	characteristics
singil	charge
kawanggawa	charity
kaakit-akit	charming
tsart	chart
bukod	chase
mensahe	chat
pag-olay	chat
barato	cheap
magdaya	cheat
nandadaya	cheating
tsek	check
pisngi	cheek
mag ogma	cheer
masaling-gaya	cheerful
tagay	cheers
keso	cheese
pahalagahan	cherish
tses	chess
daghan	chest
nguya	chew
manok	chicken
hepe	chief
aki	child
pagkaaki	childhood
mga aki	children
lilipot	chill
lipot	chill
malipot	chill
tsimenea	chimneys
baba	chin
tsokolate	chocolate
pili	choice
pili	choose
tuktukon	chop
mga gibuhon sa harong	chores
simbahan	church
bilog	circle
mga sikumstansiya	circumstances
mamamayan	citizen
siyudad	city
kuanon	claim
habol	claim
klaruhon	clarify
klase	class
laboy	clay
malinig	clean
malinaw	clear
palinawon	clear
klerk	clerk
matali	clever
kliyente	client
bangin	cliff
klima	climate
sakat	climb
relo	clock
sarado	close
baduan	closet
tela	cloth
mga bado	clothes
panganuron	cloud
mapanganuron	cloudy
payaso	clown
malamya	clumsy
tumpok	cluster
magtokdo	coach
tagapagtokdo	coach
uring	coal
kosta	coast
pinahidan	coat
kape	coffee
kamalayan	cognitive
kaparehong pangyayari	coincidence
malipot	cold
nagaba	collapse
kwelyo	collar
kairiba	colleague
mga pag-iriba	colleagues
kolekta	collect
koleksyon	collection
letsugas	college
kolor	color
mayong kolor berde mga idea nagkaturog anggoton	colorless green ideas slept furiously
kolor	colour
kolum	column
sukray	comb
kombinasyon	combination
pagsalakon	combine
magdigdi	come
magdigdi ka	come here
magdigdi ka	come on
libang	comfort
komportable	comfortable
madigdi	coming
maabot na	coming soon
sugo	command
komento	comment
komersyal	commercial
komisyon	commission
komiter	commit
pangako	commitment
nagkasundo	committed
paninda	commodity
normal	common
kumonikar	communicate
komunikar	communication
kumunidad	community
naglunad	commute
kaibanan	companion
kumpanya	company
komparar	compare
pagkuumparar	comparison
pakikidamay	compassion
maheherakon	compassionate
bagay	compatible
nakipagkompetensiya	compete
may kakayahan	competent
kompetisyon	competition
kompetensiya	competitive
reklamo	complain
reklamo	complaint
komplemento	complement
kumpleto	complete
kompleto	completely
komplikado	complex
pagsunod	compliance
komplikado	complicated
komendasyon	compliment
sumunod	comply
komposisyon	composition
tambalan	compound
pang intindi	comprehension
komprehensibo	comprehensive
ikompromiso	compromise
kasunduan	compromise
sapiritan	compulsory
kompyuter	computer
konsentrar	concentrate
konsepto	concept
pagmamalasakit	concern
nababahala	concern
nababahala	concerned
konsyerto	concert
konklusyon	conclusion
sinisemento	concrete
kongkreto	concrete
kondisyon	condition
mga kondisyon	conditions
pag-uugali	conduct
komperensiya	conference
amin	confess
kompyansa	confidence
may kompyansa	confident
kumpirmahon	confirm
dai pagkakasinabutan	conflict
libong	confused
pagkalibong	confusion
pandugtong	conjunction
kumonekta	connect
sakop	conquer
may pakaisi	conscious
pakaisi	consciousness
pagtugot	consent
tugutan	consent
konsekwensiya	consequences
konserbasyon	conservation
konserbatibo	conservative
magkonsiderar	consider
kinunsiderar	considered
kaiba	consist
mayong pagbabago	consistency
dai nagbabago	consistent
padagos	constant
nagpapadagos	constantly
dai nakakaudo	constipation
konstruksiyon	construction
kunsumo	consume
konsumo	consumption
kontakon	contact
nakakaulakit	contagious
laog	contain
igwa nin	contains
kontemporaryo	contemporary
paghamak	contempt
laog	content
paurumbasan	contest
konteksto	context
kontinente	continent
magpadagos	continue
kontrata	contract
makipagkontrata	contract
pag-ibahon	contrast
kaibahan	contrast
magkontribwer	contribute
kontribusyon	contribution
kontrol	control
kontro	controversial
kombeniente	convenience
kombinyente	convenient
kombersasyon	conversation
kumberte	convert
kumbertihon	convert
ihatod	convey
kumbinsihon	convince
kumbinsido	convinced
tagapagaluto	cook
magluto	cook
nagluluto	cooking
malipot	cool
kooperasyon	cooperation
makaya	cope
tanso	copper
pusod	core
mais	corn
kanto	corner
tama	correct
danyos	cost
gastos	cost
bado	costume
kubo	cottage
koton	cotton
malumoy na tukawan	couch
ubo	cough
pwede	could
konseho	council
bilang	count
laban	counter
nasyon	country
kabukidan	countryside
mag-agom	couple
kusog nin buot	courage
kurso	course
korte	court
kortesiya	courtesy
pinsan	cousin
takop	cover
baka	cow
talaw	coward
maginhawa	cozy
kasag	crab
pasaon	crack
pasa	crack
mayong kwenta	crap
salpukan	crash
magbangga	crash
kamang	crawl
bua	crazy
maggibo	create
mapagimbento	creative
kredito	credit
gapang	creep
katakut-takot	creepy
grupo	crew
krimen	crime
krisis	crisis
kriterion	criteria
kritikal	critical
kritisismo	criticism
pananom	crop
mga pananom	crops
krus	cross
magbalyo	cross
uwak	crow
grupo nin tawo	crowd
pano	crowded
korona	crown
sobrang importante	crucial
maringis	cruel
layag	cruise
runuton	crush
pagrunot	crush
mahibi	cry
pipino	cucumber
kugos	cuddle
kultura	culture
tuso	cunning
kopya	cup
estante	cupboard
kurbada	curb
kurba	curb
bulongon	cure
bulong	cure
kuryusidad	curiosity
usyosero	curious
kurong	curly
kwarta	currency
kuryente	current
sa presente	current
sa presente	currently
sumpa	curse
kuritna	curtain
sapin	cushion
kustombre	custom
kustombre	customs
putol	cut
putulon	cut
siklo	cycle
pagbibisikleta	cycling
ama	dad
papa	daddy
aro-aldaw	daily
pagibuhan nin gatas	dairy
dike	dam
danyaran	damage
danyos	damage
dumog nin dikit	damp
bayle	dance
peligro	danger
delikado	dangerous
madiklom	dark
gatlang	dash
makipaghilingan	date
petsa	date
aking babaye	daughter
aldaw	day
gadan	dead
huring aldaw o oras	deadline
bungog	deaf
namumutan	dear
Gabos na namumutan	Dear All
Namumutan na Kustomer	Dear Customer
Namumutan na mga magurang	Dear Parents
Namumutan na	Dear Sir
Namumutan na mga estudyante	Dear students
Namumutan na team	Dear Team
kagadanan	death
debate	debate
utang	debit
basura	debris
utang	debt
dekada	decade
naglalapa	decay
nagadan	deceased
daya	deceive
disyembre	december
desente	decent
magdesisyon	decide
nagdesisyon	decided
desisyon	decision
alantaga	deck
sayumahan	decline
bawasan	decrease
didekado	dedicated
didekasyon	dedication
gibo	deed
hararom	deep
usa	deer
piniling opsyon	default
palya	default
nadaog	defeat
daog	defeat
ipaglaban	defend
tawan kahulugan	define
sigurado	definitely
kahulugan	definition
lebel	degree
atraso	delay
pahaluyon	delay
naabala	delayed
haleon	delete
sinadya	deliberate
maselan	delicate
masiram	delicious
ogma	delight
naogma	delighted
hatod	deliver
naipadara na	delivered
pagkakataram	delivery
padara	delivery
pangangaipo	demand
kaipuhan	demand
dakol na kahagadan	demanding
demokrasya	democracy
demonyo	demon
demonstrar	demonstrate
sinayumahan	denied
dentista	dentist
magsayuma	deny
departamento	department
paghale	departure
asa	depend
ipadara	deploy
ideposito	deposit
deposito	deposit
sonrang kamunduan	depressed
depresyon	depression
rarom	depth
iladawan	describe
deskripsiyon	description
disyerto	desert
magin karapat-dapat	deserve
idisenyo	design
disenyo	design
designasyon	designation
pagmawot	desire
nagmamawot	desire
lamesa	desk
desesperasyon	despair
desperado	desperate
sa ibong kan	despite
pandulse	dessert
destinasyon	destination
tadhana	destiny
raoton	destroy
pagkagaba	destruction
detalye	detail
mga detalye	details
naaraman	detect
determinasyon	determination
determinado	determine
determinado	determined
wasak	devastated
uswag	develop
pag-uswag	developed
pag-uswag	development
diablo	devil
debotado	devoted
dyabetes	diabetes
nagkukurso	diarrhea
diksyunaryo	dictionary
naggibo	did
magadan	die
nagadan	died
pagkakaiba	difference
magkaiba	different
dipisil	difficult
magkalot	dig
dignidad	dignity
mahigos	diligent
pamanggihan	dinner
piglublob	dip
direkta	direct
direksyon	direction
direktor	director
ati	dirt
maati	dirty
baldado	disable
baldado	disabled
nawara	disappear
bigo	disappointed
kalamidad	disaster
itapok	discard
nakaluwas	discharge
disiplina	discipline
diskubre	discover
diskriminasyon	discrimination
pag-olayan	discuss
talakayan	discussion
helang	disease
mga helang	diseases
magsagin-sagin	disguise
makauyam-uyam	disgusting
pagkaon	dish
mga plato	dishes
tapuson	dismiss
pinalarga	dispatch
pagtapok	disposal
iriwal	dispute
distansiya	distance
naiiba	distinct
ipahiling an kaibahan	distinguish
pagkabahala	distress
distribwir	distribution
distrito	district
distorbo	disturb
kanal	ditch
sisid	dive
dakol	diverse
iba-ibang klase	diversity
bangaon	divide
banal	divine
diborsiyo	divorce
nag-diborsyo	divorce
lula	dizzy
gibo	do
ika daw	do you
namumutan mo ako	do you love me
doktor	doctor
dokumento	document
gibo	does
dai	doesn't
ayam	dog
ginigibo	doing
munyeka	doll
domestiko	domestic
dominante	dominant
dai mo	don't
Dai maghandal	Don't worry
donar	donate
tapos na	done
asno	donkey
gago	dope
doble	double
doblehon	double
pagdududa	doubt
magduda	doubt
masa	dough
baba	down
burador	draft
iplano	draft
butungon	drag
halean tubig	drain
mag-drowing	draw
drowing	drawing
natatakot	dread
pangaturogan	dream
mangaturogan	dream
bado	dress
nagluho	drill
inumon	drink
mag-inom	drink
magmaneho	drive
tagdo	drop
nagtatagdo	drop
nahulog	dropped
turong	drought
burat	drunk
mamara	dry
pato	duck
lalaki	dude
dapat bayadan	due
dahilan sa	due to
mangurol	dull
patal	dumb
itambak	dump
kahaluyan	duration
mantang	during
alpog	dust
trabaho	duty
nag-istar	dwell
harani nang magadan	dying
kada saro	each
kada saro	each other
sabik	eager
agila	eagle
talinga	ear
subago	earlier
amay	early
kita	earn
talinga	ears
kinaban	earth
linog	earthquake
madali	ease
madali	easily
sirangan	east
pasil	easy
kaon	eat
nagkakakan	eating
ekonomiya	economic
ekonomiya	economy
gilid	edge
baguhon	edit
edukasyon	education
epekto	effect
epektibo	effective
kahusayan	efficiency
paghihingoa	effort
sugok	egg
talong	eggplant
pagkamakaako	ego
walo	eight
dise otso	eighteen
otsenta	eighty
maski arin	either
magdagdag nin mga paliwanag	elaborate
siko	elbow
gurang	elder
gurang	elderly
elegante	elegant
elemento	element
elepante	elephant
onse	eleven
karapat-dapat	eligible
eliminar	eliminate
iba pa	else
supog	embarrassed
makasusupog	embarrassing
kugos	embrace
nagbutwa	emerge
emerhensiya	emergency
emosyunal	emotional
makidamay	empathy
iduon	emphasis
iduon	emphasize
empleyado	employee
mga empleyado	employees
trabaho	employment
mayong laog	empty
paganahon	enable
nagkatagbo	encounter
dagkahon	encourage
katapusan	end
dikit na sana an buhay	endangered
pagsisikap	endeavor
tatag	endurance
magtios	endure
kaiwal	enemy
enehiya	energy
nagkasundo	engage
may kasunduan na magpakasal	engaged
kompromiso	engagement
makina	engine
inhenyero	engineer
Ingles	English
pahusayon	enhance
mag-ogma	enjoy
dakulaon	enormous
tama sana	enough
siguraduhon	ensure
maglaog	enter
aling-alingan	entertainment
entusiasmo	enthusiasm
entusiastiko	enthusiastic
gabos	entire
igwa nin karapatan	entitled
entidad	entity
laogan	entrance
envelop	envelope
kapalibutan	environment
ara	envy
halaba	epic
epidemya	epidemic
pantay	equal
kagamitan	equipment
kapantay	equivalent
pambura	eraser
sala	error
magdulag	escape
lalo na	especially
sanaysay	essay
esensya	essence
esensyal	essential
establisar	establish
establisar	established
pagsadiri	estate
karkulo	estimate
karkulo	estimated
mayong katapusan	eternal
etika	ethics
ebalwar	evaluate
ebalwasyon	evaluation
maski	even
minsan siring	even though
banggi	evening
okasyon	event
sa huri	eventually
kasuarin man	ever
kada	every
gabos na tawo	everybody
gabos	everyone
gabos na bagay	everything
ebidensiya	evidence
maraot	evil
ebolusyon	evolution
nagbago	evolve
eksakto	exact
eksakto	exactly
siyasaton	examine
halimbawa	example
nagsobra	exceed
mahusay	excellent
maliban sa	except
dai kabale	exception
sobra	excess
sobra-sobra	excessive
salida	exchange
naoogma	excited
nananabik	excitement
nakakapukaw	exciting
ekslusibo	exclusive
dahilan	excuse
maki-	excuse me
isagibo	execute
pagsagibo	execution
ehekutibo	executive
ehersisyo	exercise
mag-ehersisyo	exercise
ubuson	exhaust
pagalon	exhausted
eksibit	exhibit
eksibisyon	exhibition
eksister	exist
pagkabuhay	existence
yaon	existing
luwasan	exit
magpahiwas	expand
laom	expect
nilalaoman	expected
mga gastos	expenses
mahal	expensive
ranas	experience
eksperiensiya	experience
eksperimento	experiment
eksperto	expert
esplikar	explain
eksplenasyon	explanation
pagsamantalahan	exploit
magsiyasat	explore
ipabakal sa luwas nin nasyon	export
hayag	expose
hayag	exposed
pahiling	exposure
magsabi	express
ekspresyon	expression
iabante	extend
pinalaba	extended
pagpapadagos	extension
hiwas	extent
panluwas	external
mayo na	extinct
ekstra	extra
kua	extract
ekstra ordinaryo	extraordinary
sobra	extreme
sobra-sobra	extremely
mata	eye
mata	eyes
tela	fabric
pabuluso	fabulous
atubangon	face
pandok	face
padalion	facilitate
pasilidad	facilities
pasilidad	facility
totoo	fact
dahilan	factor
pabrika	factory
katotoohan	facts
napara	fade
ibagsak	fail
bagsak	fail
nabagsak	failed
kabiguan	failure
nadismayo	faint
patas	fair
maputi	fair
mayong kinakampihan	fairly
engkantada	fairy
pagtubod	faith
maimbod	faithful
peke	fake
pagkahulog	fall
nahulog	fall
SALA	false
kasikatan	fame
pamilyar	familiar
pamilya	family
taggutom	famine
sikat	famous
tagahanga	fan
pamaypay	fan
magustuhan	fancy
bakong kapanipaniwala	fantastic
harayo	far
pamamaaram	farewell
uma	farm
parauma	farmer
kahanga-hanga	fascinating
uso	fashion
maliksi	fast
taba	fat
nakakagadan	fatal
kapaladan	fate
ama	father
pagal	fatigue
sala	fault
paborito	favorite
pabor	favour
paborito	favourite
natatakot	fear
takot	fear
piyesta	feast
balukag	feather
tampok	feature
itinampok	feature
pebrero	february
pano na	fed up
bayad	fee
bahog	feed
mate	feel
pagmate	feeling
bitis	feet
nahulog	fell
kaibanan	fellow
namatean	felt
babaye	female
kudal	fence
sagana	fertile
piyesta	festival
kinua	fetch
kalintura	fever
