a little	قليل
disposal	تصرّف
disposal	تدبير
dispute	مجادلة
dispute	خلاف
dispute	خناقة
distance	مسافة
distance	بُعد
distinct	متميز
distinguish	يميّز
distress	محنة
distribution	توزيع
district	منطقة
district	حي
disturb	يزعج
disturb	يدايق
ditch	يتخلص من
ditch	الصرف الصحي
dive	يغوص
diverse	منوّع
diversity	تنوّع
divide	يقسّم
divine	ربّاني
divorce	طلاق
dizzy	دايخ
do	إفعَل
do	إِعمَل
do	عمُول
do you	هل انت
do you love me	ما بتحبني
doctor	دكتور
document	مستند
document	وثيقة
does	يفعل
doesn't	لا
dog	كلب
Dogri	اللغة الدوغرية
doing	يعمل
doll	لعبة
domain	مجال
domain	اختصاص
domestic	محلي
domestic	بلدي
dominant	مسيطر
don't	لا
Don't worry	لا تخاف
Don't worry	ولا يهمك
donate	يتبرع
done	خلّص
done	انتهى
donkey	حمار
dope	منشط
dope	مخدّر
double	مزدوج
doubt	شك
dough	عجين
down	تحت
download	تحميل
draft	مسودة
drag	جرّ
drain	بالوعة
drama	دراما
draw	يسحب
draw	يرسم
drawer	درج
drawing	رسم
drawing	سحب
dread	رهبة
dream	حلم
dress	فستان
drill	مثقب
drink	شراب
drink	شرب
drive	قاد
drive	ساق
drop	بيوقّع
drop	قطرة
dropped	وقّع
drought	نشفان
drunk	سكران
dry	ناشف
duck	بطة
dude	رفيقي
dude	صديقي
due	بسبب
due	لأنو
due	صار وقتو
due to	بسبب
due to	لأنو
dull	بيضجّر
dull	بيملل
dumb	مهبول
dumb	مخبول
dumb	أجدب
dump	أجدب
dump	أهبل
duration	مدة
during	أثناء
during	وقت ما
dust	غبرا
duty	واجب
duty	مهمة
dwell	يسكن
dying	عم يموت
dying	سكّرات الموت
each	كلّ
each other	بعضا البعض
eager	مشتاق
eager	متحمس
eagle	نسر
ear	ادن
earlier	قبل هلق
earlier	قبل هيك
early	بكير
early	وقت مبكر
earn	يكسب
ears	أدنين
earth	الأرض
earthquake	هزة أرضية
earthquake	زلزال
ease	بيسهّل
easily	بسهولة
east	الشرق
easy	سهل
eat	يأكل
eat	ياكل
eating	عم ياكل
economic	اقتصادي
economy	اقتصاد
edge	حرف
edge	حفة
edit	يعدّل
education	تعليم
education	ثقافة
effect	تأثير
effective	الو تأثير كبير
efficiency	كفاءة
efficient	كفؤ
efficient	فعّال
effort	جهد
egg	بيضة
eggplant	بيتنجان
ego	الأنا
ego	أنانية
eight	تمانية
eighteen	تمنتعش
eighty	تمانين
either	لا أحد
either	ولا واحد
elaborate	يشرح
elbow	كوع
elder	كبار العمر
elderly	كبير بالعمر
elegant	حلو
elegant	أنيق
element	عنصر
elephant	فيل
eleven	احدعش
eligible	صالح
eligible	مناسب
eliminate	بعّدو عن
else	كمان
else	تاني
embarrassed	بيخجل
embarrassed	محرج
embarrassing	محرج
embrace	عم يعانق
emerge	يظهر
emergency	الطوارئ
emotional	عاطفي
empathy	تعاطف
emphasis	تأكيد
emphasize	بيأكد
employee	موظف
employees	موظفين
employer	صاحب الشغل
employer	المعلم
employment	توظيف
empty	فاضي
empty	ما في شي
enable	تمكين
encounter	مواجهة
encourage	بيشجع
encourage	يشجّع
encourage	يحمّس
end	نهاية
endangered	مهدد بالخطر
endeavor	سعي
endurance	طاقة عالاحتمال
endure	يعاني
enemy	العدو
energy	طاقة
energy	قدرة
engage	يخطب
engaged	مخطوبة
engaged	خاطب
engagement	خطبة
engine	محرك
engine	موتور
engineer	مهندس
English	انكليزي
enhance	بيدعم
enhance	بيقوي
enjoy	افرح
enjoy	انبسط
enormous	كبير كتير
enormous	ضخم
enough	بيكّفِّي
enough	يَكْفِي
ensure	أكّد
enter	فات
entertainment	تسلاية
enthusiasm	حماس
enthusiastic	متحمس
entire	كلّو
entitled	عنوانو
entity	كيان
entrance	مدخل
entrepreneur	مقاول
entrepreneur	متعهد
envelope	ظرف
envelope	مظروف
environment	البيئة
envy	حسّد
epic	ملحمي
epidemic	وباء
equal	بيساوي
equipment	تجهيزات
equipment	عدّة
equity	عدل
equivalent	بيساوي
equivalent	بيقابلو
eraser	محاية
error	غلط
escape	يهرب
especially	خصوصاً
especially	خصوصي
essay	مقالة
essence	جوهر
essential	ضروري
essential	أساسي
establish	يأسس
established	أسّس
estate	ملكية
estimate	بيتوقّع
estimated	متوقع
etc	إلخ
eternal	أبدي
ethics	أخلاق العمل
ethics	آداب المهنة
evaluate	قدّر
evaluate	خمّن
evaluation	تقييم
even	حَتَّى لَوْ
even	حَتّى
even though	بالرغم من هيك
evening	مسا
event	حدث
eventually	بالأخير
eventually	آخر مرة
ever	أبداًً
every	كل
everybody	الكل
everyone	الكل
everyone	كل واحد
everything	كل شي
evidence	إثبات
evil	سيء
evil	شرير
evolution	تطور
evolve	طوّر
Ewe	لغة الإيوي
ex	القديم
ex	السابق
exact	بالضبط
exactly	تماماً
exactly	بالضبط
exam	امتحان
examine	يفحص
examine	يكشف على
example	مثلاً
exceed	تخطّى
excellent	تمام
excellent	ممتاز
except	بيتوقع
except	يتوقّع
exception	ما عدا
exception	باستثناء
excess	فايض
excess	فاق الحد
excessive	مبالغ فيه
exchange	تبادل
excited	متحمس
excitement	حماسة
exciting	بيحمس
exciting	بيشوق
exclusive	حصري
excuse	عذر
excuse me	لو سمحت
execute	ينفذ
execution	تنفيذ
executive	تنفيذي
executive	إداري
exercise	تمرين
exercise	تدريب
exhaust	العادم
exhausted	انهد حيلو
exhausted	تعبان كتير
exhausted	مرهق
exhibit	يعرض
exhibition	معرض
exist	موجود
existence	وجود
existing	موجود
exit	مخرَج
expand	وسّع
expect	بيتوقع
expect	يتوقّع
expected	كنت متوقّع
expected	شي متوقّع
expenses	نفقات
expensive	غالي
experience	تجربة
experience	خبرة
experiment	تجربة
expert	خبّير
expired	منتهي الصلاحية
explain	بيشرح
explanation	شرح
explanation	توضيح
exploit	استغلّ
explore	يستكشف
export	تصدير
expose	يفضح
exposed	معرّض ل
exposure	يتعرض ل
express	بيعبّر عن
expression	تعبير
extend	يمدد
extended	ممدود
extension	وصلة
extent	امتداد
extent	حجم
external	خارجي
extinct	انقرض
extra	زيادة
extract	يستخلص
extraordinary	مو طبيعي
extreme	الحد الأقصى
extremely	زايد عن حدو
extremely	فيه مبالغة
eye	عين
eyes	عيون
fabric	قماش
fabulous	حلو كتير
face	وش
facilitate	عم يسهّل
facilities	مَرَافق
facilities	تسهيلات
facility	تسهيل
fact	حقيقة
fact	واقع
factor	عنصر
factor	عامل
factory	مصنع
facts	حقائق
fade	يخلص
fade	يختفي
fail	ما ظبطت
fail	يفشل
failed	فشل
failure	فشل
faint	غمي
faint	غط عقلبو
fair	مقبول
fair	عادل
fair	معقول
fairly	بشكل لايق
fairly	معقول
fairy	جنية
faith	إيمان
faithful	صالح
faithful	مستقيم
fake	مزوّر
fake	مزيّف
fall	سقط
fall	وقع
false	مزور
fame	شهرة
familiar	مألوف
family	عيلة
famine	مجاعة
famous	معروف
famous	مشهور
fan	مروحة
fan	معجب
fancy	وهم
fantastic	روعة
far	بعيد
farewell	بخاطرك
farm	مزرعة
farmer	فلاح
farmer	مزارع
fascinating	ساحر
fascinating	بيبهر
fashion	موضة
fast	بسرعة
fast	سريع
fat	سمين
fat	ناصح
fat	دهون
fatal	مسألة حياة أو موت
fate	قدر
fate	نصيب
father	أبي
fatigue	ملل
fatigue	تعب
fault	خطأ
fault	غلط
favorite	مفضّل
favour	معروف
favour	خدمة
favourite	مفضل
fear	خوف
feast	عزيمة كبيرة
feather	ريشة
feature	ميزة
feature	ملامح
features	ميزات
features	ملامح
february	شباط
fed up	ضجران
fee	رسوم
feed	بيطعمي
feed	بترضع
feedback	رأي
feel	بيحس
feel	بيشعر
feel	يشعر
feeling	شعور
feet	رجل
fell	يوقع
fellow	رفيق
fellow	زميل
felt	شَعَر
female	أنثى
fence	سور
fence	سياج
fertile	أرض خصبة
festival	مهرجان
fetch	جاب
fever	حمّى
few	قليل
few	شوي
fewer	أقل
fiance	خطيب
fiction	خيالي
field	حقل
field	مجال
field	ميدان
field	حقلة
fierce	شرس
fifteen	خمستعش
fifty	خمسين
fight	يتقاتل
fight	يخانق
fighting	مقاتلة
fighting	عركة
figure	شكل
figure out	عرف
figure out	يكتشف
file	ملف
fill	يعبّي
filled	مليان
filled	معبّا
film	فلم
filthy	فاحش
filthy	وِسخ
finally	بالأخير
finance	تمويل
financial	مالي
find	لاقى
find	وجد
find out	اكتشف
fine	حلو
fine	ماشي
fine	بخير
fine	طيب
finger	اصبع الايد
finish	نهاية
finished	انتهى
fire	نار
firm	صارم
firm	كلمتو ما بتصير اتنين
first	أول
first name	الاسم الأول
fish	سمكة
fit	مناسب
fit	رشيق
five	خمسة
fix	يصلّح
fixed	مصلّح
fixed	مثبّت
flag	علَم
flash	وميض
flash	فلاش
flat	مسطح
flat	شقة
flaw	عيب
flawless	ما بيتعيب
flawless	ما فيه عيب
flee	اهروب
flesh	لحم ودم
flew	طار
flex	لوي
flexible	مطواع
flight	رحلة جوية
flip	نقر
flip	نقف
flirt	بيعاكس البنات
flirting	مغازلة
float	فايش
flood	طوفان
flood	فيضان
floor	أرضية
flour	طحين
flow	دفق
flower	وردة
flu	رشح
fluent	طلق اللسان
fluently	بطلاقة لسان
fluffy	كلو زغب
fluid	سائل
fly	يطير
focus	بيركز
fog	ضباب
foggy	ضبابي
fold	يطوى
folks	يا جماعة
follow	يلحق
follow up	متابعة
following	اللي بعدو
food	أكل
food	طعام
fool	مخبول
fool	أحمق
fool	أهبل
foolish	غبي
foot	رِجل
football	كرة القدم
for	لِ
for	منشان
for	من أجلِ
For example	عسبيل المثال
for instance	عسبيل المثال
for you	منشانك
forbidden	ممنوع
force	قوة
forecast	توقع
forecast	تنبؤ
forehead	جبين
foreign	أجنبي
foreign	غريب
forest	غابة
forever	للأبد
forever	لآخر العمر
forget	ينسى
forgive	يسامح
forgot	نسيت
fork	شوكة
form	شكل
formal	شكلي
former	بيسبق
former	قبل
fortunately	من حسن الحظ
fortune	نصيب
fortune	ثروة
forty	أربعين
forty-two	تنين وتلاتين
forward	إلى الأمام
forward	لقدام
foster	شجع
fought	حارب
found	لاقى
foundation	مؤسسة
four	أربعة
fourteen	أربعتعش
fox	تعلب
fragile	ممكن ينكسر
fragile	هش
frame	إطار
framework	إطار
fraud	احتيال
freak	غريب الأطوار
free	فاضي
free	حر
freedom	حرية
freeze	تجميد
freeze	تفريز
frequency	تكرار
frequency	تردد
frequent	متكرر
frequently	بشكل متكرر
frequently	أغلب الأحيان
fresh	تازا
friday	الجمعة
fridge	برّاد
friend	صديق
friend	رفيق
friendly	ودي
friends	رفقات
friendship	صداقة
frightened	مرعوب
frightening	بيخوّف
frog	ضفدع
from	مِنْ
front	قدّام
frozen	مجمدة
fruit	فواكي
frustrated	بيزعّل
frustrated	بيخيب
fuel	نفط
Fulfulde	اللغة الفولانية
full	معبّا
fun	بيسلّي
fun	بيضحّك
function	وظيفة
fundamental	أساسي
funeral	جنازة
funeral	دفن
funny	بيضحك
funny	بفرّط من الضحك
fur	فرو
furious	محتدّ
furious	غضبان
furniture	عفش
furniture	مفروشات
further	وغير هيك
further	من جهة تانية
further	وكمان
further	إضافي
furthermore	وكمان
future	الايام الجايي
future	المستقبل
gain	بيكسب
gain	بيربح
game	لعبة
gap	فتحة
gap	فراغ
garage	كراج
garbage	زبالة
garden	حديقة
garlic	توم
gate	باب السقاق
gate	بوابة
gather	جمع
gathering	تجمع
gauge	قاس
gauge	عيّر
gave	عطى
gear	نبيد معتق
gear	عَرَق
gender	الجنس
general	عام
generally	بشكل عام
generate	يولد
generation	جيل
generous	شهم
generous	كريم
genius	عبقري
genre	اسلوب أدبي
gentle	أنيق
gentle	لطيف
gentle	مرتّب
genuine	أصيل
genuine	صادق
gesture	ملامح
get	جِيبْ
get	اِحْصَل
get dressed	لبس تيابو
get up	فاق
get well soon	بتمنى تشفى عن قريب
get well soon	انشالله بتصح عن قريب
getting	ياخد
ghost	شبح
ghost	جنّي
ghosting	خفيّ
giant	عملاق
gift	هدية
ginger	زنجبيل
girl	بنت
girlfriend	صديقة
give	يعطي
give up	يترك
give up	يستسلم
given	ممنوح
glad	سعيد
glad	مبسوط
glance	نظرة سريعة
glass	بللور
glass	كاسة
glasses	نضارات
glimpse	لمحة
global	عالمي
gloomy	مكتئب
gloves	كفوف
glow	عم يشع
glow up	توهج لحتى
glue	صمغ
glue	غري
go	اِذهَب
go	إضْوِي
go	رُوحْ
go ahead	اتفضل
go away	روح من هون
go to bed	رايح نام
goal	غاية
goal	هدف
goals	أهداف
goals	غايات
goat	معزاية
god	الله
god	الرب
god bless you	الله يبارك فيك
goes	يروح
going	ماشي
going	يلا
going to	رايح ل
gold	دهب
gone	اختفى
gone	فص ملح وداب
gonna	بدي
goo	دَبق
good	جيّد
good	منيح
good	كويّس
good afternoon	مرحبا
good afternoon	مسا الخير
good bye	مع السلامة
good day	يوم منيح
good evening	مسا الخير
good evening	مساء الخير
good job	برافو عليك
good job	أحسنت
good looking	شكلو حلو
good luck	موفّق
good luck	بالتوفيق
good morning	صباحو
good morning	أسعد الله صباحكم
good morning	صباح الخير
good morning my love	صباح الخير حبيبي
good night	تُصْبِح على خَيْر
good night	مَسَا الخَير
goodbye	مع السلامة
goodbye	بشوفك
goodnight	تصبح على خير
goods	بضايع
Google	غوغل
Google Translate	ترجمة غوغل
goose	وزة
gorgeous	خلّاب
gorgeous	روعة
gossip	نميمة
gossip	كتر حكي
got	حصل على
got it	فهمتا
government	الحكومة
grab	يكمش
grade	مرحلة
grade	درجة
gradually	شوي شوي
gradually	بالتدريج
graduate	متخرج
grain	قمح
grain	حنطة
grant	منحة
grant	عطى
granted	عطية
grapes	عنب
grasp	مسكة
grasp	مسك
grass	حشيش
grass	عشب
grateful	ممنون
gratitude	جميلة
gratitude	امتنان
grave	ضريح
grave	قبر
gray	رمادي
gray	شايب
great	كبير
great	عَظيم
greed	طمع
greedy	طمّاع
green	أخضر
greet	تحية
greeting	تحية
greetings	تحياتي
grey	رمادي
grey	شايب
grid	شبكة
grief	حزن
grind	بيطحن
grip	مسكة
grocery	خضرا وفواكي
groom	عريس
gross	اجمالي
ground	أرض
group	مجموعة من الناس
grow	يكبر
growth	نمو
grumpy	غضبان
grumpy	ما بيعجبو شي
Guarani	لغة غواراني
guarantee	يكفل
guarantee	يضمن
guard	يحرس
guess	خمّن
guess	احزر
guest	ضيف
guidance	إرشاد
guide	يدلّ
guilty	مذنب
guy	رجّال
guy	زلمي
guys	يا شباب
gym	نادي رياضي
habit	عادة
habitat	موطن
had	كان عنده
had	كان عندو
hail	بَرَد
hair	شعر
half	نص
hall	صالة
hall	قاعة
hand	ايد
handle	مسكة
handsome	حلو
handsome	أنيق
handsome	جميل
hang	شنق
hang	علّق
hang out	يقضي وقتو
hang out	يتسكع
happen	يحدث
happen	صار
happened	حَدَثَ
happened	صار
happiness	سعادة
happy	فرحان
happy	مبسوط
happy birthday	عيد ميلاد سعيد
happy birthday	كل عام وانت بخير
happy birthday to you	عيد ميلاد سعيد
happy new year	كل سنة وانت سالم
hard	صعب
hard	قاسي
hardly	يا دوب
hardly ever	شبه مستحيل
harm	ضرر
harm	أذى
harmful	مئذي
harmony	انسجام
harsh	صارِم
harsh	قاسي
harvest	الغلّة
has	عندو
has	عنده
hate	بيكره
have	أملُك
have	عِنْدِي
have a good day	بتمنالك يوم سعيد
have a nice day	اتضل بخير
have breakfast	فطِر
have fun	انبسط
have you eaten	أكلت شي
having	عندو
hazard	خطر
hazard	مجازفة
haze	ضباب
he	هُوَ
he	هُوِّي
he has	هوي عندو
he is	هوي
head	رأس
head	راس
headache	وجع راس
heal	يشفي
healing	شفي
health	صحة
healthy	صحي
hear	يسمع
hear	بيسمع
heard	سمع
heart	قلب
heat	سخونة
heat	حرارة
heaven	رب العالمين
heavy	تقيل
hectic	محموم
hectic	متوتر
height	ارتفاع
heir	وريث
heist	سرقة
held	محجوز
held	محبوس
hell	جهنم
Hello	السلام عليكم
Hello	مرحبا
hello dear	مرحبا عزيزي
hello dear	مرحبا حبيبي
hello how are you	مرحبا، كيفك
hello how are you doing	مرحبا، كيف حالك
helmet	خوذة
help	بيساعد
help	بيعاون
helpful	بيساعد
hence	منشان هيك
her	إلها
her	لها
herd	قطيع
here	هنا
here	هون
heritage	ورثة
hesitate	يتردد
Hey	تحيّة
Hey	هَلَا
Hi	سلام
Hi	مرحبا
Hi	مراحب
hi how are you	مرحباً كيف حالك
Hi there	مرحبا
Hi there	انت
hidden	مخبّا
hide	خبّى
hierarchy	رِتب
high	عالي
high	مرتفع
highlight	تسليط الضوء
hike	تنزه
hiking	يتمشى
hilarious	مِرِح
hill	تلة
him	له
hint	لمّح
hip	خاصرة
hip	ورك
hips	وراك
hire	يأجّر
hiring	توظيف
his	له
his	إلو
history	تاريخ
hit	بيضرب
hit	بيصيب
Hmm	همم
hobby	هواية
hold	ماسك
hold	عندو
hold	يحمل
hold on	عمهلك شوي
hold on	استنى
hole	فتحة
holiday	عطلة
hollow	مجوّف
home	بيت
homework	شغل البيت
honest	مخلص
honest	شريف
honest	وفي
honestly	بكل صدق
honestly	بصراحة
Honey	عَسَل
Honey	حَبيبي
honor	شرف
hood	عمامة
hook	خطاف
hop	قفز
hop	نط
hope	أمل
hopefully	انشالله
hopeless	ما منو أمل
horizontal	أفقي
horn	زمور
horrible	فظيع
horror	رعب
horse	حصان
hospital	مشفى
hospital	مستشفى
hospitality	ضيافة
host	نزل بضيافة
host	مضيف
hostile	عدواني
hot	سخن
hot	شوب
hotel	أوتيل
hotel	فندق
hour	ساعة
hours	ساعات
house	بيت
household	أهل البيت
how	كِيفْ
how	كَيْفَ
how	شلون
how about you	شو منشانك
how are you	كيف حالكَ
how are you	كيفَك
how are you	شلونك
how are you doing	شو عامل
how are you doing	كيف أحوالك
how are you doing	كِيفَك
how are you doing today	كيفَك اليَوم
how are you doing today	كيفَ أحوالُكَ اليَوم
how are you today	كيفك اليوم
how do you do	كيف حالك
how is	كيف
how many	قديش
how much	قديش
how much	كم
how often	كم مرة
how old are you	كَم عُمرُكَ
how old are you	قديش عمرك
how was your day	كيف قضيت يومك
how was your night	انشالله نمت منيح
how was your night	كيف كانت ليلتك
however	على كلّ حال
however	على أيِّ حالٍ
hub	محور
hub	مَركَز
hubby	زوج
hubby	شريك
hug	عناق
hug	حضن
hug	حوشة
huge	كبير
huge	ضخم
human	انساني
humble	متواضع
humble	ذليل
humid	رطب
humidity	رطوبة
hundred	مية
hungry	جوعان
hunt	صيد
hurricane	اعصار
hurry	عجّل
hurry up	عجّل
hurt	يؤذي
hurt	بيئذي
husband	زوج
hustle	يسرع
hut	كوخ
hygiene	صحة
I	أنا
I am	أنا
I am fine	أنا منيح
I can	فيني
I can	بقدر
I can't	ما فيّي
I can't	ما بقدر
I do	صحيح
I do	موافق
I do not know	ما بعرف
I do not understand	ما عم افهم
I don't	أنا لا
I don't know	لا أعلم
I don't know	ما بعرف
I don't understand	ما عَمْ إِفْهَمْ
I don't understand	لَا أفهَمُ
I don't understand what you mean	ما عم افهم عليك
I don't understand you	ما عم افهم عليك
I don’t know	ما بعرف
I don’t understand	ما فهمت
i guess	بظنّ
I had	كان عندي
I have	عندي
I have been	كنت
I hope so	بتمنى يكون هيك
I know	بعرف
I know	أعلم
I like	أنا بحب
I like you	انت بتعجبني
I love	بحبك
I love my big brother	بحب أخي الكبير
I love my big sister	بحب اختي الكبيرة
I love my father	بحب أبي
I love my little brother	بحب اخي الصغير
I love my little sister	بحب اختي الصغيرة
I love my mother	بحب امي
I love you	بحبِّك
I love you	أحبّك
I love you so much	أحبّك جدًّا
I love you so much	بحبك كتير
I love you too	وأنا بحبك كمان
I love you too	وأنا كمان بحبك
I mean	بقصد
I mean	قصدي
I miss you	مشتاق لك
I miss you	اشتقت إليك
I miss you so much	مشتقلك كتير
I miss you so much	اشتقت إليك كثيرًا
I see	مو مشكلة
I see	فهمت
I think	بظنّ
I understand	فهمت
I understand	طيب ماشي
I want	بدّي
I want to see you	بدّي شوفك
I want you	بدي ياك
I was	أنا كنت
I will	أنا رح
I would be	بدي كون
I'm	أنا
I'm fine	أموري تمام
I'm fine	أنا منيح
I'm fine	أنا جيّد
I'm fine	أنا كويس
I'm good	أنا منيح
I'm here	أنّا هون
I'm sorry	أنا آسف
I'm sorry	بعتذر
ice	تلج
ice cream	بوظة
idea	فكرة
ideal	مثالي
identical	طبق الأصل
identify	بيحدّد
identify	بيعرّف
identity	هوية
idiot	سخيف
idiot	مخبول
idiot	غبي
idle	بلا شغل
idle	عاطل
if	إذا
ignore	يهمل
ignore	يترك
ill	مريض
illegal	مو قانوني
illness	مرض
Ilocano	لغة الإلكانو
image	صورة
imagine	تخيّل
imagine	تصوّر
immediate	فوراً
immediately	هلق
immediately	فوراً
immense	ضخم
impact	أثر
impatient	بصلتو محروقة
impatient	ما عندو صبر
implement	بينفذ
import	استيراد
important	مهم
impose	فرض
impossible	مستحيل
impress	إقناع
impression	انطباع
impressive	جميل
impressive	ملفت
improve	حسّن
improvement	تحسين
in	جوّا
in	داخل
in	في
in addition	بالإضافة ل
In fact	بالحقيقة
in front of	قدّام
in order to	منشان
inappropriate	مو مناسب
incentive	حافز
incident	حادثة
include	من ضمنو
include	بيتضمن
including	بما فيها
income	مدخول
inconvenience	مو مريح
increase	زوّد
increase	يزيد
increased	زاد
incredible	مو معقول
indeed	بالفعل
indeed	في الواقع
indeed	فِعْلًا
independent	معتمد عحالو
independent	مستقل
India	الهند
indicate	بيدل
indigenous	ابن البلد
individual	شخصي
industry	صناعة
inevitable	اجباري
inevitable	حتمي
infant	رضيع
infection	عدوى
infinity	ما لا نهاية
inflammation	اشتعال
inflation	تضخم اقتصادي
influence	تأثير
inform	يخبّر
information	معلومات
ingredients	المكونات
inheritance	ميراث
initial	مبدأياً
initiative	مبادرة
injured	متصاوب
injury	متصاوب
innocent	بسيط
innocent	برّيء
innovation	اختراع
inquiry	طلب
inquiry	سؤال
insane	مخبول
insane	مجنون
insane	أجدب
insect	حشرة
insecure	مو آمن
insert	إدراج
inside	جوا
insight	بصيرة
insist	عم يصرّ
insomnia	أرق
inspiration	إلهام
inspire	يلهم
install	تثبيت
instance	مثل
instant	فوري
instead	بدل
instead of	بدلاً من
instructions	تعليمات
instrument	آلة موسيقية
insult	عم يسبّ
insurance	تأمين
intact	سليم
integrity	أمانة
integrity	نزاهة
intellectual	فهمان
intellectual	مثقف
intelligence	فطنة
intelligence	ذكا
intelligent	فطن
intelligent	بيفهما وهيي طايرة
intelligent	ذكي
intend	ينوي
intended	ناوي
intense	كثيف
intense	شديد
intention	نية
interact	يتفاعل
interaction	تفاعل
interest	اهتمام
interested	مهتم
interesting	مثير للاهتمام
interesting	مهم
interfere	عم يتدخل
intermediate	متوسط
internal	داخلي
international	دولي
internship	فترة تدريب
interpret	عم يفسّر
interpreter	مترجم فوري
interrupt	بيقاطع الحديث
interrupt	بيعترض
interview	مقابلة
intimate	حميم
into	جوا
introduce	قدّم
introduce	عرّف
introduction	تقديم
introvert	منطوي عنفسو
intuition	حدس
invalid	ما بيسوى
invent	يخترع
inventory	جرد
invest	يستثمر
investigate	يحقق
invitation	عزيمة
invite	يعزم
invoice	فاتورة
involve	متضمّن
involved	متدخل
involved	متورط
iron	مكواية
iron	حديد
is	عَمْ
island	جزيرة
isolated	معزول
issue	مسألة
issue	موضوع
issue	شغلة
issue	مشكلة
issues	مشاكل
issues	مواضيع
it	هو
it	هي
it is	هو
it is	هي
it is	هوي
it was	كان
it's	هوّي
it's ok	لا تقلق
it's ok	مو مشكلة
it's ok	لا بأس
It's okay	لا تقلق
It's okay	مو مشكلة
It's okay	لا بأس
item	غرض
items	غراض
its	هوّي
its	هيّي
I’m	أنا
jacket	جاكيت
jail	سجن
January	كانون التاني
jar	جرة
jaw	فك
