abandoned	পৰিত্যক্ত কৰা
disease	ৰোগ
disguise	ছদ্মৱেশ
disgusting	ঘৃণা
dishes	কাঁহী
dish	থালী
dismiss	বৰ্খাস্ত
dispatch	পঠিওৱা
display	প্ৰদৰ্শন
disposal	নিষ্পত্তি
dispute	বিতৰক
distance	দূৰত্ব
distinct	নিৰ্দিষ্ট
distinguish	পাৰ্থক্য কৰা
distress	বেদনা
distribution	বিতৰণ
district	জিলা
disturb	আমনি কৰা
ditch	নলা
diverse	বিচিত্ৰ
diversity	অনৈক্য
dive	জাঁপ দিয়া
divide	ভাগ কৰা
divine	আধ্যাত্মিক
divorce	বিবাহ বিচ্ছেদ
dizzy	মূৰ ঘুৰণি
doctor	ডাক্তৰ
document	নথিপত্ৰ
doesn't	নহয়
does	কৰে
Dogri	ডোগৰী
dog	কুকুৰ
doing	কৰি আছো
doll	পুতলা
domain	ডমেইন
domestic	ঘৰুৱা
dominant	প্ৰভাৱশালী
donate	দান কৰা
done	কৰা হ’ল
donkey	গাধ
Don't worry	চিন্তা নকৰিব
don't	নকৰিব
dope	মূৰ্খ
double	দুগুণ
doubt	সন্দেহ
dough	মথি থোৱা আটা
download	ডাউনল’ড
down	তললৈ
do you love me	আপুনি মোক ভাল পায় নে
do you	আপুনি কৰে নে
do	কৰক
draft	খচৰা
drag	টানি নিয়া
drain	নলা
drama	নাটক
drawer	ড্ৰয়াৰ
drawing	অংকন কৰি থকা
draw	অঁকা
dread	ভয়
dream	সপোন
dress	পোছাক
drill	খন্দা
drink	পান কৰা
drive	চলোৱা
dropped	বাদ দিয়া হৈছে
drop	টোপাল
drought	খৰ
drunk	নিচাসক্ত
dry	শুকান
duck	হাঁহ
dude	ল’ৰা
due to	কাৰণে
due	দেয়
dull	নিস্তেজ
dumb	বোবা
dump	ভাণ্ডাৰ
duration	সময়কাল
during	সেই সময়ত
dust	ধুলি
duty	দায়িত্ব
dwell	বাস কৰা
dying	মৰি আছে
each other	পৰস্পৰক
each	প্ৰতিটো
eager	আগ্ৰহী
eagle	ঈগল
earlier	পূৰ্বতে
early	আগতীয়া
earn	উপাৰ্জন কৰা
ears	কাণ
earthquake	ভূমিকম্প
earth	পৃথিৱী
ear	কাণ
ease	সহজে
easily	সহজে
east	পূব
easy	সহজ
eating	খোৱা
eat	খোৱা
economic	অৰ্থনৈতিক
economy	অৰ্থনীতি
edge	প্ৰান্ত
edit	সম্পাদনা কৰক
education	শিক্ষা
effective	কাৰ্যকৰী
effect	প্ৰভাৱ
efficiency	দক্ষতা
efficient	দক্ষ
effort	চেষ্টা
eggplant	বেঙেনা
egg	কণী
ego	অহং
eighteen	ওঠৰ
eighty	আশী
eight	আঠ
either	যিকোনো এটা
elaborate	সম্প্ৰসাৰিত
elbow	কিলাকুটী
elderly	জ্যেষ্ঠ
elder	জ্যেষ্ঠ
elegant	সুন্দৰ
element	উপাদান
elephant	হাতী
eleven	এঘাৰ
eligible	যোগ্য
eliminate	নিষ্কাশন
else	ইয়াৰ বাহিৰে
embarrassed	বিব্ৰত হোৱা
embarrassing	বিব্ৰত কৰা
embrace	আঁকোৱালি লোৱা
emergency	জৰুৰীকালীন
emerge	আবির্ভূত
emotional	আবেগিক
empathy	সহানুভুতি
emphasis	জোৰ দিয়া
emphasize	‘ জোৰ দিয়া
employees	কৰ্মচাৰী
employee	কৰ্মচাৰী
employer	নিয়োগকৰ্তা
employment	কৰ্মসংস্থান
empty	খালী
enable	সক্ষম কৰা
encounter	বিৰোধিতা কৰা
encourage	উত্‍সাহ দিয়া
endangered	বিপন্ন
endeavor	প্ৰচেষ্টা
endurance	ধৈৰ্য
endure	সহ্য কৰা
end	সমাপ্ত
enemy	শত্ৰু
energy	শক্তি
engaged	জড়িত
engagement	ব্যস্ততা
engage	ব্যস্ত থকা
engineer	অভিযন্তা
engine	ইঞ্জিন
English	ইংৰাজী
enhance	বৰ্ধন কৰা
enjoy	ফূৰ্তি কৰক
enormous	বৃহত্‍
enough	পৰ্যাপ্ত
ensure	নিশ্চিত কৰা
entertainment	বিনোদন
enter	প্ৰৱেশ কৰা
enthusiasm	উত্‍সাহ
enthusiastic	উত্‍সাহী
entire	সমগ্ৰ
entitled	অধিকাৰ প্ৰাপ্ত
entity	সত্তা
entrance	প্ৰৱেশদ্বাৰ
entrepreneur	উদ্যোগী
envelope	খাম
environment	পৰিৱেশ
envy	ঈৰ্ষা
epic	মহাকাব্য
epidemic	মহামাৰী
equal	সমান
equipment	সঁজুলি
equity	ন্যায়
equivalent	সমান্তৰাল
eraser	ৰবৰ
error	আঁসোৱাহ
escape	পলোৱা
especially	বিশেষকৈ
essay	ৰচনা
essence	সাৰাংশ
essential	আৱশ্যকীয়
established	স্থাপিত
establish	স্থাপন কৰা
estate	সম্পত্তি
estimated	অনুমানিক
estimate	অনুমানিক
etc	আদি
eternal	চিৰদিনীয়া
ethics	নীতি
evaluate	মূল্যায়ন কৰা
evaluation	মূল্যায়ন
evening	সন্ধিয়া
even though	তথাপিও
eventually	অৱশেষত
event	কাৰ্যক্ৰম
even	যুগ্ম
everybody	সকলো
everyone	সকলো
everything	সকলো
every	প্ৰত্যেক
ever	কেতিয়াবা
evidence	প্ৰমাণ
evil	অশুভ
evolution	ক্ৰমাগত বিকাশ
evolve	বিকশিত হোৱা
Ewe	এবৈ
exactly	ঠিক সেইমতে
exact	সঠিক
examine	পৰীক্ষা কৰা
example	উদাহৰণ
exam	পৰীক্ষা
exceed	সীমাৰ বাহিৰ কৰা
excellent	অতি উত্তম
exception	ব্যতিক্ৰম
except	ইয়াৰ বাহিৰে
excessive	অতিৰিক্ত
excess	অতিমাত্ৰা
exchange	বিনিময়
excited	উত্তেজিত হোৱা
excitement	উত্তেজনা
exciting	ৰোমাঞ্চকৰ
exclusive	একচেটিয়া
excuse me	ক্ষমা কৰিব
excuse	ক্ষমা কৰিব
execute	কাৰ্যান্বিত কৰা
execution	কাৰ্যান্বিত কৰা
executive	কাৰ্যবাহী
exercise	ব্যায়াম
exhausted	ক্লান্ত
exhaust	নিষ্কাশন
exhibition	প্ৰদৰ্শনী
exhibit	প্ৰদৰ্শন
existence	অস্তিত্ব
existing	বিদ্যমান
exist	উপলব্ধ
exit	প্ৰস্থান
expand	সম্প্ৰসাৰণ কৰা
expected	আশা কৰা হৈছে
expect	আশা কৰা
expenses	খৰচ
expensive	দামী
experience	অভিজ্ঞতা
experiment	পৰীক্ষণ
expert	বিশেষজ্ঞ
expired	ম্যাদ উকলিছে
explain	ব্যাখ্যা কৰা
explanation	ব্যাখ্যা
exploit	শোষণ
explore	অণ্বেষণ কৰা
export	ৰপ্তানি
exposed	উদঙোৱা
expose	উন্মুক্ত
exposure	অনাবৃত
expression	অভিব্যক্তি
express	প্ৰকাশ কৰা
extended	বৰ্ধিত
extend	প্ৰসাৰিত
extension	বিস্তাৰ
extent	বিস্তাৰ হৈ থকা
external	বাহ্যিক
extinct	লুপ্ত
extract	নিষ্কাশন কৰা
extraordinary	অসাধাৰণ
extra	অতিৰিক্ত
extremely	অত্যন্ত
extreme	চৰম
ex	পূৰ্ব
eyes	চকু
eye	চকু
fabric	ফেব্ৰিক
fabulous	অবিশ্বাস্য
face	চেহেৰা
facilitate	উপলভ্য কৰা
facilities	সুবিধাসমূহ
facility	সুবিধা
factory	ফেক্টৰী
factor	কাৰক
facts	তথ্যসমূহ
fact	তথ্য
fade	ম্লান পৰা
failed	ব্যৰ্থ হৈছিল
failure	বিফল হোৱা
fail	ব্যৰ্থ হোৱা
faint	মূৰ্চা যোৱা
fairly	নিৰপেক্ষভাৱে
fairy	পৰী
fair	মেলা
faithful	বিশ্বাসী
faith	ভৰসা
fake	ভুৱা
fall	পৰি যোৱা
false	মিছা
fame	খ্যাতি
familiar	চিনাকি
family	পৰিয়াল
famine	দুৰ্ভিক্ষ
famous	বিখ্যাত
fancy	ফেন্সী
fantastic	চমত্‍কাৰ
fan	পাংখা
farewell	বিদায়
farmer	খেতিয়ক
farm	খেতি
far	দূৰ
fascinating	আকৰ্ষণীয়
fashion	ফেশ্বন
fast	বেগাই
fatal	প্ৰাণঘাতক
fate	ভাগ্য
father	পিতৃ
fatigue	ভাগৰ
fat	শকত
fault	দোষ
favorite	প্ৰিয়
favourite	প্ৰিয়
favour	পক্ষপাত
fear	ভয়
feast	ভোজ
feather	পাখি
features	বৈশিষ্ট্যসমূহ
feature	বৈশিষ্ট্য
february	ফেব্ৰুৱাৰী
fed up	অতিষ্ঠ হৈ পৰিছে
feedback	মতামত
feed	ভোজন
feeling	অনুভৱ
feel	অনুভৱ কৰা
feet	ফুট
fee	মাচুল
fellow	সহকৰ্মী
fell	পৰি যোৱা
felt	অনুভৱ কৰিছিল
female	মহিলা
fence	বেৰা
fertile	উৰ্বৰ
festival	উত্‍সৱ
fetch	লৈ অনা
fever	জ্বৰ
fewer	আগতকৈ কম
few	খুব কম
fiance	বাগদত্তা
fiction	কল্পকাহিনী
field	ক্ষেত্ৰ
fierce	ভয়ংকৰ
fifteen	পোন্ধৰ
fifty	পঞ্চাছ
fighting	যুঁজ কৰা
fight	কাজিয়া
figure out	নিৰ্ধাৰণ কৰা
figure	শৰীৰ
file	ফাইল
filled	পূৰ্ণ হৈ থকা
fill	পূৰ্ণ
film	চলচ্চিত্ৰ
filthy	লেতেৰা
finally	অৱশেষত
finance	বিত্ত
financial	অৰ্থনৈতিক
find out	বিচাৰি উলিওৱা
find	সন্ধান কৰা
fine	জৰিমনা
finger	আঙুলি
finished	সমাপ্ত কৰা
finish	সমাপ্ত
fire	অগ্নি
firm	দৃঢ়
first name	প্ৰথম নাম
first	প্ৰথম
fish	মাছ
fit	যোগ্য হোৱা
five	পাঁচ
fixed	নিৰ্ধাৰিত
fix	ঠিক কৰা
flag	পতাকা
flash	চমক
flat	চেপেটা
flawless	নিখুঁত
flaw	বৈ যোৱা
flee	পলাই যোৱা
flesh	মাংস
flew	উৰি গ’ল
flexible	নমনীয়
flex	নমনীয়
flight	উৰাজাহাজ
flip	ওলোটা কৰা
flirting	জোকোৱা
flirt	প্ৰেমৰ ভাও
float	উপঙি থকা
flood	বানপানী
floor	মজিয়া
flour	ময়দা
flower	ফুল
flow	বৈ অহা
fluently	সাৱলীলভাৱে
fluent	বাকপটু
fluffy	পাহৰি যোৱা লোক
fluid	জুলীয়া
flu	চৰ্দি জ্বৰ
fly	উৰা
focus	ধ্যান কেন্দ্ৰিত
foggy	কুঁৱলী সনা
fog	কুঁৱলী
fold	ভাঁজ
folks	বান্ধৱসকল
following	নিম্নলিখিত
follow up	খতিয়ান লোৱা
follow	অনুসৰণ কৰা
food	আহাৰ
foolish	মুৰ্খতা
fool	মূৰ্খ
football	ফুটবল
foot	ফুট
forbidden	নিষিদ্ধ
force	বল
forecast	পুৰ্বানুমান
forehead	কপাল
foreign	বিদেশী
forest	অৰণ্য
forever	চিৰদিন
For example	উদাহৰণ স্বৰূপে
forget	পাহৰা
forgive	ক্ষমা কৰা
forgot	পাহৰিছিল
for instance	উদাহৰণস্বৰূপে
fork	কাঁটা চামুচ
formal	আনুষ্ঠানিক
former	পূৰ্বৰ
form	প্ৰপত্ৰ
fortunately	সৌভাগ্যক্ৰমে
fortune	সৌভাগ্য
forty-two	বিয়াল্লিশ
forty	চল্লিশ
forward	আগলৈ
for you	আপোনাৰ বাবে
for	বাবে
foster	ভৰণ পোষণ কৰা
fought	কাজিয়া লাগিছিল
foundation	ভেঁটি
found	পোৱা গ’ল
fourteen	চৈধ্য
four	চাৰি
fox	শিয়াল
fragile	ভঙ্গুৰ
framework	ফ্ৰেমৱৰ্ক
frame	ফ্ৰেম
fraud	প্ৰৱঞ্চনা
freak	পাগল
freedom	স্বাধীনতা
freeze	ফ্ৰীজ
free	বিনামূলীয়া
frequency	কম্পনাংক
frequently	সঘনাই
frequent	সঘনাই
fresh	সতেজ
friday	শুক্ৰবাৰ
fridge	ফ্ৰীজ
friendly	বন্ধুসুলভ
friendship	বন্ধুত্ব
friends	বন্ধুসকল
friend	বন্ধু
frightened	শংকিত
frightening	ভয়াৱহ
frog	ভেকুলী
from	পৰা
front	সন্মুখৰ
frozen	হিমায়িত
fruit	ফল
frustrated	নিৰাশা
fuel	ইন্ধন
Fulfulde	ফুলফুল্দে
full	সম্পূৰ্ণ
function	অনুষ্ঠান
fundamental	মৌলিক
funeral	অন্তিম সংস্কাৰ
funny	জমনি
fun	আনন্দ
furious	অগ্নিশৰ্মা
furniture	আচবাব
furthermore	তদুপৰি
further	আগলৈ
fur	নোম
future	ভৱিষ্যত
gain	লাভ কৰা
game	খেল
gap	গেপ
garage	গেৰেজ
garbage	আৱৰ্জনা
garden	বাগিছা
garlic	নহৰু
gate	গেট
gathering	সমাবেশ
gather	গোটোৱা
gauge	জোখ লোৱা
gave	দিছিল
gear	গিয়েৰ
gender	লিংগ
generally	সাধাৰণতে
general	সাধাৰণ
generate	সৃষ্টি কৰা
generation	প্ৰজন্ম
generous	দয়ালু
genius	প্ৰতিভা
genre	ধাৰা
gentle	ভদ্ৰ
genuine	প্ৰকৃত
gesture	ভংগীমা
get dressed	পোছাক পিন্ধক
getting	প্ৰাপ্ত কৰিছে
get up	উঠা
get well soon	সোনকালে আৰোগ্য হওক
get	পাওক
ghosting	অনুসৰণ কৰা
ghost	ভুত
giant	দৈত্য
gift	উপহাৰ
ginger	আদা
girlfriend	প্ৰেমিকা
girl	ছোৱালী
given	দিয়া হৈছে
give up	পৰিত্যাগ কৰা
give	দিয়া
glad	আনন্দিত
glance	দৃষ্টি
glasses	চশমা
glass	গিলাছ
glimpse	আভাস
global	সাৰ্বজনীন
gloomy	ডাৱৰীয়া
gloves	হাতমোজা
glow up	জিলিকি উঠিব
glow	উজ্জ্বলতা
glue	আঠা
go ahead	আগবাঢ়ক
goals	লক্ষ্যসমূহ
goal	লক্ষ্য
goat	ছাগলী
go away	যোৱাগৈ
god bless you	ঈশ্বৰে মংগল কৰক
god	ঈশ্বৰ
goes	যায়
going to	গৈছে
going	গৈ আছো
gold	সোণ
gone	গ’ল
gonna	গৈছে
good afternoon	শুভ আবেলি
good bye	বিদায়
goodbye	বিদায়
good day	শুভ দিন
good evening	শুভ সন্ধিয়া
good job	ভাল কৰিলে
good looking	দেখিবলৈ ধুনীয়া
good luck	শুভেচ্ছা থাকিল
good morning my love	সুপ্ৰভাত মোৰ প্ৰিয়তম
good morning	সুপ্ৰভাত
goodnight	শুভৰাত্রি
good night	শুভৰাত্ৰি
goods	বস্তু
good	ভাল
Google Translate	গুগল অনুবাদ
Google	গুগল
goose	ৰাজহাঁহ
gorgeous	ধুনীয়া
gossip	আড্ডা
got it	এইটো পাইছো
go to bed	শুবলৈ যোৱা
got	পোৱা
government	চৰকাৰ
go	যাওক
grab	খামুচি ধৰা
grade	শ্ৰেণী
gradually	লাহে লাহে
graduate	স্নাতক
grain	দানা
granted	মঞ্জুৰ
grant	অনুদান
grapes	আঙুৰ
grasp	খামুচি ধৰা
grass	ঘাঁহ
grateful	কৃতজ্ঞ
gratitude	কৃতজ্ঞতা
grave	কবৰ
gray	ধূসৰ
great	মহান
greedy	লুভীয়া
greed	লোভ
green	সেউজীয়া
greetings	শুভেচ্ছা
greeting	সম্ভাষণ জনোৱা
greet	সম্বোধন কৰা
grey	ধোঁৱা বৰণ
grid	গ্ৰিড
grief	দুখ
grind	খুন্দা
grip	জোৰকৈ ধৰা
grocery	গেলামালৰ দোকান
groom	দৰা
gross	গোটেই অংশ
ground	ভূমি
group	গোট
growth	বৃদ্ধি
grow	বিকশিত হোৱা
grumpy	বদমেজাজী
Guarani	গুৱাৰানী
guarantee	গাৰাণ্টি
guard	ৰক্ষা কৰা
guess	অনুমান কৰা
guest	আলহী
guidance	নিৰ্দেশনা
guide	নিৰ্দেশনা দিয়া
guilty	দোষী
guys	ল’ৰাসকল
guy	যুৱক
gym	জিম
habitat	বাসস্থান
habit	অভ্যাস
had	আছিল
hail	শিল-বৰষুণ
hair	চুলি
half	আধা
hall	হল
handle	চম্ভালা
handsome	দেখনিয়াৰ
hand	হাত
hang out	একেলগে সময় অতিবাহিত কৰা
hang	ওলমা
happened	ঘটিছিল
happen	ঘটা
happiness	সুখ
happy birthday to you	আপোনালৈ জন্মদিনৰ শুভ কামনা থাকিল
happy birthday	জন্মদিনৰ ওলগ জনালোঁ
happy new year	শুভ নৱবৰ্ষ
happy	সুখী
hardly ever	কেতিয়াবাহে
hardly	খুব কম
hard	কঠিন
harmful	ক্ষতিকাৰক
harmony	সম্প্ৰীতি
harm	ক্ষতি
harsh	কঠোৰ
harvest	শস্য চপোৱা
has	আছে
hate	বেয়া পোৱা
have a good day	দিনটো শুভ হওক
have a nice day	দিনটো শুভ হওক
have breakfast	ৰাতিপুৱাৰ জলপান খাওক
have fun	আনন্দ কৰা
have you eaten	আপুনি খাইছে নে
having	থকা
hazard	বিপদ
haze	কুঁৱলী
headache	মূৰৰ বিষ
head	মূৰ
healing	উপচাৰ
healthy	স্বাস্থ্যকৰ
health	স্বাস্থ্য
heal	আৰোগ্য হোৱা
heard	শুনা
heart	হৃদয়
hear	শুনা
heat	তাপ
heaven	স্বৰ্গ
heavy	গধুৰ
hectic	ব্যস্ত
he has	তেওঁৰ আছে
height	উচ্চতা
heir	উত্তৰাধিকাৰী
heist	ডকাইতি
he is	তেওঁ হৈছে
held	অনুষ্ঠিত
hello dear	নমস্কাৰ প্ৰিয়তম
hello how are you doing	নমস্কাৰ, আপোনাৰ ভাল নে
hello how are you	নমস্কাৰ আপুনি কেনে আছে
Hello	নমস্কাৰ
hell	নৰক
helmet	হেলমেট
helpful	সহায়ক
help	সহায়
hence	সেয়েহে
herd	জাক
here	ইয়াত
heritage	ঐতিহ্য
her	তাইক
hesitate	সংকোচ কৰা
Hey	হেৰা
he	তেওঁ
hidden	লুকাই থকা
hide	লুকাই থকা
hierarchy	অনুক্ৰম
highlight	গুৰুত্বপূৰ্ণ অংশ
high	ওখ
hi how are you	নমস্কাৰ, আপোনাৰ কি খবৰ
hike	ভ্রমণত যোৱা
hiking	পৰ্বতাৰোহণ কৰা
hilarious	হাস্যকৰ
hill	পাহাৰ
him	তেওঁক
hint	ইংগিত
hips	কঁকাল
hip	কঁকাল
hire	ভাড়া কৰা
hiring	নিয়োগ
history	ইতিহাস
his	তাৰ
Hi there	নমস্কাৰ
hit	মৰা
Hi	নমস্কাৰ
Hmm	হমম
hobby	ভাল লগা কাম
hold on	ধৈৰ্য ধৰক
hold	ধৰি ৰখা
hole	ফুটা
holiday	ছুটীৰ দিন
hollow	ফোঁপোলা
homework	ঘৰত কৰা কাম
home	গৃহ
honestly	সত্‍ভাৱে
honest	সত্‍
Honey	মৌ
honor	সন্মান
hood	ডকাইত
hook	হুক
hopefully	আশা কৰা হৈছে
hopeless	নিৰাশ
hope	আশা
hop	জঁপিওৱা
horizontal	অনুভূমিক
horn	শিঙ
horrible	বৰ বেয়া
horror	ভয়াৱহ
horse	ঘোঁৰা
hospitality	আতিথ্য
hospital	চিকিত্‍সালয়
hostile	প্ৰতিকূল
host	আঁত ধৰোঁতা
hotel	হোটেল
hot	গৰম
hours	ঘণ্টা
hour	ঘণ্টা
household	ঘৰুৱা
house	ঘৰ
how about you	আপোনাৰ ক্ষেত্ৰত কি
how are you doing today	আজি আপোনাৰ কেনে
how are you doing	আপোনাৰ কি খবৰ
how are you today	আপোনাৰ আজি কেনেকুৱা
how are you	আপোনাৰ কেনে
how do you do	আপোনাৰ কেনে
however	অৱশ্যে
how is	কেনেকৈ
how many	কিমানটা
how much	কিমান
how often	কিমান সঘনাই
how old are you	আপোনাৰ বয়স কিমান
how was your day	আপোনাৰ দিনটো কেনে আছিল
how was your night	আপোনাৰ নিশা কেনে আছিল
how	কেনেকৈ
hubby	পতি
hub	কেন্দ্ৰ
huge	প্ৰকাণ্ড
hug	আলিংগন
human	মানৱ
humble	নম্ৰ
humidity	আৰ্দ্ৰতা
humid	আৰ্দ্ৰ
hundred	শত
hungry	ভোকাতুৰ
hunt	চিকাৰ
hurricane	হাৰিকেন
hurry up	সোনকাল কৰা
hurry	জল্দি
hurt	আঘাত লগা
husband	পতি
hustle	হুলস্থূল
hut	কুটি
hygiene	পৰিচ্ছন্নতা
I am fine	মই ঠিকেই আছো
I am	ম‍ই
I can't	মই নোৱাৰোঁ
I can	ম‍ই পাৰোঁ
ice cream	আইচক্ৰীম
ice	বৰফ
ideal	আদৰ্শ
idea	ধাৰণা
identical	অভিন্ন
identify	চিনাক্ত কৰা
identity	পৰিচয়
idiot	মূৰ্খ
idle	এনেই থকা
I do not know	মই নাজানো
I do not understand	মই বুজি নাইপোৱা
I don't know	ম‍ই নাজানো
I don’t know	মই নাজানো
I don't understand what you mean	তুমি কি ক’ব বিছাৰিছা মই বুজি পোৱা নাই
I don't understand you	মই আপোনাক বুজি নাপাওঁ
I don't understand	ম‍ই বুজি পোৱা নাই
I don’t understand	ম‍ই বুজি পোৱা নাই
I don't	মই নকৰোঁ
I do	ম‍ই কৰোঁ
if	যদি
ignore	অগ্ৰাহ্য কৰা
i guess	মোৰ অনুমান
I had	মোৰ আছিল
I have been	মই আছিলোঁ
I have	মোৰ আছে
I hope so	মই সেয়াই আশা কৰোঁ
I know	ম‍ই জানো
I like you	মই তোমাক পছন্দ কৰোঁ
I like	মই পচন্দ কৰোঁ
illegal	বেআইনী
illness	ৰোগ
ill	বেমাৰী
Ilocano	ইলোকানো
I love my big brother	মই মোৰ ডাঙৰ দাদাক ভাল পাওঁ
I love my big sister	মই মোৰ ডাঙৰ বাইদেউক ভাল পাওঁ
I love my father	মই মোৰ দেউতাক ভাল পাওঁ
I love my little brother	মই মোৰ সৰু ভাইটিক ভাল পাওঁ
I love my little sister	মই মোৰ সৰু ভণ্টিক ভাল পাওঁ
I love my mother	মই মোৰ মাক ভাল পাওঁ
I love you so much	ম‍ই আপোনাক বৰ ভাল পাওঁ
I love you too	ময়ো আপোনাক ভাল পাওঁ
I love you	মই আপোনাক ভাল পাওঁ
I love	ম‍ই ভাল পাওঁ
image	ছৱি
imagine	কল্পনা কৰা
I mean	মই বুজাইছোঁ
I'm fine	মই ভালে আছোঁ
I'm good	মোৰ ভাল
I'm here	ম‍ই ইয়াত
I miss you so much	আপোনালৈ ইমানকৈ মনত পৰে
I miss you	মোৰ তোমালৈ মনত পৰিছে
immediately	ততালিকে
immediate	লগে লগে
immense	অপৰিসীম
impact	প্ৰভাৱ
impatient	অধৈৰ্য
implement	প্ৰয়োগ কৰা
important	গুৰুত্বপূৰ্ণ
import	আমদানি
impose	আৰোপ কৰা
impossible	অসম্ভৱ
impression	ছাপ
impressive	প্ৰভাৱশালী
impress	প্ৰভাৱিত কৰা
improvement	উন্নতি
improve	উন্নত কৰা
I'm sorry	ম‍ই দুঃখিত
I'm	ম‍ই
I’m	ম‍ই
in addition	তাৰোপৰি
inappropriate	অনুপযুক্ত
incentive	উত্‍সাহ প্ৰদান
incident	ঘটনা
include	অন্তৰ্ভুক্ত
including	সাঙুৰি
income	উপাৰ্জন
inconvenience	অসুবিধা
increased	বৃদ্ধি পালে
increase	বৃদ্ধি কৰা
incredible	অবিশ্বাস্য
indeed	সঁচাকৈয়ে
independent	স্বাধীন
India	ভাৰত
indicate	সংকেত
indigenous	দেশী
individual	ব্যক্তিকেন্দ্ৰিক
industry	উদ্যোগ
inevitable	অনিবাৰ্য
In fact	আচলতে
infant	কেঁচুৱা
infection	ৰোগ বিয়পা অৱস্থা
infinity	অসীম
inflammation	প্ৰদাহ
inflation	মুদ্ৰাস্ফীতি
influence	প্ৰভাৱ
information	তথ্য
inform	অৱগত কৰা
in front of	সন্মুখত
ingredients	সামগ্ৰীসমূহ
inheritance	উত্তৰাধিকাৰ
initial	প্ৰাৰম্ভিক
initiative	উদ্যোগ লোৱা
injured	আঘাতপ্ৰাপ্ত
injury	আঘাত
innocent	নিৰীহ
innovation	উদ্ভাৱন
in order to	কৰিবলৈ
inquiry	অনুসন্ধান
insane	উন্মাদ
insect	পতংগ
insecure	অসুৰক্ষিত
insert	প্ৰবিষ্ট কৰা
inside	ভিতৰত
insight	অন্তৰ্দৄষ্টি
insist	জোৰ কৰা
insomnia	অনিদ্ৰা
inspiration	প্ৰেৰণা
inspire	অনুপ্ৰাণিত কৰা
install	স্থাপন কৰা
instance	উদাহৰণ
instant	ক্ষণ
instead of	কিহবাৰ সলনি
instead	ইয়াৰ পৰিৱৰ্তে
instructions	নিৰ্দেশনাসমূহ
instrument	সঁজুলি
insult	অপমান
insurance	বীমা
intact	অক্ষত
integrity	একতা
intellectual	বুদ্ধিমান
intelligence	বুদ্ধিমত্তা
intelligent	বুধিয়ক
intended	অভিপ্ৰেত
intend	অভিপ্ৰায়
intense	তীব্ৰ
intention	অভিপ্ৰায়
interaction	ভাৱ-বিনিময়
interact	ভাৱ-বিনিময় কৰা
interested	আগ্ৰহী
interesting	আকৰ্ষণীয়
interest	সুত
interfere	হস্তক্ষেপ
intermediate	অন্তৰ্বৰ্তী
internal	আভ্য়ন্তৰীণ
international	আন্তৰ্জাতিক
internship	ইণ্টাৰ্নশ্বিপ
interpreter	ব্যাখ্যাকৰোতা
interpret	ব্যাখ্যা
interrupt	মাজতে বাধা দিয়া
interview	সাক্ষাত্‍কাৰ
intimate	অন্তৰংগ
introduce	চিনাকি কৰোৱা
introduction	পাতনি
introvert	অন্তৰ্মুখী
intuition	অন্তৰ্দৃষ্টি
invalid	অমান্য
inventory	বস্তুৰ তালিকা
invent	উদ্ভাৱন
investigate	অনুসন্ধান কৰা
invest	বিনিয়োগ কৰা
invitation	আমন্ত্ৰণ
invite	আমন্ত্ৰণ
invoice	চালান
involved	জড়িত
involve	সাঙুৰা
in	ভিতৰত
iron	লো
I see	ম‍ই দেখিছোঁ
