abandoned	পৰিত্যক্ত কৰা
retired	অৱসৰপ্ৰাপ্ত
retreat	পশ্চাদপসৰণ
retrieve	উদ্ধাৰ কৰা
return	উভতাই দিয়া
revealed	উন্মুক্ত
reveal	প্ৰকাশ কৰা.
revenge	প্ৰতিশোধ
revenue	ৰাজহ
reverse	বিপৰীত
review	পুনৰীক্ষণ
revise	সংশোধন
revision	সংশোধন
revolution	বিপ্লৱ
reward	পুৰস্কাৰ
rhythm	তাল
rib	পাঁজৰ
rice	ভাত
rich	ধনী
ride	চলোৱা
ridiculous	হাস্যকৰ
rid	পৰিত্ৰাণ
right now	এতিয়াই
right	শুদ্ধ
rigid	কঠোৰ
ring	আঙুঠি
rinse	পখালা
riot	দাঙ্গা
ripe	পকা
rip	ফলা
rise	উদয় হোৱা
risk	আশংকা
rival	প্ৰতিদ্বন্দী
river	নদী
road	পথ
roast	পোৰা
robust	মজবুত
rock	শিল
rod	ৰ’ড
role	ভূমিকা
roll	মেৰিওৱা
roof	ছাদ
room	কোঠা
root	শিপা
rope	ৰছী
rotten	পচা
roughly	মোটামুটিকৈ
rough	খহটা
round	গোলাকাৰ
route	পথ
routine	নিত্য সূচী
row	শাৰী
rubber	ৰবৰ
rubbish	আৱৰ্জনা
rub	ঘঁহা
rude	ৰূঢ়
rug	পিঠিফালৰ
ruin	ধ্বংস
ruler	শাসক
rules	নিয়মসমূহ
rule	নিয়ম
running	দৌৰা
run	দৌৰা
rural	গ্ৰাম্য
rush	খৰধৰ কৰা
sack	বস্তা
sacred	ভয় খোৱা
sacrifice	ত্যাগ
safe flight	শুভ বিমানযাত্ৰা
safety	সুৰক্ষা
safe	সুৰক্ষিত
sage	মুনি
said	কৈছিল
sailing	জল যাত্ৰা
sail	পাল
sake	হেতু
salary	দৰমহা
sale	বিক্ৰী
salmon	চালমন
salt	নিমখ
Same here	ইয়াত একেই
same	একেই
sample	নমুনা
sand	বালি
Sanskrit	সংস্কৃত
sarcastic	ব্যঙ্গাত্মক
sassy	অনাড়ম্বৰ
satisfaction	সন্তুষ্টি
satisfied	সন্তুষ্ট
satisfying	সন্তোষজনক
satisfy	সন্তুষ্ট কৰা
Saturday	শনিবাৰ
sat	বহিছিল
sausage	চ’চেজ
savage	অসভ্য
save	সঞ্চয় কৰা
saw	দেখিছিল
say	কওক
scale	মাপন
scam	কেলেংকাৰী
scarce	দুৰ্লভ
scared	ভয় খোৱা
scarf	গলাবান্ধ
scary	ভয়ানক
scar	দাগ
scattered	সিঁচৰতি
scenery	দৃশ্য
scene	দৃশ্য
scent	সুগন্ধ
schedule	অনুসূচী
school	বিদ্যালয়
science	বিজ্ঞান
scientists	বিজ্ঞানী
scientist	বিজ্ঞানী
scissors	কেঁচি
scold	গালি
scope	পৰিসৰ
score	মানংক
scrap	বৰ্জিত অংশ
scratch	ঘাঁ লগা
scream	চিঞৰ
screen	স্ক্ৰীণ
screw	পেঁচ-গজাল
script	চিত্ৰনাট্য
seal	ছীল
search	সন্ধান
season	ঋতু
seat	আসন
sea	সাগৰ
second	দ্বিতীয়
secret	গোপনীয়
section	শাখা
secure	সুৰক্ষিত
security	সুৰক্ষা
seed	বীজ
seek	বিচৰা
seems	যেন লাগিছে
seem	এনে লাগিছে
seen	দেখা পোৱা
see you later	আপোনাক পাছত লগ পাম
see you soon	সোনকালেই আপোনাক লগ পাম
see you tomorrow	কাইলৈ দেখা হ'ম
see you	আপোনাক লগ পাম
see	চোৱা
seize	জব্দ কৰা
seizure	বাজেয়াপ্ত
seldom	কাচিত্‍
select	চয়ন কৰা
self healing	নিজে নিজে আৰোগ্য হোৱা
selfish	স্বাৰ্থপৰ
self	নিজক
sell	বিক্ৰী কৰা
send me your picture	মোলৈ আপোনাৰ ছৱি পঠিয়াওক
send	পঠোৱা
senior	জ্যেষ্ঠ
sense	জ্ঞান
sensible	বুদ্ধিমান
sensitive	সংবেদনশীল
sentences	বাক্যসমূহ
sentence	বাক্য
sent	প্ৰেৰণ কৰা
separate	পৃথক
Sepedi	সেপেডী
september	ছেপ্টেম্বৰ
sequence	ক্ৰম
series	শৃংখলা
seriously	গুৰুত্ব সহকাৰে
serious	গহীন
serve	সেৱা কৰা
service	সেৱা
session	অধিৱেশন
setting	ছেটিং
settle	নিষ্পত্তি কৰা
set up	স্থাপন কৰা
set	স্থাপন কৰা
seventeen	সোতৰ
seventy	সত্তৰ
seven	সাত
several	কেইবাটাও
severe	অতিশয়
sew	চিলাই
shade	ছাঁ পৰা ঠাই
shadow	ছাঁ
shake	কঁপা
shallow	ফোপোলা
shall	কৰিব
shame	লজ্জা
shape	আকাৰ
share	ভাগ-বতৰা কৰা
sharp	চোকা
shed	ছাঁ পৰা স্থান
sheep	ভেড়া
sheet	চাদৰ
she has	তাইৰ আছে
she is	তাই হৈছে
shelf	খলপ
shell	খোলা
shelter	আশ্ৰয়
she	তাই
shield	ঢাল
shift	স্থানান্তৰ কৰা
shine	জিলিকা
shipping	পঠিওৱা
ship	জাহাজ
shirt	চাৰ্ট
shoes	জোতা
shoot	নিক্ষেপ কৰা
shopping	বজাৰ কৰা
shop	দোকান
shore	দাঁতি
shortage	কম পৰা
short	চুটি
shot	নিক্ষেপ কৰা কাৰ্য
shoulder	কান্ধ
shout	চিঞৰা
shower	শ্বাৱাৰ
show me	মোক দেখুওৱা
show	প্ৰদৰ্শনী
shrimp	মিছামাছ
shrink	সংকোচন
shut up	মনে মনে থাক
shut	বন্ধ
shy	লাজকুৰীয়া
siblings	ভাই-ভণ্টি
sibling	সহোদৰ
sick	বেমাৰী
side	এফালৰ
sightseeing	ঠাই চাই ফুৰা
sight	দৃষ্টি
sigh	হুমুনিয়াহ
signature	চহী
significant	উল্লেখযোগ্য
sign	চহী
silence	নীৰৱতা
silent	নীৰৱ
silk	ৰেশম
silly	নিৰ্বোধ
silver	ৰূপ
similar	একেধৰণৰ
simple	সাধাৰণ
simp	সহজ
simultaneously	একে সময়তে
sincerely	বিনীতভাৱে
sincere	গম্ভীৰ
since	যিহেতু
singer	গায়ক
single	একক
sing	গোৱা
sink	ডুবা
Sir	মহোদয়
sister in law	নবৌ
sister	ভণ্টি
site	স্থান
situation	পৰিস্থিতি
sit	বহক
sixteen	ষোল্ল
sixty	ষাঠি
six	ছয়
size	আকাৰ
skills	দক্ষতাসমূহ
skill	দক্ষতা
skinny	খীণ
skin	ছাল
skip	বাদ দিয়া
skirt	স্কাৰ্ট
sky	আকাশ
slave	দাস
sleeping	শুই আছে
sleepy	টোপনি
sleep	টোপনি
sleeve	শ্লীভ
slice	টুকুৰা
slide	এফলীয়া
slightly	অলপীয়াকৈ
slim	পাতল
slip	পিছলা
slope	এঢলীয়া
slot	ছাঁদ
slowly	ধীৰে ধীৰে
slow	লাহে লাহে
small	সৰু
smart	স্মাৰ্ট
smell	গোন্ধ
smile	হাঁহি
smoke	ধোঁৱা
smooth	মসৃণ
snack	লঘু আহাৰ
snail	শামুক
snake	সাপ
snap	ছৱি
snow	তুষাৰ
soak	ডুবুওৱা
soap	চাবোন
sober	সংযত
soccer	ছ’কাৰ খেল
social	সামাজিক
society	সমাজ
socks	মোজা
so cute	ইমান মৰমলগা
so far	যিমান দুৰ
software	ছ’ফ্টৱেৰ
soft	কোমল
soil	মাটি
soldier	চিপাহী
sold out	বিক্ৰী হৈ গ’ল
sold	বিক্ৰী হ’ল
sole	একমাত্ৰ
solid	গোটা
solution	সমাধান
solve	সমাধান
somebody	কোনোবাই
somehow	কেনেবাকে
someone	কোনোবা এজনে
something	কিবা এটা
sometimes	কেতিয়াবা
some	কিছুমান
song	গান
soon	সোনকালে
sophisticated	অত্যাধুনিক
Sorani	সোৰানী
sore throat	ডিঙি বিষ
sore	ঘাঁ
sorrow	বেজাৰ
Sorry	দুঃখিত
sort	সজোৱা
sought	সন্ধানত থকা
soulmate	প্ৰাণপ্ৰিয়
soul	আত্মা
sound	ধ্বনি
soup	ছু’প
source	উত্‍স
sour	টেঙা
south	দক্ষিণ
so	তেন্তে
space	স্থান
spam	স্পাম
Spanish	স্পেনিছ
span	সময়ছোৱা
spare	অতিৰিক্ত
speak	কথা কোৱা
special	বিশেষ
species	প্ৰজাতি
specific	নিৰ্দিষ্ট
spectacular	চকুত লগা
speechless	নিৰ্বাক
speech	বক্তৃতা
speed	বেগ
spell	বানান
spend	খৰচ
spent	খৰচ হৈ গ’ল
spicy	মছলাযুক্ত
spike	কাঁইট
spinach	পালেংশাক
spin	ঘূৰ্ণন
spirit	আত্মা
spit	থু পেলোৱা
splendid	চমৎকাৰ
split	ভগাই দিয়া
spoiled	নষ্ট কৰা
spoil	নষ্ট কৰা
spontaneous	স্বতস্ফূৰ্ত
spoon	চামুচ
spot	স্থান
spouse	পতি বা পত্নী
spread	বিয়পা
spring	বসন্ত
square	বৰ্গ
squeeze	চেপি দিয়া
squid	স্কুইড
squirrel	কেৰ্কেটুৱা
stable	স্থায়ী
stab	ছুৰিৰে কৰা আঘাত
stack	স্তূপ
staff	কৰ্মচাৰী
stage	মঞ্চ
stain	দাগ
stairs	চিৰি
stake	অংশীদাৰী
stalk	ঠাৰি
stall	সৰু দোকান
stamp	মোহৰ
standard	মানদণ্ড
stand	থিয় হোৱা
started	আৰম্ভ কৰিছিল
start	আৰম্ভ কৰক
starving	ভোকত থকা
star	তৰা
statement	বিবৃতি
state	ৰাজ্য
station	ষ্টেছন
statue	মূৰ্তি
status	স্থিতি
stay safe	সুৰক্ষিত হৈ থাকক
stay	থকা
steady	স্থিৰ
steak	টুকুৰা
steal	চুৰি
steam	ভাপ
steel	তীখা
steep	থিয়
stem	কাণ্ড
step	পদক্ষেপ
stick	লাঠী
stiff	টান
still	তথাপি
stingy	কৃপণ
sting	হুল
stir	লৰোৱা
stock	ভঁৰাল
stolen	চুৰি কৰা হৈছে
stomach	পেট
stone	শিল
stood	থিয় হ'ল
stool	মল
stop	ৰ’ব
storage	সংৰক্ষণ
store	দোকান
storm	ধুমুহা
story	কাহিনী
stove	চৌকা
straightforward	পোনপটীয়া
straight	পোন
strain	চাপ
stranger	অচিনাকি
strange	আচৰিত
strategy	কৌশল
strawberry	ষ্ট্ৰ’বেৰী
straw	ষ্ট্ৰ’
streak	ধাৰা
stream	নিজৰা
street	ৰাষ্টা
strength	শক্তি
stress	চাপ
stretch	প্ৰসাৰিত কৰা
strict	কঠোৰ
strike	আঘাত কৰা
string	তাঁৰ
strip	পট্টি
strive	চেষ্টা কৰা
stroke	আঘাত
strong	শক্তিশালী
struck	আঘাত লগা
structure	গাঁঠনি
struggle	সংগ্ৰাম
struggling	সংগ্ৰাম কৰি থকা
stubborn	জেদী
stuck	লাগি ধৰা
student	ছাত্ৰ
studying	অধ্যয়ন কৰি আছে
study	অধ্যয়ন কৰা
stuff	বস্তু
stunning	চকুত লগা
stupid	অঁকৰা
style	শৈলী
subject	বিষয়
submission	দাখিল কৰা
submit	দাখিল কৰক
substance	পদাৰ্থ
substitute	প্ৰতিস্থাপিত
subtle	সূক্ষ্ম
succeed	সফল হোৱা
successful	সফল
success	সফলতা
such as	যেনে
such	তেনে
suck	চুষক
suddenly	হঠাতে
sudden	আকস্মিক
suffering	কষ্ট
suffer	ভোগা
sufficient	পৰ্যাপ্ত
sugar	চেনি
suggestion	পৰামৰ্শ
suggest	পৰামৰ্শ দিয়া
suitable	যোগ্য
suitcase	চুটকেছ
suit	খাপ খোৱা
summary	সাৰাংশ
summer	গ্ৰীষ্ম
summit	সন্মিলন
sum	মুঠ
sunday	দেওবাৰ
sunny	ৰ’দ দিয়া
sunset	সূৰ্যাস্ত
sunshine	ৰ’দ
sun	সূৰ্য
superior	শ্ৰেষ্ঠ
supervisor	পৰ্যবেক্ষক
super	অতি
supper	নৈশ সাজ
supply	যোগান
support	সমৰ্থন
supposed	ধাৰণা কৰা হৈছে
suppose	ধৰা হওক
sure	নিশ্চয়
surface	পৃষ্ঠ
surgery	অস্ত্ৰোপচাৰ
surge	ঢৌ
surname	উপাধি
surprised	আচৰিত হোৱা
surprise	আচৰিত কৰা
surrender	সমৰ্পণ
surrounding	চাৰিওফালে
surveillance	নিৰীক্ষণ
survey	জৰীপ
survive	জীয়াই থকা
suspect	সন্দেহ
suspended	উপঙি থকা
suspicious	সন্দেহজনক
sustainability	স্থিৰতা
sustainable	বহনক্ষম
sustain	বজাই ৰখা
swag	লুট
swallow	গিলা
swap	অদলবদল
swear	শপত
sweater	ছুৱেটাৰ
sweat	ঘাম
sweep	ঝাড়ুৰে সৰা
sweet dreams	ধুনীয়া সপোন দেখা
sweetheart	সোণজনী
sweet tooth	মিঠাৰ প্ৰৱণতা
sweet	মিঠা
swelling	শৰীৰাংশ ফুলা
swell	ফুলি যোৱা
swimming	সাঁতোৰ
swim	সাঁতোৰ
swing	ঝুলা
switch	চুইচ
swollen	শৰীৰাংশ ফুলা
sword	তৰোৱাল
symbol	চিহ্ন
sympathy	সহানুভূতি
symptoms	লক্ষণ
system	পদ্ধতি
table	মেজ
tackle	চম্ভালা
tag	টেগ
tail	নেজ
take away	লৈ যোৱা
take care	যত্ন লওক
taken	লোৱা
take off	উৰিবলৈ আৰম্ভ কৰা
take	লোৱা
talkative	কথকী
talk	কথা পাতক
tall	ওখ
tape	টেপ
tap	টিপক
target	লক্ষ্য
task	কাৰ্য
taste	সোৱাদ
tasty	স্বাদ যুক্ত
taught	শিকাইছিল
teacher	শিক্ষক
teach	শিক্ষণ
team	দল
tears	চকুপানী
tear	চকুপানী
tease	জোকোৱা
tea	চাহ
technology	প্ৰযুক্তি
teeth	দাঁত
tell me	মোক কওক
tell	কওক
temperature	তাপমান
temper	খং
temple	মন্দিৰ
temporary	অস্থায়ী
tenant	ভাড়াতীয়া
tendency	প্ৰৱণতা
tender	নিবিদা
tend	প্ৰৱণতা
tense	কাল
tension	দুঃচিন্তা
tentative	সম্ভাব্য
ten thousand	দহ হাজাৰ
tent	তম্বু
ten	দহ
terms	চৰ্তাৱলী
term	কাল
terrible	ভয়ানক
terrific	সাংঘাতিক
territory	অঞ্চল
test	পৰীক্ষা
text	পাঠ্য
Thanks for using our app	আমাৰ এপসমূহ ব্যৱহাৰ কৰাৰ বাবে ধন্যবাদ
thanks	ধন্যবাদ
Thank you for your patience while we investigate shipment	আমি শ্বিপমেণ্টটোৰ অনুসন্ধান কৰি থকাৰ সময়ত ধৈৰ্য ধৰাৰ বাবে আপোনাক ধন্যবাদ
thank you so much	অশেষ ধন্যবাদ
thank you very much	আপোনাক অশেষ ধন্যবাদ
thank you	ধন্যবাদ
thank	ধন্যবাদ
that is	সেইটো হৈছে
that's good	সেইটো ভাল কথা
that	সেইটো
theft	চুৰি
their	তেওঁলোকৰ
theme	বিষয়বস্তু
themselves	তেওঁলোকে নিজে
them	তেওঁলোকক
then	তেতিয়া
theory	তত্ত্ব
there are	তাত আছে
therefore	সেয়েহে
there is	তাত আছে
there	তাত
these	এইবিলাক
they are	তেওঁলোক হৈছে
they	তেওঁলোক
thick	শকত
thief	চুৰ
thigh	কৰঙন
things	বস্তুবোৰ
thing	বস্তু
think	চিন্তা কৰা
thin	পাতল
third	তৃতীয়
thirsty	পিয়াহ লগা
thirteen	তেৰ
thirty	ত্ৰিশ
this is	এইটো
this	এইটো
thoroughly	ভালদৰে
thorough	পুংখানুপুংখ
those	সেইবিলাক
thoughtful	বিচাৰশীল
thoughts	চিন্তা
thought	ভাবিছিল
though	যদিও
thousand	এশ
thread	সূতা
threaten	ভাবুকি
threat	ভাবুকি
three	তিনি
threshold	দুৱাৰডলি
thrilled	ৰোমাঞ্চিত
thrive	সফল হোৱা
throat	নেলু
throughout	সৰ্বত্ৰ
through	মাজেদি
throw	দলিওৱা
thumb	বুঢ়া আঙুলি
thunder	বজ্ৰপাত
Thursday	বৃহস্পতিবাৰ
thus	গতিকে
tick	টিক্চিহ্ন
tide	চফা
tidy	পৰিপাটি
tie	বন্ধা
tiger	বাঘ
tight	টান
Tigrinya	টিগৰিন্যা
time	সময়
timid	ভয়াতুৰ
tiny	ক্ষুদ্ৰ
tips	কিটিপসমূহ
tip	কিটিপ
tired	ভাগৰুৱা
tire	ক্লান্ত
tissue	টিছ্যু
title	অলপ
toast	ট’ষ্ট
to be	হ’বলৈ
today	আজি
toddler	কেঁচুৱা
toes	ভৰিৰ আঙুলি
together	একেলগে
toilet	শৌচাগাৰ
told	কৈছিল
tolerance	সহনশীলতা
tolerate	সহনশীল
tomato	বিলাহী
tomorrow	কাইলৈ
tongue	জিভা
tonight	আজি নিশা
took	লৈছিল
tools	সঁজুলি
tool	সঁজুলি
tooth	দাঁত
too	লগতে
topic	বিষয়
top	শীৰ্ষ
torn	ফটা
torture	নিৰ্যাতন
total	মুঠ
touch	স্পৰ্শ
tough	কঠিন
tour	যাত্ৰা
towards	এই দিশে
toward	দিশে
towel	টাৱেল
town	চহৰ
toxic	বিষাক্ত
to	লৈ
trace	দাগ
track	ট্ৰেক
trade	বাণিজ্য
traditional	পৰম্পৰাগত
tradition	পৰম্পৰা
traffic	ট্ৰেফিক
trail	গমনপথ
training	প্ৰশিক্ষণ
train	ৰেলগাড়ী
traits	বৈশিষ্ট্যসমূহ
trait	বৈশিষ্ট্য
transfer	স্থানান্তৰ
transition	স্থানান্তৰ
translate	অনুবাদ কৰা
transparent	স্বচ্ছ
transportation	পৰিবহন
transport	পৰিবহন
trap	ফান্দ
trash	আৱৰ্জনা
trauma	ক্ষতি
travel	ভ্ৰমণ
tray	ট্ৰে
treasure	গুপ্তধন
treatment	উপচাৰ
treat	ব্যৱহাৰ কৰা
tree	গছ
tremendous	প্ৰচণ্ড
trend	প্ৰচলিত এক নতুন ধাৰা
trial	পৰীক্ষণ
trick	কৌশল
tried	চেষ্টা কৰা হৈছিল
trigger	ট্ৰিগাৰ
trim	পাতলকৈ কটা
trip	যাত্ৰা
trouble	সমস্যা
trousers	ট্ৰাউজাৰ
truck	ট্ৰাক
true	সঁচা
trunk	মূঢ়া
trust	বিশ্বাস
truth	সত্য
try	চেষ্টা কৰা
Tsonga	সোংগা
tube	টিউৱ
Tuesday	মঙ্গলবাৰ
tuition	টিউশ্যন
turkey	তুৰ্কী
turmeric	হালধি
turn	কেঁকুৰি
turtle	কাছ
tutor	টিউটৰ
twelve	বাৰ
twenty-one	একৈশ
twenty	বিশ
twice	দুবাৰ
twist	পাক
Twi	ট্বী
two	দুই
type	প্ৰকাৰ
typical	সাধাৰণ
ugly	কুত্‍সিত
ultimate	চূড়ান্ত
umbrella	ছাতি
unable	অক্ষম
uncle	খুড়া
uncle	মামা
unconscious	অচেতন
underneath	তলত
underrated	নিম্নদৰ
understand	বুজি পোৱা
understood	বুজি পাইছিল
under	অধীনত
unfortunately	দুৰ্ভাগ্যবশতঃ
uniform	আনুষ্ঠানিক পোছাক
unique	অনন্য
unit	একক
university	বিশ্ববিদ্যালয়
unknown	অজ্ঞাত
unless	নহ’লে
until	যেতিয়ালৈকে
unusual	অসাধাৰণ
update	নবীকৰণ
upgrade	বিকশিত কৰা
upon	ওপৰত
upset	বিমৰ্ষ
up to you	আপোনাৰ ওপৰতে
up	ওপৰত
urban	নগৰ
urgent	অতি জৰুৰী
urge	তাড়না
used	ব্যৱহৃত
useful	উপযোগী
useless	অদৰকাৰী
use	ব্যৱহাৰ
usually	সাধাৰণতে
usual	সচৰাচৰ
us	আমাক
utility	কামৰ বস্তু
vacation	ছুটী
vaccination	টিকাকৰণ
vaccine	ভেকচিন
vacuum	শূন্য স্থান
vague	তৰংগ
valid	মান্য
valley	উপত্যকা
valuable	মূল্যৱান
value	মান
variety	বৈচিত্ৰ্য
various	বিভিন্ন
vary	ভিন্ন
vase	ফুলদানী
vast	বিশাল
vegetables	শাক-পাচলি
vegetable	শাক-পাচলি
vehicle	বাহন
vendor	বিক্ৰেতা
venom	বিষ
venture	উদ্যম
venue	নিৰ্দিষ্ট স্থান
verify	সত্যাপন কৰা
versatile	বহুমুখী
version	সংস্কৰণ
vertical	উলম্ব
very good	বহুত ভাল
very	অতি
vessel	পাত্ৰ
via	যোগেদি
vibes	অনুভূতি
vibe	অনুভূতি
vicious	দুষ্ট
victim	চিকাৰ
video	ভিডিঅ’
view	দৰ্শন
village	গাওঁ
villain	খলনায়ক
vinegar	ভিনেগাৰ
vintage	পুৰণিকালৰ
violence	হিংসা
violent	হিংসাত্মক
viral	বিষাক্ত
virgin	কুমাৰী
virtual	অপাৰ্থিৱ
virtue	গুণ
vision	দৃষ্টি
visit	দৰ্শন কৰা
visual	চাক্ষুষ
vital	গুৰুত্বপূৰ্ণ
vivid	জিলিকি থকা
vocabulary	শব্দভাণ্ডাৰ
voice	কণ্ঠ
void	ৰিক্ত স্থান
volume	পৰিমাণ
volunteer	স্বেচ্ছাসেৱক
vomit	বমি
vulnerable	দুৰ্বল
wages	মজুৰি
wage	দৰমহা
waist	কঁকাল
waiter	ৱেইটাৰ
waiting	অপেক্ষা কৰি আছে
wait	অপেক্ষা কৰক
wake up	সাৰ পোৱা
wake	জাগ্ৰত
walking	খোজ কঢ়া
walk	খোজকঢ়া
wallet	ধনৰ মোনা
wall	দেৱাল
wander	ঘূৰি ফুৰা
wanna	বিচৰা
wanted	বিচাৰিছিল
want	বিচৰা
wardrobe	আলমাৰি
warehouse	গোদাম
warm	উষ্ণ
warning	সতৰ্কবাণী
warn	সতৰ্ক কৰা
warrior	যোদ্ধা
war	যুদ্ধ
wash	ধুৱা
waste	আৱৰ্জনা
was	আছিল
watch	চোৱা
watermelon	তৰমুজ
water	পানী
wave	সোঁত
way	পথ
weakness	দুৰ্বলতা
weak	দুৰ্বল
wealthy	সমৃদ্ধিশালী
wealth	সম্পত্তি
we are	আমি আছো
wearing	পিন্ধি আছে
wear	পিন্ধা
weather	বতৰ
we can	আমি পাৰোঁ
wedding	বিবাহ
Wednesday	বুধবাৰ
weed	ঘাঁহ
weekend	সপ্তাহান্ত
week	সপ্তাহ
weight	ওজন
weird	অদ্ভুত
welcome	স্বাগতম
welfare	কল্যাণ
well done	বঢ়িয়া
Well	বাৰু
went	গৈছিল
west	পশ্চিম
wet	ভিজা
we	আমি
whale	তিমি মাছ
what about you	আপোনাৰ বিষয়ে কি
what are you doing now	আপুনি এতিয়া কি কৰিছে
what are you doing right now	আপুনি এতিয়া কি কৰিছে
what are you doing	আপুনি কি কৰিছে
what do you do for a living	আপোনাৰ জীৱিকা কি
what do you do	আপুনি কি কৰে
what do you mean	আপুনি কি বুজাইছে
what do you want	আপুনি কি বিচাৰে
whatever	যিয়েই নহওক
what happened	কি হ’ল
what is this	এয়া কি
what is your job	আপোনাৰ কামটো কি
what is your name	আপোনাৰ নাম কি
what is	কি
what's up	কি খবৰ
what's your name	আপোনাৰ নাম কি
what	কি
wheat	ঘেঁহু
wheel	চকা
whenever	যেতিয়াই
when	কেতিয়া
where are you from	আপোনাৰ ক’ৰ পৰা আহিছে
where are you now	আপুনি এতিয়া ক’ত আছে
where are you	আপুনি ক’ত আছে
whereas	য’ত নেকি
where do you live	আপুনি ক’ত থাকে
where is	ক’ত আছে
where	ক’ত
which	কোনটো
while	যেতিয়া
whisper	ফুচফুচাই কোৱা
whistle	সুহুৰি
white	বগা
who are you	আপুনি কোন
who is this	এয়া কোন
who is	যিজন হৈছে
whole	গোটা
whom	কাক
whose	কাৰ
who	কোন
why not	কিয় নহয়
why	কিয়
wicked	দুষ্ট
wide	বহল
widow	বিধৱা
width	প্ৰস্থ
wife	পত্নী
wild	বনৰীয়া
willing	ইচ্ছা প্ৰকাশ কৰা
window	খিৰিকী
windy	বতাহ থকা
wind	বায়ু
wine	সুৰা
winter	শীতকাল
win	জয়
wipe	মচা
wire	তাঁৰ
wisdom	জ্ঞান
wise	জ্ঞানী
wish you all the best	আপোনাক শুভকামনা জনাইছো
wish	বাঞ্চা কৰা
witch	ডাইনী
withdrawal	প্ৰত্যাহাৰ
withdraw	উলিয়াই অনা
within	ভিতৰত
without	অবিহনে
with	সৈতে
witness	সাক্ষী
witty	বিনোদ
wolf	কুকুৰনেছীয়া
woman	মহিলা
women	মহিলা
wonderful	বঢ়িয়া
wonder	আশ্চৰ্য
won't	নকৰিব
won	জিকিছিল
wood	কাঠ
wool	ঊল
words	শব্দ
word	শব্দ
working	কাম কৰি থকা
work out	ব্যায়াম কৰা
work	কাম
world	বিশ্ব
worm	পোক
worn	উঁৱলি যোৱা
worried	উদ্বিগ্ন
worry	চিন্তা কৰা
worse	ইয়াতকৈও বেয়া
worship	উপাসনা
worst	আটাইতকৈ বেয়া
worth it	মূল্যৰ
worthy	যোগ্য
worth	মূল্য
wound	ঘাঁ
Wow	ৱাঃ
wrap	মেৰিওৱা
wrath	প্ৰচণ্ড খং
wrist	মণিবন্ধ
Write here	ইয়াত লিখক
write	লিখা
writing	লিখনি
written	লিখা হৈছে
wrong	অশুদ্ধ
wrote	লিখিছিল
yard	গজ
yawn	হামিওৱা
Yeah	হয়
years	বছৰবোৰ
year	বছৰ
yeast	কিণ্ব
yellow	হালধীয়া
yell	চিঞৰা
yes baby	হয় প্ৰিয়তমা
yes dear	হয় প্ৰিয়তম
yes honey	হয় প্ৰিয়ে
yes my love	হয় মোৰ প্ৰিয়তম
yes of course	হয় নিশ্চয়
yesterday	কালি
Yes	হয়
yet	এতিয়ালৈকে
yield	উত্‍পাদন কৰা
you are beautiful	আপুনি ধুনীয়া
you are so beautiful	আপুনি ইমান ধুনীয়া
you are welcome	আপোনাক স্বাগতম
you are	আপুনি হৈছে
you can	আপুনি কৰিব পাৰে
You know	আপুনি জানে
young	যুৱ
you're welcome	আপোনাক স্বাগতম
you’re welcome	আপোনাক স্বাগতম
yourself	আপুনি নিজেই
your welcome	আপোনাক স্বাগতম
your	আপোনাৰ
youth	যুৱকাল
you too	আপুনিও
you	আপুনি
yummy	সুস্বাদু
zero	শূন্য
