a little	azçıq
a lot	çoq
a lot of	çoq
abandon	taşlap ketmek
abandoned	taşlanılğan
abide	riayet etmek
ability	qabiliyet
able	çaresi olğan
about	aqqında
above	töpesinde
abroad	çetelde
absence	yoqluq
absent	yoq olğan
absolutely	tamamınen
absorb	emmek
abstract	mücerret
absurd	absurd
abundance	bol-bereket
abundant	bol
abuse	suistimal
accent	aytılış
accept	mümkün saymaq
access	irişim
accident	qaza
accommodation	yerleşüv
accomplish	becermek
accomplished	bitirilgen
according	köre
account	esap
accuracy	doğrulıq
accurate	nizamlı
accused	qabaatlanğan
ache	acı
achieve	irişmek
achievement	irişüv
acknowledge	minnetdar olmaq
acquaintance	tanışuv
acquire	saip olmaq
acquired	alınğan
acquisition	aluv
across	arasından
act	davranmaq
action	areket
active	faal
activities	faaliyet
activity	faaliyet
actor	aktör
actual	kerçek
actually	aslında
acute	şiddetli
adapt	alışmaq
add	qoşmaq
addicted	tabi olğan
addition	qoşma
additional	qoşma
address	adres
address	muracaat etmek
adequate	aqlı-fikri yerinde
adjacent	qoşulğan
adjective	sıfat
adjust	ayarlamaq
admire	ayran qalmaq
admit	itiraf etmek
adopt	evlâtlıqqa almaq
adorable	ayranlıq doğurğan
advance	ilerletmek
advanced	ileri
advantage	meziyet
adventure	macera
adverb	zarf
advertisement	reklama
advertising	reklama
advice	tevsiye
advise	ögüt
advocate	abulqat
aesthetic	estetik
affair	alâqa
affect	tesir etmek
affection	bağlılıq
afford	yapıp olmaq
affordable	uyğun fiyatlı
afraid	qorqa
after	soñ
afternoon	kündüz
afterwards	soñunda
again	bir kere daa
against	qarşı
age	asır
age	yaş
agency	agentlik
agent	agent
aggressive	basqıncı
agile	atik
ago	evelsi
agree	razı olmaq
agreement	muqavele
agriculture	köy hocalığı
ahead	ileride
aid	imdat
aim	niyet
air	ava
airport	ava limanı
aisle	ayat
alarm	telâş
alcohol	içki
alert	telüke işareti
alive	canlı
all	episi
all right	er şey yahşı
all the best	oğurlar olsun
allow	yol bermek
allowed	ruhset etilgen
almost	deyerlik
alone	yañğız
along	boyu
already	endi
Alright	Aydı
also	em de
alternative	başqa çare
although	buña baqmadan
always	er vaqıt
amazing	acayip
ambiguous	tam degil
ambition	hırs
ambitious	iqbalperest
amend	deñiştirmek
amid	ortasında
among	aralarında
among us	aramızda
amount	para miqdarı
amusing	eglenceli
analysis	talil
ancestors	atalar
anchor	lenger
ancient	qadimiy
and	ve
and you	sen de
angel	melek
anger	ğazap
angle	köşe
angry	açuvlı
animal	ayvan
ankle	tobuq
anniversary	yıldönüm
announcement	ilân
annoy	raatsız etmek
annoyed	ökünçli
annoying	qozğayıcı
annual	er yıl
anonymous	belli olmağan
another	diger
answer	cevap
anticipate	farz etmek
anxiety	telâş
anxious	telâşlı
any	er angi bir
anymore	artıq
anyone	er kim
anything	er angi bir şey
anyway	er alda
anyways	ne de olsa
apart	ayrı olaraq
apartment	daire
apologize	afu soramaq
apparent	aşkâr
apparently	añlaşılğanına köre
appeal	itiraz
appear	peyda olmaq
appearance	körüniş
appearance	peyda oluv
appeared	peyda oldı
appetite	madde
apple	alma
application	ilâve
apply	qullanmaq
apply	muracaat etmek
appointment	körüşüv
appreciate	qadirine yetmek
appreciation	minnetdarlıq
approach	yanaşuv
appropriate	mütenasip
approval	tasdıqlav
approve	taqdirlemek
approved	taqdirlengen
approximately	tahminen
april	çiçek ayı
arbitrary	indiy
architect	mimar
architecture	mimariy
archive	arhiv
are you	sen
are you busy	meşğulsiñmi
are you married	siz evlisiñizmi
are you married or single	ya da bekârsıñmı
are you married or single	evlisiñmi
Are you still there?	Sen alâ daa andasıñmı?
are you there	andasıñmı
area	saa
argue	tartışmaq
argument	tartışma
arise	kevdelenmek
arm	qol
army	ordu
around	etrafında
arrange	kelişmek
arrangement	añlaşma
arrival	kelip çıqma
arrive	kelip çıqmaq
arrived	kelip çıqqan
arrogant	kibbar
arrow	oq
art	sanat
article	maqale
artificial	suniy
artist	ressam
as	olaraq
as long as	vaqtında
as well	ayrıca
as well as	olğanı kibi
ash	kül
ashamed	utandırılğan
ask	soramaq
asked	soradı
asleep	uyuğan
aspect	ceet
Assamese	Assam tili
assault	ücüm
assembly	meclis
assertive	iddialı
assess	qıymet kesmek
assessment	muakeme
asset	variyet
assets	aktivler
assign	qoymaq
assignment	tayinleme
assist	yardımcı olmaq
assistant	yardımcı
associate	bağlamaq
associated	bağlı
association	dernek
assume	bellemek
assumption	zan
at least	eñ azdan
ate	aşadı
athlete	sportçı
attach	qoşmaq
attached	bağlı
attachment	bağlılıq
attack	ücüm
attempt	ıntıluv
attend	qatnamaq
attendance	qatnav
attention	diqqat
attitude	munasebet
attract	celp etmek
attraction	cazibelik
attractive	celp etici
attribute	atribut
audience	diñleyiciler
august	arman ayı
aunt	ala
aunty	tize
authentic	çıntı
author	müellif
authority	nufuz
autumn	küz
available	irişimi olğan
average	ortalandırma
avoid	qaçınmaq
awake	uyanğan
award	mukâfat
aware	farqında olmaq
awareness	haberdarlıq
away	uzaqqa
awesome	zevqlı
awful	deşetli
awkward	beceriksiz
Aymara	Aymara tili
baby	sabiy
bachelor	bekâr
back	keri
background	fon
bad	yaramay
bag	çanta
bait	yem
bake	fırında pişirmek
bakery	fırın
baking soda	çay sodası
balance	teraze kelüv
ball	top
Bambara	Bambara tili
banana	muz
band	çalğıcılar taqımı
band	şerit
bang	patlama
bank	bank
bar	bar
barely	zornen
bargain	bazarlıq
bark	terek qabuğı
barley	arpa
barrier	mania
base	temel
based	esaslanğan
basement	mağaz
basic	temel
basically	esasında
basil	fesilgen
bastard	aramzade
batch	sürü
bath	ammam
bathroom	vannahane
battery	batareya
battle	uruş
bay	körfez
be	cari olmaq
be careful	muqayt ol
beach	yalı
beam	nur
beans	baqlalar
bear	ayuv
beard	saqal
bearing	tireme
beast	canavar
beat	köteklemek
beautiful	dülber
beauty	dülberlik
became	oldı
because	çünki
become	olmaq
bed	yataq
bedroom	yataq odası
bee	balqurt
beef	tuvar eti
been	olğandır
beer	bira
before	evel
began	başladı
begin	başlamaq
beginning	başlanmaqta
behalf	adına
behave	davranmaq
behavior	areket tarzı
behaviour	areket tarzı
behind	artında
being	bar olmaq
belief	işanç
believe	inanmaq
belly	qursaq
belong	ait olmaq
beloved	sevimli
below	aşağıda
belt	quşaq
bench	skemle
bend	mayışıq
beneath	tübünde
benefit	fayda
benefits	faydalar
beside	yanında
besides	ğayrı
best	eñ güzel
best of luck	işiñiz oñ kelsin
best regards	sayğı ile
better	daa yahşı
between	arasında
beverage	içimlik
beyond	tışında
Bhojpuri	Bhocpuri tili
bias	peşin fikir
biased	peşin fikirli
bicycle	ayaqmaşna
bid	teklif
big	balaban
bike	ayaqmaşna
bill	esap kâğıtı
bind	bağlamaq
bird	quş
birthday	doğğan kün
bit	parça
bite	tişlemek
bitter	accı
black	qara
blade	pıçaq ağzı
blame	qabaatlav
blank	boş
blanket	örtü
blast	patlav
bleach	beyazlatıcı
blend	qarıştırmaq
bless	şükür etmek
blessed	mubarek
blind	kör
bliss	tav
block	blok
blood	qan
bloom	çiçek açmaq
blow	darbe
blow	üfürmek
blue	mavı
blunt	toqal
board	şura
board	tahta
boat	qayıq
body	beden
boil	qaynatmaq
bold	cesür
bold	qalın
bond	bağ
bone	kemik
book	kitap
boost	tezleştirmek
booster	quvetleştirici
boot	pötük
boots	pötükler
border	sıñır
bore	can sıqısı
bored	canı sıqılğan
boring	can sıqıcı
born	doğğan
borrow	borcğa almaq
boss	reber
both	ekisi de
bother	keder etmek
bottle	şişe
bottom	alt
bought	satın alınğan
bought	satın aldı
bounce	sıçramaq
bound	bağlı
boundaries	sıñırlar
bow	temenna
bow	yay
bowl	çanaq
box	qutu
boy	oğlan
boyfriend	erkek arqadaş
bracelet	bilezlik
brain	miy
branch	şübe
brand	marka
brave	cesaretli
breach	bozma
bread	ötmek
bread	rızq
break	teneffüs
breakfast	sabalıq
breast	kökrek
breath	nefes
breathe	nefes almaq
breed	asramaq
brick	tola
bride	kelin
bridge	köpür
brief	kestirme
bright	parlaq
brilliant	parlaq
bring	ketirmek
bro	qardaşım
broad	keniş
broadcast	yayın
broke	sındırdı
broken	sınıq
broom	sipirki
brother	ağa
brother in law	qayın
brought	ketirdi
brown	qaverenki
brush	fırçı
bucket	qopqa
buddy	arqadaş
budget	bücet
bug	böcek
build	qurmaq
building	yapı
built	qurulğan
bulk	rıqma-rıq
bull	ögüz
bully	yaramaz
bump	şişik
bunch	oba
bundle	demet
burden	yük
buried	kömülgen
burn	yanmaq
burst	patlamaq
bury	kömmek
bus	avtobus
bush	çalı
business	ticariy faaliyet
bust	büst
busy	meşğul
but	amma
butter	yağ
butterfly	köbelek
button	dögme
buy	satın almaq
by	tarafından
by the way	söz kelimi
bye	körüşkence
cabbage	qapısta
cabinet	dolap
cage	qafes
cake	tort
calf	buzav
call	çağıruv
call	çağırmaq
call	adlandırmaq
call me	maña telefon aç
called	adlandırılğan
calm	tınç
came	keldi
campaign	sefer
can	imkâniyeti bar
can't	olmayım
Cancel	Lâğu
cancer	rak hastalığı
capable	qabiliyetli
capacity	acim
capital	paytaht
caption	serleva
capture	yaqalamaq
car	araba
career	karyera
careful	muqayt
carefully	diqqatnen
careless	ğamsız
caring	qayğırğan
carpenter	dülger
carpet	halı
carrot	havuç
carry	taşımaq
carry on	devam etmek
carry out	becermek
case	adise
cash	peşin para
cast	tökmek
castle	kermen
casual	kündelik
cat	mışıq
catch	yaqalamaq
category	zümre
cattle	tuvar
caught	tutuldı
caught	tutulğan
cause	manaçıq
caution	muqaytlıq
cautious	muqayt
cave	qoba
cease	toqtatmaq
ceiling	tavan
celebrate	bayram etmek
cell	üceyre
center	merkez
century	asır
cereal	aşlıq
ceremony	merasim
certain	belli bir
certainly	elbet
certificate	sertifikat
chain	zıncır
chair	oturğıç
challenge	sınav
chance	fırsat
change	qaytım
change	deñişme
chaos	qarışıqlıq
character	mizac
characteristics	hususiyetler
charge	masraflar
charity	hayriyet
charming	cilveli
chart	diagramma
chase	quvalamaq
chat	tasırdamaq
cheap	ucuz
cheat	hiyanetlik etmek
cheating	dolandırma
check	teşkermek
check	çek
cheek	yanaq
cheer	ruhlandırmaq
cheerful	neşeli
cheers	alğış
cheese	penir
chemistry	himiya
cherish	beslemek
chess	santıraç
chest	köküs
chew	çaynamaq
chicken	çipçe
chicken	tavuq
chief	baş
child	bala
childhood	balalıq
children	balalar
chill	pek suvuq
chimneys	baclar
chin	saqal tübü
chocolate	şokolad
choice	seçim
choose	saylamaq
chop	doğramaq
chores	ev işleri
chubby	tomalaq
church	kilse
cinnamon	tarçın
circle	daire
circumstances	şartlar
citizen	vatandaş
city	şeer
claim	iddia etmek
clarify	aydınlatmaq
class	sınıf
clay	balçıq
clean	temiz
clear	şeffaf
clerk	kâtip
clever	azırcevap
client	müşteri
cliff	sırım
climate	iklim
climb	tırmaşmaq
clingy	yapışqan
clock	saat
close	yaqın
close	qapatmaq
closet	kiler
cloth	basma
clothes	urba
cloud	bulut
cloudy	bulutlı
clown	kloun
clue	anahtar
clumsy	beceriksiz
cluster	uyur
coach	idmancı
coal	kömür
coast	sail
coat	palto
coffee	qave
cognitive	fikriy
coincidence	tesaduf
cold	suvuq
collapse	çökmek
collar	yaqa
colleague	meslekdeş
colleagues	zenaatdaşlar
collect	toplamaq
collection	toplam
college	köllec
color	renk
colorless green ideas slept furiously	renksiz yeşil fikirler hışımnen yuqlaylar
colour	renk
column	sutun
comb	taraq
combination	uyma
combine	birleştirmek
come	kelmek
come here	mında kel
come on	qana
comfort	raatlıq
comfortable	raat
coming	kelmekte
coming soon	yaqın arada olacaq
command	emir
comment	tevsir
commercial	ticariy
commission	eyyet
commit	eylemek
commitment	teslim etüv
committed	mefküreviy
commodity	mal
common	müşterek
communicate	subetleşmek
communication	alâqa
community	cemiyet
commute	barıp kelmek
companion	şerik
company	şirket
compare	qıyaslamaq
comparison	teñeştirme
compassion	meramet
compassionate	raim
compatible	uyuğan
compete	reqabet etmek
competent	ihtisaslı
competition	musabaqa
competitive	reqabetli
complain	şikâyet etmek
complaint	şikâyet
complement	tamamlayıcı
complete	bitirilgen
completely	tamamınen
complex	quralğan
compliance	uyğunlıq
complicated	müşkül
compliment	kompliment
comply	uymaq
composition	tiziliş
compound	quralma
comprehension	añlama
comprehensive	ertaraflama
compromise	razılaşma
compulsory	vacip
computer	bilgisayar
concentrate	qoyurmaq
concept	kontseptsiya
concern	raatsızlıq
concerned	ğamlı
concert	kontsert
conclusion	hulâsa
concrete	beton
condition	şart
conditions	şartlar
conduct	idare etmek
conference	konferentsiya
confess	tövbe etmek
confidence	eminlik
confident	qani
confirm	tasdıqlamaq
conflict	çatışuv
confused	şaşmalağan
confusion	qarışıqlıq
congrats	hayırlavlar
congratulation	hayırlav
congratulations	tebrikler
conjunction	bağlayıcı
connect	bağlamaq
conquer	basıp almaq
conscious	aqıl-ferasetli
consciousness	es
consent	razılıq
consequences	aqibetler
conservation	saqlama
conservative	konservativ
consider	diqqatqa almaq
considered	diqqatqa alınğan
consist	ibaret olmaq
consistency	izçenlik
consistent	izçen
constant	deñişmegen
constantly	mütemadiyen
constipation	qabız
construction	qurucılıq
consume	istimal etmek
consumption	istimal
contact	bağ
contagious	yuqunçlı
contain	içermek
contains	içinde bulunmaq
contemporary	çağdaş
contempt	hor baqmaq
content	münderice
contest	yarışma
context	kontekst
continent	qıta
continue	devam etmek
contract	muqavele
contrast	kontrast
contribute	isse qoşmaq
contribution	isse
control	teftiş
controversial	davalı
convenience	oñaytlılıq
convenient	oñaytlı
conversation	subet
convert	çevirmek
convey	alıp bermek
convince	qandırmaq
convinced	qatiy işanğan
cook	aş pişirmek
cooking	aş pişirüv
cool	salqın
cooperation	iş birligi
cope	baş etmek
copper	baqır
core	özek
corn	mısırboğday
corner	köşe
correct	doğru
cost	maliyet
costume	taqım urba
cottage	köttec
cotton	pamuq
couch	set
cough	öksürik
could	ola bilmek
council	şura
count	saymaq
counter	sayıcı
country	memleket
countryside	köy yeri
couple	çift
courage	cesaret
course	kurs
course	yöneliş
court	makeme
courtesy	nezaket
cousin	eki doğmuş
cover	qapaq
cow	sığır
coward	qorqaq
cozy	qıntavlı
crab	yengeç
crack	sındırmaq
craft	üner
crap	boq
crash	qaza
craving	meram
crawl	süyreklenmek
crazy	divane
create	yaratmaq
creative	yaratıcı
credit	ödünç
creep	çıqçıq balaban
creepy	deşet
crew	erkân
crime	cinayet
Crimean Tatar	Qırımtatar
cringe	boynunı qısmaq
crisis	buhran
criteria	kriteriy
critical	al etici
criticism	tenqit
crop	pıtamaq
crops	mahsulatlar
cross	haç
crow	qarğa
crowd	qalabalıq
crowded	qalabalıq
crown	tac
crucial	pek müim
cruel	zalım
cruise	seyir
crush	ezmek
cry	ağlamaq
cucumber	hıyar
cuddle	sarılmaq
culture	medeniyet
cunning	qurnaz
cup	filcan
cupboard	savut dolabı
curb	yügen
cure	deva
curfew	yolğa çıqmaq yasağı
curiosity	meraq
curious	er şeynen meraqlanğan
curly	quvurçıq
currency	para birimi
current	ağımdaki
currently	al-azırda
curse	lânet
curtain	perde
cushion	yastıq
custom	adet
custom	gümrükhane
customer	müşteri
customs	gümrükhane
cut	kesmek
cute	mulâyim
cycle	devre
cycling	ayaqmaşnada yürüv
dad	baba
daddy	babaçığım
daily	kündelik
dairy	süt mahsulatları
dam	bent
damage	buzmaq
damn	lânet
damp	dım
dance	oyun
danger	telüke
dangerous	telükeli
dark	qaranlıq
darling	sevgili
dash	tire
data	beri
date	vasıl
daughter	qız bala
day	kün
dead	ölü
deadline	soñ tarih
deaf	sağır
deal	muamele
dear	aziz
Dear All	Aziz er kes
Dear Customer	Ürmetli müşteri
Dear Parents	Sevimli ana-babalar
Dear Sir	Sevimli efendi
Dear students	Sevimli talebeler
Dear Team	Sevimli taqımım
death	ölüm
debate	munaqaşa
debit	borc
debris	virane
debt	borc
decade	on yıllıq
decay	çürümek
deceased	ölü
deceive	aldatmaq
december	ilk qış ayı
decent	edepli
decide	qarar etmek
decided	qarar etti
decision	qarar
deck	kögerte
decline	çöküş
decrease	eksiltmek
dedicated	qatiy işanğan
dedication	sadıqlıq
deed	areket
deep	teren
deer	sığın
default	ögünden köz ögüne alınğan
defeat	mağlübiyet
defend	qorçalamaq
define	qararlamaq
definitely	eminliknen
definition	tarif
degree	derece
delay	keçiktirmek
delayed	avuştırılğan
delete	silmek
deliberate	aselet
delicate	narin
delicious	lezzetli
delight	zevq
delighted	ayran
deliver	ketirmek
delivered	teslim etilgen
delivery	teslim
demand	talap etmek
demanding	talap etici
democracy	demokratiya
demon	iblis
demonstrate	körsetmek
denied	red etilgen
density	sıqlıq
dentist	tiş ekimi
deny	red etmek
department	bölük
departure	yolğa çıqış
depend	tabi olğan
deploy	açmaq
deposit	pey
depressed	melül
depression	ruhtan tüşme
depth	terenlik
describe	tasvir etmek
description	tarif
desert	sahra
deserve	aq qazanmaq
design	leyha
designation	tayin etüv
desire	emel
desk	iş masası
despair	ümütsizlik
desperate	çaresiz
despite	baqmadan
dessert	şekerleme
destination	maqsat etip qoyulğan yer
destiny	taqdir
destroy	yoq etmek
destruction	dağıluv
detail	parçalar
details	tafsilâtlar
detect	keşif etmek
determination	azimkârlıq
determine	belgilemek
determined	belgilengen
devastated	viran etilgen
develop	inkişaf ettirmek
developed	inkişaflı
development	inkişaf
device	cihaz
devil	şeytan
devoted	sadıq
Dhivehi	Divehi tili
diabetes	şeker hastalığı
diarrhea	isal
diary	kündelik
dictionary	luğat
did	yaptı
die	ölmek
died	öldi
diet	diyeta
difference	farq
different	çeşit türlü
difficult	qıyın
dig	qazmaq
dignity	qıymet
diligent	çalışqan
dinner	aqşamlıq
dip	batırmaq
direct	doğru
direction	yöneliş
director	müdir
dirt	kir
dirty	kirli
disable	qullanımdan kesmek
disabled	saqat
disappear	yoq olmaq
disappointed	qasevetlengen
disaster	felâket
discard	çöplükke atmaq
discharge	boşama
discipline	nizam
discount	endirim
discover	keşif etmek
discrimination	ayrımcılıq
discuss	muzakere etmek
discussion	muzakere
disease	hastalıq
diseases	hastalıqlar
disguise	maskalamaq
disgusting	igrenç
dish	tabaq
dishes	tepisler
dismiss	qabul etmemek
dispatch	yollamaq
display	tasvirleme
disposal	hazıf
dispute	munaqaşa
distance	mesafe
distinct	mühtelif
distinguish	ayırdı etmek
distress	elem
distribution	tevzi
district	maalle
disturb	raatsızlamaq
ditch	or
dive	dalmaq
diverse	çeşit-çeşit
diversity	çeşitlik
divide	bölmek
divine	ilâyi
divorce	ayırılışma
dizzy	baş aylandırıcı
do	yapmaq
do you	sen
do you love me	sen meni sevesiñmi
doctor	ekim
document	vesiqa
does	yapa
doesn't	degil
dog	köpek
Dogri	Dogri tili
doing	yapqan
doll	qoqla
domain	domen
domestic	içki
dominant	basqın
don't	yapma
Don't worry	Raatsızlanma
donate	bağışlamaq
done	bitti
donkey	eşek
dope	uyuştırıcı
double	çift
doubt	şübelenmek
dough	hamır
down	aşağı
download	yüklemek
draft	qaralama
drag	sürüklemek
drain	boşatmaq
drama	drama
draw	celp etmek
draw	çızmaq
drawer	çekmece
drawing	resim
dread	qorqulıq
dream	arzu
dress	anter
drill	burğu
drink	içimlik
drive	araba aydamaq
drop	tamçı
drop	tüşürmek
dropped	yıqıldı
drought	qurğaqlıq
drunk	sarhoş
dry	quru
duck	papiy
dude	aşna
due	sebebinden
due to	sebepten
dull	solğun
dumb	budala
dump	çöplük
duration	devamlılıq
during	devamında
dust	toz
duty	nevbetçilik
dwell	oturmaq
dying	mına-mına ölecek
each	er bir
each other	bir-birini
eager	istekli
eagle	qartal
ear	qulaq
earlier	bundan evel
early	erte
earn	qazanmaq
ears	qulaqlar
earth	yer kürresi
earthquake	zelzele
ease	qolaylıq
easily	yengilce
east	şarq
easy	qolay
eat	aşamaq
eating	aşağan
economic	iqtisadiyat
economy	iqtisat
edge	kenar
edit	tarir etmek
education	tasil
effect	semere
effective	semereli
efficiency	semerelilik
efficient	semereli
effort	ğayret
egg	yımırta
eggplant	morpatilcan
ego	nefishorlıq
eight	sekiz
eighteen	on sekiz
eighty	seksen
either	veyahut
elaborate	işletmek
elbow	tirsek
elder	yaşı büyük
elderly	esli-başlı
elegant	zarif
element	unsur
elephant	fil
eleven	on bir
eligible	aqqı olğan
eliminate	elemek
else	daa da
embarrassed	utanğan
embarrassing	utandırıcı
embrace	quçaq
emerge	ortağa çıqmaq
emergency	fevqulade vaziyet
emotional	duyğulı
empathy	qayğıdaşlıq
emphasis	urğu
emphasize	tübüni çızmaq
employee	hadim
employees	hadim
employer	iş bergen
employment	iş
empty	boş
enable	imkân bermek
encounter	çatışmaq
encourage	rağbetlendirmek
end	soñ
endangered	nesili yoq olacaq
endeavor	ıntılma
endurance	dayanuv
endure	çıdamaq
enemy	duşman
energy	energiya
engage	eglendirmek
engaged	nişanlanğan
engagement	nişan
engine	köçürici
engineer	müendis
English	İngliz
enhance	quvetlendirmek
enjoy	keyflenmek
enormous	muazzam
enough	yeter
ensure	kefil olmaq
enter	kirmek
entertainment	temaşa
enthusiasm	coşqunlıq
enthusiastic	avesli
entire	bütünley
entitled	başlıqlı
entity	barlıq
entrance	kiriş
entrepreneur	iş adamı
envelope	zarf
environment	çevre
envy	pahıllıq
epic	destan kibi
epidemic	salğın
equal	musaviy
equipment	donatma
equity	adalet
equivalent	musaviy
eraser	silgiç
error	hata
escape	qaçuv
especially	hususan
essay	inşa
essence	maiyet
essential	temel
establish	tesis etmek
established	teşkil etilgen
estate	mülk
estimate	esaplamaq
estimated	tahminiy
etc	ilâhre
eternal	ebediy
ethics	ahlâqiyat
evaluate	qıymet kesmek
evaluation	qıymet kesüv
even	atta
even though	olsa da
evening	aqşam
event	tedbir
eventually	niayet
ever	iç
every	er
everybody	er kes
everyone	er kes
everything	er şey
evidence	isbat
evil	yaman
evolution	evrim
evolve	inkişaf etmek
Ewe	Eve tili
ex	sabıq
exact	tam
exactly	aynen
exam	imtian
examine	tedqiq etmek
example	misal
exceed	aşmaq
excellent	alâ
except	istisna
exception	istisna
excess	artqaç
excessive	artqan
exchange	deñişüv
excited	eyecanlı
excitement	eyecan
exciting	ayrette qaldırıcı
exclusive	alâ dereceli
excuse	aqlama
excuse me	bağışla meni
execute	icra etmek
execution	eda
executive	icra
exercise	yerine ketirüv
exercise	meşğuliyet
exhaust	qıynamaq
exhausted	qıynalğan
exhibit	sergilengen şey
exhibition	sergi
exist	mevcut olmaq
existence	bar olğanı
existing	bar olğan
exit	çıqış
expand	cayratmaq
expect	işanmaq
expected	beklenilgen
expenses	masraflar
expensive	paalı
experience	tecribe
experiment	deñev
expert	mütehassıs
expired	vaqıtı keçti
explain	añlatmaq
explanation	izaat
exploit	işletmek
explore	araştırmaq
export	ihrac
expose	meydanğa çıqarmaq
exposed	maruz qalğan
exposure	maruz qalmaq
express	ifade etmek
expression	ifade etüv
extend	kenişletmek
extended	kenişletilgen
extension	uzatma
extent	mertebe
external	tış
extinct	sönük
extra	qoşma
extract	çıqarmaq
extraordinary	fevqulade
extreme	aşırı
extremely	pek
eye	köz
eyes	közler
fabric	toquma
fabulous	saltanatlı
face	bet
facilitate	qolaylaştırmaq
facilities	donatmalar
facility	qurulış
fact	kerçek
factor	faktor
factory	fabrika
facts	aqiqatlar
fade	solmaq
fail	nasipsizlik
failed	hayırsız
failure	red
faint	bayılmaq
fair	adaletli
fair	sergi
fairly	bayağı
fairy	peri
faith	iman
faithful	sadıq
fake	sahte
fall	yıqılmaq
fall	küz
false	sahte
fame	nam
familiar	tanış
family	qoranta
famine	açlıq
famous	meşur
fan	yelpaze
fan	mühlis
fancy	nazik
fantastic	fantastik
far	bayağı
far	uzaq
farewell	sağlıqlaşuv
farm	ferma
farmer	fermacı
fascinating	tılsımlı
fashion	moda
fast	tez
fat	semiz
fatal	qaçınılmaz
fate	qader
father	baba
fatigue	yorğunlıq
fault	yañlışlıq
favorite	sevimli
favour	eyilik
favourite	sevimli
fear	qorqu
fear	qorqmaq
feast	ziyafet
feather	tük
feature	hususiyet
features	vazifeler
february	kiçik ay
fed up	bıqqan
fee	ücret
