a little	azçıq
feed	aşatmaq
feedback	qarşılıq
feel	is etmek
feeling	duyğu
feet	ayaqlar
fell	yıqıldı
fellow	aqran
felt	kiyiz
female	apay kişi
fence	qora
fertile	mahsuldarlıq
festival	festival
fetch	çekmek
fever	umma
few	biraz
fewer	daa az
fiance	nişanlı
fiction	uydurma
field	saa
field	tarla
fierce	yavuz
fifteen	on beş
fifty	elli
fight	kötekleşmek
fighting	kötek
figure	raqam
figure out	soraştırıp bilmek
file	fayl
fill	toldurmaq
filled	tolğan
film	film
filthy	pis
finally	ahırı
finance	maliye
financial	maliyeviy
find	tapmaq
find out	soraştırıp bilmek
fine	eyi
finger	parmaq
finish	bitirmek
finished	bitken
fire	yanğın
fire	ateş
firm	şirket
first	birinci
first name	ad
fish	balıq
fit	uymaq
five	beş
fix	tüzetmek
fixed	sabit
flag	bayraq
flash	parıltı
flat	daire
flat	yalpaq
flaw	eksiklik
flawless	qusursız
flee	qaçmaq
flesh	et
flew	üçti
flex	bükmek
flexible	mayışqaq
flight	uçuş
flip	taqlaq
flirt	cilvelenmek
flirting	cilvelene
float	yaldavuq
flood	sel
floor	taban
floor	qat
flour	un
flow	aqım
flower	çiçek
flu	gripp
fluent	suv-tilmaç
fluently	çabik
fluffy	yımşaq
fluid	şingenlik
fly	uçmaq
focus	bir yerge toplanmaq
fog	tuman
foggy	tumanlı
fold	qatlamaq
folks	halq
follow	izlemek
follow up	taqip yet
following	kelecek
food	aş
fool	deli
foolish	ahmaq
foot	ayaq
football	futbol
for	içün
For example	Misal olaraq
for instance	misal olaraq
for you	seniñ içün
forbidden	yasaqlı
force	küç
forecast	tahmin
forehead	mañlay
foreign	çetel
forest	orman
forever	ebediyen
forget	unutmaq
forgive	afu etmek
forgot	unuttı
fork	sançqı
form	şekil
formal	resmiy
former	sabıq
fortunately	bahtıma
fortune	servet
forty	qırq
forty-two	qırq eki
forward	ögge
foster	yetiştirmek
fought	tartıştı
found	tapılğan
foundation	temel
four	dört
fourteen	on dört
fox	tilki
fragile	narin
frame	çerçive
framework	çerçive
fraud	aynecilik
freak	hucur
free	serbest
free	bedava
freedom	serbestlik
freeze	buzlamaq
frequency	sıqlıq
frequent	sıq
frequently	sıq-sıq
fresh	taze
friday	cuma
fridge	buzlatıcı
friend	dost
friendly	dostane
friends	dostlar
friendship	dostluq
frightened	qorqutılğan
frightening	qorqutıcı
frog	baqa
from	itibaren
front	ögdeki
frozen	buzlatılğan
fruit	meyva
frustrated	siñirli
fuel	yaqarlıq
Fulfulde	Fulfulde tili
full	tolu
fun	eglence
function	işlev
fundamental	temel qoyğan
funeral	cenaze
funny	külünçli
fur	kürk
furious	ğadaplı
furniture	mefruşat
further	daa soñra
furthermore	bir de
future	kelecek
gain	qazanç
game	oyun
gap	boşluq
garage	garaj
garbage	çöp
garden	bağça
garlic	sarımsaq
gate	araba qapı
gather	cıymaq
gathering	toplaşma
gauge	ölçü
gave	berdi
gear	tertibat
gender	cınıs
general	umumiy
generally	umumen
generate	yaratmaq
generation	nesil
generous	cümert
genius	daiy
genre	tür
gentle	nazlı
genuine	asıl
gesture	işmar
get	elge keçirmek
get dressed	kiyinmek
get up	turmaq
get well soon	Allah şifa bersin
getting	olunma
ghost	hayalet
ghosting	hayalet
giant	qocaman
gift	bahşış
ginger	zencefil
girl	qız
girlfriend	qız arqadaş
give	bermek
give up	teslim olmaq
given	berilgen
glad	memnün
glance	nazar
glass	cam
glasses	közlük
glimpse	baqış
global	bütün dünya
gloomy	tors
gloves	qolçaqlar
glow	yarıq
glow up	parıldamaq
glue	tutqal
go	ketmek
go ahead	devam et
go away	yoq ol
go to bed	yatmaq
goal	aht
goals	maqsatlar
goat	teke
god	tañrı
god bless you	Allah seni qorçalasın
goes	kete
going	ketmekte
going to	azırlanmaq
gold	altın
gone	ketken
gonna	azırlana
goo	batqaq
good	şaylı
good afternoon	kün şerifleriñiz hayır olsun
good bye	sağlıqnen qalıñız
good day	hayırlı künler
good evening	aqşamlar hayır
good job	yahşı iş
good looking	şırnıqlı
good luck	Allah qolay ketirsin
good morning	sabalar hayır
good morning my love	sabalar hayır, sevgilim
good night	geceler hayır
goodbye	sağlıqnen bar
goodnight	geceler hayır
goods	mallar
Google	Gugl
Google Translate	Google tercimesi
goose	qaz
gorgeous	müteşem
gossip	öşek
got	elge keçirdi
got it	añladım
government	ükümet
grab	qapmaq
grade	derece
gradually	ket-kete
graduate	mezun olmaq
grain	zahire
grant	bağışlamaq
granted	berilgen
grapes	yüzüm
grasp	qavramaq
grass	ot
grateful	minettdar
gratitude	minnetdarlıq
grave	mezar
gray	külrenki
great	ulu
greed	açközlük
greedy	saran
green	yeşil
greet	selâmlaşmaq
greeting	selâmlaşma
greetings	selâmlar
grey	boz
grid	tel ağı
grief	keder
grind	ufatmaq
grip	sap
grocery	baqqal
groom	kiyev
gross	toplam
ground	yer
group	taqım
grow	ösmek
growth	yükselme
grumpy	keyfsiz
Guarani	Guarani tili
guarantee	kefalet
guard	qaravul
guess	tahmin etmek
guest	musafir
guidance	reberlik
guide	qılavuz
guilty	qabaatlı
guy	oğlan
guys	ballar
gym	sport salonı
habit	alışqanlıq
habitat	tabiy müit
had	bar edi
hail	burçaq
hair	saç
half	yarım
hall	salon
hand	qol
handle	sap
handsome	körüngen
hang	asmaq
hang out	sallan-sullan yürmek
happen	olmaq
happened	oldı
happiness	baht
happy	bahtlı
happy birthday	hayırlı yaşlar olsun
happy birthday to you	hayırlı yaşlar olsun
happy new year	yañı yılıñız hayırlı olsun
hard	zor
hardly	zornen
hardly ever	iç bir vaqıt desek olacaq
harm	zarar
harmful	zararlı
harmony	uyuşma
harsh	sert
harvest	bereket cıyuvı
has	saip
hate	nefret
have	bar
have a good day	hayırlı künler
have a nice day	yahşı künler
have breakfast	sabalıq aşa
have fun	şeñlik olsun
have you eaten	sen endi aşadıñmı
having	saip olğan
hazard	telüke
haze	tuman
he	o
he has	o saip
he is	o
head	qafa
headache	baş ağrısı
heal	devalamaq
healing	şifa
health	sağlıq
healthy	sağlam
hear	eşitmek
heard	eşitti
heart	yürek
heat	qızdırmaq
heat	sıcaq
heaven	cennet
heavy	ağır
hectic	qıymıldavuq
height	boy
height	yükseklik
heir	varis
heist	çaypav
held	tutulğan
hell	cehennem
Hello	Meraba
hello dear	meraba, canım
hello how are you	selâm, nasılsıñ
hello how are you doing	meraba nasılsıñ
helmet	migfer
help	yardım
helpful	faydalı
hence	demek
her	onıñ
herd	sürü
here	mında
heritage	miras
hesitate	çekinmek
Hey	Olân
Hi	Selâm
hi how are you	meraba, nasılsıñ
Hi there	Meraba
hidden	saqlı
hide	saqlamaq
hierarchy	iyerarhiya
high	yüksek
highlight	belgilemek
hike	kezinti
hiking	piyade turizm
hilarious	şamatalı
hill	bayır
him	oña
hint	anahtar söz
hip	but
hips	sanlar
hire	kiralamaq
hiring	tutqan
his	onıñ
history	tarih
hit	urmaq
Hmm	Hmm
hobby	aveslik
hold	tut
hold on	bekle
hole	teşik
holiday	raatlıq künü
hollow	quvuş
home	ev
homework	ev vazifesi
honest	namuslı
honestly	açıqtan aytqanda
Honey	Bal
Honey	Tatlım
honor	namus
hood	başlıq
hook	çengel
hop	sekirmek
hope	ümüt
hope	ümüt etmek
hopefully	ümüt ile
hopeless	ümütsiz
horizontal	ufqiy
horn	boynuz
horrible	qorqunçlı
horror	deşet
horse	at
hospital	hastahane
hospitality	musafirçenlik
host	ev saibi
hostile	duşman
hot	sıcaq
hotel	musafirhane
hour	saat
hours	saatlar
house	bina
household	ev hocalığı
how	nasıl
how about you	ya sen
how are you	nedaysıñ
how are you doing	nasılsıñ
how are you doing today	bugün nedaysıñ
how are you today	bugün nasılsıñ
how do you do	işleriñiz nasıl
how is	nasıl
how many	qaç dane
how much	qaç
how often	ne qadar sıq
how old are you	qaç yaşındasıñ
how was your day	künüñ nasıl edi
how was your night	geceñ nasıl keçti
however	ancaq
hub	merkez
hubby	aqay
hug	quçaqlamaq
huge	qocaman
human	insan
humble	alçaq göñülli
humid	sers
humidity	nem
hundred	yüz
hungry	aç
hunt	avlamaq
hurricane	qasırğa
hurry	aşıqmaq
hurry up	aşıq
hurt	ağrı
hurt	bozmaq
husband	qoca
hustle	çapqalamaq
hut	qulübe
hygiene	temizlik
I	men
I am	Men
I am fine	Men yahşım
I can	Men yapıp olam
I can't	men yapamayım
I do	Men yapam
I do not know	Men bilmeyim
I do not understand	Men añlamayım
I don't	Men yapmayım
I don't know	men bilmeyim
I don't understand	Men añlamayım
I don't understand what you mean	Ne demek istegeniñizni añlamayım
I don't understand you	Men seni añlamayım
I don’t know	Men bilmeyim
I don’t understand	Men añlamayım
i guess	zanımca
I had	Mende bar edi
I have	mende bar
I have been	Men oldım
I hope so	böyle ümüt besleyim
I know	men bilem
I like	Men begenem
I like you	Men seni begenem
I love	Men sevem
I love my big brother	Men ağamnı sevem
I love my big sister	Men tatamnı sevem
I love my father	Men babamnı sevem
I love my little brother	Men oğlan qardaşımnı sevem
I love my little sister	Men qız qardaşımnı sevem
I love my mother	Men anamnı sevem
I love you	Men seni sevem
I love you so much	Men seni pek sevem
I love you too	Men de seni sevem
I mean	aytacağım
I miss you	Men seni sağınam
I miss you so much	Men seni pek sağınam
I see	añlayım
I think	Men bellesem
I understand	men añlayım
I want	Men isteyim
I want to see you	Men seni körmege isteyim
I want you	Men seni isteyim
I was	Men edim
I will	Men yapacam
I would be	Men olur edim
I'm	men
I'm fine	men yahşım
I'm good	Men yahşım
I'm here	Men mındam
I'm sorry	meni afu etiñiz
ice	buz
ice cream	dondurma
idea	ğaye
ideal	mükemmel
identical	aynı
identify	tanımaq
identity	kimlik
idiot	sersem
idle	aylaq
if	eger
ignore	körmemezlikke urmaq
ill	yaramay
illegal	qanunsız
illness	hastalıq
Ilocano	İlokano tili
image	resim
imagine	hayal etmek
immediate	deral
immediately	deral
immense	kebir
impact	tesir
impatient	sabırsız
implement	amelge keçirmek
import	ital
important	müim
impose	dayatmaq
impossible	imkânı yoq
impress	teessurat
impression	teessurat
impressive	tesir etici
improve	eyileştirmek
improvement	eyileşme
in addition	tamamlamaq içün
In fact	Aslında
in front of	ögünde
in order to	içün
inappropriate	elverişsiz
incentive	teşviq
incident	vaqia
include	kirgizmek
including	içergen
income	kelir
inconvenience	qolaysızlıq
increase	artuv
increased	yükseltilgen
incredible	inanılmaz
indeed	şübesiz
independent	mustaqil
India	İndistan
indicate	belgilemek
indigenous	yerli
individual	ferdiy
industry	sanayı
inevitable	qaçınılmaz
infant	quçaq balası
infection	yuqunç
infinity	soñsuzlıq
inflammation	yanğı
inflation	inflâtsiya
influence	nufuz
inform	haber etmek
information	malümat
ingredients	içindekiler
inheritance	miraslanma
initial	başlanğıç
initiative	teşebbüs
injured	yaralı
injury	yara
innocent	qabaatsız
innovation	yañılıq
inquiry	taqiqat
insane	añqav
insect	böcek
insecure	emin olmağan
insert	soqmaq
inside	içinde
insight	basiret
insist	israr etmek
insomnia	yuqusızlıq
inspiration	ilham
inspire	ilham bermek
install	yüklemek
instance	misal
instant	der-demez
instead	yerine
instead of	yerine
instructions	talimatlar
instrument	alet
insult	aqaret
insurance	sigorta
intact	qırılmağan
integrity	bütünlik
intellectual	ziyalı
intelligence	idraq
intelligent	aqıllı
intend	niyet etmek
intended	istenilgen
intense	şiddetli
intention	niyet
interact	beraber yapmaq
interaction	munasebette bulunma
interest	meraq
interested	meraqlanğan
interesting	meraqlı
interfere	qarışmaq
intermediate	ortadaki
internal	içki
international	memleketara
internship	staj
interpret	iza etmek
interpreter	terciman
interrupt	lafını kesmek
interview	intervyü
intimate	öz
into	içine
introduce	tanıtmaq
introduction	kiriş
introvert	içine aylanğan
intuition	aldından duyma
invalid	çalışamağan
invent	icat etmek
inventory	kölük-kedik
invest	yatırım
investigate	taqiq etmek
invitation	davet
invite	davet etmek
invoice	esap
involve	çekmek
involved	qatılğan
iron	ütü
iron	demir
island	ada
isolated	etraf müitten ayırılğan
issue	mesele
issues	meseleler
it	o
it is	öyledir
it was	edi
it's	bu
it's ok	er şey yerinde
It's okay	Mesele degil
item	madde
items	eşyalar
its	onıñ
I’m	Men
jacket	ceket
jail	zindan
January	Qara qış ayı
jar	gügüm
jaw	çenge
jealous	küncü
jerk	tentek
jewelry	ilvan
job	iş
jogging	çapuv
join	qoşulmaq
joint	buğum
joke	şaqa
journalist	gazetacı
journey	sefer
joy	quvanç
judge	makeme etmek
juice	şıra
july	oraq ayı
jump	sekirmek
june	ilk yaz ayı
junk	faydasız
just	demin
just do it	yap bunı
justice	adalet
justify	aqlamaq
Kalaallisut	Kalaallisut tili
keen	keskin
keep	devam etmek
keep	tutmaq
keep it up	aynen böyle devam etmek
kept	tuttı
kettle	çaynik
key	anahtar
kick	tepme
kid	bala
kidding	şaqalaşma
kidney	büyrek
kids	balalar
kill	öldürmek
kind	nezaketli
kind	çeşit
kinda	kibi
kindly	lütufkârane
kindness	lütuf
king	qıral
kiss	öpmek
kitchen	aşhane
kite	sazağan
kitten	mışıq balası
knee	tiz
knew	bile edi
knife	pıçaq
knight	batır
know	bilmek
knowledge	bilgi
known	belli
Konkani	Konkani tili
Krio	Krio tili
label	etiketka
labor	emek
labour	emek
lack	eksiklik
ladder	merdiven
lady	hanım
laid	qoyulğan
lake	göl
lamb	qozu
lame	topal
lamp	lampat
land	qara
landscape	manzara
language	lisan
lap	tiz
large	büyük
last	soñki
last but not least	soñki olsa da, eñ emiyetsiz degil
last name	soyadı
late	keç
lately	keçende
later	keççe
latest	eñ soñ
latter	soñki
laugh	külmek
laughing	külgen
laughter	külkü
launch	uçurmaq
laundry	çamaşırhane
law	qanun
lawn	çimen
lawyer	adliyeci
lay	yatqızmaq
layer	qatlam
layout	yerleşme
lazy	tenbel
lead	alıp barmaq
lead	qurşun
leader	yolbaşçı
leaf	yapraq
leak	sızıntı
lean	egilmek
leap	sıçrav
learn	ögrenmek
learning	ögrenmekte olğan
lease	kiralama
least	eñ az
leather	teri
leave	qaldırmaq
leave	ketmek
leaves	yapraqlar
led	idare etmek
left	sol
left	ketti
leg	baldır
legacy	vasiyet etilgen
legal	qanuniy
legend	efsane
legit	qanuniy
leisure	boş vaqıt
lend	ödünç almaq
length	uzunlıq
less	az
lesson	ders
let	musaade etmek
letter	mektüp
lettuce	latuk
level	seviye
leverage	rıçag
liability	mesüliet
library	kitaphane
lick	yalamaq
lie	yalan
lie	yatmaq
lies	yalanlar
life	ömür
lift	kötermek
light	yarıq
light	açıq
lightning	yıldırım
like	begenmek
like	kibi
likely	itimal
likewise	aynı şekilde
line	çizgi
Lingala	Lingala tili
link	bağlantı
lion	arslan
liquid	şingenlik
list	cedvel
listen	diñlemek
listening	diñleme
literally	tam manasınen
literature	edebiyat
litter	çirkef
little	kiçkene
little	az
live	yaşamaq
liver	qara ciger
lives	ayatlar
living	yaşamaqta olğan
living room	oturma odası
lizard	kesertki
load	yüklemek
loaf	qalaqay
loan	ödünç
local	yerli
location	mekân
lock	kilit
lockdown	karantin
log	razan ağaçı
lol	qaqıldap külmek
lonely	kimsesiz
long	uzun
long time no see	uzun vaqıt körüşmedik
look	baqmaq
look	körüniş
loop	ilmek
loose	serbest
lord	efendi
lose	coymaq
loss	ziyan
lost	coyulğan
lot	çoq
loud	gür
lounge	musafir odası
love	sevmek
love	sevgi
love you	sevem seni
lovely	şırın
low	alçaq
lower	daa alçaq
loyal	sadıq
loyalty	sadaqat
luck	qısmet
lucky	nasipli
Luganda	Luganda tili
luggage	bagaj
lump	tomar
lunch	üylelik
lungs	aqcigerler
luxury	itişam
lying	yatqan
machine	maşna
mad	tonqa
madam	hanım
made	yapılğan
magazine	mecmua
magnificent	şaane
maid	hızmetçi
main	esas
maintain	devam ettirmek
maintenance	baqım
Maithili	Maythili tili
major	üyken
majority	çoqluq
make	istisal etmek
make up	makiyaj
male	aqay kişi
mall	alış-veriş merkezi
man	erkek
manage	reberlik yapmaq
management	idare
manager	reber
mandatory	lâzim
manifest	beyanat
manipulate	oynamaq
manner	tavır
manual	qullanma
many	bir çoq
many many happy returns of the day	bu bahtlı kün daa çoq kereler qaytsın
march	mart
margin	kâr
market	bazar
marriage	evlilik
married	evli
mask	maska
mass	kütle
massive	iri
master	usta
match	matç
mate	qafadar
material	malzeme
math	riyaziyat
matter	degerli
maturity	quvam
may	ola bile
maybe	belki
me	men
me too	men de
meal	yemek
mean	ortalama
meaning	emiyet
means	demektir
meant	qast etilgen
meanwhile	o arada
measure	ölçemek
measures	ölçüler
meat	et
medical	tibbiy
medicine	tibbiyet
medicine	ilâc
meditation	meditatsiya
medium	orta
meet	körüşmek
meeting	toplaşuv
Meiteilon	Meyteylon tili
melt	irimek
memories	hatıralar
memory	hatıra
mental	aqliy
mention	añmaq
mentioned	añılğan
mentor	ustaz
merchant	tuccar
mercy	meramet
merely	yalınız
merry christmas	hayırlı milât
mess	tertipsizlik
message	beyanat
messy	nizamsız
metal	maden
method	usul
mice	sıçanlar
middle	orta
midnight	gece yarısı
might	olması mümkün
mild	orta qarar
milestone	yol taşı
military	arbiy
milk	süt
million	million
mind	aqıl
mindset	fikir yürsetüv
mine	menimki
mingle	qarıştırmaq
minor	ufaq
minute	daqqa
minutes	daqqalar
miracle	mücize
mirror	küzgü
miscellaneous	çeşit türlü
mischievous	içi qara
miserable	zavallı
misery	faqirlik
miss	sağınmaq
miss	hanım
miss you	sağındım seni
missing	eksik
mission	missiya
mist	dım
mistake	hata
Mizo	Mizo tili
mobile	areketli
mock	horlamaq
model	qalıp
moderate	qararını bilgen
modern	zemaneviy
modest	adiy
moist	dım
moisture	nem
mold	qalıp
mold	küf
mole	beñ
mom	anaçığım
moment	añ
monday	bazarertesi
money	aqça
monitor	ekran
monkey	maymun
month	ay
mood	keyf
moody	sıtıq
moon	ay
moral	ahlâqiy
more	daa ziyade
moreover	bundan ğayrı
morning	saba
mortgage	ipoteka
most	ekseriyet
mostly	çoqusı
mother	ana
motion	areket
motivation	areketleyici
mountain	dağ
mouse	sıçan
mouth	ağız
move	qıbırdamaq
movement	areket
movie	film
mrs	hanım efendi
much	çoq
mud	çamur
mug	meşrebe
muscle	adale
museum	müzey
mushroom	mantar
music	muzıka
must	mecbur
mute	sessiz
mutual	qarşılıqlı
my	menim
My dear	Canım
my friend	dostum
My hovercraft is full of eels	Ava yastıqlı gemim yılan balıqlarınen tolu
my love	menim sevgim
my name is	menim adım
my pleasure	memnün oldım
myself	özüm
mysterious	sırlı
mystery	sır
myth	efsane
nail	tırnaq
naive	sümsük
name	ad
narrative	ikâye
narrow	tar
nasty	nahoş
national	milliy
nationality	millet
native	tuvğan
natural	tabiiy
nature	tabiat
nausea	yürek bulanmaq
near	yanında
nearby	yaqınlarında
nearly	aman-aman
neat	tertipli
necessary	zaruriy
neck	boyun
necklace	gerdanlıq
need	ihtiyac
need	muhtac
negative	menfiy
neglect	esamesini oqumamaq
negotiate	muzakere etmek
neighbor	qomşu
neighborhood	civar
neither	ne de
nephew	oğlan ciyen
nerd	geveze
nervous	abdıravuq
nest	quş yuvası
net	ağ
network	ağ
neutral	tarafsız
never	iç bir vaqıt
never give up	iç bir vaqıt boysunma
never mind	qulaq asma
nevermind	qulaq asma
nevertheless	kene de
new	yañı
news	haberler
next	nevbetteki
next to	yanında
nice	güzel
nice to meet you	tanışqanımızdan memnünim
niece	qız ciyen
night	gece
nightmare	bastırıq
nine	doquz
nineteen	on doquz
ninety	doqsan
No	Yoq
no problem	problem yoq
no way	imkânsız
nobody	iç kimse
noise	gürülti
noisy	gürültili
none	kimse
noon	üyle
nope	olmaz
nor	ne de
normal	sıradan
north	şimal
nose	burun
nostalgic	asret
not	degil
not at all	bir şey degil
not bad	fena degil
Not now	Şimdi degil
not yet	daa yoq
note	tezkere
noted	qayd etilgen
nothing	iç bir şey
notice	bildirüv
noticed	abayladı
noun	isim
nouns	isimler
novel	roman
november	boş ay
now	şimdi
nowadays	bugünde-bugün
nuisance	nahoşlıq
null	boş
numb	sessiz
number	nomera
nurse	emşire
nut	fındıq
nutmeg	indistan cevizi
nutrition	besleme
oath	ant
obesity	şişmanlıq
obey	itaat etmek
object	obyekt
objective	maqsat
obligation	mecburiyet
obscure	bunarlı
observation	közetüv
observe	közetmek
obsessed	müptelâ
obsession	taassup
obsolete	eskirgen
obstacle	mania
obtain	elde etmek
obtained	alınğan
obvious	ayan
obviously	bese-belli
occasionally	kimerde bir
occupation	işğal
occupied	işğal etildi
occur	yüz bermek
occurred	oldı
occurs	ola
ocean	okean
october	orta küz
odd	ğarip
odds	fırsat
of course	elbette
off	qapalı
offensive	tecavuziy
offer	teklif
office	ofis
official	resmiy
often	sıq-sıq
Oh	Vay
oh really	a, kerçekten
oil	yağ
ok	yahşı
ok dear	yahşı, canım
ok honey	yahşı canım
ok my love	yahşı, sevgilim
okay	yahşı
okay baby	yahşı, evlâdım
okay dear	yahşı, canım
okay honey	yahşı, tatlım
okay my love	yahşı, sevgilim
old	eski
old	qart
once	bir zamanda
one	bir
one language is never enough	tek bir til iç bir vaqıt yeterli olmaz
onion	soğan
online	onlayn
only	tek
open	açıq
operation	muamele
opinion	mulâaza
opportunities	fırsatlar
opportunity	fırsat
opposite	zıt
optimistic	şadlı
option	variant
optional	istekke bağlı
or	ya da
orange	portaqal
order	tertip
order	sımarış
ordinary	adetteki
organization	teşkil
orientation	oriyentatsiya
origin	menba
original	asıl nusha
Oromo	Oromo tili
orphan	öksüz
other	başqa
otherwise	yoqsa
ought	yapmaq mecburiyetinde
our	bizim
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Vazifemiz, er kesniñ er yerde dünyanı añlamasını ve özüne çeşit türlü tillerde ifade ete bilmesini temin etmektir.
Our mission: to organize the world's information and make it universally accessible and useful.	Vazifemiz, dünyadaki malümatlarnı bir tertipke ketirip, olarnı universal sürette irişilir ve faydalı yapmaqtır.
out	tış
outcome	aqibet
outfit	techizat
outgoing	sudur
outlet	satuv yeri
outline	çevre
outside	tışarıda
outstanding	körgemli
oven	fırın
over	bitti
over	üzerinde
over there	andaki
overall	umumen alğanda
overcome	aşmaq
overthinking	artqaç tüşünme
overwhelmed	basılğan
overwhelming	büyük ekseriyet
owe	borclı
owl	bayquş
own	öz
owner	şorbacı
ox	buğa
pace	surat
pack	paketleme
package	paket
paid	ücretli
pain	ağrı
paint	boya
painting	boyama resim
pair	çift
pale	solğun
palm	avuç içi
pan	tava
pandemic	qırğınlıq
panic	telâş
pants	tuman
paper	kâğıt
paradise	cennet
parallel	muvazi
parcel	yollanma
pardon	bağışlañız
parents	ana-baba
park	park
parrot	papağan
parsley	mağdanoz
part	parça
participate	iştirak etmek
particular	muayyen
particularly	bilhassa
partner	ortaq
party	cıyın
pass	keçmek
passage	keçit
passed	keçti
passion	aves
passionate	ateşin
passive	passiv
password	parol
past	keçmiş
patch	yamav
path	yol
pathetic	sefil
patience	sabır
patient	sabırlı
pattern	örnek
pause	toqtama
pavement	qaldırım
pay	tölemek
payment	töleme
peace	tınçlıq
peaceful	tınçlıqsever
peach	şeftali
peak	uc
pear	armut
peas	nohut
peculiar	özüne has olğan
pee	siymek
peel	artlamaq
peer	aqran
peer	yahşı etip baqmaq
peers	aqranlar
pen	qalem
pencil	qarandaş
pending	beklegen
people	adamlar
pepper	biber
perceive	menimsemek
perception	alğı
perfect	mükemmel
perform	kerçekleşmek
performance	icra etüv
performance	semerelik
perhaps	ihtimal
period	devir
permanent	daimiy
permission	ruhset
permit	ruhset
perseverance	sebat
persistent	mert
person	şahıs
personal	şahsiy
personality	şahsiyet
perspective	istiqbal
persuade	qandırmaq
pervert	sapqan
pet	ev ayvanı
phase	faza
phenomenon	fenomen
philosophy	felsefe
phone	telefon
photo	foto
phrase	ibare
physical	fizikiy
physical	beden
pick	seçmek
pick up	qolğa tüşürmek
picture	resim
piece	kesek
pieces	parçalar
pig	domuz
pigeon	gögercin
pile	oba
pillow	yastıq
pilot	uçucı
pin	pin kodı
pineapple	ananas
pink	pempe
pit	çuqur
pitch	qatran
pitch	tiklik
pity	acımaq
place	yerleştirmek
places	yerler
plague	taun
plain	sade
plan	plan
plane	uçaq
plant	ösümlik
plants	ösümlikler
plate	tepis
platform	platforma
play	oyun
play	icra etmek
play	oynamaq
