a little	azçıq
playing	oynağan
pleasant	hoş
please	lütfen
pleased	memnün
pleasure	zevq
pledge	pey
plenty	bayağı
plot	arsa
plug	şteker
plum	erik
plumber	çilengir
plural	çoqluqta
podcast	podkast
poem	şiir
poetry	şiiriyet
point	noqta
poison	zıqım
police	polis
policy	siyaset
polite	nezaketli
pollution	kirlilik
pond	tıynaq
pool	havuz
poop	sıçmaq
poor	fuqare
pop	patlamaq
popular	rağbetli
population	eali
pork	domuz eti
porridge	cılap botqası
port	liman
position	mevam
positive	müsbet
possess	saip olmaq
possession	saiplik
possessive	saiplik
possible	mümkün
post	yollama
postpone	avuştırmaq
potato	qartop
potential	çare
pound	funt
poverty	fuqarelik
power	iqtidar
powerful	küçlü
practical	ameliy
practice	ameliy faaliyet
practice	temrin etmek
praise	maqtamaq
prank	yaramazlıq
pray	dua etmek
precious	qıymetli
precise	hassas
precisely	tamam
predict	kelecekni ögünden aytmaq
prefer	meyilli olmaq
preference	seçim
pregnant	ağır ayaqlı
prejudice	peşin fikir
premises	oda
premium	mukâfat
preparation	azırlıq
prepare	azırlamaq
prepared	azırlanğan
preposition	yardımcı
presence	mevcudiyet
present	ediye
present	mevcut
presentation	temsil
preserve	saqlamaq
president	prezident
press	basmaq
pressure	basqı
pretend	kibi yapmaq
pretty	ğayet
prevent	ögüni almaq
previous	bundan evelki
prey	av
price	fiyat
pride	ğurur
priest	papaz
primary	ilkingi
prime	esas
princess	şahzade
principal	yolbaşçı
prior	evelden
priority	sıra
prison	apishane
privacy	gizlilik
private	şahsiy
privilege	imtiyaz
prize	mukâfat
probably	ğaliba
problem	mesele
procedure	ameliyat
proceed	ilerilemek
process	işlemek
process	ceryan
produce	istisal etmek
product	mahsul
production	istisal
profession	zenaat
professional	ihtisaslı
profile	profil
profit	kâr
profound	teren
progress	ilerileme
project	leyha
prominent	körülgen
promise	söz bermek
promote	imkân doğurmaq
promotion	qol tutuv
prompt	keçiktirmesiz
prone	meyli bar
pronouns	zamirler
pronunciation	telâffuz
proof	delil
proper	uyğun
properly	doğru şekilde
properties	mülk
property	hususiyet
property	mülkiyet
proposal	sımarış
prospect	imkân
prosperity	abadanlıq
prosperous	abadan
protect	qorçalamaq
proud	ğururlı
prove	isbatlamaq
provide	temin etmek
provided	teminlemek
province	vilâyet
provision	temin etüv
puberty	pişkinlik
public	halq ögündeki
pull	tartmaq
pumpkin	qabaq
punctual	vaqtında kelgen
pupil	talebe
purchase	satın alma
pure	saf
purple	mor
purpose	maqsat
purse	çanta
pursue	quvalamaq
pursuit	taqip
push	itemek
put	qoymaq
qualification	ihtisas
quality	keyfiyet
quantity	miqdar
quarantine	karantin
quarrel	qavğa
quarter	çerik
Quechua	Keçua tili
queen	qıraliçe
queer	oşlu
query	malümat soratma
question	sual
queue	nevbet
quick	tez
quickly	tez
quiet	yavaş
quilt	yorğan
quit	çıqıp ketmek
quite	olduqça
quiz	qısqa sorav
quotation	alınma
quote	alınma
quotes	tırnaqlar
rabbit	qoyan
race	ırq
rage	ğadap
rain	yağmur
raise	arttırmaq
raised	yükselgen
ran	çaptı
random	tesadüfiy
range	aralıq
rapid	çabik
rapidly	tez-tez
rare	nadir
rarely	pek az
rash	eşken
rat	sıçavul
rate	nisbet
rather	daa doğrusı
ratio	nisbet
rational	maqul
raw	çiy
re	re
reach	irişmek
reached	elde etilgen
reaction	reaktsiya
read	oqumaq
reading	oquv
ready	azır
real	aqiqiy
reality	kerçek
realize	yerine ketirmek
realized	yerine ketirilgen
really	kerçekten de
rear	arqa
reason	sebep
reasonable	zeinli
recall	seslenüv
receipt	kvitantsiya
receive	qabul etmek
received	alınğan
recent	soñki
recently	keçende
reception	qabul
recipe	retsept
reckless	oysız
recognition	tanıma
recognize	farq etmek
recommend	tevsiye etmek
recommended	tevsiye etilgen
record	yazı
recover	tüzelmek
recovery	ğayrıdan tiklev
rectangle	tüzköşelik
red	qırmızı
redeem	keri satın almaq
redemption	ödev
reduce	azaltmaq
redundant	kereksiz
refer	sıltamaq
reference	atıf
reflect	akis ettirmek
reflection	akis
refrain	özüni tutmaq
refrigerator	buzdolap
refund	paralarnı qaytarmaq
refuse	çöplük
refuse	qabul etmemek
refused	red etti
regard	sayğı
regarding	bağlı olaraq
regardless	ne olsa olsun
regards	sayğı ile
region	region
register	qayd etmek
regret	yazıqsınuv
regret	yazıqsınmaq
regular	muntazam
regularly	daima
reject	red etmek
relate	munasebeti olmaq
related	bağlı
relationship	munasebetler
relative	soy
relatives	soy-aqraba
relax	raatlanmaq
release	boşatmaq
released	azat etilgen
relevant	kelişikli
reliable	işançlı
relief	qolaylaştıruv
relieve	azat etmek
relieved	raatlağan
religion	din
religious	diniy
reluctant	zorlanğan
rely	işanmaq
remain	qalmaqta
remaining	qalğan
remarkable	diqqat çekici
remedy	derman
remember	hatırlamaq
remind	hatırlatmaq
reminder	hatırlatıcı
remote	uzaq
remove	çıqarmaq
render	işlemek
rent	kira
repair	tamirlev
repeat	tekrarlamaq
replace	almaştırmaq
reply	cevap bermek
report	esabat
represent	temsil etmek
reputation	itibar
request	talap
require	ihtiyacı bar
required	kerekli
rescue	qurtarmaq
research	tedqiqat
resemble	oşamaq
resentment	isyan
reservation	bronlemek
reserve	yedek
resident	sakin
resign	istifa etmek
resilience	tığız
resilient	elastik
resist	tirelmek
resistance	tirenüv
resolution	çezilüv
resolve	çezmek
resort	şifahane
resources	menbalar
respect	nisbet
respect	ürmet
respond	cevap bermek
response	seslenüv
responsibility	mesüliyet
responsible	mesüliyetli
rest	raatlanuv
rest	qalğan
rest	raatlanmaq
rest in peace	yatqan yeriñ cennet olsun
restaurant	meyhane
restore	ğayrıdan qurmaq
restrict	sıñırlamaq
result	aqibet
results	neticeler
resume	rezüme
retail	kütleviy satış
retain	saqlap qaldırmaq
retention	tutıp qaldırma
retired	nefaqacı
retreat	keri çekilmek
retrieve	ğayrıdan tiklemek
return	qaytmaq
reveal	meydanğa çıqarmaq
revealed	ortağa çıqqan
revenge	intiqam
revenue	kelir
reverse	ters
review	közden keçirmek
revise	közden keçirmek
revision	közden keçirüv
revolution	inqilâp
reward	mukâfat
rhythm	vezin
rib	qaburğa
rice	pirniç
rich	zengin
rid	qurtulmaq
ride	kezinmek
ridiculous	saçma
right	sağ
right	aqlı
right now	şu daqqası
rigid	qattı
ring	alqa
ring	yüzük
rinse	çayqamaq
riot	fesat
rip	yırtmaq
ripe	pişken
rise	ösüv
risk	havf
rival	raqip
river	özen
road	yol
roast	qızartmaq
robust	sağlam
rock	ecel
rod	mil
role	rol
roll	aylanmaq
roof	dam
room	oda
root	tamır
rope	arqan
rotten	çürük
rough	qaba
roughly	qaba
round	tögerek
route	seyahat yolu
routine	rutina
row	satır
rub	oqalamaq
rubber	silgiç
rubbish	eski-püskü
rude	aqaretleyici
rug	kilim
ruin	haraplamaq
rule	qaide
ruler	cedvel
rules	qaideler
run	çapmaq
running	çapqan
rural	köylü
rush	acele
rush	aşıqmaq
sack	çuval
sacred	muqaddes
sacrifice	feda etmek
safe	havfsız
safe flight	oğurlı uçuşlar
safety	havfsızlıq
sage	ada çayı
said	dedi
said	añılğan
sail	yelken
sailing	deñizge çıqmaq
sake	hatır
salary	aylıq
sale	satış
salmon	losos balığı
salt	tuz
same	aynı
Same here	Aynı mında
sample	misal
sand	qum
Sanskrit	Sanskrit tili
sarcastic	mizahiy
sassy	cüratlı
sat	oturdı
satisfaction	hoşnutlıq
satisfied	hoşnut
satisfy	qanaatlendirmek
satisfying	qanaatlendirici
Saturday	Cumaertesi
sausage	sucuq
savage	kiyik
save	qayd etmek
saw	kördim
saw	pıçqı
say	aytmaq
scale	ölçev
scam	iylekârlıq
scar	yara izi
scarce	qıt
scared	qorqqan
scarf	şarf
scary	qorqunçlı
scattered	dağınıq
scene	sana
scenery	manzara
scent	qoqu
schedule	cedvel
school	mektep
science	ilim
scientist	bilgi saibi
scientists	alimler
scissors	maqas
scold	tazirlemek
scope	miqyas
score	baa
scrap	qırıntı
scratch	tırnamaq
scream	qıçırma
screen	ekran
screw	vint
script	stsenariy
sea	deñiz
seal	müür
search	qıdırmaq
season	mevsim
seat	oturğıç
second	ekinci
secret	sır
section	şübe
secure	telükesiz
security	telükesizlik
see	körmek
see you	körüşirmiz
see you later	keççe körüşirmiz
see you soon	körüşkence
see you tomorrow	yarın körüşirmiz
seed	urluq
seek	qıdırmaq
seem	körünmek
seems	körüne
seen	köründi
seize	tutmaq
seizure	zapt
seldom	siyrek
select	seçmek
self	özü
self healing	öz-özüni tedaviylev
selfish	nefishor
sell	satmaq
send	yibermek
send me your picture	maña resimiñni yolla
senior	üyken
sense	mana
sensible	aqılğa yatqan
sensitive	sezgir
sent	yiberildi
sentence	cümle
sentences	cümleler
separate	ayrı
Sepedi	Sepedi tili
september	ilk küz ayı
sequence	ardısıralıq
series	silsile
serious	ciddiy
seriously	ciddiy olaraq
serve	hızmet etmek
service	hızmet
session	oturış
set	taqım
set	ayarlamaq
set up	tiklemek
setting	sazlama
settle	yerleşmek
seven	yedi
seventeen	on yedi
seventy	yetmiş
several	bir qaç
severe	şiddetli
sew	tikmek
sh	ş
shade	talda
shadow	kölge
shake	sallamaq
shall	olacaqtır
shallow	say
shame	ayıp
shape	sıfat
share	paylaşmaq
share	pay
sharp	ötkür
she	o
she has	onıñ bar
she is	o
shed	aran
sheep	qoy
sheet	çarşaf
shelf	raf
shell	qaburçaq
shelter	sığınaq
shield	qalqan
shift	yılışuv
shine	parıldamaq
ship	gemi
shipping	teslim
shirt	kölmek
shoes	ayaqqap
shoot	ateş açmaq
shop	tükân
shopping	alış-veriş
shore	sail
short	qısqa
shortage	qıtlıq
shot	atış
should	yapmalı
shoulder	omuz
shout	qıçırmaq
show	temaşa
show	köstermek
show me	köster maña
shower	duş
shrimp	krevetka
shrink	bükşeymek
shut	qapatmaq
shut up	sus
shy	utançaq
sibling	qardaş
siblings	doğmuş qardaşlar
sick	hasta
side	taraf
sigh	öksünmek
sight	közetmek
sightseeing	kezip körme
sign	işaret
signature	imza
significant	emiyetli
silence	sessizlik
silent	sakin
silk	ipek
silly	ahmaq
silver	kümüş
similar	oşağan
simp	matüv
simple	sade
simultaneously	bir vaqıtta
since	berli
sincere	samimiy
sincerely	hulüskârane
sing	yırlamaq
singer	yırcı
single	mücerret
sink	çirkef yeri
Sir	Bey
sister	tata
sister in law	körümce
sit	oturmaq
site	meydan
situation	al
six	altı
sixteen	on altı
sixty	altmış
size	büyüklik
skill	meleke
skills	merafet
skin	teri
skinny	arıq
skip	qaldırıp keçmek
skirt	etek
sky	sema
slave	qul
sleep	yuqlamaq
sleeping	yuqlağan
sleepy	yuqulı
sleeve	yeñ
slice	tilim
slide	taymaq
slightly	yengilden
slim	zarif
slip	yılışmaq
slope	cap
slot	yuva
slow	yavaş
slowly	yavaş
small	kiçik
smart	başı çalışqan
smell	sasıq
smile	tebessüm
smoke	tütün çekmek
smooth	tegiz
snack	qapınma
snail	çıqçıq balaban
snake	yılan
snap	çertmek
snow	qar
so	işte
so cute	pek hoş
so far	şimdilik
soak	siñmek
soap	sabun
sober	ayınıq
soccer	futbol
social	içtimaiy
society	cemaat
socks	çorap
soft	yımşaq
software	yazılım
soil	topraq
sold	satılğan
sold out	er şey satılıp bitti
soldier	asker
sole	taban
solid	qattı
solution	irinti
solve	iritmek
some	bazı
somebody	birisi
somehow	nasıldır
someone	kimdir
something	bir şey
sometimes	kimerde
song	yır
soon	yaqın arada
sophisticated	mürekkep
Sorani	Sorani tili
sore	sızlağan
sore throat	boğaz ağrısı
sorrow	qaar
Sorry	Bağışla
sort	çeşit
sought	qıdırılğan
soul	göñül
soulmate	can arqadaşı
sound	ses
soup	şorba
sour	ekşi
source	menba
south	cenüp
space	kâinat
spam	spam
span	kemer
Spanish	İspanca
spare	yedek
speak	laf etmek
special	mahsus
species	türler
specific	hususiy
spectacular	tesirli
speech	nutuq
speechless	sessiz-soluqsız
speed	surat
spell	arif-arif añlatmaq
spend	masraf etmek
spent	sarf etilgen
spicy	accı
spike	mamuz
spin	aylanma
spinach	ispanaq
spirit	ruh
spit	tükürmek
splendid	körgemli
split	yarmaq
spoil	bozmaq
spoiled	bozuq
spontaneous	birden
spoon	qaşıq
spot	leke
spouse	ömür arqadaşı
spread	tarqaluv
spread	tarqatmaq
spring	baar
square	dörtköşe
squeeze	suvını sıqmaq
squid	merekep balığı
squirrel	sansar
st	soq
stab	pıçaqlamaq
stable	deñişmez
stack	keben
staff	hadimler
stage	sana
stain	leke
stairs	merdivenler
stake	qazıq
stalk	sap
stall	ahır
stamp	tamğa
stand	turmaq
standard	standart
star	yıldız
start	başlama
started	başlanğan
starving	aç olğan
state	devlet
statement	resmiy bildirme
station	stantsiya
statue	eykel
status	vaziyet
stay	qalmaq
stay safe	özüñe muqayt ol
steady	sabit
steak	kebap
steal	hırsızlamaq
steam	buv
steel	çelik
steep	tik
stem	negiz
step	adım
stick	tıqmaq
stick	çubuq
stiff	qattı
still	alâ daa
sting	çaqmaq
stingy	saran
stir	qarıştırmaq
stock	ihtiyat
stolen	çalınğan
stomach	aşqazan
stone	taş
stood	turdı
stool	kürsü
stop	toqtamaq
storage	mağaza
store	tükân
storm	furtuna
story	rivayet
stove	soba
straight	tüz
straightforward	sade
strain	kerginlik
strange	yat
stranger	yabancı
strategy	strategiya
straw	toban
strawberry	cilek
streak	yolaq
stream	aqış
stream	yayınlamaq
street	soqaq
strength	quvet
stress	stress
stretch	sozmaq
strict	talapkâr
strike	iş taşlav
string	satır
strip	yolaq
strive	tırışmaq
stroke	sıypamaq
strong	küçlü
struck	çarptı
structure	terkip
struggle	küreş
struggling	küreşken
stubborn	inat
stuck	sıqılğan
student	talebe
study	araştıruv
studying	ögrengen
stuff	abur-çubur
stunning	şaşırtıcı
stupid	avanaq
style	tarz
subject	mevzu
submission	boysunma
submit	taqdim etmek
substance	madde
substitute	tebdil
subtle	ince
succeed	muvafaqiyet qazanmaq
success	muvafaqiyet
successful	muvafaqiyetli
such	böyle
such as	kibi
suck	emmek
sudden	apansız
suddenly	apansızdan
suffer	azap çekmek
suffering	qıynalğan
sufficient	yeterli
sugar	şeker
suggest	teklif etmek
suggestion	teklif
suit	yaraşmaq
suitable	kelişken
suitcase	cemidan
sum	cemi
summary	qısqa münderice
summer	yaz
summit	yüksek seviyede körüşüv
sun	küneş
sunday	bazar künü
sunny	küneşli
sunset	kün batuv
sunshine	küneş nuru
super	super
superior	üstün olğan
supervisor	idareci
supper	aqşam aşı
supply	tedarik etmek
support	qol tutmaq
suppose	zan etmek
supposed	sözde
sure	tabi
surface	üst
surge	tolqun
surgery	cerrahiy ameliyat
surname	soyadı
surprise	sürpriz
surprised	şaşqın
surrender	teslim olmaq
surrounding	çevre-çetteki
surveillance	közetme
survey	sorav
survive	sağ qalmaq
suspect	şeklenmek
suspended	asılğan
suspicious	şübeli
sustain	desteklemek
sustainability	istiqrarlı
sustainable	durğun
swag	pırt
swag	sallanmaq
swallow	yutmaq
swap	almaşuv
swear	ant etmek
sweat	ter
sweater	sviter
sweep	sipirmek
sweet	tatlı
sweet dreams	tatlı tüşler
sweet tooth	tatlı sevgen
sweetheart	yar
swell	qabarmaq
swelling	şişik
swim	yaldamaq
swimming	yaldav
swing	salıncaq
swing	sallamaq
switch	avuştırıcı
swollen	şişken
sword	qılıç
symbol	timsal
sympathy	şefqat
symptoms	delâletler
system	tertibat
table	cedvel
table	masa
tackle	oğraşmaq
tag	tamğa
tail	quyruq
take	almaq
take away	alıp ketmek
take care	qayğırmaq
take off	çıqarmaq
taken	alınğan
talk	qonuşmaq
talkative	lafazan
tall	uzun boylu
tap	qurna
tape	şerit
target	belgi
task	vazife
taste	dat
tasty	lezzetli
taught	ögretti
tea	çay
teach	ögretmek
teacher	oca
team	taqım
tear	közyaş
tears	közyaşlar
tease	eriştirmek
technology	tehnologiya
teeth	tişler
tell	aytıp bermek
tell me	ayt maña
temper	quy
temperature	sıcaqlıq
temple	ibadethane
temporary	vaqtınca
ten	on
ten thousand	on biñ
tenant	kiraci
tend	meyil olmaq
tendency	meyil
tender	yarış
tense	kergin
tension	basım
tent	çadır
tentative	sınama
term	müddet
terms	şartlar
terrible	qorqunçlı
terrific	qocaman
territory	yer
test	test
text	metin
than	daa
thank	teşekkür bildirmek
thank you	sağ ol
Thank you for your patience while we investigate shipment	Biz yollanmanı qıdırğan arada sabır etkeniñiz içün sağ oluñız
thank you so much	çoq sağ oluñız
thank you very much	çoq sağ oluñız
thanks	teşekkürler
Thanks for using our app	İlâvemizni qullanğanıñız içün sağ oluñız
that	şu
that is	yani
that's good	bu
that's good	yahşıdır
theft	hırsızlıq
their	olarnıñ
them	olarnı
theme	fen
themselves	özlerini
then	bundan soñ
theory	nazariye
there	anda
there are	bar
there is	bar
therefore	bunıñ içün
these	bular
they	olar
they are	olar
thick	qalın
thief	hırsız
thigh	bacaq
thin	arıq
thin	ince
thing	şey
things	şeyler
think	tüşünmek
third	üçünci
thirsty	suvsağan
thirteen	on üç
thirty	otuz
this	bu
this is	bu
thorough	çalıq
thoroughly	tamamen
those	şu
though	lâkin
thought	tüşündim
thoughtful	tüşünceli
thoughts	tüşünceler
thousand	biñ
thread	yip
threat	havf
threaten	qorqutmaq
three	üç
threshold	bosağa
thrilled	eyecanlı
thrive	oñmaq
throat	tamaq
through	vastasınen
throughout	boyunca
throw	atmaq
thumb	baş parmaq
thunder	kök güdürdisi
Thursday	Cumaaqşamı
thus	böyleliknen
tick	işaret
tide	artıluv
tidy	mismil
tie	boyunbağ
tiger	qaplan
tight	tığız
Tigrinya	Tigrinya tili
time	vaqıt
timid	tartınçaq
tiny	bir qarış
tip	bahşış
tips	bahşışlar
tire	şın
tired	boldurğan
tissue	toquma
title	başlıq
to be	olmaq
toast	qızartılğan ötmek
today	bugün
toddler	ilk adımlarını yapqan bala
toes	ayaq parmaqları
together	beraber
toilet	kenef
told	ayttı
tolerance	sabır
tolerate	dayanmaq
tomato	pomidor
tomorrow	yarın
tongue	til
tonight	bu gece
too	de
too	qarardan ziyade
took	aldı
tool	alet
tools	aletler
tooth	tiş
top	üstü
topic	mevzu
torn	yırtıq
torture	azap
total	toplam olaraq
touch	tiymek
tough	sert
tour	tur
toward	doğru
towards	taba
towel	yağbez
town	qasaba
toxic	zeerli
trace	iz
track	tar soqaq
trade	ticaret
tradition	anane
traditional	ananeviy
traffic	yol areketi
trail	iz
train	tren
training	ögretüv
trait	tabiat çizgisi
traits	hususiyetler
transfer	yerini deñiştirmek
transition	keçme
translate	tercime etmek
transparent	şeffaf
transport	naqliyat vastası
transportation	naqliyat
trap	qapqan
trash	çöplük
trauma	travma
travel	seyahat
tray	tepsi
treasure	hazine
treat	tedaviylemek
treatment	tedaviylev
tree	terek
tremendous	pek büyük
trend	temayül
trial	sınama
trick	iylekârlıq
tried	tırıştı
trigger	tetik
trim	qırqmaq
trip	yolculıq
trouble	qıyınlıq
trousers	ştan
truck	yük maşnası
true	doğru olğan
trunk	kevde
trust	işanç
truth	aqiqat
try	tırışmaq
Tsonga	Tsonga tili
tube	boru
Tuesday	Salı
tuition	talim
turkey	körel
turmeric	zerdeçal
turn	burmaq
turtle	qaplı baqa
tutor	oca
twelve	on eki
twenty	yigirmi
twenty-one	yigirmi bir
Twi	Tvi tili
twice	eki kere
twist	büklemek
two	eki
type	tür
typical	tipik
ugly	çirkin
ultimate	qatiy
umbrella	şemsiye
unable	yapıp olamay
uncle	emce
unconscious	bayılğan
under	tübünde
underneath	tübünde
underrated	lâyıq qıymet kesilmegen
understand	añlamaq
understood	añladı
unfortunately	yazıqlar olsun ki
uniform	uniforma
unique	beñzersiz
unit	ölçü birlemi
university	universitet
unknown	mecul
unless	bu vaqıtqace
until	qadar
unusual	taacip
up	yuqarı
up to you	saña bağlı
update	yañartmaq
upgrade	yükseltme
upon	üstünde
upset	qasevetli
urban	şeer
urge	türtmek
urgent	acele
us	bizni
use	qullanmaq
used	qullanılğan
useful	faydalı
useless	nafile
usual	basit
usually	adetince
utility	fayda
vacation	tatil
vaccination	aşılama
vaccine	aşı
vacuum	vakuum
vague	belgisiz
valid	aqiqiy olğan
valley	vadiy
valuable	qıymetli
value	qadirine yetmek
variety	çeşitlik
various	türlü
vary	farqlılıq köstermek
vase	çiçek savutı
vast	qulan
vegetable	sebze
vegetables	sebzeler
vehicle	naqliyat vastası
vendor	satıcı
venom	zeer
venture	macera
venue	mekân
verify	teşkermek
versatile	çoq taraflama
version	versiya
vertical	tik
very	pek
very good	pek yahşı
vessel	gemi
via	vastasınen
vibe	müit
vibes	ihtizaz
vicious	amansız
victim	qurban
video	video
view	baqış
village	köy
villain	yaramay adam
vinegar	sirke
vintage	yüzüm cıyuvı
violence	zorbalıq
violent	cebriy
viral	virus
virgin	baqire
virtual	virtual
virtue	fazilet
vision	baqış
visit	ziyaret
visual	tışqı
vital	ayatiy emiyeti olğan
vivid	parlaq
vocabulary	til baylığı
voice	ses
void	keçersiz
volume	kölem
volunteer	göñülli
vomit	qusmaq
vulnerable	imayesiz
wage	maaş
wages	ücret
waist	bel
wait	toqta
waiter	ayaqçı
waiting	beklev
wake	uyanmaq
wake up	uyanmaq
walk	yürmek
walking	yürüş
wall	divar
wallet	cüzdan
wander	dolanmaq
wanna	istemek
want	istemek
wanted	istegen
war	cenk
wardrobe	urba dolabı
warehouse	anbar
warm	issi
warn	ihtar etmek
warning	tenbi
warrior	cenkçi
was	edi
wash	yuvmaq
waste	qalımtı
waste	boşuna sarf etmek
watch	baqmaq
watch	saat
water	suv
watermelon	qarpız
wave	dalğa
way	usul
we	biz
we are	biz
we can	biz yapıp olurmız
weak	zayıf
weakness	zayıflıq
wealth	baylıq
wealthy	barlıqlı
wear	kiymek
wearing	urba
weather	ava vaziyeti
wedding	toy
Wednesday	Çarşenbe
weed	kiyik ot
week	afta
weekend	raatlıq künleri
weight	ağırlıq
weird	hucur
welcome	hoş keldiñ
welfare	bolluq
Well	Aydı
Well	Yahşı
well done	aferin
went	ketti
were	bar edi
west	ğarp
wet	sers
whale	kit balığı
what	ne
what about you	ya sen
what are you doing	ne yapasıñ
what are you doing now	sen şimdi ne yapasıñ
what are you doing right now	şimdi ne yapasıñ
what do you do	ne yapasıñ
what do you do for a living	yaşamaq içün ne iş yapasıñız
what do you mean	sen ne aytmağa isteysiñ
what do you want	ne isteysiñ
what happened	ne oldı
what is	nedir
what is this	bu nedir
what is your job	kim olıp çalışasıñ
what is your name	adıñ ne
what's up	ne oldı
what's your name	adıñ ne
whatever	ne de olsa
wheat	boğday
wheel	köpçek
when	ne vaqıt
whenever	er vaqıt
where	qayda
where are you	sen qaydasıñ
where are you from	sen qaydansıñ
where are you now	sen şimdi qaydasıñ
where do you live	qayda yaşaysıñ
where is	qaydadır
whereas	albuki
whether	olıp-olmağanı
which	qaysı
while	ise
whisper	fısıltı
whistle	sızğırmaq
white	beyaz
who	kim
who are you	sen kimsiñ
who is	kimdir
who is this	bu kim
whole	bütün
whom	kimge
whose	kimniñ
why	ne içün
why not	neden olmasın
wicked	kindar
wide	keñ
widow	tul qadın
width	keñlik
wife	qarı
wild	kiyik
will	olacaq
willing	azır olğan
win	yeñmek
wind	yel
window	pencere
windy	ruzgârlı
wine	şarap
winter	qış
wipe	sürtmek
wire	tel
wisdom	ikmet
wise	ikmetli
wish	istek
wish you all the best	eñ eyi tilekler
witch	cadı
with	ile
withdraw	keri çekmek
withdrawal	alıp çıqarma
within	sıñırları içinde
without	olmadan
witness	şaat
witty	keskin aqıllı
wolf	qaşqır
woman	qadın
women	qadınlar
won	ğalebe qazandı
won't	olmaycaq
wonder	ayretlenmek
wonderful	mücizeviy
wood	ağaç
wool	yün
word	söz
words	sözler
work	iş
work out	işlemek
working	çalışqan
world	dünya
worm	qurt
worn	yıpranğan
worried	eyecanlandı
worry	raatsızlanmaq
worse	daa beter
worship	tapma
worst	beter
worth	qıymet
worth it	qıymetke malik
worthy	munasip
would	olur
wound	yara
Wow	Demese
wrap	sarmaq
wrath	ğadap
wrist	bilek
write	yazmaq
Write here	Mında yaz
writing	yazam
written	yazılğan
wrong	yañlış
wrote	yazdı
yard	azbar
yawn	esnemek
Yeah	Ebet
year	yıl
years	yıllar
yeast	maya
yell	bağırmaq
yellow	sarı
Yes	E
yes baby	e, evlâdım
yes dear	ebet, canım
yes honey	ebet, tatlım
yes my love	ebet, sevgilim
yes of course	e, ebet
yesterday	tünevin
yet	şimdilik
yield	kâr
you	sen
you are	sen
you are beautiful	sen dülbersiñ
you are so beautiful	pek güzelsiñ
you are welcome	bir şey degil
you can	sen yapıp olasıñ
You know	Bilesiñmi
you too	sen de
you're welcome	Allah razı olsun
young	genç
your	seniñ
your welcome	bir şey degil
yourself	özüni
youth	yaşlar
you’re welcome	Allah razı olsun
yummy	damlı
zero	sıfır
