a little	азғана
a lot	көп
a lot of	көп
abandon	таслап кетиў
abandoned	таслап кетилген
abide	садық қалыў
ability	бежере алыў
able	қолдан келиў
about	ҳаққында
above	жоқарыда
abroad	сырт ел
absence	жоқлығы
absent	жоқ
absolutely	толық түрде
absorb	сиңдириў
abstract	абстракт
absurd	биймәни
abundance	молшылық
abundant	мол
abuse	кемситиў
accent	акцент
accept	қабыллаў
access	рухсат
access	қол жетиў
accident	бахытсыз ҳәдийсе
accommodation	баспана
accomplish	әмелге асырыў
accomplished	орынланған
according	гѳре
account	есап бети
accuracy	анықлық
accurate	қәтесиз
accused	айыпланған
ache	аўырыў
achieve	ерисиў
achievement	жетискенлик
acknowledge	тастыйықлаў
acquaintance	таныс
acquire	ийе болыў
acquired	алынған
acquisition	ийе болыў
across	бойлап
act	роль ойнаў
action	ҳәрекет
active	актив
activities	әмелиятлар
activity	искерлик
actor	актёр
actual	актуал
actually	негизинде
acute	аўыр
adapt	сәйкес келтириў
add	қосыў
addicted	берилген
addition	қосымша
additional	қосымша
address	адрес
address	жѳнелтириў
adequate	орынлы
adjacent	тийип турған
adjective	келбетлик
adjust	туўрылаў
admire	илҳам алыў
admit	тән алыў
adopt	асырап алыў
adorable	сүйкимли
advance	илгерилеў
advanced	илгерилеген
advantage	абзаллық
adventure	ҳәдийсе
adverb	рәўиш
advertisement	реклама
advertising	реклама
advice	мәсләҳәт
advise	мәсләҳәт етиў
advocate	адвокат
advocate	қорғаў
aesthetic	эстетика
affair	ышқый мүнәсибет
affect	тәсир етиў
affection	сүйиў
afford	қурбы жетиў
affordable	қурбы жететуғын
afraid	қорқыў
after	кейин
afternoon	түстен кейин
afterwards	соң
again	тағы
against	қарсы
age	жас
agency	агентлик
agent	агент
aggressive	агрессив
agile	жедел
ago	алдын
agree	қосылыў
agreement	келисим
agriculture	аўыл хожалығы
ahead	алдыға
aid	жәрдем
aim	мақсет
air	ҳаўа
airport	аэропорт
aisle	коридор
alarm	тревога
alcohol	алкоголь
alert	тревога
alive	тири
all	барлығы
all right	болады
all the best	табыслар
allow	рухсат етиў
allowed	рухсат етилген
almost	дерлик
alone	жалғыз
along	бойлап
already	әллеқашан
Alright	Болады
also	сондай-ақ
alternative	алтернатив
although	қарамастан
always	бәрқулла
amazing	ҳайран қаларлық
ambiguous	анық болмаған
ambition	арзыў
ambitious	мийнеткеш
amend	өзгертиў
amid	ортасында
among	арасында
among us	арамызда
amount	муғдар
amusing	қызықлы
analysis	анализ
ancestors	ата-баба
anchor	якорь
ancient	әййемги
and	ҳәм
and you	ал сиз ши
angel	периште
anger	ғәзеп
angle	мүйеш
angry	ашыўлы
animal	ҳайўан
ankle	тобық
anniversary	юбилей
announcement	жәриялаў
annoy	ашыўландырыў
annoyed	ашыўлы
annoying	жинге тийетуғын
annual	жыллық
anonymous	аноним
another	басқа
answer	жуўап бериў
answer	жуўап
anticipate	шамалаў
anxiety	қәўетер
anxious	қәўетерленген
any	қәлеген
anyone	ким болса да
anything	қәлеген нәрсе
anyway	не болса да
anyways	не болса да
apart	басқа
apartment	квартира
apologize	кеширим сораў
apparent	айқын
apparently	көринисинен
appeal	қызықтырыў
appear	кѳриниў
appearance	кѳринис
appeared	көринди
appetite	иштей
apple	алма
application	дәстүр
apply	қоллаў
appointment	ушырасыў
appreciate	баҳалаў
appreciation	баҳалаў
approach	жантасыў
appropriate	орынлы
approval	тастыйық
approve	тастыйықлаў
approved	тастыйықланған
approximately	шама менен
april	апрель
arbitrary	ерки өзинде
architect	архитектор
architecture	архитектура
archive	архив
are you busy	бәнтсиз бе
are you married	турмысқа шыққансызба
are you married or single	сиз турмыс қурғансыз ба яки бойдақсыз ба
Are you still there?	Еле де усы жердесиз бе
are you there	усы жердесиз бе
area	майдан
argue	айтысыў
argument	аргумент
arise	пайда болыў
arm	қол
army	армия
around	әтирапында
arrange	шѳлкемлестириў
arrangement	реже
arrival	келиў
arrive	келиў
arrived	келди
arrogant	надан
arrow	стрелка
art	көркем өнер
article	статья
artificial	жасалма
artist	сүўретши
as	сыяқлы
as well as	сондай-ақ
ash	күл
ashamed	уялған
ask	сораў
asked	сорады
asleep	уйқыда
aspect	аспект
Assamese	Ассам
assault	тасланыў
assembly	жыйналыў
assertive	айтқанынан қайтпайтуғын
assess	баҳалаў
assessment	баҳалаў
asset	баҳалы үлес
assets	мүлк
assign	тайынлаў
assignment	тапсырма
assist	көмек бериў
assistant	жәрдемши
associate	байланыстырыў
associated	байланыслы
association	ассоциация
assume	ойлаў
assumption	түсиник
at least	кеминде
ate	жеди
athlete	атлет
attach	бириктириў
attached	бириктирилген
attachment	бириктирилген файл
attack	ҳүжим
attempt	урыныў
attempt	урыныс
attend	қатнасыў
attendance	қатнас
attention	итибар
attitude	мүнәсибет
attract	қаратыў
attraction	өзине тартыў
attractive	ѳзине қарататуғын
attribute	сын-сыпат
audience	аудитория
august	август
aunt	әжапа
aunty	әжапа
authentic	түп нусқа
author	автор
authority	басқарыўшы орган
autumn	гүз
available	бар
average	орташа
avoid	жырақ болыў
awake	ояў
award	сыйлық
aware	хабардар
awareness	хабардарлық
away	алыста
awesome	әжайып
awful	жаман
awkward	ебетейсиз
Aymara	Аймара
baby	бѳпе
bachelor	бойдақ
back	артқа
background	фон
bad	жаман
bag	сумка
bait	жемтик
bake	нан писириў
bakery	нанбайхана
baking soda	нан содасы
balance	теңлесиў
balance	теңсалмақлық
ball	топ
Bambara	Бамбара
banana	банан
band	лента
bang	соққы
bank	банк
bar	бар
barely	зорға
bargain	саўдаласыў
bark	үриў
barley	арпа
barrier	тосық
base	база
based	тийкарланып
basement	подвал
basic	тийкарғы
basically	тийкарынан
basil	райхан
bastard	ҳайўан
batch	партия
bath	монша
bathroom	душхана
battery	батарея
battle	соғыс
bay	теңиздиң қуяр жери
be	болыў
be careful	абайлы болың
beach	пляж
beam	нур
beans	лобия
bear	шыдаў
bear	айыў
beard	сақал
bearing	көринис
beast	мақлуқ
beat	урыў
beat	соққы
beautiful	сулыў
beauty	сулыўлық
became	болды
because	себеби
become	болыў
bed	жатақ
bedroom	жатақхана
bee	ҳәрре
beef	мал гөши
been	болды
beer	пиво
before	алдын
began	баслады
begin	баслаў
beginning	басы
behalf	пайдасына
behave	өзин тутыў
behavior	минез
behaviour	минез
behind	артында
being	болыў
belief	исеним
believe	исениў
belly	қарын
belong	тийисли болыў
beloved	сүйикли
below	тѳмендеги
belt	белбаў
bench	отырғыш
bend	ийиў
beneath	төменге
benefit	пайда
benefit	пайда кѳриў
benefits	пайдалары
beside	буннан басқа
besides	басқа
best	ең жақсы
best of luck	табыс тилеймен
best regards	ҳүрмет пенен
better	жақсырақ
between	ортасында
beverage	ишимлик
Bhojpuri	Божпури
bias	тәрепин алыў
biased	тәрепине аўған
bicycle	велосипед
bid	усынылған баҳа
big	үлкен
bike	велосипед
bill	тѳлем қағазы
bind	байлаў
bird	қус
birthday	туўылған күн
bit	аз
bite	тислеў
bite	тислем
bitter	ашшы
black	қара
blade	алмас
blame	айыплаў
blame	айып
blank	бoс
blanket	көрпе
blast	жарылыс
bleach	ағартыў
blend	аралaстырыў
bless	жарылқаў
blessed	жарылқаған
blind	соқыр
bliss	рәҳәт
block	блок
blood	қан
bloom	гүллеў
blow	үплеў
blue	кѳк
blunt	соққы бериў
board	доска
boat	қайық
body	дене
boil	қайнатыў
bold	батыл
bond	миннетлеме
bone	сүйек
book	китап
book	буйыртпа бериў
boost	тезлениў
booster	кушейткиш
boot	етик
boots	етик
border	шегара
bore	зеригиў
bored	зериккен
boring	зеригерли
born	туўма
borrow	қарызға алып турыў
boss	баслық
both	екеўи де
bother	мазалаў
bottle	шийше
bottom	түби
bought	сатып алды
bounce	шопшыў
bound	секириў
boundaries	шегаралары
bow	тәжим
bowl	кесе
box	қуты
boy	ул бала
boyfriend	жигити
bracelet	билезик
brain	мий
branch	филиал
brand	бренд
brave	дәўжүрек
breach	нормадан өзгериўи
bread	нан
break	тәнепис
break	бузыў
breakfast	таңғы ас
breast	көкирек
breath	нәпес
breathe	нәпес алыў
breed	әўлад
brick	гербиш
bride	келин
bridge	көпир
brief	қысқа мазмуны
bright	жарық
brilliant	зор
bring	алып келиў
bro	аға
broad	кең
broadcast	радио бағдарлама
broke	бузық
broken	бузылған
broom	сипсе
brother	ажаға
brother in law	жезде
brought	алып келди
brown	қоңыр
brush	кисть
bucket	шелек
buddy	достым
budget	бюджет
bug	қоңыз
build	қурыў
building	имарат
built	қурылған
bulk	көп муғдар
bull	өгиз
bully	қорқытыў
bump	исик
bunch	көплеген
bundle	түйин
burden	жүк болыў
burden	жүк
buried	көмилген
burn	жағыў
burst	атылыў
bury	жерлеў
bus	автобус
bush	шақа
business	бизнес
bust	кѳкирек
busy	бәнт
but	бирақ
butter	сары май
butterfly	гүбелек
button	кнопка
buy	сатып алыў
by	жанынан
by the way	айтпақшы
bye	хош
cabbage	капуста
cabinet	кабинет
cage	қәпес
cake	торт
calf	балтыр
call	қоңыраў етиў
call	қоңыраў
call me	мени шақырың
called	аталады
calm	жуўас
came	келди
campaign	акция өткериў
can	консерва
Cancel	Бийкарлаў
cancer	рак
capable	уқыплы
capacity	уқыплылық
capital	пайтахт
caption	субтитр
capture	қамтыў
car	машина
career	карьера
careful	абайлы
carefully	абайлы
careless	ойсыз
caring	қайғыратуғын
carpenter	ағаш устасы
carpet	гилем
carrot	гешир
carry	апарыў
carry on	даўам етиў
carry out	орынлаў
case	жағдай
cash	нақ пул
cast	cәўлеси түсиў
castle	сарай
casual	күнделикли
cat	пышық
catch	услаў
category	категория
cattle	мал
caught	услады
cause	себеп
cause	себеп болыў
caution	сақлық
cautious	абайлы
cave	үңгир
cease	тоқтатыў
ceiling	потолок
celebrate	байрамлаў
cell	клетка
center	орай
century	әсир
cereal	овсянка
ceremony	дәбдебе
certain	белигили бир
certainly	әлбетте
certificate	сертификат
chain	шынжыр
chair	стул
challenge	сынаў
challenge	сынақ
chance	имканият
change	ѳзгериў
chaos	хаос
character	характер
characteristics	минезлеме
charge	тѳлем салыў
charity	қайырқомлық
charming	өзине тартатуғын
chart	сызылма
chase	изине түсиў
chat	сәўбетлесиў
chat	чат
cheap	арзан
cheat	ҳийлекерлик қылыў
cheating	ҳийлекерлик
check	чек
check	тексериў
cheek	шеке
cheer	алғыслаў
cheerful	шадлы
cheers	рахмет
cheese	сыр
chemistry	химия
cherish	еркелетиў
chess	шахмат
chest	кѳкирек
chew	шайнаў
chicken	шөже
chief	баслық
child	бала
childhood	балалық
children	балалар
chill	суўық
chill	суўыў
chimneys	моры
chin	ийек
chocolate	шокалад
choice	таңлаў
choose	сайлаў
chop	шабыў
chores	үй жумыслары
chubby	томпақ
church	ширкеў
cinnamon	дәмли қуўраған қабық
circle	шеңбер
circumstances	жағдайлар
citizen	пухара
city	қала
claim	талап етиў
claim	талапнама
clarify	анықластырыў
class	класс
clay	саз ылай
clean	таза
clear	тазалаў
clear	түсиникли
clerk	секретарь
clever	ақыллы
client	қарыйдар
cliff	жар
climate	климат
climb	өрмелеў
clingy	жабысқақ
clock	саат
close	жабыў
closet	кийим шкаф
cloth	таўар
clothes	кийимлер
cloud	булт
cloudy	бултлы
clown	масқарапаз
clue	шешим
clumsy	ийкемсиз
cluster	топар
coach	тренер
coach	тренерлик етиў
coal	көмир
coast	теңиз жағасы
coat	пальто
coffee	кофе
cognitive	когнитивлик
coincidence	тосыннан болған
cold	суўық
collapse	қулаў
collar	жаға
colleague	кәсиплес
colleagues	кәсиплеслер
collect	жыйнаў
collection	коллекция
college	колледж
color	рең
colorless green ideas slept furiously	реңсиз жасыл идеялар қызғын уйықлады
colour	рең
column	бағана
comb	тарақ
combination	комбинация
combine	бирлестириў
come	келиў
come here	мына жерге келиң
come on	кеттик
comfort	қолайлық
comfortable	қолайлы
coming	киятырған
coming soon	тез арада
command	буйырыў
comment	пикир
commercial	коммерциялық
commission	комиссия
commit	ислеў
commitment	пидайылық
committed	өзин бағышлағaн
commodity	тутыныў буйымлары
common	әдеттеги
communicate	сөйлесиў
communication	коммуникация
community	жәмийет
commute	көликтен пайдаланыў
companion	жолдас
company	компания
compare	салыстырыў
comparison	салыстырыў
compassion	тилеклеслик
compassionate	аяў
compatible	сай келетуғын
compete	бәсекилесиў
competent	компонент
competition	бәсеки
competitive	бәсекилес
complain	арыз етиў
complaint	шағым
complement	марапат
complement	марапатлаў
complete	жуўмақлаў
completely	толығы менен
complex	қурамалы
compliance	cәйкеслик
complicated	қурамалы
compliment	хошамет
comply	әмел етиў
composition	қураў
compound	қурамалы
comprehension	түсиниў
comprehensive	кең қамраўлы
compromise	келисим
compromise	келисимге келиў
compulsory	мәжбүрий
computer	компьютер
concentrate	дыққатты жәмлеў
concept	концепция
concern	тәшўишлениў
concern	тәшўиш
concerned	тәшўишленген
concert	концерт
conclusion	жуўмақ
concrete	анық белгиленген
concrete	бетонлаў
concrete	бетон
condition	жағдай
conditions	шараятлар
conduct	ѳткериў
conference	конференция
confess	мойынлаў
confidence	исеним
confident	исеними кәмил
confirm	тастыйықлаў
conflict	келиспеўшилик
confused	адастырып қойған
confusion	шатастырыў
congrats	қутлықлаў
congratulation	қутлықлаў
congratulations	қутлықлайман
conjunction	жалғаў
connect	байланыстырыў
conquer	басып алыў
conscious	ҳуўышлы
consciousness	ес-ҳушлы ҳалат
consent	келисим
consent	келисим бериў
consequences	әқыбетлери
conservation	тәбиятты қорғаў
conservative	бийтәреп
consider	есапқа алыў
considered	есапланады
consist	қураў
consistency	турақлылық
consistent	турақлы
constant	турақлы
constantly	үзликсиз
constipation	ишқатыў
construction	қурылыс
consume	сарып етиў
consumption	тутыныў
contact	байланыс
contact	байланысыў
contagious	жуғымлы
contain	қурамына алыў
contains	өз ишине алады
contemporary	ҳәзирги
contempt	жеккөриў
content	мазмуны
contest	жарыс
context	контекст
continent	материк
continue	даўам етиў
contract	шәртнама дүзиў
contract	шәртнама
contrast	контраст
contrast	салыстырыў
contribute	үлес қосыў
contribution	үлес
control	бақлаў
controversial	даўлы
convenience	қолайлық
convenient	қолайлы
conversation	сәўбет
convert	көзқарасын өзгерткен адам
convert	өзгериў
convey	билдириў
convince	көндириў
convinced	көнген
cook	писириў
cook	аспаз
cooking	писириў
cool	әжайып
cool	салқын
cooperation	бирге ислесиў
cope	әмеллеў
copper	мыс
core	түбир
corn	мәкке
corner	мүйеш
correct	дурыслаў
cost	баҳа
cost	турыў
costume	костюм
cottage	коттедж
cotton	пахта
couch	диван
cough	жѳтелиў
council	елшихана
count	санаў
counter	қарсы
country	мәмлекет
countryside	аўыллық жер
couple	жуп
courage	батыл
course	курс
court	суд
courtesy	мүләйимлик
cousin	жийен
cover	қаплаў
cow	сыйыр
coward	қорқақ
cozy	қолайлы
crab	краб
crack	жарық
crack	жарылыў
craft	қол мийнети
crap	қудайдан тапқыр
crash	соқлығысыў
craving	күшли қәлеў
crawl	жер баўырлап жүриў
crazy	есер
create	жаратыў
creative	жаратыўшылық қәбилет
credit	кредит
creep	ет түршигиўи
creepy	жүдә қорқынышлы
crew	экипаж
crime	жынаят
cringe	қолайсыз сезиниў
cringe	жағымпаз
crisis	кризис
criteria	критерия
critical	қәўипли
criticism	критика
crop	қырманды жыйнаў
crops	егинлер
cross	кесип өтиў
cross	крестик
crow	ғарға
crowd	тығылыспа
crowded	адамлар менен толған
crown	таж
crucial	тийкарғы
cruel	мийиримсиз
cruise	теңиз саяхаты
crush	соқлығысыў
cry	жылаў
cucumber	қыяр
cuddle	қушақлаў
culture	мәденият
cunning	ҳийлекерлик
cup	чашка
cupboard	шкаф
curb	ноқталаў
cure	eм
cure	емлеў
curfew	комендантлық сааты
curiosity	қызыққанлық
curious	қызыққан
curly	буйра
currency	пул бирлиги
current	ҳәзирги
currently	ҳәзирде
curse	ғарғыс
curtain	перде
cushion	дастық
custom	әдет
customer	тутыныўшы
customs	таможня
cut	кесиў
cut	кесилген жер
cute	сүйкимли
cycle	цикл
cycling	велосипед айдаў
dad	әке
daddy	әке
daily	күнделикли
dairy	күнделик
dam	дамба
damage	зиян
damage	зиян жеткериў
damn	тақыры шыққыр
damp	ызғар
dance	ойын
danger	қәўип
dangerous	қәўипли
dark	қараңғы
darling	әзизим
dash	cызықша
data	мағлыўмат
date	ушырасып жүриў
date	сәне
daughter	қыз перзент
day	күн
dead	өли
deadline	мүддет
deaf	герең
deal	келисим
deal	ислесиў
dear	қәдирли
Dear All	Ҳүрметли Жәмәәт
Dear Customer	Ҳүрметли Тутыныўшы
Dear Parents	Қәдирли Ата-аналар
Dear Sir	Қәдирли Мырза
Dear students	Қәдирли студентлер
Dear Team	Қәдирли команда ағзалары
death	өлим
debate	дебат
debit	дебет
debris	сынықлары
debt	қарыз
decade	он жыллық
decay	ириңлесиў
deceased	қайтыс болған
deceive	алдаў
december	декабрь
decent	әпиўайы
decide	шешиў
decided	қарар етти
decision	шешим
deck	терраса
decline	бийкар етиў
decrease	төменлеў
dedicated	өзин бағышлаған
dedication	өзин бағышлаў
deed	әмел
deep	терең
deer	суўын
default	дәслепки
defeat	жеңиў
defeat	жеңилис
defend	қорғаў
define	анықлаў
definitely	анық түрде
definition	анықлама
degree	дәреже
delay	кешигиў
delayed	кешиктирилген
delete	өшириў
deliberate	асықпастан
delicate	деликатес
delicious	мазалы
delight	рәҳәтлениў
delighted	қуўанышлы
deliver	жеткерип бериў
delivered	жеткерип берилген
delivery	апарып бериў
demand	талап етиў
demand	талап
demanding	талап ететуғын
democracy	демократия
demon	шайтан
demonstrate	көрсетиў
denied	бийкар етиў
density	тығызлық
dentist	тис шыпакери
deny	мойынламаў
department	бөлим
departure	кетиў
depend	байланыслы болыў
deploy	иске қосыў
deposit	ақша салыў
deposit	аманат
depressed	түскинликке түскен
depression	депрессия
depth	тереңлик
describe	сүўретлеў
description	cүўретлеў
desert	шѳл
deserve	ылайық болыў
design	дизайн
design	жаратыў
designation	аңлатыў
desire	тилек
desire	тилеў
desk	стол
despair	үмитсизлик
desperate	үмитсиз
despite	қарамастан
dessert	саҳра
destination	соңғы мәнзил
destiny	тәғдир
destroy	бузыў
destruction	жоқ етиў
detail	толық мағлыўмат
details	қосымша мағлыўматлар
detect	анықлаў
determination	батыллық
determine	қарар қабыллаў
determined	қарар қабыллаған
devastated	ҳәммесинен шаршаған
develop	раүажланыў
developed	раўажланған
development	раўажланыў
device	қурылма
devil	шайтан
devoted	арнаған
Dhivehi	Дивехи
diabetes	қант кесели
diarrhea	диарея
diary	күнделик
dictionary	сөзлик
did	қылды
die	набыт болыў
died	набыт болды
diet	диета
difference	айырмашылық
different	парықлы
difficult	қыйын
dig	қазыў
dignity	намыс
diligent	пуқта
dinner	кешки ас
dip	батырыў
direct	тик
direction	бағыт
director	директор
dirt	кир
dirty	кир
disable	истен шығарыў
disabled	майып
disappear	жоғалыў
disappointed	қапа
disaster	апат
discard	таслап жибериў
discharge	ажыратып шығарыў
discipline	тәртип
discount	баҳасын түсириў
discover	ашыў
discrimination	дискриминация
discuss	талқылаў
discussion	талқылаў
disease	кеселлик
diseases	кеселликлер
disguise	нықапланыў
disgusting	жеркенишли
dish	аўқат
dishes	ыдыс-табақ
dismiss	азат етиў
dispatch	жөнетиў
display	көрсетиў
disposal	утилизация
dispute	даў
distance	аралық
distinct	айрықша
distinguish	таныў
distress	қайғы
distribution	бөлистириў
district	район
disturb	тынышын алыў
ditch	жап
dive	сүңгиў
diverse	ҳәр түрли
diversity	ҳәрқыйлылық
divide	бөлиў
divine	улама
divorce	ажырасыў
divorce	ажырым
dizzy	басты айландыратуғын
do	қылыў
do you love me	мени сүйесең бе
doctor	шыпакер
document	ҳүжжет
does	қылады
dog	ийт
Dogri	Догри
doing	ислеп атырған
doll	қуўыршақ
domain	тараў
domestic	жергиликли
dominant	жетекши
Don't worry	қәўетерленбең
donate	инам етиў
done	исленди
donkey	ешек
dope	наркотик
double	еки есеге көбейтиў
double	екилик
doubt	гүман
doubt	гүманланыў
dough	қамыр
down	тѳменге
download	жүклеп алыў
draft	сызылма ислеў
draft	шала нусқа
drag	тартыў
drain	ағыў
drama	трагедия
draw	сызыў
drawer	тартпа
drawing	сүўрет салыў
dread	қалтыраў
dream	әрман етиў
dream	әрман
dress	көйлек
drill	тесиў
drink	ишимлик
drink	ишиў
drive	айдаў
drop	тамшылаў
drop	тамшы
dropped	түсирилген
drought	қурғақшылық
drunk	мәс
dry	қурғақ
duck	үйрек
dude	жигит
due	мәжбүрият
due to	себебинен
dull	ѳтпес
dumb	ақылсыз
dump	шығынды үйиндиси
duration	даўамлылығы
during	даўамында
dust	шаң
duty	нәўбетши
dwell	күн кешириў
dying	набыт болыў
each	ҳәр бир
each other	бир-бири
eager	қатты қәлеў
eagle	бүркит
ear	қулақ
earlier	ертерек
early	ерте
earn	табыс табыў
ears	қулақлар
earth	жер
earthquake	жер силкиниў
ease	аңсатлық
easily	аңсатлық пенен
east	шығыс
easy	аңсат
eat	жеў
eating	жеў
economic	экономикалық
economy	экономика
edge	шети
edit	өзгерис киритиў
education	тәлим
effect	тәсир
effective	нәтийжели
efficiency	нәтийжелилик
efficient	нәтийжели
effort	ҳәрекет
egg	мәйек
eggplant	баклажан
ego	қара басын ойлаў
eight	сегиз
eighteen	он сегиз
eighty	сексен
elaborate	раўажландырыў
elbow	шығанақ
elder	жасы үлкен
elderly	жасы үлкен
elegant	жасанған
element	элемент
elephant	пил
eleven	он бир
eligible	туўра келетуғын
eliminate	алып таслаў
else	болмаса
embarrassed	уялып қалыў
embarrassing	уятлы
embrace	қамрап алыў
emerge	пайда болыў
emergency	қыстаўлы жәрдем
emotional	эмоционал
empathy	тилеклеслик
emphasis	пәт
emphasize	атап айтыў
employee	жумысшы
employees	жумысшылар
employer	жумыс бериўши
employment	бәнтлик
empty	бос
enable	жәрдем бериў
encounter	дус келиў
encourage	үндеў
end	соңы
endangered	қәўип астындағы
endeavor	талпыныў
endurance	шыдам
endure	шыдаў
enemy	душпан
energy	энергия
engage	бәнт етиў
engaged	бәнт
engagement	шуғылланатуғын ис
engine	двигатель
engineer	инженер
English	Инглис
enhance	күшейтиў
enjoy	рәҳәтлениў
enormous	үлкен
enough	жетерли
ensure	исеним кәмил етиў
enter	кириў
entertainment	кеўил жазыў
enthusiasm	көтериңкилик
enthusiastic	күш-ғайратлы
entire	пүткил
entitled	аталған
entity	cубъект
entrance	кириў орны
entrepreneur	исбилермен
envelope	конверт
environment	қоршаған әтирап
envy	көре алмаўшылық
epic	тәкирарланбас
epidemic	эпидемия
equal	тең
equipment	үскене
equity	устав капиталы
equivalent	эквивалент
eraser	өширгиш
error	қәтелик
escape	қашыў
especially	әсиресе
essay	шығарма
essence	барлық
essential	тийкарғы
establish	тийкар салыў
established	тийкар салынған
estate	мүлк
estimate	баҳалаў
estimated	баҳаланған
etc	т.б.
eternal	мәңгилик
ethics	этика
evaluate	баҳалаў
evaluation	баҳалаў
even	ҳәттеки
even though	cолай болса да
evening	кеш
event	ўақыя
eventually	нәтийжеде
ever	қашан болсада
every	ҳәрбир
everybody	ҳәмме
everyone	нәўбетке турыў
everything	ҳәр бир
evidence	дәлил
evil	ғәрез нийетли
evolution	эволюция
evolve	жүзеге келиў
Ewe	Эве
exact	тап сондай
exactly	дәл сондай
exam	экзамен
examine	экзамен
example	мысал
exceed	шығып кетиў
excellent	жүдә жақсы
except	тысқары
exception	басқа жағдайлар
excess	молайыў
excessive	ҳәдден тыс
exchange	алмасыў
excited	қуўанышлы
excitement	қуўаныш
exciting	қуўандырарлы
exclusive	эксклюзив
excuse	кеширим сораў
excuse me	мени кеширесиз
execute	орынлаў
execution	жаза
executive	орынлаўшы
exercise	шынығыў ислеў
exercise	шынығыў
exhaust	ҳалдан тайыў
exhausted	шаршаған
exhibit	көргизбеге қойыў
exhibition	көргизбе
exist	бар болыў
existence	барлық
existing	бар болған
exit	шығыў
expand	жайылыў
expect	күтиў
expected	күтилген
expenses	шығымлар
expensive	қымбат
experience	тәжирийбе
experience	бастан кешириў
experiment	сынаў
expert	эксперт
expired	мүддети өткен
explain	түсиндириў
explanation	түсиндирме
exploit	ерлик
explore	ашыў
export	экспорт
expose	сырын ашыў
exposed	тәсирине түскен
exposure	дуўшар болыў
express	билдириў
expression	аңлатпа
extend	созыў
extended	узайтырылған
extension	кеңейтпе
extent	кеңислик
external	сыртқы
extinct	өшкен
extra	аўысық
extract	айырып алыў
extraordinary	әдеттен тыс
extreme	экстремал
extremely	өте
eye	көз
eyes	көзлер
fabric	таўар
fabulous	теңсиз
face	жүзи
face	дусласыў
facilitate	шараят жаратыў
facilities	бейимлестирилген орынлар
facility	бейимлестирилген орын
fact	факт
factor	фактор
factory	завод
facts	фактлер
fade	жоғалыў
fail	сәтсизлик
fail	сәтсиз болыў
failed	сәтсиз болған
failure	әўметсизлик
faint	есин жойтыў
fair	әдил
fair	реңсиз
fairly	шама менен
fairy	сыйқырлы
faith	ийман
faithful	ҳадал
fake	жалған
fall	қулаў
false	ЖАЛҒАН
fame	даңқ
familiar	таныс
family	шаңарақ
famine	ашаршылық
famous	танықлы
fan	вентилятор
fan	ықласбент
fancy	ѳзгеше
fantastic	әжайып
far	узақ
farewell	хошласыў
farm	ферма
farmer	фермер
fascinating	таң қаларлық
fashion	мода
fast	тез
fat	семиз
fatal	өмирге қәўипли
fate	тәғдир
father	әке
fatigue	ҳалсызлық
fault	қәтелик
favorite	унатқан
favour	жақсылық
favourite	унатқан
fear	қорқыў
fear	қорқыныш
