a little	азғана
feast	байрамлаў
feather	пәр
feature	сәўлелениў
feature	қәсийет
features	қәсийетлер
february	февраль
fed up	бийзар болған
fee	төлем
feed	бағыў
feedback	пикир
feel	сезиў
feeling	сезим
feet	аяқлар
fell	қулады
fellow	дос
felt	сезди
female	ҳаял
fence	ергенек
fertile	өнимдар
festival	фестиваль
fetch	алып келиў
fever	ыссылық
few	аз
fewer	азлаў
fiance	күйеў бала
fiction	көркем шығарма
field	майдан
fierce	рейимсиз
fifteen	он бес
fifty	елиў
fight	тѳбелесиў
fight	тѳбелес
fighting	төбелес
figure	фигура
figure	cүўретлеў
figure out	аңлап жетиў
file	файл
fill	толтырыў
filled	толтырылған
film	фильм
filthy	патас
finally	ақырында
finance	қаржы
financial	қаржы
find	табыў
find out	анықлаў
fine	жәрийма
fine	нәзик дид пенен
finger	бармақ
finish	жуўмақлаў
finished	жуўмақланған
fire	ѳрт
firm	беккем
firm	фирма
first	биринши
first name	исим
fish	балық
fit	туўра келиў
five	бес
fix	дүзетиў
fixed	орнатылған
flag	байрақ
flash	жарқ етиў
flat	тегислик
flat	тегис
flaw	дефект
flawless	минсиз
flee	бүрге
flesh	қам гөш
flew	ушты
flex	бүгиў
flexible	ийкемли
flight	ушыў
flip	жеңил таслаў
flirt	гәп атыў
flirting	гәп атыў
float	қалқыў
flood	cуў тасқыны
floor	пол
flour	ун
flow	ағыў
flow	ағыс
flower	гүл
flu	грипп
fluent	еркин
fluently	еркин
fluffy	жумсақ
fluid	суйықлық
fly	ушыў
focus	итибар қаратыў
focus	итибар
fog	думан
foggy	думанлы
fold	бүклеў
folks	халық
follow	ериў
follow up	бақлаў
following	кейинги
food	аўқат
fool	ахмақ қылыў
fool	ахмақ
foolish	ахмақшылық
foot	аяқ
football	футбол
for	ушын
For example	Мысал ушын
for instance	мысал ушын
for you	сиз ушын
forbidden	қадаған етилген
force	мәжбүрлеў
forecast	болжам
forehead	маңлай
foreign	ѳзге
forest	тоғай
forever	мәнгиликке
forget	умытыў
forgive	кешириў
forgot	умытқан
fork	вилка
form	форма
form	формаға кириў
formal	рәсмий
former	алдынғы
fortunately	бахтыма
fortune	бахыт
forty	қырық
forty-two	қырық еки
forward	алға
foster	тәрбиялаў
fought	гүрести
found	табылған
foundation	тийкар
four	төрт
fourteen	он төрт
fox	түлки
fragile	морт
frame	рамка
framework	каркас
fraud	алдаўшылық
freak	сықылсыз
free	еркин
freedom	еркинлик
freeze	музлаў
frequency	жийилик
frequent	жийи
frequently	тез-тезден
fresh	жаңа
friday	жума
fridge	музлатқыш
friend	дос
friendly	досшыл
friends	дослар
friendship	дослық
frightened	қорқып қалған
frightening	қорқынышлы
frog	қурбақа
front	алды
frozen	музлаған
fruit	мийўе
frustrated	ашыўлaнған
fuel	жанылғы
Fulfulde	Фулфулдэ
full	толық
fun	қызықлы
function	функция
fundamental	фундаментал
funeral	жаназа
funny	күлкили
fur	жүн
furious	қәҳәрли
furniture	мебель
further	келеси
furthermore	қала берсе
future	келешек
gain	ерисиў
gain	ерискенлик
game	ойын
gap	бослық
garage	гараж
garbage	шығынды
garden	бағ
garlic	сарымсақ
gate	дәрўаза
gather	жыйнаў
gathering	жыйналыў
gauge	көрсеткиш
gave	берди
gear	механизм
gender	жыныс
general	улыўмалық
generally	улыўма
generate	жаратыў
generation	әўлад
generous	қолы ашық
genius	дана
genre	жанр
gentle	мүләйим
genuine	шын
gesture	қылық
get	алыў
get dressed	кийиниў
get up	турыў
get well soon	тезирек тәўир болып кетиң
getting	алыў
ghost	әрўақ
ghosting	биреўдиң орнына ислеў
giant	күтә үлкен
gift	саўға
ginger	имбирь
girl	қыз бала
girlfriend	яр
give	бериў
give up	тоқтатыў
given	берилген
glad	шад
glance	қараў
glass	стакан
glasses	көзәйнек
glimpse	жылтылдаў
global	дүнья жүзлик
gloomy	түнерген
gloves	қолғап
glow	жылтыраў
glow up	жайнап кетиў
glue	желим
go	барыў
go ahead	баслаң
go away	кет
go to bed	уйықлаўға жатыў
goal	мақсет
goals	мақсет
goat	ешки
god	қудай
god bless you	қудай жарылқасын
goes	барады
going	баратырған
going to	қылажық болыў
gold	алтын
gone	кетти
goo	жапысқақ предмет
good	жақсылық
good	жақсы
good afternoon	қайырлы күн
good bye	хош болың
good day	күнди жақсы өткериң
good evening	қайырлы кеш
good job	бәрекелла
good looking	сыпайы
good luck	табыс тилеймен
good morning	қайырлы таң
good morning my love	қайырлы таң сүйиклим
good night	қайырлы түн
goodbye	хош болың
goodnight	қайырлы түн
goods	товарлар
Google Translate	Google Translate
goose	ғаз
gorgeous	гѳззал
gossip	өсек
got	болды
got it	түсиндим
government	мәмлекет
grab	услаў
grade	класс
gradually	кем-кемнен
graduate	жоқары оқыў орнын питкериў
grain	дән
grant	грант
granted	менен тәмийинленген
grapes	жүзим
grasp	беккем услаў
grass	шөп
grateful	миннетдар
gratitude	миннетдаршылық
grave	қәбир
gray	күл рең
great	уллы
greed	ашкөзлик
greedy	ашкөз
green	жасыл
greet	сәлемлесиў
greeting	сәлемлесиў
greetings	сәлем
grey	күл рең
grid	сетка
grief	қайғы
grind	егеў
grip	услаў
grocery	азық-аўқат дүкәны
groom	күйеў
gross	брутто
ground	жер
group	топар
grow	ѳсиў
growth	өсиў
grumpy	кейпиятсыз
Guarani	Гуарани
guarantee	кепиллик
guard	тәнсақшы
guess	ойлаў
guest	қонақ
guidance	қолланба
guide	басқарыў
guide	қолланба
guilty	айыплы
guy	жигит
guys	жигитлер
gym	спортзал
habit	әдет
habitat	жасаў орталығы
had	бар болды
hail	буршақ
hair	шаш
half	ярым
hall	зал
hand	қол
handle	еплеў
handsome	келискен
hang	илиў
hang out	айланыўға шығыў
happen	жүз бериў
happened	жүз берди
happiness	бахыт
happy	бахытлы
happy birthday	туўылған күниңиз бенен
happy birthday to you	туўылған күниңиз қутлы болсын
happy new year	жаңа жылыңыз бенен
hard	қатты
hardly	зорға
hardly ever	дерлик ҳешқашан
harm	зыян жеткериў
harm	зыян
harmful	зыянлы
harmony	гармония
harsh	қатаң
harvest	қырман
has	бар
hate	жек көриў
have	бар
have a good day	күнди жақсы өткериң
have a nice day	күнди жақсы өткериң
have breakfast	таңғы асты жеў
have fun	ўақтын шад өткериў
have you eaten	бирдеме жедиңиз бе
having	бар болыў
hazard	қәўип
haze	думан
he	ол
he has	ода бар
he is	ол
head	бас
headache	бас аўырыў
heal	жара питиў
healing	жараның питиўи
health	саламатлық
healthy	саламат
hear	еситиў
heard	еситти
heart	жүрек
heat	ысытыў
heat	ыссылық
heaven	жәннет
heavy	аўыр
hectic	тынышсызланған
height	бойы
heir	мийрасхор
heist	тонаў
held	ѳткерилген
hell	дозақ
Hello	Сәлем
hello dear	сәлем қәдирданым
hello how are you	сәлем, қалайсыз
hello how are you doing	cәлем, аўҳалыңыз қалай
helmet	шлем
help	жәрдем
helpful	пайдалы
hence	сонлықтан
her	оның
herd	үйир
here	усы жерде
heritage	мәдений мийрас
hesitate	екилениў
Hey	Ҳәй
Hi	Сәлем
hi how are you	сәлем, қалайсыз
Hi there	Сәлем
hidden	жасырын
hide	жасырыў
hierarchy	иерархия
high	бийик
highlight	айырып көрсетиў
hike	экскурсия
hiking	походқа шығыў
hilarious	жүдә күлкили
hill	төбешик
him	оны
hint	ишарат етиў
hip	жанбас
hips	еки жанбас
hire	жаллаў
hiring	жаллаў
his	оның
history	тарийх
hit	соққы бериў
hobby	хобби
hold	услап турыў
hold on	күтип турың
hole	тесик
holiday	байрам
hollow	геўик
home	үй
homework	үй жумысы
honest	ҳадал
honestly	шынын айтқанда
Honey	әзизим
Honey	пал
honor	иззет
hood	капюшон
hook	илгек
hop	секириў
hope	үмит
hope	үмит етиў
hopefully	үмит еткен ҳалда
hopeless	үмитсиз
horizontal	кесесине
horn	шақ
horrible	қорқынышлы
horror	қорқыныш
horse	ат
hospital	емлеўхана
hospitality	миймандослық
host	мезбан
host	мезбанлық етиў
hostile	душпанларша
hot	ыссы
hotel	мийманхана
hour	саат
hours	саатлар
house	үй
household	хожалық буйымлары
how	қалай
how about you	сиз шe
how are you	қалайсыз
how are you doing	аўҳалыңыз қалай
how are you doing today	бүгин аўҳалыңыз қалай
how are you today	бүгин аўҳалыңыз қалай
how do you do	аўҳалыңыз қалай
how many	неше
how much	қанша
how often	қәншелли жийи
how old are you	жасыңыз нешеде
how was your day	күниңиз қалай өтти
how was your night	түнди қалай өткердиңиз
however	сонда да
hub	искерлик орайы
hubby	жигитим
hug	қушақлаў
hug	қушақ
huge	үлкен
human	инсан
humble	кишипейил
humid	ызғар
humidity	ығаллылық
hundred	жүз
hungry	аш
hunt	аң аўлаў
hurricane	дүбелей
hurry	асығыў
hurry up	асығың
hurt	қапа етиў
husband	ѳмирлик жолдас
hustle	тыпырлаў
hustle	шала ис
hut	қора
hygiene	гигиена
I	Мен
I am fine	жақсыман
I can	қолымнан келеди
I can't	қолымнан келмейди
I do	қыламан
I do not know	билмеймен
I do not understand	түсинбеймен
I don't know	Билмеймен
I don't understand	Мен түсинбеймен
I don't understand what you mean	не деп турғаныңызды түсинбей турман
I don't understand you	сизди түсинбей турман
I don’t know	билмеймен
I don’t understand	түсинбеймен
i guess	ойлаўымша
I had	менде бар еди
I have	Менде бар
I hope so	солай деп үмит етемен
I know	Билемен
I like	унатаман
I like you	сизди унатаман
I love	сүйемен
I love my big brother	әжағамды жақсы көремен
I love my big sister	әжапамды жақсы көремен
I love my father	әкемди жақсы көремен
I love my little brother	кишкене инимди жақсы көремен
I love my little sister	кишкене қарындасымды жақсы көремен
I love my mother	анамды жақсы көремен
I love you	Мен сизди сүйемен
I love you so much	Cизди қатты сүйемен
I love you too	Мен де сизди сүйемен
I mean	нәзерде тутып турман
I miss you	Cизди сағындым
I miss you so much	сизди қатты сағындым
I see	Түсинемен
I think	ойымша
I understand	Түсинемен
I want	қәлеймен
I want to see you	сизди көргим келип тур
I want you	сени қәлеп турман
I'm	Мен
I'm fine	Жақсыман
I'm good	жақсыман
I'm here	усы жердемен
I'm sorry	Мени кешириң
ice	муз
ice cream	музқаймақ
idea	пикир
ideal	кемиси болмаған
identical	бирдей
identify	анықлыў
identity	шахсты анықлаўшы
idiot	ахмақ
idle	ериниў
if	егер
ignore	итибар бермеў
ill	кесел
illegal	нызамсыз
illness	кеселлик
Ilocano	Илокан
image	имидж
imagine	көз алдына келтириў
immediate	дәрриў
immediately	дәрҳал
immense	жүдә үлкен
impact	тәсирин тийгизиў
impact	тәсир
impatient	шыдамсыз
implement	енгизиў
import	импорт
import	импорт қылыў
important	әҳмийетли
impose	шәрт етип белгилеў
impossible	илажы жоқ
impress	ҳайран қалдырыў
impression	ядта қалыў
impressive	тәсирли
improve	жақсыланыў
improvement	жақсыланыў
in	ишинде
in addition	қомысша түрде
In fact	ҳақыйқатында
in front of	алдында
in order to	ушын
inappropriate	надурыс болған
incentive	марапатлаў
incident	инцидент
include	өз ишине алыў
including	өз ишине алған ҳалда
income	кирим
inconvenience	қолайсызлық
increase	кѳтерилиў
increased	көтерилген
incredible	исенип болмас дәрежеде
indeed	шынында да
independent	ғәрезсиз
India	Ҳиндистан
indicate	көрсетиў
indigenous	түпкиликли
individual	индивидуал
industry	санаат
inevitable	сөзсиз болатуғын
infant	гөдек
infection	инфекция
infinity	шексизлик
inflammation	исиниў
inflation	қунсызланыў
influence	тәсир етиў
influence	тәсир
inform	хабарлаў
information	мағлыўмат
ingredients	қурамы
inheritance	мийрас етип алыў
initial	дәслепки
initiative	баслама
injured	жарақатланған
injury	жарақат
innocent	бийайып
innovation	инновация
inquiry	сорастырыў
insane	есер
insect	қурт-қумырсқа
insecure	қәўипсиз болмаған
insert	киргизиў
inside	иши
insight	терең түсиниклер
insist	турып алыў
insomnia	уйқысызлық
inspiration	илҳамланыў
inspire	йошландырыў
install	орнатыў
instance	мысал
instant	жылдам
instead	орнына
instead of	орнына
instructions	көрсетпелер
instrument	инструмент
insult	кемситиў
insurance	қамсызландырыў
intact	пүтин
integrity	пүтинлик
intellectual	интеллектуал
intelligence	интеллект
intelligent	ақыллы
intend	нийетлениў
intended	ойланған
intense	тығыз
intention	нийет
interact	өз-ара тәсирлесиў
interaction	өз-ара тәсирлесиў
interest	қызығыў
interested	қызыққан
interesting	қызықлы
interfere	араласыў
intermediate	орта дәрежедеги
internal	ишки
international	халықаралық
internship	әмелият
interpret	аўдармалаў
interpreter	аўдармашы
interrupt	кесент етиў
interview	сәўбет
intimate	ымлаў
into	ишине
introduce	таныстырыў
introduction	кирисиў
introvert	интроверт
intuition	интуиция
invalid	әмелде болмаған
invent	жаратыў
inventory	инвентаризация
invest	инвестиция киритиў
investigate	изертлеў
invitation	мирәтнама
invite	шақырыў
invoice	инвойс
invoice	инвойс жибериў
involve	араласыў
involved	ишине алған
iron	утюглеў
iron	темир
island	атаў
isolated	бөлекленген
issue	шығарыў
issue	машқала
issues	мәселелер
it	ол
it is	ол
it's ok	зыяны жоқ
It's okay	ҳеш гәп
item	предмет
items	предметлер
its	оның
jacket	куртка
jail	түрме
January	Январь
jar	банка
jaw	жақ
jealous	қызғаныў
jerk	тез қыймылдатыў
jewelry	тағыншақ
job	жумыс
jogging	жуўырыў
join	қосылыў
joint	буўын
joke	ҳәзил
journalist	журналист
journey	саяхат
joy	кеўил хошлық
judge	судья
judge	критикалаў
juice	шербет
july	июль
jump	секириў
june	июнь
junk	жуўынды
just	тек ғана
just	туўры
just do it	тек ислең
justice	әдиллик
justify	тийкарлап бериў
Kalaallisut	Калааллисут
Kara-Kalpak	Қарақалпақ
Kara-Kalpak	Қарақалпақша
keen	қызығыў
keep	сақлаў
keep it up	тоқтамаң
kept	сақлады
kettle	шәйнек
key	гилт
kick	тебиў
kid	бала
kidding	ҳәзиллесиў
kidney	бөтеке
kids	балалар
kill	өлтириў
kind	мийирман
kind	түр
kinda	сыяқлы
kindly	мүләйим
kindness	мийирманлық
king	патша
kiss	поса
kitchen	асхана
kite	пәтпелек
kitten	пышықтың баласы
knee	дизе
knew	билди
knife	пышақ
knight	рыцарь
know	билиў
knowledge	билим
known	белгили
Konkani	Конкани
Krio	Крио
label	ярлык жабыстырыў
label	ярлык
labor	мийнет
labour	мийнет
lack	жетиспеў
ladder	зәңги
lady	сулыў қыз
laid	қойылған
lake	көл
lamb	қой гөши
lame	ақсақ
lamp	лампа
land	қоныў
land	жер
landscape	ландшафт
language	тил
lap	дизе
large	үлкен
last	ѳткен
last but not least	соңғы, бирақ тең әҳмийетли
last name	фамилия
late	кеш
lately	кейинги ўақытта
later	кеширек
latest	соңғы
latter	екиншиси
laugh	күлиў
laughing	күлиў
laughter	күлки
launch	әмелге киритиў
laundry	кир жуўыў
law	нызам
lawn	газон
lawyer	юрист
lay	қойыў
layer	қатлам
layout	дүзилиси
lazy	ериншек
lead	жетеклеў
leader	жетекши
leaf	жапырақ
leak	сызып ағыў
lean	сүйениў
leap	секирип өтиў
learn	үйрениў
learning	үйрениў
lease	ижараға бериў
least	ең кем
leather	териден исленген
leave	дем алыс
leave	кетиў
leaves	жапырақлар
led	апарды
left	шеп
leg	аяқ
legacy	мийрас
legal	нызамлы
legend	аңыз
legit	нызамлы
leisure	бос ўақыт
lend	қарызға бериў
length	узынлық
less	аз
lesson	сабақ
let	рухсат бериў
letter	хат
lettuce	салат жапырағы
level	дәреже
leverage	нәтийжели пайдаланыў
liability	қарыздарлық
library	китапхана
lick	жалаў
lie	жалған
lie	алдаў
lies	өтирик
life	ѳмир
lift	көтериў
lift	лифт
light	жарықлық
light	жарық
light	жарытыў
lightning	шақмақ
like	унатыў
likely	мүмкин
likewise	уқсас түрде
line	сызық
Lingala	Лингала
link	силтеме
lion	арыслан
liquid	суйық
list	дизим
listen	тыңлаў
listening	еситиў
literally	туўра мәнисинде
literature	әдебият
litter	шығынды
little	киши
live	жанлы
live	жасаў
liver	баўыр
lives	жасайды
living	жанлы
living room	мийманхана
lizard	кесиртке
load	жүклеў
loaf	батон
loan	қарыз
local	жергиликли
location	жайласыў орны
lock	қулып
lockdown	карантин
log	дизимге алыў
lonely	жалғыз
long	узын
long time no see	көптен берли көриспедик
look	кѳринис
look	қараў
loop	цикл
loose	шешиў
loose	кең
lord	ийем
lose	жойтыў
loss	жоғалтыў
lost	жоғалған
lot	партия
loud	бәлент даўыс
lounge	дем алыў бөлмеси
love	муҳаббат
love	сүйиў
love you	сизди суйемен
lovely	сүйкимли
low	тѳменге
lower	төменги
loyal	садық
loyalty	садықлық
luck	сәтлилик
lucky	cәтли
Luganda	Луганда
luggage	жүк
lump	усақ
lunch	түслик
lungs	өкпе
luxury	люкс
lying	жалған
machine	үскене
mad	ойсыз
madam	ханым
made	жасалған
magazine	журнал
magnificent	саўлатлы
maid	хызметкер ҳаял
main	тийкарғы
maintain	сақлаў
maintenance	оңлаў
Maithili	Маитили
major	қәнигелик
major	ири
majority	көпшилик
make	жасаў
make up	косметика
male	еркек
mall	саўда орайы
man	адам
manage	басқарыў
management	басқарыў
manager	басқарыўшы
mandatory	мәжбүрий
manifest	декларация
manipulate	басқарыў
manner	минез
manual	қолланба
many	кѳп
many many happy returns of the day	жасыңызға жас қосылсын
march	март
margin	маржа
market	базар
marriage	турмыс
married	турмысқа шыққан
mask	маска
mass	масса
massive	жүдә үлкен
master	меңгериў
match	сәйкеслик
match	сәйкес келиў
mate	достым
material	материал
math	математика
matter	әҳмийетли болыў
matter	мәселе
maturity	кәмалға жеткен
may	қыз бала
maybe	мүмкин
me	мени
me too	мен де
meal	ас
mean	орташа
mean	аңлатыў
meaning	мәнис
means	қурал
meant	нәзерде тутылған
meanwhile	усы ўақыт аралығында
measure	ѳлшеў
measures	илажлар
meat	гѳш
medical	медициналық
medicine	дәри
meditation	медитация
medium	орташа
meet	ушырасыў
meeting	жыйналыс
Meiteilon	Мейтейлон
melt	ериў
memories	естеликлер
memory	яд
mental	ақылый
mention	нәзерде тутыў
mentioned	атап өтилген
mentor	устаз
merchant	саўдагер
mercy	рейим
merely	зорға
merry christmas	рождество менен
mess	тәртипсиз
message	хабарнама
messy	патас
metal	металл
method	метод
mice	тышқанлар
middle	орта
midnight	ярым түн
mild	жеңил
milestone	жетискенлик
military	әскерий
milk	сүт
million	миллион
mind	ой
mind	итибар бериў
mindset	ой-пикир
mine	меники
mine	шахта
mingle	кесент етиў
minor	әҳмийетсиз
minute	минут
minutes	минут
miracle	кәрамат
mirror	айна
miscellaneous	аралас
mischievous	тентек
miserable	бийшара
misery	уўайым
miss	ѳткерип жибериў
miss you	сизди сағындым
missing	жоқ болған
mission	миссия
mist	думан
mistake	қәте
Mizo	Мизо
mobile	мобиль телефон
mock	масқаралаў
model	модель
moderate	орташа
moderate	жумсартыў
modern	заманагөй
modest	кемтар
moist	ызғарлаў
moisture	ызғарлық
mold	форма шығарыў
mold	қәлип
mole	қал
mom	апа
moment	мәўрит
monday	дүйшемби
money	ақша
monitor	монитор
monkey	маймыл
month	ай
mood	кейпият
moody	кеўил-кейпиятлы
moon	ай
moral	этикалық
more	кѳбирек
moreover	қала берсе
morning	азан
mortgage	ипотека
most	кѳпшилик
mostly	көбинше
mother	ана
motion	қыймылды
motivation	мотивация
mountain	таў
mouse	тышқан
mouth	аўыз
move	қыймылдаў
movement	ҳәрекет
movie	кинофильм
much	көп
mud	ылай
mug	кружка
muscle	булшық ет
museum	музей
mushroom	замаррық
music	музыка
must	шәртлилик
mute	үнсиз
mutual	өз-ара
my	мениң
My dear	әзийзим
my friend	достым
My hovercraft is full of eels	Мениң ҳаўа кемем жылан балыққа толған
my love	мениң муҳаббатым
my name is	мениң атым
my pleasure	жаным менен
myself	өзим
mysterious	сырлы
mystery	сыр
myth	аңыз
nail	шеге
naive	тәжирийбесиз
name	исим
narrative	баянлама
narrow	тар
nasty	жеркенишли
national	миллий
nationality	миллет
native	жергиликли
natural	тәбийий
nature	тәбият
nausea	кеўил айныў
near	қасында
nearby	усы әтирапта
nearly	дерлик
neat	таза
necessary	зәрүр
neck	мойын
necklace	шынжырша
need	мүтәжлик
need	мүтәж болыў
negative	унамсыз
neglect	итибарға алмаў
negotiate	додалаў
neighbor	қоңсы
neighborhood	қоңсы-қоба
nephew	жийен
nerd	ақыллы
nervous	тынышсыз
nest	уя
net	сетка
network	байланыс
neutral	нейтрал
never	ҳешқашан
never give up	тоқтамаң
never mind	итибар бермең
nevermind	итибар бермең
nevertheless	сондай болса да
new	таза
news	жаңалық
next	кейинги
next to	жанында
nice	зор
nice to meet you	танысқанымнан қуўанышлыман
niece	жийен
night	түн
nightmare	қорқынышлы түс
nine	тоғыз
nineteen	он тоғыз
ninety	тоқсан
No	Яқ
no problem	машқала емес
no way	ҳешқашан
nobody	ҳешким
noise	шаўқым
noisy	шаўқымлы
none	ҳешқайсысы
noon	түс
nope	яқ
normal	нормал
north	арқа
nose	мурын
nostalgic	ностальгия
not	емес
not at all	арзымайды
not bad	жаман емес
Not now	Ҳәзир емес
not yet	еле емес
note	жазып қойыў
noted	жазып алынған
nothing	ҳеш нәрсе
notice	байқаў
noticed	байқаған
noun	атлық
nouns	атлықлар
novel	роман
november	ноябрь
now	ҳәзир
nowadays	ҳәзирги күнде
nuisance	унамсыз жағдай
null	ноль
numb	лал болған
number	номер
nurse	мийирбийке
nut	ғоза
nutmeg	аўынан өтириў
nutrition	азықлық
oath	ғарғыс
obesity	семизлик
obey	бойсыныў
object	қарсылық билдириў
objective	ўазыйпа
obligation	миннетлеме
obscure	қараңғылық
observation	гүзетиў
observe	гүзетиў
obsessed	жин ийелеген
obsession	жин ийелеген
obsolete	гөнерген
obstacle	тосық
obtain	ерисиў
obtained	ерисилген
obvious	кѳринип турған
obviously	анық кѳринип турған
occasionally	гейде
occupation	кәсип
occupied	ийеленген
occur	жүз бериў
occurred	жүз берди
occurs	жүз береди
ocean	океан
october	октябрь
odd	тақ
odds	үстинлик
of course	әлбетте
off	ѳшик
offensive	агрессив
offer	усыныс етиў
offer	усыныс
office	офис
official	рәсмий
often	тез-тез
Oh	Ўаҳ
oh really	ҳаў солай ма
oil	май
ok	яқшы
ok dear	яқшы, әзийзим
ok honey	яқшы, жаным
ok my love	яқшы, мухаббатым
okay	яқшы
okay baby	яқшы, жаным
okay dear	болады, әзийзим
okay honey	яқшы, әзизим
okay my love	яқшы, муҳаббатым
old	ески
on	үстине
once	бир мәрте
one	бир
one language is never enough	бир тил ҳешқашан жетерли емес
onion	пияз
online	онлайн
only	тек
open	ашық
operation	операция
opinion	пикир
opportunities	имканиятлар
opportunity	имканият
opposite	қарама қарсы
optimistic	оптимист
option	таңлаў варианты
optional	шәрт болмаған
or	ямаса
orange	апельсин
orange	қызғыш сары
order	тәртипке салыў
order	тәртип
ordinary	әдеттеги
organization	шөлкем
orientation	бағдар
origin	келип шығыўы
original	түп
Oromo	Оромо
orphan	жетим
other	басқа
otherwise	болмаса
our	бизлердиң
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Бизиң ўазыйпамыз: ҳәммениң барлық жерде дүньядағы басқа тилде сөйлеўшилерди түсине алыўын ҳәм өзлериниң ой-пикирин оларға түсиндире алыўын тәмийинлеў.
Our mission: to organize the world's information and make it universally accessible and useful.	Бизиң ўазыйпамыз: дүнья мағлыўматларын тәртипке салыў ҳәм олардан ҳәмме пайдалана алыў мүмкиншилигин жаратыў ҳәм пайдалы етиў
out	тысқарыға
outcome	нәтийже
outfit	кийим
outgoing	ашық адам
outlet	бөлистириў орны
outline	реже
outside	сырты
outstanding	әмелге асырылмаған
oven	духовка
over	үстинен
over there	сол тәрепте
overall	улыўма
overcome	жеңип өтиў
overthinking	көп ойлаў
overwhelmed	ақылдан азған
overwhelming	ҳәдден зыят
owe	қарыздар болыў
owl	байыўлы
own	ийелик етиў
own	жеке
owner	ийеси
ox	өгиз
pace	адым узынлағы
pack	ораў
package	топлам
paid	төлемли
pain	аўырыў
paint	бояў
painting	бояў
pair	жуп
pale	ағарып кеткен
palm	алақан
pan	таба
pandemic	пандемия
panic	ҳаўлығыў
pants	шалбар
paper	қағаз
paradise	жәннет
parallel	параллел
parcel	посылка
pardon	кеширим сораў
parents	ата-ана
park	парк
parrot	тоты
parsley	петрушка
part	бөлим
participate	қатнасыў
particular	белгили
particularly	әсиресе
partner	партнёр
party	зыяпат
pass	ѳтиў
passage	үзинди
passed	өтти
passion	ғайрат
passionate	қумар
passive	пассив
password	пароль
past	өткен
patch	ләтте
path	соқпақ
pathetic	бийшара
patience	шыдам
patient	шыдамлы
patient	наўқас
pattern	шаблон
pause	иркилиў
pavement	соқпақ
pay	төлем
payment	төлем
peace	тынышлық
peaceful	тыныш
peach	шабдал
peak	шыңы
pear	алмурт
peas	горох
peculiar	өзгеше
pee	сидик
pee	cийиў
peel	қыршыў
peer	қатар
peers	қатарлары
pen	ручка
pencil	қәлем
pending	қалып турған
people	адамлар
pepper	бурыш
perceive	аңлаў
perception	түсиник
perfect	минсиз
perform	орынлаў
performance	орынлаў
perhaps	бәлким
period	период
permanent	турақлы
permission	рухсат
permit	рухсат
perseverance	ғайрат
persistent	қайтпайтуғын
person	шахс
personal	жеке
personality	индивидуал өзгешелик
perspective	перспектива
persuade	изинен барыў
pervert	бузық адам
pet	үй ҳайўаны
phase	фаза
phenomenon	қубылыс
philosophy	философия
phone	телефон
photo	сүўрет
phrase	фраза
physical	физикалық
pick	алыў
pick up	жерден алыў
picture	cүўрет
piece	бөлек
pieces	бөлеклер
pig	шошқа
pigeon	кептер
pile	қырынды
pillow	көпшик
pilot	пилот
pin	ушлы предмет
pineapple	ананас
pink	қызғылт рең
pit	ой жер
pitch	даўыс бәлентлиги
pity	рейим
place	қойыў
place	орын
places	орынлар
plague	бахытсызлық
plain	әпиўайы
plan	реже
plane	самолёт
plant	егислик
plants	егинлер
plate	тарелка
