a little	азғана
platform	платформа
play	ойнаў
play	ойын
playing	айтып турған
pleasant	жағымлы
please	кеўилин шад етиў
please	ѳтиниш
pleased	қуўанышлы
pleasure	рәҳәт
pledge	ўәде бериў
plenty	көп
plot	дүзиў
plug	вилка
plum	қәрели
plumber	сантехник
plural	көплик
podcast	подкаст
poem	поэма
poetry	поэзия
point	ноқат
poison	зәҳәр
police	милиция
policy	тәртип
polite	мүләйим
pollution	ҳаўаны зыянлаў
pond	көл
pool	көл
poop	үлкен дәрет
poor	жарлы
pop	поп
popular	белгили
population	халық
pork	шошқа гөши
porridge	каша
port	порт
position	ҳалат
positive	унамлы
possess	ийелик етиў
possession	ийелик
possessive	ийелик
possible	мүмкин
post	жәриялаў
post	пост
postpone	қалдырыў
potato	картошка
potential	потенциал
pound	фунт
poverty	кәмбағаллық
power	күш
powerful	күшли
practical	әмелий
practice	шынығыў
praise	мақтаў
prank	пранк
pray	сыйыныў
precious	баҳалы
precise	анық
precisely	тап солай
predict	болжаў
prefer	абзал кѳриў
preference	абзаллық
pregnant	жүкли
prejudice	исеним
premises	орынлар
premium	премиум
preparation	таярлық
prepare	таярлаў
prepared	таярланған
preposition	предлог
presence	бар болыў
present	саўға
present	ҳәзирги
presentation	презентация
preserve	сақлаў
president	президент
press	басыў
press	баспа сөз
pressure	басым
pretend	сыяқлы тутыў
pretty	әдеўир
pretty	жағымлы
prevent	алдын алыў
previous	алдынғы
prey	олжа
price	баҳа
pride	мақтаныш
priest	руўханий
primary	дәслепки
prime	дәслепки
princess	мәлийка
principal	тийкарғы
prior	алдынғы
priority	үcтин болған
prison	түрме
privacy	жеке
private	жеке
privilege	артықмашлық
prize	приз
probably	итимал
problem	машқала
procedure	процедура
proceed	даўам етиў
process	қайта ислеў
process	процесс
produce	ислеп шығарыў
product	өним
production	өндириў
profession	профессия
professional	профессионал
profile	профиль
profit	пайда
profound	терең
progress	раўажланыў
progress	раўаж
project	проект
prominent	анық көринип турған
promise	ўәде бериў
promise	ўәде
promote	лаўазымын көтериў
promotion	лаўазымы көтерилиў
prompt	еслетпе
prone	бейим
pronouns	алмасықлар
pronunciation	айтылыўы
proof	дәлил
proper	дурыс
properly	мүлк
properties	қәсийетлери
property	мүлк
proposal	усыныс
prospect	көзқарас
prosperity	жайнап-жаснаў
prosperous	гүллеген
protect	қорғаў
proud	мақтаныў
prove	дәлиллеў
provide	тәмийинлеў
provided	егер сондай жағдайда
province	провинция
provision	тәмийнат
puberty	ержетиў
public	жәмийетлик
pull	тартыў
pumpkin	қабақ
punctual	өз ўақтында
pupil	оқыўшы
purchase	сатып алыў
pure	таза
purple	сыя рең
purpose	мақсет
purse	кошелёк
pursue	умтылыў
pursuit	умтылыў
push	басыў
put	қойыў
qualification	диплом
quality	сапа
quantity	муғдар
quarantine	карантинге алыў
quarrel	жәнжеллесиў
quarrel	жәнжел
quarter	шерек
Quechua	Кечуа
queen	ханшайым
queer	гомосексуалист
query	сораў
question	сораў
queue	нәўбет
queue	нәўбетке турыў
quick	шаққан
quickly	тез
quiet	тыныш
quilt	жыллы көрпе
quit	тоқтатыў
quite	әдеўир
quite	толық
quiz	жумбақ
quotation	цитата
quote	сөзин келтириў
quote	цитата
quotes	тырнақша
rabbit	қоян
race	жарыс
rage	қәҳәр
rain	жаўын
raise	кѳтерилиў
raise	кѳтериў
raised	өсирген
ran	жуўырды
random	тосыннан
range	диапазон
rapid	тез
rapidly	жүдә тезлик пенен
rare	кем ушырасатуғын
rarely	гейде
rash	таспа
rat	балпақ тышқан
rate	курс
rather	анығырағы
ratio	қатнасы
rational	ақылға сай
raw	жетилиспеген
reach	жетиў
reached	ерисилди
reaction	реакция
read	оқыў
reading	оқыў
ready	таяр
real	ҳақыйқый
reality	ҳақыйқат
realize	аңлаў
realized	түсинген
really	жүдә
rear	артқы бөлими
reason	себеп
reasonable	себепли
recall	еслеў
receipt	чек
receive	алыў
received	алды
recent	соңғы
recently	жақында
reception	қабыллаўхана
recipe	рецепт
reckless	ойсыз
recognition	таныў
recognize	таныў
recommend	усыныс етиў
recommended	усынылған
record	запись
record	жазып алыў
recover	саўалыў
recovery	саўалыў
rectangle	төртмүйешлик
red	қызыл
redeem	айыбын жуўыў
redemption	қайтарыў
reduce	түсириў
redundant	ҳәдден тыс көп
refer	жолығыў
reference	таяныш дерек
reflect	сәўлелениў
reflection	сәўлелениў
refrain	өзин тыйыў
refrigerator	музлатқыш
refund	шығынын қаплап бериў
refuse	бас тартыў
refused	бас тартыў
regard	сәлем
regarding	бойынша
regardless	қарамастан
regards	ҳүрмет пенен
region	регион
register	дизимге алыў
regret	пушайман болыў
regular	әпиўайы
regularly	турақлы түрде
reject	бас тартыў
relate	байланыстырыў
related	байланыслы
relationship	қарым-қатнас
relative	байланыслы
relative	ағайин
relatives	ағайинлер
relax	дем алыў
release	шығарыў
release	шығарым
released	шығарылды
relevant	тийисли
reliable	исенимли
relief	жаны жай табыў
relieve	жеңиллесиў
relieved	жеңиллеген
religion	дин
religious	диндар
reluctant	шарасыз
rely	сүйениў
remain	қалыў
remaining	қалып турған
remarkable	айрықша
remedy	ем
remember	еслеў
remind	еслетиў
reminder	еслетпе
remote	аралық
remove	алып таслаў
render	жәрдем көрсетиў
rent	ижараға алыў
repair	дүзетиў
repeat	қайталаў
replace	алмастырыў
reply	жуўап бериў
reply	жуўап
report	есабат бериў
report	есабат
represent	ўәкиллик етиў
reputation	абырай
request	ѳтиниш етиў
request	ѳтиниш
require	талап етиў
required	соралған
rescue	қутқарыў
research	изертлеў
resemble	уқсаў
resentment	қапагершилик
reservation	бәнт етиў
reserve	сақлаў
resident	резидент
resign	ўазыйпадан бас тартыў
resilience	стресске турақлылық
resilient	беккем
resist	қарсылық қылыў
resistance	турақлылық
resolution	резолюция
resolve	шешимин табыў
resort	санатория
resources	ресурслар
respect	ҳүрметлеў
respect	ҳүрмет
respond	жуўап бериў
response	жуўап
responsibility	жуўапкершилик
responsible	жуўапкер
rest	дем алыў
rest in peace	жатқан жериңиз жайлы болсын
restaurant	ресторан
restore	қайта тиклеў
restrict	шеклеў
result	нәтийже
results	нәтийжелер
resume	қайта тиклеў
retail	усақлап сатыў
retain	услап турыў
retention	услап қалыў
retired	напақаға шыққан
retreat	шегиниў
retrieve	қайтарып алыў
return	қайтыў
reveal	ашықлаў
revealed	ашықланды
revenge	өш алыў
revenue	түсим
reverse	артқа
review	қайта кѳрип шығыў
revise	қайта көрип шығыў
revision	қайта көриў
revolution	төңкерис
reward	сыйлықлаў
rhythm	ритм
rib	қабырға
rice	гүриш
rich	бай
rid	босатыў
ride	кѳликте жүриў
ride	кѳликте жүрилген жол
ridiculous	күлкили
right	оңға
right	ҳақ-ҳуқық
right now	тап ҳәзир
rigid	қатаң
ring	жүзик
rinse	шайыў
riot	көтерилис
rip	жарық жер
rip	сындырыў
ripe	пискен
rise	кѳтерилиў
risk	риск
risk	тәўекел етиў
rival	бәсекилес
river	дәрья
road	жол
roast	қуўырыў
robust	беккем
rock	тас
rod	қармақ
role	роль
roll	рулон
roof	жайдың төбеси
room	хана
root	тамыр
rope	жип
rotten	шириў
rough	қыйын
roughly	шамалап
round	домалақ
route	жөнелис
routine	күнделик тәртип
row	қатар
rub	ысқылаў
rubber	резина
rubbish	мәниссиз
rude	қопал
rug	гилемше
ruin	бузыў
rule	қағыйда
ruler	сызғыш
rules	қағыйдалар
run	жуўырыў
running	жүрип турған
rural	аўыллық жерлер
rush	тығыз ўақыт
rush	асығыў
sack	босатыў
sacred	әўлийе
sacrifice	қурбан етиў
safe	қәўипсиз
safe flight	аман барың
safety	қәўипсизлик
sage	дана
said	айтты
sail	теңиз саяхаты
sailing	кемеде жүзиў
sake	ийгилик
salary	айлық
sale	распродажа
salmon	лосос
salt	дуз
same	бирдей
Same here	бизде де солай
sample	үлги
sand	қум
Sanskrit	Санскрит
sarcastic	мысқыллы
sassy	шешен
sat	отырды
satisfaction	қанаатланыў
satisfied	қанаатланған
satisfy	қанаатланыў
satisfying	рәҳәтлендириўши
Saturday	Шемби
sausage	колбаса
savage	мийримсиз
save	сақлыў
saw	кѳрди
say	айтыў
scale	шкала
scam	ҳийлекерлик
scar	тыртық
scarce	аз
scared	қорқып қалған
scarf	шарф
scary	қорқынышлы
scattered	шашылған
scene	сахна
scenery	декорация
scent	жағымлы ийис
schedule	кестеге киритиў
schedule	кесте
school	мектеп
science	илим
scientist	илимпаз
scientists	алымлар
scissors	қайшы
scold	тоңқылдақ ҳаял
scope	шегарасы
score	очко
scrap	қағаз бөлеги
scratch	тырнаў
scream	бақырыў
screen	экран
screw	шуруп
script	сценарий
sea	теңиз
seal	штамп
search	излеў
season	мәўсим
seat	орынлық
second	екинши
secret	сыр
section	секция
secure	қәўипсиз
security	қәўипсизлик илажлары
see	кѳриў
see you	көрискенше
see you later	көрискенше
see you soon	көрискенше
see you tomorrow	ертең көрискенше
seed	туқым
seek	излеў
seem	түйилиў
seems	түйиледи
seen	көринди
seize	қолға алыў
seizure	тутқанақ
seldom	арасында
select	таңлаў
self	өз
self healing	өзи тәўир болатуғын
selfish	егоист
sell	сатыў
send	жибериў
send me your picture	сүўретиңизди жибериң
senior	үлкен
sense	cезим
sensible	сезилерли
sensitive	сезимтал
sent	жөнетилген
sentence	гәп
sentences	гәплер
separate	бѳлек
Sepedi	Сепеди
september	сентябрь
sequence	избе-излик
series	серия
serious	ҳәзил болмаған
seriously	раслап
serve	аўқат тартыў
service	хызмет
session	сессия
set	топлам
set	ѳзгертиў
set up	орнатыў
setting	сазлаў
settle	орналасыў
seven	жети
seventeen	он жети
seventy	жетпис
several	бирнеше
severe	аўыр дәрежедеги
sew	тигиў
shade	сая
shadow	сая
shake	қол алысыў
shallow	сайыз
shame	уят
shape	форма
share	бѳлисиў
sharp	өткир
she	ол
she has	ода бар
she is	ол
shed	шертек
sheep	қой
sheet	бет
shelf	полка
shell	қабық
shelter	баспана
shield	қалқан
shift	жылжыў
shine	жарқыраў
ship	кеме
shipping	жөнетиў
shirt	көйлек
shoes	аяқ кийим
shoot	атыў
shop	дүкән
shopping	базарлаў
shore	жаға
short	қысқа
shortage	жетиспеўшилик
shot	оқлаў
shot	соққы
shoulder	ийин
shout	бақырыў
show	кѳрсетиў
show	шоу
show me	көрсетиң
shower	душ
shrimp	креветка
shrink	қысқарыў
shut	жабыў
shut up	аўзыңды жап
shy	уялшақ
sibling	туўысқан
siblings	туўысқанлар
sick	кесел
side	қаптал
sigh	суўық дем алыў
sight	кѳриў қәбилети
sightseeing	әтирапты көриў
sign	қол қойыў
signature	қолы
significant	сезилерли
silence	тынышлық
silent	үнсиз
silk	жипек
silly	ақмақ
silver	гүмис
similar	бирдей
simp	ахмақ
simple	әпиўайы
simultaneously	бир ўақытта
since	берли
sincere	шын жүректен
sincerely	шын жүректен
sing	қосық айтыў
singer	қосықшы
single	жалғыз
sink	раковина
sink	шѳгиў
Sir	Мырза
sister	қарындас
sister in law	келин
sit	отырыў
site	майдан
situation	жағдай
six	алты
sixteen	он алты
sixty	алпыс
size	өлшем
skill	қәбилет
skills	қәбилетлер
skin	тери
skinny	азғын
skip	атлап өтиў
skirt	юбка
sky	аспан
slave	қул
sleep	уйықлаў
sleeping	уйқыдағы
sleepy	уйқысыраған
sleeve	жең
slice	бөлекке бөлиў
slice	бөлек
slide	сырғанаў
slightly	азғана
slim	арық
slip	тайыў
slope	қайысқан жер
slot	тесик
slow	әстен
slowly	әстен
small	киши
smart	бежере алыў
smell	ийискелеў
smile	мыйық тартыў
smile	күлки
smoke	шегиў
smooth	тегис
snack	снэк
snail	улитка
snake	жылан
snap	кнопка
snow	қар
so	солай
so cute	жүдә сүйкимли
so far	усы ўақытқа шекем
soak	сиңдирип алыў
soap	сабын
sober	есине келтириў
soccer	футбол
social	социаллық
society	жәмийет
socks	шулық
soft	жумсақ
software	дәстүр
soil	топырақ
sold	сатылған
sold out	сатып таўсылған
soldier	әскер
sole	табан
solid	тығыз
solution	шешим
solve	шешиў
some	айырым
somebody	гейбиреў
somehow	қалай да
someone	гейбиреў
something	бир нәрсе
sometimes	гейде
song	қосық
soon	жақын арада
sophisticated	көпти көрген
Sorani	Сорани
sore	жара орын
sore	аўырып турған
sore throat	тамақ аўырыў
sorrow	қайғы
Sorry	Кешириң
sort	сорт
sought	талап етилетуғын
soul	кеўил
soulmate	кеўиллес
sound	даўыс
soup	сорпа
sour	ашқылтым
source	дерек
south	қубла
space	орын
spam	спам
span	айланыў
Spanish	Испанша
spare	аўысық
spare	ўақыт бѳлиў
speak	сөйлеў
special	арнаўлы
species	түрлер
specific	тийисли
spectacular	жарқын көринис
speech	шығып сөйлеў
speechless	лал
speed	тезлик
spell	ҳәриплеп айтыў
spend	сарыплаў
spent	сарыпланған
spicy	ашшы
spike	тисше
spin	айналыў
spinach	шпинат
spirit	руўх
spit	түпириў
splendid	әжайып
split	айырыў
split	бѳлек
spoil	бүлдириў
spoiled	бүлинген
spontaneous	дус келген
spoon	қасық
spot	ноқат
spouse	жубай
spread	жайылған
spring	бәҳәр
square	квадрат
squeeze	қысыў
squid	кальмар
squirrel	тыйын
stab	тығыў
stable	турақлы
stack	стеллаж
staff	хызметкер
stage	этап
stain	бояў
stairs	текше
stake	ставка
stalk	жасырын ҳәрекет
stall	киоск
stamp	мөр
stand	турыў
stand	стенд
standard	стандарт
star	жулдыз
start	баслаў
started	баслады
starving	аш
state	атап ѳтиў
state	ҳалат
statement	хабар
station	вокзал
statue	ҳәйкел
status	статус
stay	қалыў
stay safe	аман жүриң
steady	турақлы
steak	стейк
steal	урлаў
steam	пар
steel	урлаў
steep	тик
stem	түбир
step	қәдем
stick	таяқ
stiff	алдаў
still	еле
still	қыймылсыз
sting	шағыў
stingy	сықмар
stir	былғаў
stock	акция
stolen	урланған
stomach	қарын
stone	тас
stood	турды
stool	орындық
stop	тоқтаў
storage	склад
store	сақлаў
storm	даўыл
story	ўақыя
stove	газ ошақ
straight	туўры
straightforward	тик
strain	штамм
strange	бийтаныс
stranger	бийтаныс
strategy	стратегия
straw	сабан
strawberry	клубника
streak	ўақыт аралығы
stream	ағыс
street	көше
strength	күш
stress	стресс
stretch	созыў
strict	қатаң
strike	көтерилис
string	сым
strip	жиңишке кесинди
strive	интилис
stroke	сызық
strong	күшли
struck	қағып кеткен
structure	дүзилис
struggle	қыйналыў
struggle	қыйыншылық
struggling	қыйналып атырған
stubborn	надан
stuck	қысылып калыў
student	студент
study	оқыў
studying	оқыў
stuff	зат
stunning	лал қаларлық
stupid	ахмақ
style	стиль
subject	атама
submission	тапсырыў
submit	тапсырыў
substance	орталық
substitute	алмастырыў
subtle	нәзик
succeed	сәтли болыў
success	әўмет
successful	сәтли
such	сондай
such as	сыяқлы
suck	сорыў
sudden	тосаттан
suddenly	тосыннан
suffer	қыйналыў
suffering	қыйналып атырған
sufficient	жетерли
sugar	шекер
suggest	усыныў
suggestion	усыныс
suit	костюм
suit	жарасыў
suitable	сәйкес
suitcase	чемодан
sum	улыўма есап
summary	мазмуны
summer	жаз
summit	саммит
sun	қуяш
sunday	Екшемби
sunny	қуяшлы
sunset	күн батыў
sunshine	қуяш нуры
super	супер
superior	үстин турыўшы
supervisor	гүзетиўши
supper	кешки аўқат
supply	тәмийнат
supply	тәмийинлеў
support	қоллап-қуўатлаў
suppose	деп ойлаў
supposed	күтилген
sure	исеними кәмил болыў
surface	жүзи
surge	бирден көтерилип түсиў
surgery	операция
surname	фамилия
surprise	ҳайран қалдырыў
surprised	ҳайран қалған
surrender	бағыныў
surrounding	қоршаған
surveillance	гүзетиў
survey	сораўнама
survey	сораўнама ѳткериў
survive	аман қалыў
suspect	гүманланыўшы
suspect	гүманланыў
suspended	қалдырылған
suspicious	гүманлы
sustain	турақландырыў
sustainability	турақлылық
sustainable	турақлы
swag	олжа
swallow	жутыў
swap	алмастырыў
swear	ант етиў
sweat	терлеў
sweater	свитер
sweep	сыпырыў
sweet	мазалы
sweet dreams	жақсы түслер көриң
sweet tooth	мазалыны сүйиўши
sweetheart	сүйикли
swell	исиў
swelling	исик
swim	жүзиў
swimming	жүзиў
swing	шайқалыў
swing	шайқалыс
switch	выключатель
switch	қосыў
swollen	исинген
sword	қылыш
symbol	символ
sympathy	унатыў
symptoms	белгилери
system	система
table	стол
tackle	шешиў
tag	биреўди белгилеў
tail	қуйрық
take	алыў
take away	алып кетиў
take care	аман болың
take off	кийимди шешиў
taken	алынды
talk	сәўбетлесиў
talk	сәўбет
talkative	сөйлемшек
tall	узын
tap	кран
tap	ағызып алыў
tape	лента
target	гөзлеў
target	нышан
task	ўазыйпа
taste	дәм
taste	дәм бериў
tasty	мазалы
taught	оқытты
tea	шай
teach	оқытыў
teacher	оқытыўшы
team	команда
tear	тозыў
tears	көз жаслары
tease	ашыўына тийиў
technology	технология
teeth	тислер
tell	айтыў
tell me	маған айтың
temper	ашыў
temperature	температура
temple	ибадатхана
temporary	ўақытша
ten	он
ten thousand	он мың
tenant	ижарашы
tend	бейим болыў
tendency	ҳәрекет бағдары
tender	тендер
tense	мәҳәл
tension	басым
tent	шатыр
tentative	ўақытша
term	мүддет
terms	шәртлер
terrible	қорқынышлы
terrific	қорқынышлы
territory	территория
test	тест
test	тест ислеў
text	текст
than	гѳре
thank	рахмет
thank you	рахмет
Thank you for your patience while we investigate shipment	Жѳнетпени тексериўимиз даўамында күтип турғаныңыз ушын рахмет
thank you so much	үлкен рахмет
thank you very much	үлкен рахмет
thanks	рахмет
Thanks for using our app	Бизиң дәстуримизден пайдаланғаныңыз ушын рахмет
that	сол
that is	сол
that's good	жақсы
theft	урлық
their	олардың
them	оларды
theme	тема
themselves	өзлери
then	кейин
theory	теория
there	сол жерде
there are	бар
there is	бар
therefore	сонлықтан
these	булар
they	олар
thick	қалың
thief	уры
thigh	сан
thin	жиңишке
thing	зат
things	затлар
think	ойлаў
third	үшинши
thirsty	шөллеў
thirteen	он үш
thirty	отыз
this	бул
this is	бул
thorough	пуқта
thoroughly	пуқталық пенен
those	олар
though	қарамастан
thought	ойлады
thought	ой
thoughtful	ойға талған
thoughts	ойлар
thousand	мың
thread	жип
threat	қәўип
threaten	қорқытыў
three	үш
threshold	босаға
thrilled	үлкен қуўанышта болыў
thrive	жайнап-жаснаў
throat	тамақ
through	арқалы
throughout	бойлап
throw	ылақтырыў
thumb	бас бармақ
thunder	гүлдирмама
Thursday	Пийшемби
thus	бунда
tick	түртиў
tide	теңиз толқыны
tidy	тәртипке келтирилген
tie	байлаў
tie	галстук
tiger	жолбарыс
tight	беккемлеп
Tigrinya	Тигриня
time	ўақыт
timid	шоршыған
tiny	жүдә киши
tip	мәсләҳәт
tips	пайдалы мағлыўмат
tire	баллон
tired	шаршаған
tissue	салфетка
title	атама
toast	қыздырыў
today	бүгин
toddler	кишкене бала
toes	аяқтың бас бармақлары
together	биргеликте
toilet	ҳәжетхана
told	айтылған
tolerance	шыдам
tolerate	шыдаў
tomato	помидор
tomorrow	ертең
tongue	тил
tonight	бүгин кеште
took	алдынғы
tool	қурал
tools	үскенелер
tooth	тис
top	төбеси
topic	тема
torn	жыртық
torture	азап бериў
total	жәми
touch	тийиў
tough	қыйын
tour	тур
toward	тәрепке
towards	тәрепке
towel	сүлги
town	қала
toxic	зәҳәрли
trace	из
track	из
trade	саўда қылыў
trade	саўда
tradition	үрп-әдет
traditional	миллий
traffic	жол ҳәрекети
trail	соқпақ
train	шынықтырыў
training	тренинг
trait	минез өзгешелиги
traits	өзгешелик белгилери
transfer	басқа орынға өткериў
transition	өтиў
translate	аўдармалаў
transparent	көринетуғын
transport	транспорт
transportation	транспортировка
trap	қақпан
trash	шығынды
trauma	травма
travel	саяхат етиў
tray	поднос
treasure	ғәзийне
treat	қатнаста болыў
treatment	ем
tree	терек
tremendous	нәҳән
trend	тенденция
trial	сынақ
trick	сыр
tried	ҳәрекет еткен
trigger	ҳәрекетке келтириўши тутқыш
trigger	ҳәрекетке келтириў
trim	қырқыў
trip	саяхат
trouble	қайғы
trousers	шалбар
truck	жүк машинасы
true	дурыс
trunk	томар
trust	исениў
trust	исеним
truth	ҳақыйқат
try	ҳәрекет етиў
Tsonga	Цонга
tube	трубка
Tuesday	Шийшемби
tuition	тәлим
turkey	түйетаўық
turmeric	куркума
turn	бурылыў
turtle	тасбақа
tutor	репетитор
twelve	он еки
twenty	жигирма
twenty-one	жигирма бир
Twi	Тви
twice	еки рет
twist	қайысыў
two	еки
type	түр
typical	әдеттеги
ugly	унамсыз
ultimate	соңғы нәтийже
umbrella	саябан
unable	епсиз
uncle	дайы
unconscious	ҳуўышсыз
under	астында
underneath	төменги бөлими
underrated	жетерлише баҳаланбаған
understand	түсиниў
understood	түсинди
unfortunately	тилекке қарсы
uniform	униформа
unique	жалғыз
unit	бирлик
university	университет
unknown	белгисиз
until	шекем
unusual	өзгеше
up	жоқарыға
up to you	өзиңе байланыслы
update	жаңалық
update	жаңалық бериў
upgrade	жоқарылатыў
upgrade	жоқарылаў
upon	ўақтында
upset	қапа
urban	қала әтирапы
urge	ийтермелеў
urgent	қыстаўлы
us	бизлердиң
use	пайда
use	пайдаланыў
used	пайдаланылған
useful	пайдалы
useless	пайдасыз
usual	әдеттеги
usually	әдетте
utility	энергия ресурслары
vacation	мийнет дем алысы
vaccination	вакцинация
vaccine	вакцина
vacuum	шаңжутқышта тазалаў
vague	түсиниксиз
valid	әмелдеги
valley	ойпатлық
valuable	баҳалы
value	баҳа
value	баҳалаў
variety	ҳәр түрли
various	тўрлише
vary	парық қылыў
vase	ваза
vast	көп санлы
vegetable	палыз өнимлери
vegetables	палыз өнимлери
vehicle	көлик
vendor	тамийнатшы
venom	зәҳәр
venture	кәрхана
venue	мәкан жайы
verify	тастыйықлаў
versatile	ҳәр тәреплеме
version	версия
vertical	вертикал
very	жүдә
very good	жүдә жақсы
vessel	суў транспорты
via	арқалы
vibe	болжам
vibes	болжам
vicious	ылас
victim	қурбан
video	видео
view	кѳриў
village	аўыл
villain	залым
vinegar	уксус
vintage	қәдимги
violence	жаўызлық
violent	жаўызларша
viral	жуғымлы
virgin	қыз бала
virtual	виртуал
virtue	ҳүждан
vision	көриў қәбилети
visit	визит шөлкемлестириў
visit	визит
visual	визуал
vital	өмирлик
vivid	жанлы
vocabulary	сөзлик
voice	даўыс
void	бос
volume	көлем
volunteer	кеўилли
vomit	қайтарыў
vomit	қусық
vulnerable	әззи
wage	ис ҳақы
wages	ис ҳақы
waist	бѳксе
wait	күтиў
waiter	официант
waiting	кутипмекте
wake	ояныў
wake up	оятыў
walk	жүриў
walk	айланыў
walking	жүрип баратырған
wall	дийўал
wallet	кошелёк
wander	гезиў
wanna	қәлеймен
want	қәлеў
wanted	қәленген
war	урыс
wardrobe	шкаф
warehouse	склад
warm	жыллы
warm	жылытыў
warn	ескертиў
warning	ескертиў
warrior	жаўынгер
wash	жуўыў
waste	ысырап
waste	ысырап етиў
watch	тамаша етиў
water	суў
watermelon	қаўын
wave	қолды былғаў
way	жол
we	бизлер
weak	әззи
weakness	әззилик
wealth	байлық
wealthy	бай
wear	кийиў
wearing	кийген
weather	ҳаўа райы
wedding	той
Wednesday	Cәршемби
weed	шөп
week	ҳәпте
weekend	ҳәпте ақыры
weight	салмақ
weight	салмақ басыў
weird	ѳзгеше
welcome	хош келипсиз
welfare	аманлық
Well	Жақсы
well done	бәрекелла
went	барды
west	батыс
wet	ызғар
whale	кит
what	не
what about you	сен не
what are you doing	не ислеп атырсыз
what are you doing now	ҳәзир не ислеп атырсаң
what are you doing right now	ҳәзир не ислеп атырсыз
what do you do	не ислейсиз
what do you do for a living	не жумыс ислейсиз
what do you mean	нени нәзерде тутып турсыз
what do you want	не қәлейсиз
what happened	не болды
what is	не
what is this	бул не
what is your job	кәсибиңиз не
what is your name	атыңыз ким
what's up	не жаңалық
what's your name	атыңыз ким
whatever	не болса да
wheat	бийдай
wheel	дөңгелек
when	қашан
whenever	қашан болса да
where	қай жерде
where are you	қай жердесиз
where are you from	қай жерден боласыз
where are you now	ҳәзир қай жердесиз
where do you live	қай жерде турасыз
where is	қай жер
which	қайсы
whisper	сыбырлаў
whistle	ысқырыў
white	ақ
who	ким
who are you	сиз кимсиз
who is	ким
who is this	бул ким
whole	пүткил
whom	кимди
whose	кимниң
why	не ушын
why not	неге болмасын
wicked	гүнәкәр
wide	кең
widow	жесир ҳаял
width	ени
wife	ѳмирлик жолдас
wild	жабайы
will	ерк
willing	нийетленген
win	жеңиў
wind	самал
window	айна
windy	самаллы
wine	вино
winter	қыс
wipe	сүртиў
wire	сым
wisdom	даналық
wise	ақыллы
wish	тилек
wish	тилеў
wish you all the best	зор тилеклерди тилеймен
witch	мәстан кемпир
with	бенен
withdraw	шығарыў
withdrawal	шығарып алыў
within	арасында
witness	гүўа
witness	гүўа болыў
witty	ақылы өткир
wolf	қасқыр
woman	ҳаял
women	ҳаял-қызлар
won	жеңди
wonder	қызықсыныў
wonderful	әжайып
wood	ағаш
wool	жүн
word	сөз
words	сөзлер
work	жумыс ислеў
work	жумыс
work out	ислеп шығыў
working	ислеп атыр
world	дүнья
worm	қурт
worn	тозған
worried	қайғырған
worry	қайғырыў
worse	жаманырақ
worship	сыйыныў
worst	ең жаман
worth	арзыйтуғын
worth it	буған арзыйды
worthy	арзырлы
wound	жара
Wow	Оҳҳо
wrap	ораў
wrath	ғәзеп
wrist	билек
write	жазыў
Write here	Мына жерге жазың
writing	жазыў
written	жазылған
wrong	қәте
wrote	жазды
yard	ҳәўли
yawn	еснеў
Yeah	Бәрекелла
year	жыл
years	жыллар
yeast	дрожжи
yell	бақырыў
yellow	сары
Yes	Аўа
yes baby	аўа, жаным
yes dear	аўа, әзийзим
yes honey	аўа, әзизим
yes my love	аўа, муҳаббатым
yes of course	аўа әлбетте
yesterday	кеше
yet	еле
yield	ҳасылдарлық
you	сиз
you are	сен
you are beautiful	сиз сулыўсыз
you are so beautiful	сиз сондай сулыўсыз
you are welcome	арзымайды
You know	Хабарыңыз болғанындай
you too	сен де
you're welcome	арзымайды
young	жас
your	сизиң
your welcome	арзымайды
yourself	өзиңиз
youth	жаслық
you’re welcome	арзымайды
yummy	мазалы
zero	ноль
