abandoned	छोड़ि देल गेल
abandon	छोड़नाइ
abide	पालन ​​ करनाइ
ability	योग्यता
able	योग्य
about	विषय में
above	ऊपर
abroad	विदेश
absence	अनुपस्थिति
absent	अनुपस्थित
absolutely	पूर्ण रूप सं
absorb	सोख लेनाइ
abstract	निराकार
absurd	निरर्थक
abundance	बहुत बेसी होबए
abundant	प्रचुर
abuse	गारि देनाइ
accent	बोली
accept	स्वीकार
access	पहुंच
accident	दुर्घटना
accommodation	निवास
accomplished	समाप्त भेनाइ
accomplish	पूरा
according	अनुसार
account	खाता
accuracy	सटीकता
accurate	सटीक
accused	दोषी
ache	दरद
achievement	उपलब्धि
achieve	प्राप्त करु
acknowledge	स्वीकार करनाइ
acquaintance	परिचित
acquired	अधिग्रहीत
acquire	अधिग्रहण
acquisition	अधिग्रहण
across	आर-पार
action	कार्य
active	चुस्त
activities	गतिविधि
activity	क्रिया-कलाप
actor	अभिनेता
actually	वस्तुतः
actual	वास्तविक
act	नाटक करनाइ
acute	तीव्र
adapt	अनुकूल
addicted	आदी भेनाइ
additional	अतिरिक्त
addition	जोड़नाइ
address	ठिकाना
add	जोड़ू
adequate	पर्याप्त
adjacent	सटल
adjective	विशेषण
adjust	ठीक करनाइ
admire	प्रशंसा
admit	प्रवेश
adopt	गोदलेनइ
adorable	आकर्षक
advanced	आगू बढ़ल
advance	अग्रिम
advantage	फायदा
adventure	साहसिक काज
adverb	धातु-विशेषण
advertisement	विज्ञापन
advertising	प्रचार
advice	सलाह
advise	विचार
advocate	वकील
aesthetic	सौन्दर्यात्मक
affair	मामिला
affection	प्रेम
affect	प्रभाव
affordable	सस्ता
afford	खर्च
afraid	भयभीत
afternoon	बेर-उपहर
afterwards	बाद मे
after	बाद मे
against	क' विरुद्ध
again	दोबारा
agency	संस्था
agent	मुनीम
age	आयु
aggressive	आक्रामक
agile	फुरतीला
ago	पहिने
agreement	समझौता
agree	सहमत
agriculture	खेती
ahead	आगू
aid	सहायता
aim	लक्ष्य
airport	हवाई अड्डा
air	हवा
aisle	गलियारा
alarm	अलार्म
alcohol	दारु
alert	चेतावनी
a little	तनका
alive	जीवित
allowed	अनुमति देल
allow	अनुमति
all right	सब ठीक
all the best	शुभकामना
all	सभटा
almost	प्रायः
alone	असगर
along	संग मे
a lot of	ढेर
a lot	ढेर बेसी
already	पहिनहि सँ
Alright	ठीक छै
also	इहो
alternative	विकल्प
although	यद्यपि
always	सदिखन
amazing	आश्चर्यजनक
ambiguous	ढेर अर्थ बला
ambition	अभिलाषा
ambitious	महात्वाकांक्षी
amend	संशोधन
amid	क बीच
among us	हम सभक बीच
among	क' बीच मे
amount	मात्रा
amusing	मनोरंजक
analysis	विश्लेषण
ancestors	पुरखिन सभ
anchor	लंगर
ancient	पुरातन
and you	आओर अहां
and	आओर
angel	कोण
anger	क्रोध
angle	कोण
angry	क्रोधित
animal	जानवर
ankle	टखना
anniversary	वर्षगांठ
announcement	घोसना
annoyed	अप्रसन्न
annoying	तकलीफदेह
annoy	परेशान करनाइ
annual	वार्षिक
anonymous	बेनाम
another	दोसर
answer	उत्तर
anticipate	पहिने सँ कए रखनाइ
anxiety	चिन्ता
anxious	चिंतित
anymore	आर किछ
anyone	कोनो
anything	किछुओ
anyways	कोनो न कोनो प्रकार सँ
anyway	खैर
any	कोनो
an	एकटा
apartment	कोनो बड़का भवन मे कमराक समूह
apart	अलग
apologize	माफी मांगनाइ
apparently	जाहिर
apparent	साफ-साफ
appeal	निवेदन
appearance	उपस्थिति
appeared	देखाय देलक
appear	निकलनाइ
appetite	भूख
apple	सेब
application	आवेदन
apply	लागू
appointment	नियुक्ति
appreciate	प्रशंसा
appreciation	सराहना
approach	दृष्टिकोण
appropriate	उपयुक्त
approval	स्वीकृति
approved	स्वीकृत भेटल
approve	अनुमोदन
approximately	लगभग
april	अप्रैल
arbitrary	मनमाना
architecture	वास्तुकला
architect	वास्तुकार
archive	संग्रह
area	इलाका
are you busy	अहां की व्यस्त छी
are you married or single	अहां विवाहित छी वा एकाकी
are you married	अहां की विवाहित छी
Are you still there?	की अहाँ एखनो ओतह छथि?
are you there	की अहां ओतय छी
are you	की अहां छी
are	छी
argue	बाताबाती
argument	तर्क
arise	उठनाइ
army	सेना
arm	बाहु
around	चारू दिस
arrangement	सजावट
arrange	व्यवस्था
arrival	पहुचनाइ
arrived	आबि गेल
arrive	एनाइ
arrogant	हठी
arrow	तीर
article	आलेख
artificial	बनावटी
artist	कलाकार
art	कला
ashamed	लाज
ash	छाइ
asked	पूछलक
ask	पूछू
asleep	सुतल
as long as	एखन
aspect	पक्ष
Assamese	असमिया
assault	हमला
assembly	जुटान
assertive	स्वीकार करे योग्य
assessment	मूल्यांकन
assess	आकलन
assets	पूंजी
asset	संपत्ति
assignment	कार्य
assign	काम देनाइ
assistant	सहायक
assist	सहयोग देनाइ
associated	जुड़ल
associate	संगी
association	समिति
assume	मानि लिय
assumption	कल्पना
as well as	सेहो
as well	सेहो
as	जेकि
ate	खा लेलौं
athlete	कसरती
at least	कम सँ कम
attached	जुड़ल
attachment	लगाव
attach	संलग्न करनाइ
attack	हमला करनाइ
attempt	प्रयास
attendance	उपस्थिति
attend	उपस्थिति
attention	ध्यान दिय
attitude	ऊंचाई
attraction	आकर्षण
attractive	आकर्षक
attract	आकर्षक
attribute	गुण
at	पे
audience	श्रोता
august	अगस्त
aunty	चाची
aunt	काकी
authentic	प्रामाणिक
authority	अधिकारी
author	लेखक
autumn	पतझड़
available	उपलब्ध छै
average	औसत
avoid	टालि दिय
awake	जागल
award	इनाम
awareness	जानकारी
aware	जानकारी
away	दूर
awesome	विलक्षण
awful	भयंकर
awkward	बेढ़ंग
Aymara	आइमारा
a	एको
baby	शिशु
bachelor	कुमार
background	पृष्ठभूमि
back	पाछू
bad	खराब
bag	झोरा
bait	प्रलोभन
bakery	बिस्कुट बनाय बला कारखाना
bake	सेकनाइ
baking soda	खाय बला सोडा
balance	संतुलन
ball	गेन्द
Bambara	बंबारा
banana	केला
band	बैन्ड
bang	धमाका
bank	बैंक
barely	मुश्किल सँ
bargain	तोल-मोल
bark	गाछक छाल
barley	जौ
barrier	प्रतिबंध
bar	छड़
based	आधारित
basement	तहखाना
base	आधार
basically	मूल रूप सं
basic	मूलभूत
basil	तुलसी
bastard	घटिया
batch	खेप
bathroom	स्नानगृह
bath	स्नान
battery	बैटरी
battle	लड़ाय
bay	खाड़ी
beach	समुद्रक कात
beam	किरन
beans	फली सभ
beard	दाढ़ी
bearing	सहन करनाइ
bear	भालू
beast	दानव
beat	ताल
beautiful	सुन्नर
beauty	सुन्नरता
became	होनाइ
be careful	सावधान रहू
because	किएक तँ
become	भ' गेनाइ
bedroom	शयनकक्ष
bed	बिछाओन
beef	गोमांस
beer	बियर
bee	मधुमक्खी
before	पहिने
began	सुरु भेल
beginning	शुरुआत
begin	शुरू
behalf	क तरफ सँ
behave	व्यवहार
behavior	व्यवहार
behaviour	व्यवहार
behind	पाछू
being	प्राणी
belief	आस्था
believe	विश्वास
belly	भोटी
belong	संबंध
beloved	प्रेमी
below	नीचां
belt	क्षेत्र
bench	अदालत
bend	झुकानाइ
beneath	नीचू
benefits	फायदा
benefit	फायदा
besides	क' अतिरिक्त
beside	बगल मे
best of luck	शुभकामना
best regards	सादर
best	सब सं बढ़ियां
better	बेहतर
between	बीच मे
beverage	पेय पदार्थ
beyond	ओकर आगू
be	भेनाइ
Bhojpuri	भोजपुरी
biased	झुकल
bias	झुकाब
bicycle	साइकिल
bid	बोली
big	पैघ
bike	बाइक
bill	विधेयक
bind	बाँधनाइ
bird	पक्षी
birthday	जन्मदिन
bite	दांत सँ कटनाइ
bitter	तीत
bit	अंश
black	कारी
blade	पत्ती
blame	दोष लगेनाइ
blanket	कंबल
blank	खाली
blast	विस्फोट
bleach	निखरनाइ
blend	एकसार
blessed	आशिर्बाद देलथि
bless	आशीर्वाद देनाइ
blind	आन्हर
bliss	परमानंद
block	रुकावट
blood	खून
bloom	फूल क खिलनाइ
blow	झटका
blue	नील
blunt	मुंह फट
board	पटल
boat	नाव
body	देह
boil	उसनल
bold	साहसी
bond	बंधन
bone	हड्डी
book	पुस्तक
booster	बढ़बइ वला
boost	बढ़ेनाइ
boots	जूता
boot	जूता
border	बॉर्डर
bored	ऊबि गेल
bore	उबा देनाइ
boring	अरुचिकर
born	जन्म
borrow	उधारी
boss	मालिक
bother	परेशानी
both	दुनू
bottle	बोतल
bottom	नीचा
bought	खरीद लेलौं
bounce	उछलब
boundaries	सीमा सभ
bound	बंधन
bowl	कटोरी
bow	धनुष
box	बक्सा
boyfriend	परेमिक
boy	छौड़ा
bracelet	कंगन
brain	दिमाग
branch	डाढ़ि
brand	मार्का
brave	बहादुर
breach	उल्लंघन
bread	रोटी
breakfast	जलपान
break	विराम
breast	छाती
breathe	सांस लेनाइ
breath	सांस
breed	नसल
brick	ईटा
bride	दुल्हिन
bridge	पुल
brief	संक्षिप्त
bright	चमकैत
brilliant	तेज
bring	लाउ
broadcast	प्रसारित केनाइ
broad	चौड़ा
broken	टूटल
broke	टूट गेल
broom	झाडू
brother in law	साला
brother	भाई
brought	आनल गेल
brown	कत्थी
bro	भाय
brush	ब्रुश
bucket	बाल्टी
buddy	मित्र
budget	बजट
bug	उड़ीस
building	भवन
build	बनानाए
built	बनाना
bulk	थोक
bully	धमकी दय वला
bull	सांड
bump	टक्कर
bunch	गुच्छा
bundle	बंडल
burden	बोझ
buried	गाडल गेल
burn	जरनाइ
burst	फुटनाइ
bury	गाड़नाइ
bush	झाड़
business	व्यवसाय
bust	छाती
busy	व्यस्त
bus	बस
butterfly	तितली
butter	मक्खन
button	बोताम
but	मुदा
buy	खरीदू
bye	विदा
by the way	ओना
by	द्वारा
cabbage	बन्दाकोबी
cabinet	मंत्रिमंडल
cage	पिंजरा
cake	केक
calf	बछरू
called	बोलावल गेल
call me	हमरा कॉल करू
call	बुलाहट
calm	शांत
came	आयल
campaign	अभियान
Cancel	रद्द
cancer	कैंसर
can't	नहि कए सकैत अछि
can	कय सकैत
capable	सक्षम
capacity	क्षमता
capital	राजधानी
caption	चित्र परिचय
capture	पकड़नाइ
career	आजीविका
carefully	सावधानीसँ
careful	सावधानीपूर्वक
careless	लापरवाह
caring	देख-रेख करनाइ
carpenter	बढ़ई
carpet	गलइचा
carrot	गाजर
carry on	जारी राखू
carry out	पूरा करनाइ
carry	ल चलू
car	कार
case	मामला
cash	नगद
castle	किला
cast	भूमिका देनाइ
casual	अनौपचारिक
catch	पकड़नाइ
category	वर्ग
cattle	मवैसी
cat	बिलाड़ि
caught	पकड़ल गेल
cause	कारण
caution	चेतावनी
cautious	सतर्क
cave	गुफा
cease	बंद
ceiling	छत
celebrate	उत्सव माननाइ
cell	कक्ष
center	केंद्र
century	सदी
cereal	खिचड़ी
ceremony	समारोह
certainly	निश्चित रूप सं
certain	निश्चित
certificate	प्रमाणपत्र
chain	सिकड़ी
chair	कुर्सी
challenge	चुनौती
chance	संयोग
change	बदलू
chaos	अव्यवस्था
characteristics	बिसेसता सभ
character	चरित्र
charge	प्रभार
charity	दान
charming	सुन्नर
chart	लेखा चित्र
chase	पीछा करनाइ
chat	बातचीत
cheap	सस्ता
cheating	धोखा धडी
cheat	ठग
check	जांच
cheek	गाल
cheerful	खुशी
cheers	अहलाह
cheer	जयकार
cheese	पनीर
chemistry	रसायन-विज्ञान
cherish	दुलारनाइ
chess	शतरंज
chest	छाती
chew	चबाननाइ
chicken	मुर्गी
chief	मुखिया
childhood	बाल्यावस्था
children	नेना सभ
child	नेना
chill	ठंडा
chimneys	चिमनी सभ
chin	ठुड्डी
chocolate	लेमनचूस
choice	पसंद
choose	चुनू
chop	छोट छोट काटनाइ
chores	उबाउ काज
chubby	गलफुल्ला
church	चर्च
cinnamon	दालचीनी
circle	घेरा
circumstances	परिस्थिति
citizen	नागरिक
city	नगर
claim	मांग
clarify	सफाई देनाइ
class	वर्ग
clay	माटि
clean	साफ
clear	साफ
clerk	मुंशी
clever	चालाक
client	ग्राहक
cliff	टीला
climate	जलवायु
climb	चढ़नाइ
clingy	लसदार
clock	घड़ी
closet	कोठरी
close	बंद
clothes	कपड़ा
cloth	कापिड़
cloudy	बदरी
cloud	मेघ
clown	विदूषक
clue	संकेत
clumsy	उद्दंड
cluster	समूह
coach	प्रशिक्षक
coal	कोयला
coast	समुद्री किनारा
coat	परत
coffee	कॉफी
cognitive	ज्ञानात्मक
coincidence	संयोग
cold	ठंडा
collapse	खसि पड़नाइ
collar	गिरेबान
colleagues	सहकर्मी
colleague	सहयोगी
collection	संग्रह
collect	जमा
college	महाविद्यालय
colorless green ideas slept furiously	बेरंग हरियरका विचार के नींद उड़ल
color	रंग
colour	रंग
column	स्तंभ
combination	मेल
combine	जोड़नाइ
comb	कंघी
come here	यहा आउ
come on	जल्दी आउ
come	आउ
comfortable	आरामदेह
comfort	सुविधा
coming soon	जल्दिये आबि रहल अछि
coming	आबि रहल अछि
command	आदेश
comment	व्यंग
commercial	वाणिज्यिक
commission	आयोग
commitment	प्रतिबद्धता
committed	प्रतिबद्ध
commit	प्रतिबद्ध
commodity	माल
common	सामान्य
communicate	बातचीत केनाइ
communication	संचार
community	समुदाय
commute	पहिननइ
companion	साथी
company	संग
compare	तुलना
comparison	तुलना
compassionate	दयाबान
compassion	तरस
compatible	अनुकूल
competent	सक्षम
compete	प्रतिस्पर्धा
competition	प्रतियोगिता
competitive	प्रतियोगी
complaint	शिकायत
complain	शिकायत
complement	पूरक
completely	सम्पूर्ण रूप सँ
complete	पूरा
complex	जटिल
compliance	अनुपालन
complicated	जटिल
compliment	प्रशंसा
comply	मान
composition	संयोजन
compound	चहारदीवारी
comprehension	समझनाइ
comprehensive	बिस्तरीत
compromise	सुलह करनाइ
compulsory	अनिवार्य
computer	कंप्युटर
concentrate	ध्यान
concept	संकल्पना
concerned	चिन्तित
concern	चिन्ता
concert	मेल
conclusion	निष्कर्ष
concrete	मजबूत
conditions	शर्त
condition	स्थिति
conduct	आयोजन
conference	सम्मेलन
confess	अपन पाप स्वीकार करनाइ
confidence	आत्मविश्वास
confident	आत्मविश्वास सं भरल
confirm	पुष्टि करु
conflict	टकराव
confused	भ्रमित
confusion	उलझन
congrats	बधाई
congratulations	बधाई
congratulation	बधाई
conjunction	संयोजन
connect	जुड़ गेल
conquer	जीत
consciousness	चेतना
conscious	जागरूक
consent	सहमति
consequences	परिणाम
conservation	संरक्षण
conservative	रूढ़िवादी लोकनि
considered	मानल गेल
consider	माननाइ
consistency	लगातार
consistent	संगत
consist	कोनो चीज वा लोकनि मे मिलल होनाइ
constantly	लगातार
constant	सतत
constipation	कब्ज
construction	निर्माण
consume	खपत करनाइ
consumption	उपभोग
contact	संपर्क करनाइ
contagious	छुताहा
contains	मिलल हय
contain	नियंत्रण
contemporary	समकालीन
contempt	निंदा
content	सामग्री
contest	प्रतियोगिता
context	संदर्भ
continent	महाद्वीप
continue	करैत रहू
contract	अनुबंध
contrast	विषमता
contribute	योगदान
contribution	योगदान
control	नियंत्रण
controversial	विवाद बला
convenience	आसानी
convenient	आसान
conversation	बातचीत
convert	परिवर्तन
convey	सूचित करु
convinced	गप्प मानय बला
convince	विश्वास दिलानाइ
cooking	खाना बनानाइ
cook	खाना बनाउ
cool	ठंडा
cooperation	सहयोग
cope	सामना
copper	तम्बा
core	मूल
corner	कोना
corn	मकई
correct	सही
costume	वेष भूषा
cost	लागत
cottage	झोपड़ी
cotton	कपास
couch	पलंग
cough	उकासी
could	कय सकैत ह
council	परिषद
counter	विरोध
countryside	गामक इलाका
country	देश
count	गिनती
couple	जोड़ी
courage	साहस
course	पाठ्यक्रम
courtesy	सौजन्य
court	न्यायालय
cousin	पितियौत
cover	छाप देनाइ
coward	डरपोक
cow	गाय
cozy	आरामदायक
crab	केकड़ा
crack	दरार
craft	शिल्प कला
crap	बकवास
crash	टक्कर भेनाइ
craving	लालसा
crawl	रेंगनाइ
crazy	पागल
create	बनाउ
creative	रचनात्कम
credit	उधार
creepy	रेंगय वला
creep	रेंगनाइ
crew	चालक दल
crime	अपराध
cringe	चापलूसी
crisis	संकट
criteria	मानदंड
critical	आलोचनात्मक
criticism	आलोचना
crops	अनाज सभ
crop	फसल
cross	पार करनाइ
crowded	भीड़-भाड़ बला
crowd	भीड़
crown	राज-मुकुट
crow	कौआ
crucial	महत्वपूर्ण
cruel	क्रूर
cruise	समुद्री यात्रा
crush	पिसनाइ
cry	चिल्लानाइ
cucumber	खीरा
cuddle	आलिंगन
culture	संस्कृति
cunning	धूर्तता
cupboard	अलमारी
cup	कप
curb	अंकुश लगानाइ
cure	इलाज
curfew	कर्फ्यू
curiosity	उतेजना
curious	जिज्ञासु
curly	घुंघरयला
currency	मुद्रा
currently	वर्तमान मे
current	प्रवाह
curse	शाप
curtain	परदा
cushion	तकिया
customer	ग्राहक
customs	रिवाज
custom	परिपाटी
cute	सुन्दर
cut	काटनाइ
cycle	साइकिल
cycling	साइकिल चलानाइ
daddy	पिता
dad	पिता
daily	नित्य
dairy	गोसाला
damage	क्षति
damn	धिक्कार
damp	भीगल
dam	बांध
dance	नाच
dangerous	खतरनाक
danger	खतरा
dark	अन्हार
darling	प्रिय
dash	पानिक छींटा
data	डाटा
date	तारीख
daughter	धिया
day	दिन
deadline	समय सीमा
dead	मरल
deaf	बधिर
deal	सौदा
Dear All	प्रिय साथी सभ
Dear Customer	प्रिय ग्राहक
Dear Parents	प्रिय अभिभावकसभ
Dear Sir	प्रिय अध्यापक
Dear students	प्रिय विद्यार्थीसभ
Dear Team	प्रिय मण्डली
dear	प्रिय
death	मृत्यु
debate	वाद-विवाद
debit	कर्जा लिखनाइ
debris	मलवा
debt	कर्जा
decade	दशक
decay	क्षय
deceased	मरल
deceive	धोखा
december	दिसम्बर
decent	भद्र
decided	निर्णय लेलक
decide	निर्णय
decision	निर्णय
deck	तासक पत्ता
decline	अवनति
decrease	कम
dedicated	समर्पित
dedication	समर्पण
deed	विलेख
deep	गंहीर
deer	हरिन
default	चुकनाइ
defeat	हरेनाइ
defend	रक्षा
define	परिभाषित केनाइ
definitely	निश्चित
definition	परिभाषा
degree	डिग्री
delayed	बिलम्भ सँ भेल
delay	देरी
delete	हटानाइ
deliberate	सोचल- समझल
delicate	कोमल
delicious	स्वादिष्ट
delighted	खुशी भेनाइ
delight	खुसी
delivered	पहुंचल
delivery	वितरण
deliver	सौंपनाइ
demanding	क मांग
demand	मांग
democracy	लोकतंत्र
demonstrate	प्रदर्शन करनाइ
demon	दानब
denied	मना करनाइ
density	घनत्व
dentist	दंत चिकित्सक
deny	मना करनाइ
department	विभाग
departure	चल जनाइ
depend	आश्रित
deploy	तैनाती
deposit	जमा करनाइ
depressed	उदास
depression	अवसाद
depth	गहराई
describe	वर्णन
description	वर्णन
desert	मरुभूमि
deserve	योग्यता
designation	पद
design	डिजाइन
desire	इच्छा
desk	टेबल
despair	दुःख
desperate	निराश
despite	बावजूद
dessert	मिठाय
destination	गंतव्य
destiny	भाग्य
destroy	नष्ट
destruction	बर्बादी
details	विवरण
detail	विस्तार
detect	पता लगाब
determination	दृढ़ निश्चय
determined	निश्चित
determine	संकल्प
devastated	अत्याचार कयल गेल
developed	विकसित
development	विकास
develop	विकास
device	यंत्र
devil	दानव
devoted	समर्पित
Dhivehi	दिवेही
diabetes	मधुमेह
diarrhea	दस्त
diary	डायरी
dictionary	शब्दकोश
did	करब
died	मर गेल
diet	आहार
die	मरनाइ
difference	अंतर
different	अलग
difficult	कठिन
dignity	गरिमा
dig	गहिड करू
diligent	मेहनती
dinner	रातिक भोजन
dip	बोरनाइ
direction	दिशा
director	निदेशक
direct	सीधा
dirty	गंदा
dirt	मैला
disabled	अयोग्य बनेनाइ
disable	असमर्थ
disappear	गायब
disappointed	निराश
disaster	आपदा
discard	रद्द करनाइ
discharge	निकलनाइ
discipline	अनुशासन
discount	छुट
discover	पता लगेनाइ
discrimination	पक्षपात
discussion	चर्चा
discuss	चर्चा
diseases	रोग सभ
disease	रोग
disguise	स्वांग
disgusting	अरुचिकर
dishes	बर्तन
dish	थारी
dismiss	खारिज
dispatch	भेजनाइ
display	प्रदर्शन करनाइ
disposal	निपटान
