abandoned	छोड़ि देल गेल
revenge	बदला
revenue	राजस्व
reverse	विपरीत
review	समीक्षा
revise	संशोधन
revision	संशोधन
revolution	क्रांति
reward	सम्मान
rhythm	ताल
rib	पसलीक हड्डी
rice	भात
rich	धनी
ride	सवारी
ridiculous	हास्यास्पद
rid	छुटकारा
right now	एखन
right	ठीक
rigid	कठोर
ring	घेरा
rinse	खंगालनाइ
riot	दंगा
ripe	पक्कल
rip	फाड़नाइ
rise	उत्थान
risk	जोखिम
rival	प्रतिद्वंद्वी
river	नदी
road	सड़क
roast	आगि मे भुननाइ
robust	मजबूत
rock	पाथर
rod	छड़
role	भूमिका
roll	घूमनाइ
roof	छत
room	कमरा
root	जड़
rope	रस्सी
rotten	सडल
roughly	मोटा-मोटी
rough	रूख
round	गोल
route	मार्ग
routine	दिनचर्या
row	पंक्ति
rubber	रब्बड़
rubbish	कचरा
rub	मालिस
rude	उदंड
rug	गलीचा
ruin	बरबाद
ruler	राजा
rules	नियम
rule	नियम
running	दौड़
run	दौरू
rural	ग्रामीण
rush	भीड़
sack	झोला
sacred	पवित्र
sacrifice	त्याग
safe flight	सुरक्षित हवाईयात्रा
safety	सुरक्षा
safe	सुरक्षित
sage	संत
said	कहलक
sailing	सेलिंग
sail	जलयात्रा
sake	खातिर
salary	वेतन
sale	बिक्री
salmon	समान
salt	नून
Same here	हमरो यहे विचार हय
same	समान
sample	नमूना
sand	बालू
Sanskrit	संस्कृत
sarcastic	व्यंग्यपूर्ण
sassy	नटखट
satisfaction	संतुष्टि
satisfied	संतुष्ट भेल
satisfying	संतोस दिए बला
satisfy	संतुष्ट
Saturday	शनिदिन
sat	बैसलाह
sausage	लंगचा
savage	जंगली
save	बचाउ
saw	देखलहुं
say	कहू
scale	पैमाना
scam	घोटाला
scarce	कमी
scared	भयभीत
scarf	ओढनी
scary	भयानक
scar	चोटक  निसान
scattered	छितरल
scenery	दृश्य
scene	दृश्य
scent	खुशबू
schedule	समय-सारणी
school	विद्यालय
science	विज्ञान
scientists	बैज्ञानिक सभ
scientist	वैज्ञानिक
scissors	कैंची
scold	डांटनाइ
scope	दायरा
score	अंक भेटनाइ
scrap	रद्दी माल
scratch	खरोंच
scream	चिल्लेनाई
screen	परदा
screw	पेंच
script	लिपि
seal	मोहर
search	खोजनाइ
season	ऋतु
seat	बैसैक स्थान
sea	समुद्र
second	दोसर
secret	गुप्त
section	अनुभाग
secure	सुरक्षित
security	सुरक्षा
seed	बीज
seek	ताकू
seems	प्रतीत
seem	लगनाइ
seen	देखल गेल
see you later	बाद मे भेट होएत
see you soon	जल्दिये भेट होएत
see you tomorrow	कल भेट होएत
see you	फेर भेट होएत
see	देखू
seize	क जब्त
seizure	कुर्की
seldom	कखनो-कखनो
select	चुननाइ
self healing	अपने सँ ठीक भेनाइ
selfish	स्वार्थी
self	अपन व्यक्तित्व
sell	बेचनाइ
send me your picture	हमरा अपन फोटो भेजू
send	पठाउ
senior	वरिष्ठ
sense	बोध
sensible	समझदार
sensitive	संवेदनशील
sentences	वाक्य सभ
sentence	वाक्य
sent	पठाओल
separate	अलग
Sepedi	सेपेडी
september	सितम्बर
sequence	क्रम
series	श्रृंखला
seriously	गंभीरता सँ
serious	गंभीर
serve	सेवा
service	सेवा
session	सत्र
setting	हालत
settle	स्थिर
set up	तैयार केनाइ
set	नियत
seventeen	सत्रह
seventy	सत्तर
seven	सात
several	कएकटा
severe	गंभीर
sew	सिलाई करनाइ
shade	छाया
shadow	परछाई
shake	हिलनाइ
shallow	सतही
shall	थुन
shall	ब
shame	सरम
shape	आकार
share	साझा करु
sharp	तेज
shed	छांह
sheep	भेंड़
sheet	शीट
she has	हुनका पास अछि
she is	ओ अछि
shelf	ताक
shell	कवच
shelter	शरणस्थली
she	ओ
shield	कवज
shift	पारी
shine	चमक
shipping	जलयात्रा
ship	जहाज
shirt	अंगा
shoes	जूता सभ
shoot	शिकार करनाइ
shopping	खरीदारी
shop	दोकान
shore	समुन्दर किनारा
shortage	कमी
short	छोट
shot	गोली मरनाइ
shoulder	कन्हा
shout	चिचिएनाइ
shower	फुहार
show me	हमरा देखाउ
show	प्रदर्शन
shrimp	झींगुर
shrink	सिकुड़ल
shut up	चुप रहू
shut	बंद करनाइ
shy	लजकोटर
siblings	भाई-बहिन
sibling	भाई-बहिन
sick	बीमार
side	पक्ष
sightseeing	पर्यटन
sight	दृष्टि
sigh	विलाप
signature	हस्ताक्षर
significant	महत्वपूर्ण
sign	हस्ताक्षर
silence	शांति
silent	मूक
silk	रेशम
silly	बेवकूफ
silver	चांदी
similar	समान
simple	साधारण
simp	नीक आदमी
simultaneously	संगे-संगे
sincerely	निष्ठा सँ
sincere	ईमानदार
since	काहेकी
singer	गायक
single	एकाकी
sing	गाना गानाइ
sink	डुबनाइ
Sir	महाशय
sister in law	साली
sister	बहिन
site	निर्माण स्थल
situation	स्थिति
sit	बैसू
sixteen	सोलह
sixty	साठ
six	छह
size	माप
skills	गुण
skill	गुण
skinny	पतला
skin	चमड़ी
skip	छोड़नाइ
skirt	घाघरा
sky	अकास
slave	गुलाम
sleeping	सूति रहल
sleepy	सूते जेना महसूस करनाइ
sleep	नींद
sleeve	आस्तीन
slice	टुकड़ा
slide	फिसलन
slightly	किछु न किछु
slim	पातर
slip	भिसलनाइ
slope	ढाल
slot	खाँचा
slowly	धीरे सं
slow	कम गति
small	छोट
smart	बुद्धिमान
smell	गंध
smile	मुस्कुराहट
smoke	धुआ
smooth	चिक्कन
snack	नश्ता
snail	घोंघा
snake	सांप
snap	फोटो
snow	बरफ
soak	बोड़नाइ
soap	साबुन
sober	संयमी
soccer	फुटबाल
social	समाजिक
society	समाज
socks	मोजा
so cute	पैघ मनोहर
so far	एखन धरि
software	सॉफ्टवेयर
soft	मुलायम
soil	माटि
soldier	फोजी
sold out	बेच दियल गेल
sold	बिका गेल
sole	एकमात्र
solid	ठोस
solution	समाधान
solve	समाधान
somebody	कोए
somehow	कोनो नहि कोनो तरह
someone	कियो
something	किछु
sometimes	कखनो कखनो
some	किछु
song	गाना
soon	जल्दी
sophisticated	जटिल
Sorani	सोरानी
sore throat	नरेटी मे खस खस
sore	पीड़ादायक
sorrow	दुख
Sorry	माफ क दिय
sort	प्रकार
sought	मांगलहुं
soulmate	जीवनसंगिनी
soul	आत्मा
sound	आवाज
soup	सूप
source	सूत्र
sour	खट्टा
south	साऊथ
so	त'
space	जगह
spam	जाली
Spanish	स्पेनिश
span	अवधि
spare	छूटल
speak	बाजू
special	विशेष
species	प्रजाति
specific	विशेष
spectacular	पैघ प्रदर्शन
speechless	बोली बंद भेनाइ
speech	भाषण
speed	गति
spell	हिज्जे करनाइ
spend	खर्च
spent	खर्च केलक
spicy	मसाला-दार
spike	नोकदार छड़
spinach	पालक
spin	घुमानाइ
spirit	साहस
spit	थूक
splendid	उत्कृष्ट
split	बांटल
spoiled	बिगड़ल
spoil	नुकसान
spontaneous	स्वाभाविक क्रिया
spoon	चम्मच
spot	स्थान
spouse	घरबाली
spread	फैलाउ
spring	वसंत
square	वर्ग
squeeze	निचोड़ कए निकाल देनाइ
squid	विद्रूप
squirrel	गिलहरी
stable	स्थिर
stab	चाकू मारनाइ
stack	ढेर
staff	कर्मचारी
stage	मंच
stain	दाग
stairs	सीढ़ी
stake	दांव लगानाइ
stalk	पिछु करनाइ
stall	दुकान
stamp	डाक टिकट
standard	मानक
stand	ठाढ़
started	शुरू भेल
start	शुरू
starving	निराहार
star	तारा
statement	वक्तव्य
state	राज्य
station	स्टेशन
statue	प्रतिमा
status	स्थिति
stay safe	सुरक्षित रहू
stay	रहू
steady	नियमित
steak	मॉसक टुकड़ा
steal	चोरी
steam	भाप
steel	इस्पात
steep	खड़ी
stem	तना
step	चरण
stick	छड़ी
stiff	हठी
still	तैयो
stingy	कंजूस
sting	डंक
stir	हिलाउ
stock	भंडार
stolen	चोरी भेल
stomach	पेट
stone	पाथर
stood	ठड़ा भेल
stool	मचिया
stop	रुकू
storage	भंडारण
store	जमा
storm	तूफान
story	खिस्सा
stove	चूल्हा
straightforward	सीधा
straight	सीधा
strain	खिंचाव
stranger	अपरिचित
strange	विचित्र
strategy	कूटनीति
strawberry	झरबेर
straw	पुआर
streak	धारी
stream	धार
street	गली
strength	शक्ति
stress	तनाव
stretch	खिंचाव
strict	कड़ा
strike	धरना
string	डोरी
strip	पट्टी
strive	प्रयास
stroke	आघात
strong	मजबूत
struck	प्रभावित
structure	ढांचा
struggle	संघर्ष
struggling	संघर्ष करे बला
stubborn	हठी
stuck	रुकल
student	छात्र
studying	पढत रहल बा
study	पढ़ाई
stuff	भरनाइ
stunning	चमत्कृत करय वला
stupid	बेवकूफ
style	अंदाज
subject	विषय
submission	प्रस्तुत करु
submit	जमा
substance	पदार्थ
substitute	विकल्प
subtle	सूक्ष्म
succeed	सफलता भेटनाइ
successful	सफल
success	सफलता
such as	जेना कि
such	एहन
suck	चुसब
suddenly	अचानक
sudden	एकाऐक
suffering	पीड़ा
suffer	कष्ट सहनाइ
sufficient	पर्याप्त
sugar	चीनी
suggestion	सलाह
suggest	सुझाव
suitable	योग्य
suitcase	सूटकेस
suit	पोशाक
summary	सार
summer	गर्मी
summit	शिखर सम्मेलन
sum	योग
sunday	रविदिन
sunny	सूरज जेना चमकीला
sunset	सूर्यास्त
sunshine	सुरुजक चमक
sun	सुरुज
superior	श्रेष्ट
supervisor	संचालक
super	बहुत अच्छा
supper	सांझक खाना
supply	आपूर्ति
support	सहायता
supposed	कल्पित
suppose	मानि लिय
sure	निश्चित
surface	सतह
surgery	शल्य-चिकित्सा
surge	हिलोर
surname	उपनाम
surprised	ताज्जुब भेनाइ
surprise	आश्चर्य
surrender	समर्पण
surrounding	अगिल-बगिल क
surveillance	निगरानी
survey	सर्वेक्षण
survive	बचनाइ
suspect	संदेहास्पद
suspended	निलंबित
suspicious	संदेहास्पद
sustainability	निरंतरता
sustainable	टिकाउ
sustain	संभालनाइ
swag	लूटल माल
swallow	निगलि लिय
swap	विनिमय
swear	कसम
sweater	सुटर
sweat	पसीना
sweep	झाड़ू लगेनाइ
sweet dreams	सुन्नर सपना
sweetheart	प्रिय
sweet tooth	दूध दत्ता
sweet	मीठ
swelling	फुलाव
swell	फूलनाइ
swimming	तैराकी
swim	पोरनाइ
swing	झूला
switch	बदलनाइ
swollen	फूलल
sword	तलवार
symbol	प्रतीक
sympathy	सहानुभूति
symptoms	लक्षण
system	तरीका
table	टेबल
tackle	सुलझानाइ
tag	लेबल लगनाइ
tail	नांगड़ि
take away	ले जाउ
take care	ख्याल राखू
taken	ले लियल गेल
take off	उड़नाइ
take	लिअ
talkative	बातूनी
talk	गप्प
tall	लंबा
tape	फीता
tap	नल
target	निशाना
task	कार्य
taste	सुवाद
tasty	स्वादिस्ट
taught	सिखाओल गेल
teacher	शिक्षक
teach	पढ़ेनाइ
team	गुट
tears	आँसू
tear	फारनाइ
tease	छेड़छाड़ करनाइ
tea	चाय
technology	प्रौद्योगिकी
teeth	दांत
tell me	हमरा कहू
tell	कहू
temperature	तापमान
temper	खिसियानइ
temple	मंदिर
temporary	अस्थायी
tenant	भडेदार
tendency	आदत
tender	निविदा
tend	प्रवृत्त
tense	काल
tension	तनाव
tentative	अनिश्चित
ten thousand	दस हजार
tent	तम्बू
ten	दस
terms	शर्त सभ
term	शर्त
terrible	भयावह
terrific	भयानक
territory	क्षेत्र
test	परीक्षण
text	मूल ग्रन्थ
Thanks for using our app	एप्पक उपयोग करे लेल धन्यवाद
thanks	धन्यवाद
Thank you for your patience while we investigate shipment	जाबत धरि हम सभ अहांक शिपमेंटक जाँच कहेल रहल छी, ताबत धरि धैर्य रखबाख लेल अहां के धन्यवाद
thank you so much	अहांके बहुत-बहुत धन्यवाद
thank you very much	अहांक बहुत-बहुत धन्यवाद
thank you	अहां कें धन्यवाद
thank	धन्यवाद
that is	ओ अछि
that's good	ई नीक अछि
that	ओ
theft	चोरी होनाइ
their	हुनकर
theme	बिसय
themselves	अपनेसँ
them	हुनकर
then	तखन
theory	सिद्धांत
there are	ओतह अछि
therefore	एहि लेल
there is	ओतय अछि
there	ओतय
these	ई सब
they are	ओ लोकनि सभ छथि
they	ओ सभ
thick	मोट
thief	चोर
thigh	जांघ
things	चीज सभ
thing	चीज
think	सोचनाइ
thin	पातर
third	तेसर
thirsty	पियास
thirteen	तेरह
thirty	तीस
this is	ई अछि
this	ई
thoroughly	पूरा तरह सँ
thorough	सम्पूर्ण
those	ओ सब
thoughtful	विचारशील
thoughts	विचार सभ
thought	विचार
though	यद्यपि
thousand	हजार
thread	ताग
threaten	धमकानाइ
threat	धमकी
three	तीन
threshold	सीमा
thrilled	रोमांचित
thrive	फलनाइ-फुलेनाइ
throat	गला
throughout	सब दिस
through	माध्यम सँ
throw	फेंकू
thumb	अंगुठा
thunder	बिजली कडकेक आवाज
Thursday	वृहस्पतिदिन
thus	ऐसा
tick	टिकटिक
tide	ज्वार
tidy	स्वच्छ
tie	बान्हब
tiger	बाघ
tight	कसल
Tigrinya	तिग्रिन्या
time	समय
timid	डरपोक
tiny	छोट
tips	टिप्स
tip	नोंक
tired	थाकल
tire	टायर
tissue	ऊतक
title	शीर्षक
toast	सेकनाइ
to be	होए बला
today	आइ
toddler	नेना
toes	गोडक अंगुठा
together	संग मे
toilet	शौचालय
told	कहलहुं
tolerance	सहनशीलता
tolerate	सहनशील
tomato	टमाटर
tomorrow	काल्हि
tongue	जीह
tonight	आइ रात
took	लेलक
tools	उपकरण
tool	औजार
tooth	दांत
too	अत्यधिक
topic	विषय
top	शिखर
torn	फाटल
torture	अत्याचार
total	पूरा
touch	छूनाइ
tough	मुश्किल
tour	यात्रा
towards	क' तरफ
toward	क' दिस
towel	तौलिया
town	शहर
toxic	विषाक्त
to	होए
trace	चिह्न
track	पगडंडी
trade	व्यापार
traditional	पारंपरिक
tradition	परम्परागत
traffic	ट्रैफिक
trail	पाछू
training	प्रशिक्षण
train	ट्रेन
traits	लक्षण
trait	लक्षण
transfer	स्थानांतरण
transition	संक्रमण
translate	भाषांतर केनाइ
transparent	पारदर्शी
transportation	परिवहन
transport	परिवहन
trap	जाल
trash	कूड़ेदान
trauma	सदमा
travel	यात्रा
tray	एको छोट थारी
treasure	खजाना
treatment	बरताव
treat	वर्ताव
tree	गाछ
tremendous	अद्भुत
trend	दौर
trial	परीक्षण
trick	तरकीब
tried	कोशिश केलहुं
trigger	उत्प्रेरक
trim	टकाट-छांट करनाइ
trip	यात्रा
trouble	तकलीफ
trousers	पैजामा
truck	ट्रक
true	सत्य
trunk	हाथीक सूंढ
trust	विश्वास
truth	सत्य
try	कोशिश करु
Tsonga	सोंगा
tube	नल्ली
Tuesday	मंगलदिन
tuition	ट्यूसन
turkey	तुर्की
turmeric	हल्दी
turn	घुमनाइ
turtle	कछुआ
tutor	शिक्षक
twelve	बारह
twenty-one	इक्कीस
twenty	बीस
twice	दुगुना
twist	मोड
Twi	ट्वी
two	दू
type	प्रकार
typical	ठेंठ
ugly	कुरूप
ultimate	अंतिम
umbrella	छाता
unable	असमर्थ
uncle	कका जी
unconscious	बेहोश
underneath	नीचु
underrated	कम आँकल लगानाइ
understand	बुझनाइ
understood	बुझ गेल
under	नीचां
unfortunately	दुर्भाग्यपूर्ण
uniform	बर्दि
unique	अपूर्व
unit	इकाई
university	विश्वविद्यालय
unknown	अनजान
unless	सिवाय
until	ताधरि
unusual	असामान्य
update	अपडेट
upgrade	उन्नयन
upon	ऊपर
upset	परेशान
up to you	अहाँ ऊपर अछि
up	ऊपर
urban	शहरी
urgent	तुरन्ते
urge	अनुरोध
used	उपयोग कयल गेल
useful	उपयोगी
useless	बेकाजक
use	इस्तेमाल
usually	साधारणतः
usual	सामान्य
us	हम सब
utility	उपयोगिता
vacation	छुट्टी
vaccination	टीका
vaccine	टीका
vacuum	शुन्य
vague	अस्पष्ट
valid	वैध
valley	घाटी
valuable	कीमती
value	मूल्य
variety	विविधता
various	विभिन्न
vary	अलग
vase	फूलदान
vast	विशाल
vegetables	सब्जी
vegetable	सब्जी
vehicle	गाड़ी
vendor	बेचय बला
venom	जहर
venture	उद्यम
venue	स्थल
verify	सत्यापित करु
versatile	चंचल
version	संस्करण
vertical	खड़ा
very good	बड्ड नीक
very	बहुत
vessel	बरतन
via	क दिआ
vibes	अनुभूति
vibe	अनुभूति
vicious	बुरा
victim	पीड़ित
video	भिडियो
view	देखू
village	गाम
villain	खलनायक
vinegar	सिरका
vintage	संचय करएक समय
violence	हिंसा
violent	उग्र
viral	वायरल
virgin	कुमारि
virtual	आभासी
virtue	सद्गुण
vision	दृष्टि
visit	भेंट
visual	दृश्य
vital	महत्वपूर्ण
vivid	जीवंत
vocabulary	शब्दावली
voice	आबाज
void	सुन्ना
volume	मात्रा
volunteer	स्वयंसेवी
vomit	उलटी
vulnerable	अति संवेदनशील
wages	वेतन
wage	बेतन
waist	डांड
waiter	वेटर
waiting	इन्तजार क रहल छी
wait	रुकू
wake up	जागू
wake	उठलक
walking	घूमनाइ
walk	टहलू
wallet	बटुआ
wall	देवाल
wander	घुमनाइ
wanna	चाहय छि
wanted	आवश्यकता
want	चाह
wardrobe	अलमारी
warehouse	गोदाम
warm	गर्म
warning	चेतावनी
warn	चेतावनी
warrior	योद्धा
war	युद्ध
wash	धोनाइ
waste	अपशिष्ट
watch	देखू
watermelon	तरबूज
water	जल
wave	लहर
way	रास्ता
weakness	कमजोरी
weak	कमजोर
wealthy	धनी
wealth	संपत्ति
we are	हम लोकनि सभ
wearing	पहिने बला
wear	पहिरू
weather	मौसम
we can	हम कए सकैत  छी
wedding	विवाह
Wednesday	बुधदिन
weed	भांग
weekend	सप्ताहान्त
week	सप्ताह
weight	वजन
weird	विचित्र
welcome	स्वागत
welfare	कल्यान
well done	नीक केलहुं
Well	ठीक
went	गेल
west	पश्चिम
wet	भीजल
we	हम सभ
whale	व्हेल माछ
what about you	अहांक संबंध में की
what are you doing now	अहां एखन की करैत छी
what are you doing right now	अखन अहां की कए रहल छी
what are you doing	अहां की कए रहल छी
what do you do for a living	अहां जीवैक लेल की करैत छी
what do you do	अहां की करैत छी
what do you mean	अहांक की मतलब अछि
what do you want	अहाँ केँ की चाहि
whatever	जे किछु
what happened	की भेलै
what is this	इ कोन चीज छै
what is your job	अहाँ क काम की अछि
what is your name	अहांक नाम की छी
what is	की अछि
what's up	की होब करय अछि
what's your name	अहाँ की नाम अछि
what	की
wheat	गहूम
wheel	पहिया
whenever	जखनहुं
when	जखन
where are you from	अहां कोनाठाक छी
where are you now	एखन अहां कतय छी
where are you	अहां कतय छी
whereas	जखन कि
where do you live	अहं कोनाठाम रहैत छी
where is	कतह अछि
where	कतय
whether	चाहे
which	जकर
while	एहि बीच
whisper	फुसफुसानाइ
whistle	सीटी
white	उजर
who are you	अहां के छी
who is this	ई के अछि
who is	के अछि
whole	समग्र
whom	जकर
whose	केकर
who	के
why not	काहे नहि
why	किएक
wicked	खराब
wide	चौड़ा
widow	विधवा
width	चौड़ाई
wife	पत्नी
wild	जंगली
willing	इच्छा
will	करब
window	खिड़की
windy	हवादार
wind	हवा
wine	अंगूर बला दारु
winter	जाड़
win	जीतनाइ
wipe	पोंछ
wire	तार
wisdom	बुद्धिमत्ता
wise	ज्ञानी
wish you all the best	अहां क शुभकाना अछि
wish	इच्छा
witch	चुड़ैल
withdrawal	निकालनाइ
withdraw	वापस करनाइ
within	भीतर मे
without	क' बिना
with	संग
witness	गवाह
witty	विलक्षण
wolf	भेड़िया
woman	मउगी
women	माउगी
wonderful	आश्चर्यजनक
wonder	आश्चर्य
won't	न होतय
won	जीत गेल
wood	लकड़ी
wool	ऊन
words	शब्द सभ
word	शब्द
working	काम करए बला
work out	व्यायाम
work	काज
world	दुनिया
worm	कीड़ा
worn	थकल
worried	चिंता भेल
worry	चिन्ता
worse	खराब
worship	पूजा
worst	सब सं खराब
worth it	एकर लायक
worthy	योग्य
worth	महत्व
wound	घाव
Wow	वाह
wrap	मोड़नाइ
wrath	क्रोध
wrist	कलाई
Write here	एतह लिखू
write	लिखू
writing	लिखावट
written	लिखित
wrong	गलत
wrote	लिखल
yard	अँगना
yawn	हाफी
Yeah	हं
years	साल
year	साल
yeast	खमीर
yellow	पीयर
yell	चिल्लानाइ
yes baby	हां बेबी
yes dear	हँ प्रिये
yes honey	हं प्रिये
yes my love	हं हमर प्रिये
yes of course	हां बिल्कुल
yesterday	काल्हि
Yes	हँ
yet	तहियो
yield	उपज
you are beautiful	अहाँ बड्ड सुन्नर छथि
you are so beautiful	अहां ढेर सुनर छथि
you are welcome	अहांक स्वागत अछि
you are	अहां छी
you can	अहां कय सकैत छी
You know	अहाँ जानय छथि
young	जवान
you’re welcome	अहाँक स्वागत अछि
you're welcome	अहांक स्वागत अछि
yourself	अपने सँ
your welcome	अहांक स्वागत अछि
your	अहांक
youth	युवा
you too	अहूं के
you	अहां
yummy	स्वादिष्ट
zero	सुन्ना
