abandoned	hlokomologilwe
fertile	nonnego
festival	mokete
fetch	nyaka
fever	letadi
fewer	sego kae
few	mmalwa
fiance	molekane
fiction	nonwane
field	tšhemo
fierce	bogale
fifteen	lesomehlano
fifty	masomehlano
fighting	go lwa
fight	lwa
figure out	akanya
figure	seswantšho
file	faele
filled	tladitšwe
fill	tlatša
film	filimi
filthy	ditšhila
finally	mafelelong
finance	matlotlo
financial	tša matlotlo
find	hwetša
find out	utolla
fine	tefišo
finger	monwana
finished	feditše
finish	fetša
fire	mollo
firm	tiilego
first	mathomo
first name	leina
fish	hlapi
fit	swanela
five	hlano
fixed	hlometšwego
fix	lokiša
flag	folaga
flash	gadima
flat	folete
flawless	se nago bosodi
flaw	monga
flee	ngwega
flesh	nama
flew	fofile
flexible	nolo
flex	mena
flight	go fofa
flip	phepheula
flirting	go kalatša
flirt	kalatša
float	phaphama
flood	mafula
floor	lebato
flour	folouru
flow	elela
flower	letšoba
fluent	boreledi
fluently	ka thelelo
fluffy	sekafofa
fluid	seela
flu	mokgohlane
fly	fofa
focus	nepa
foggy	na le kgodi
fog	kgodi
fold	phutha
folks	merafe
following	latelago
follow	latela
follow up	tatišišo
food	dijo
foolish	botlaela
fool	setlaela
football	kgwele ya maoto
foot	leoto
forbidden	lebaletšwe
force	gapeletša
forecast	akanya
forehead	phatla
foreign	ntle
forest	lešoka
forever	go-ya-go-ile
For example	Mohlala
forget	lebala
forgive	lebalela
forgot	lebetše
for instance	mohlala
fork	foroko
formal	semmušo
former	peleng
form	sebopego
fortunately	ka mahlatse
fortune	mahlatse
forty	masomenne
forty-two	masomenne-pedi
forward	pele
for	ya
for you	ya gago
foster	tlwaetša
fought	lwelego
foundation	motheo
found	hweditše
four	nne
fourteen	lesomenne
fox	phukubje
fragile	thubega gabonolo
frame	foreime
framework	tlhako
fraud	bomenetša
freak	selo se se makatšago
freedom	tokologo
free	lokologile
freeze	tšidifatša
frequency	makga
frequent	gantši
frequently	kgafetšakgafetša
fresh	foreše
friday	labohlano
fridge	setšidifatši
friendly	ka lethabo
friend	mogwera
friends	bagwera
friendship	segwera
frightened	tšhošitšwe
frightening	tšhošago
frog	segwagwa
from	go tšwa go
front	ka pele
frozen	tšidifaditšwe
fruit	seenywa
frustrated	hlakahlakane
fuel	makhura
Fulfulde	Fulfulde
full	tletše
fun	boipshino
function	mošomo
fundamental	bohlokwa
funeral	poloko
funny	segišago
fur	boya
furious	galefilego
furniture	fenišara
further	gape
furthermore	go feta fao
future	bokamoso
gain	hwetša
game	papadi
gap	sekgoba
garage	karatšhe
garbage	thogorogo
garden	serapa
garlic	kaliki
gate	mojako
gathering	kopano
gather	kgoboketša
gauge	ela
gave	file
gear	kere
gender	bong
general	kakaretšo
generally	ka kakaretšo
generate	tšweletša
generation	tlhagišo
generous	go se timane
genius	bohlale
genre	mohuta
gentle	botho
genuine	makgonthe
gesture	taetšo
get dressed	apara
get	hwetša
getting	hwetšago
get up	tsoga
get well soon	takaletšo ya pholo ka pela
ghosting	go poka
ghost	sepoko
giant	lekgema
gift	mpho
ginger	gemere
girlfriend	lekgarebe
girl	mosetsana
give	fa
given	filwego
give up	felelwa ke maatla
glad	thabile
glance	kgerulo
glasses	digalase
glass	galase
glimpse	kwešišo
global	lefase
gloomy	nago le manyami
gloves	ditlelafo
glow	phadima
glow up	kganya go ya pele
glue	sekgomaretši
go ahead	eya pele
goal	nepo
goals	dinepo
goat	pudi
go away	tloga
god bless you	modimo a go šegofatše
god	modimo
goes	sepela
go	eya
going to	ya go
going	ya
gold	gauta
gone	sepetše
gonna	tla
good afternoon	thobela
good bye	šala gabotse
goodbye	šala gabotse
good day	letšatši le lebotse
good evening	thobela
good	gabotse
good job	mošomo o mmotse
good looking	lebelelega gabotse
good luck	re go lakaletša mahlatse
good morning my love	thobela moratiwa wa ka
good morning	thobela
goodnight	bošego bjo bobotse
good night	robala gabotse
goods	diphahlo
Google	Google
Google Translate	Google Translate
goo	sekgomaretši
goose	leganse
gorgeous	botse kudu
gossip	hwenahwena
got	hweditše
got it	e hweditše
go to bed	eya malaong
government	mmušo
grab	ubula
grade	kereiti
gradually	gabotsana
graduate	sealoga
grain	lebele
granted	neetšego
grant	mphiwafela
grapes	diterebe
grasp	kwešiša
grass	bjang
grateful	leboga
gratitude	tebogo
grave	lebitla
gray	tshehla
great	kgolo
greed	megabaru
greedy	go timana
green	talamorogo
greet	dumediša
greeting	madume
greetings	madume
grey	sehla
grid	keriti
grief	bohloko
grind	šila
grip	swarelela
grocery	krosari
groom	monyadi
gross	palomoka
ground	lebala
group	sehlopha
grow	gola
growth	kgolo
grumpy	go ngongorega
Guarani	Guarani
guarantee	tiišetšo
guard	leta
guess	akanya
guest	moeng
guidance	tlhahlo
guide	hlahla
guilty	na le molato
guy	mothaka
guys	mathaka
gym	boitšhidullo
habitat	bodulo
habit	setlwaedi
had	bile
hail	sefako
hair	moriri
half	seripagare
hall	holo
handle	swara
hand	seatla
handsome	bogegago
hang	ikgama
hang out	fega ntle
happen	direga
happened	hlagile
happiness	lethabo
happy birthday	matswalo a mabotse
happy birthday to you	re go lakaletša matswalo a mabotse
happy new year	ngwaga o moswa wa lethabo
happy	thabile
hard	bothata
hardly ever	e ka ba ka sewelo
hardly	ga se gantši
harmful	kotsi
harmony	kwano
harm	tshenyo
harsh	bogale
harvest	buna
has	na le
hate	hloya
have a good day	e ba le letšatši le lebotse
have a nice day	e ba le letšatši le lekaone
have breakfast	eja sefihlolo
have fun	ipshine
have	na le
have you eaten	naa o jele
having	na le
hazard	kotsi
haze	letobe
headache	hlogo e opago
head	hlogo
heal	fodiša
healing	pholo
health	maphelo
healthy	phelegile
heard	kwele
hear	kwa
heart	pelo
heat	phišo
heaven	legodimong
heavy	boima
hectic	leemaema
he has	o na
height	bogodimo
heir	mojalefa
he is	ke
heist	go hula ka dibetša
held	swerwe
hell	hele
hello dear	dumela moratiwa
hello how are you doing	thobela le sa thabile
hello how are you	thobela le kae
Hello	Thobela
helmet	lekarapa
helpful	nago le mohola
help	thušo
hence	go tloga moo
herd	mohlape
here	mo
her	gagwe
heritage	bohwa
hesitate	dikadika
he	yena
Hey	Hei
hidden	fihlilwe
hide	fihla
hierarchy	tatelano
high	godimo
highlight	laetša
hi how are you	thobela le kae
hike	haeka
hiking	go haeka
hilarious	thabilego
hill	mmoto
him	yena
hint	lomatsebe
hip	noka
hips	dinoka
hire	thwala
hiring	go hiriša
his	gagwe
history	histori
hit	betha
Hi there	Dumela moo
Hi	Thobela
Hmm	Hmm
hobby	setlošabodutu
hold on	ema gannyane
hold	swara
hole	lešoba
holiday	maikhutšo
hollow	sekoti
home	gae
homework	mošomo wa gae
honestly	ka potego
honest	potego
Honey	Rato
honor	hlompha
hood	kefa
hook	kobi
hopefully	ka kholofetšo
hope	kholofelo
hopeless	se nago kholofelo
hop	thwethwa
horizontal	rapamego
horn	lenaka
horrible	boifišago
horror	poifo
horse	pere
hospitality	kamogelabaeng
hospital	sepetlele
hostile	lwantšhago
host	monggae
hotel	hotele
hot	fiša
hour	iri
hours	diiri
household	lapeng
house	ntlo
how about you	wena o tsogile bjang
how are you doing	le tsogile
how are you doing today	le tsogile bjang lehono
how are you	le kae
how are you today	le tsogile bjang lehono
how	bjang
how do you do	o ikwa bjang
however	le ge go le bjalo
how is	e bjang
how many	ke tše kae
how much	ke bokae
how often	ke makga a makae
how old are you	o na le mengwaga e mekae
how was your day	letšatši la gago le bile bjang
how was your night	o robetše bjang bošego
hubby	monna wa ka
hub	hapo
huge	kgolokgolo
hug	gokara
human	botho
humble	ikokobetša
humid	bošidi
humidity	bošidi
hundred	lekgolo
hungry	swerwe ke tlala
hunt	tsoma
hurricane	ledimo
hurry	phakiša
hurry up	phakiša
hurt	gobetše
husband	molekane wa monna
hustle	dira maano
hut	mokhukhu
hygiene	maphelo
I am fine	ga ke na mathata
I am	ke nna
I can	nka kgona
I can't	nka se
ice	aese
ice cream	aesekhirimi
idea	kgopolo
ideal	kgonthe
identical	swanago
identify	hlaola
identity	boitsebišo
idiot	sethotho
idle	ebela
I do	Ke a itlama
I do not know	ga ke tsebe
I do not understand	ga ke kwešiše
I don't	ga ke
I don't know	ga ke tsebe
I don’t know	Ga ke tsebe
I don’t understand	ga ke kwešiše
I don't understand	Ga ke kwešiše
I don't understand what you mean	Ga ke kwešiše seo o se bolelago
I don't understand you	ga ke go kwešiše
if	ge
ignore	hlokomologa
i guess	ke nagana bjalo
I had	Ke bile le
I have been	ke bile
I have	ke na le
I hope so	Ke nagana bjalo
I know	ke a tseba
I like	ke rata
I like you	ke a go rata
illegal	sego molaong
ill	lwala
illness	bolwetši
Ilocano	Ilocano
I love	ke rata
I love my big brother	ke rata buti wa ka yo mogolo
I love my big sister	ke rata sesi wa ka yo mogolo
I love my father	ke rata papa wa ka
I love my little brother	ke rata moratho wa ka wa mošemane
I love my little sister	ke rata sesi wa ka
I love my mother	ke rata mma wa ka
I love you	Ke a go rata
I love you so much	ke go rata kudu
I love you too	le nna ke a go rata
image	seswantšho
imagine	nagana
I mean	ke ra gore
I'm fine	ga ke na molato
I'm good	ga ke na molato
I'm here	ke gona mo
I miss you	ke go goletše
I miss you so much	ke go gopotše kudu
I’m	Ke a
I'm	ke nna
immediate	ka pela
immediately	ka potlako
immense	kgolo kudu
impact	kamego
impatient	felago pelo
implement	phethagatša
important	bohlokwa
import	thomelo ka nageng
impose	lefiša
impossible	sa kgonagalego
impress	gatelela
impression	kgatišo
impressive	kgahlišago
improve	kaonafala
improvement	kaonafalo
I'm sorry	ke maswabi
in addition	go tlaleletša
inappropriate	sego maleba
incentive	tšhušumetšo
incident	tiragalo
include	akaretša
including	go akaretša
income	letseno
inconvenience	tshwenya
increased	oketšegile
increase	oketša
incredible	makatšago
indeed	ka nnete
independent	ikemego
India	India
indicate	laetša
indigenous	sa tlhago
individual	ka noši
industry	intasteri
inevitable	ka se efogwego
In fact	Gabotsebotse
infant	lesea
infection	phetetšo
infinity	sa felego
inflammation	go kokomoga
inflation	infoleišene
influence	khuetšo
information	tshedimošo
inform	tsebiša
in front of	pele ga
ingredients	ditswaki
inheritance	bohwa
initial	tlhakaina
initiative	boitlhagišetšo
injured	gobaditšwe
injury	kgobalo
in	ka
I	nna
innocent	hloka molato
innovation	boitlhagišetšo
in order to	gore go
inquiry	dinyakišišo
insane	gafa
insect	khunkhwane
insecure	sa bolokegago
insert	tsenya
inside	ka gare
insight	tlhaologanyo
insist	gatelela
insomnia	bogaswi
inspiration	tlhohleletšo
inspire	hlohleletša
install	hloma
instance	tiragalo
instant	gatee
instead	le ge go le bjalo
instead of	legatong la
instructions	ditaelo
instrument	sedirišwa
insult	maroga
insurance	inšorentshe
intact	titiane
integrity	seriti
intellectual	-bohlale
intelligence	bohlodi
intelligent	bohlale
intended	nepilego
intend	ikemišetša
intense	tseneletše
intention	maikemišetšo
interaction	kgokagano
interact	kgokagana
interested	nago le kgahlego
interesting	kgahliša
interest	kgahlego
interfere	tsena ka bogare
intermediate	mmaditsela
internal	ka gare
international	boditšhabatšhaba
internship	tlhahlo mošomong
interpreter	mofetoledi
interpret	hlatholla
interrupt	tsena ka bogare
interview	dipoledišano
intimate	sekgotse
into	ka go
introduce	hlagiša
introduction	matseno
introvert	go hloka lešata
intuition	tsebo ka tlhago
invalid	sego ya makgonthe
invent	hlama
inventory	lenaneo la diphahlo
invest	beeletša
investigate	nyakišiša
invitation	taletšo
invite	laletša
invoice	lenanetheko
involve	ama
involved	amegago
iron	aene
I see	ke a bona
is	ke
island	sehlakahlaka
isolated	hlaotšwego
issues	dintlha
issue	tlhagišo
item	aetheme
items	diaetheme
I think	Ke nagana
it is	ke
it's	ke
It's okay	Go lokile
it's ok	go lokile
it	sona
its	ya yona
it was	e be e le
I understand	ke a kwešiša
I want	ke nyaka
I want to see you	ke rata go go bona
I want you	ke nyaka wena
I was	ke be ke
I will	ke tla
I would be	ke tla ba
jacket	baki
jail	kgolego
January	Janeware
jar	jeke
jaw	mohlagare
jealous	mona
jerk	ubula
jewelry	dibenyabje
job	mošomo
jogging	go kitima
join	kopanya
joint	makopano
joke	metlae
journalist	mmegaditaba
journey	leeto
joy	boipshino
judge	moahlodi
juice	tšuse
july	julae
jump	tshela
june	june
junk	tlhakatlhakano
just do it	e no se dira
just	fela
justice	toka
justify	lokafatša
Kalaallisut	Kalaallisut
keen	mafolofolo
keep	boloka
keep it up	tšwela pele bjalo
kept	bolokile
kettle	ketlele
key	khii
kick	raga
kidding	swaswa
kid	mapimpane
kidney	pshio
kids	bomapimpane
kill	bolaya
kinda	mohuta
kindly	ka boikokobetšo
kind	mohuta
kindness	botho
king	kgošikgolo
kiss	atla
kitchen	khitšhing
kite	khaete
kitten	katsana
knee	khuru
knew	tsebile
knife	thipa
knight	mogale
knowledge	tsebo
known	tsebegago
know	tseba
Konkani	Konkani
Krio	Krio
label	leibole
labor	mošomo
labour	modiro
lack	tlhokego
ladder	llere
lady	lekgarebe
laid	beilwe
lake	letsha
lamb	kwana
lame	hlotšago
lamp	lebone
land	naga
landscape	ponagalo ya naga
language	polelo
lap	difaro
large	kgolo
last but not least	sa mafelelo pele ke fihla mafelelong
last	mafelelo
last name	sefane
lately	moragonyana
late	morago
later	moragonyana
latest	moragorago
latter	ya morago
laughing	go sega
laugh	sega
laughter	lesego
launch	hloma
laundry	lonteri
law	molao
lawn	llone
lawyer	ramolao
lay	ala
layer	llaga
layout	tlhamego
lazy	tšwafa
leader	moetapele
lead	eta pele
leaf	lehlare
leak	šwahla
lean	otile
leap	tlola
learning	go ithuta
learn	ithuta
lease	hiriša
least	gannyanenyane
leather	mokgopa
leaves	tlogela
leave	tloga
led	etilwe pele
left	nngele
legacy	bohwa
legal	semolao
legend	nonwane
legit	makgonthe
leg	leoto
leisure	boiketlo
lend	adima
length	botelele
less	nnyane
lesson	thutwana
let	dumelela
letter	lengwalo
lettuce	letase
level	kelo
leverage	lekanyetša
liability	molato
library	bokgobapuku
lick	latswa
lie	maaka
lies	maaka
life	bophelo
lift	kuka
lightning	legadima
light	seetša
likely	kgonagalo
like	rata
likewise	bjalo
line	mothaladi
Lingala	Lingala
link	amanya
lion	tau
liquid	seela
listening	go theeletša
listen	theeletša
list	lenaneo
literally	ntšukantšu
literature	dingwalo
litter	matlakala
little	nnyane
live	phela
liver	sebete
lives	maphelo
living	phelago
living room	kamora ya bodulo
lizard	mokgaritswane
load	morwalo
loaf	llofo
loan	kadimo
local	ka nageng
location	lefelo
lockdown	kiletšo ya mesepelo
lock	senotlelo
log	kota
lol	lol
lonely	bodutu
long	telele
long time no see	ke sebaka re sa kopane
look	lebelela
loop	segole
loose	hlephilego
lord	morena
lose	lahlegelwa
loss	tahlegelo
lost	lahlegetšwe
lot	kabelo
loud	hlaboša lentšu
lounge	lontše
love	lerato
lovely	rategago
love you	ke a go rata
lower	fasana
low	fase
loyal	botega
loyalty	botshepegi
luck	mahlatse
lucky	mahlatse
Luganda	Luganda
luggage	morwalo
lump	sekutu
lunch	matena
lungs	maswafo
luxury	matsaka
lying	bolela maaka
machine	motšhene
madam	mohumagadi
made	dirilwe
mad	gafa
magazine	kgatišobaka
magnificent	botse kudu
maid	kgarebe
main	kgolo
maintain	hlokomela
maintenance	tlhokomelo
Maithili	Maithili
majority	bontši
major	kgolo
make	dira
make up	go ipotsefatša
male	monna
mall	mmolo
manage	laola
management	taolo
manager	molaodi
mandatory	kgapeletšo
manifest	bonagatša
manipulate	šomiša bošaedi
man	monna
manner	mokgwa
manual	manyuale
many many happy returns of the day	e ba le ditšhegofatšo tše ntšintši tša lethabo letšatšing le
many	ntši
march	matšhe
margin	magomo
market	mmaraka
marriage	lenyalo
married	nyetšwe
mask	maseke
mass	boima
massive	boima
master	nkgwete
match	bapetša
material	didirišwa
mate	thaka
math	mmetse
matter	taba
maturity	matšhurithi
maybe	mohlomongwe
may	ka
meal	dijo
meaning	go ra gore
mean	ra
means	ra gore
meant	ra
meanwhile	ka go le lengwe
measure	lekanya
measures	ela
meat	nama
medical	ya dihlare
medicine	sehlare
meditation	kgopolo
medium	dirišwago
meeting	kopano
meet	kopana
Meiteilon	Meiteilon
melt	tologa
memories	dikgopotšo
memory	kgopolo
me	nna
mental	ya monagano
mentioned	laeditšego
mention	laetša
mentor	mohlahli
merchant	mogwebi
mercy	mogau
merely	fela
merry christmas	krisemose ye botse
message	molaetša
mess	bošaedi
messy	hlakahlakane
metal	tšhipi
method	mokgwa
me too	le nna
mice	magotlo
middle	bogareng
midnight	bošegogare
might	ka
mild	magareng
milestone	monabo
military	sešole
milk	maswi
million	milione
mind	monagano
mindset	mogopolo
mine	moepo
mingle	hlakahlakana
minor	nnyane
minute	motsotso
minutes	metsotso
miracle	mohlolo
mirror	seipone
miscellaneous	hlakahlakanego
mischievous	selekago
miserable	mahlomola
misery	masetlapelo
miss	fetilwe
missing	timetše
mission	ponelopele
miss you	ke go gopotše
mistake	phošo
mist	mouwane
Mizo	Mizo
mobile	go thetha
mock	kodutla
model	mmotlolo
moderate	magareng
modern	sebjalebjale
modest	ikokobetšago
moist	monola
moisture	monola
mold	sebopego
mole	serunya
moment	nakwana
mom	mma
monday	mošupologo
money	tšhelete
monitor	bea leihlo
monkey	kgabo
month	kgwedi
mood	maikutlo
moody	matepe
moon	ngwedi
moral	setho
more	go feta
moreover	go feta moo
morning	mesong
mortgage	adimiša
most	bontši
mostly	kudukudu
mother	mma
motion	tšhišinyo
motivation	tlhohleletšo
mountain	thaba
mouse	legotlo
mouth	molomo
movement	mosepelo
move	sepela
movie	mmobi
mrs	mdi
much	kudu
mud	leraga
mug	komiki
muscle	mošifa
museum	musiamo
mushroom	tlokwane
music	mmino
must	swanetše
mute	homola
mutual	mmogo
My dear	Moratiwa
my friend	mogwera wa ka
My hovercraft is full of eels	Houbakerafte ya ka e tletše ka dikgoka
my	-ka
my love	moratiwa wa ka
my name is	ke nna
my pleasure	go leboga nna
myself	nna
mysterious	makatšago
mystery	semaka
myth	nonwane
nail	lenala
naive	bokangwana
name	leina
narrative	kanegelo
narrow	sesane
nasty	mpe kudu
national	bosetšhaba
nationality	mohlobo
native	wa tlhago
natural	tlhago
nature	tlhago
nausea	go feroga dibete
nearby	kgauswi
near	kgauswi
nearly	e ka ba
neat	hlwekile
necessary	hlokega
necklace	pheta
neck	molala
need	nyaka
negative	sa thabišego
neglect	hlokomologa
negotiate	rerišana
neighborhood	boagišani
neighbor	moagišani
neither	e sego
nephew	motlogolo
nerd	nete
nervous	tšhogile
nest	sehlaga
net	nete
network	neteweke
neutral	magareng
never give up	se lahlegelwe ke tshepho
never	le gatee
never mind	se tshwenyege
nevermind	se tshwenyege
nevertheless	le ge go le bjalo
new	mpsha
news	ditaba
next	latelago
next to	kgauswi le
nice	botse
nice to meet you	ke lethabo go kopana le wena
niece	motlogolo
night	bošego
nightmare	segateledi
nine	senyane
nineteen	lesomesenyane
ninety	masomesenyane
No	Aowa
nobody	ga go motho
noise	lešata
noisy	ya lešata
none	ga go selo
noon	mosegare
nope	aowa
no problem	ga go bothata
nor	goba
normal	tlwaelo
north	leboa
nose	nko
nostalgic	hlologetšego
not at all	le gatee
not bad	ga e gampe
noted	lemogile
note	temošo
not	ga se
nothing	ga go selo
noticed	lemogilego
notice	tsebišo
Not now	E sego gabjale
not yet	sa tšwa go
noun	leina
nouns	maina
novel	kanegelo
november	nofemere
nowadays	matšatšing a lehono
no way	ga go tsela ye nngwe
now	gabjale
nuisance	ferola dibete
null	ya lefela
numb	bogatšo
number	nomoro
nurse	mooki
nut	koko
nutmeg	mekgahlong
nutrition	phepo
oath	kano
obesity	go akola
obey	obamela
objective	nepo
object	selo
obligation	tlamego
obscure	šira
observation	temogo
observe	lemoga
obsessed	naganago kudu
obsession	sa šetšego selo
obsolete	onetšego
obstacle	lepheko
obtained	hweditše
obtain	hwetša
obviously	go pepeneneng
obvious	molaleng
occasionally	nako ye nngwe
occupation	mošomo
occupied	dutšego
occur	hlaga
occurred	hlagilego
occurs	hlaga
ocean	lewatle
october	oktobere
odd	makatšago
odds	go se lekanele
of course	ka nnete
offensive	lehlapa
offer	mpho
office	ofisi
official	semmušo
off	tima
often	gantši
of	ya
Oh	Ao
oh really	ao go bjalo
oil	oli
okay baby	go lokile ngwana
okay dear	go lokile moratiwa
okay	go lokile
okay honey	go lokile rato
okay my love	go lokile moratiwa
ok dear	go lokile rato
ok	go lokile
ok honey	go lokile rato
ok my love	go lokile moratiwa
old	kgale
once	gatee
one language is never enough	polelo e tee e ka se tsoge e lekanetše
one	tee
on	go
onion	eiye
online	inthaneteng
only	fela
open	bula
operation	opareišene
opinion	maikutlo
opportunities	dibaka
opportunity	sebaka
opposite	lelatodi
optimistic	nago le kholofelo
optional	boikgethelo
option	kgetho
orange	namune
order	tatelano
ordinary	tlwaelo
organization	mokgatlo
or	goba
orientation	tlwaetšo
original	mathomo
origin	setlogo
Oromo	Oromo
orphan	tšhuana
other	nngwe
otherwise	go sego fao
ought	swanetše
our	-a rena
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Morerokgolo wa rena: go kgontšha mang le mang, kae le kae go kwešiša lefase le go itlhagiša go akaretša dipolelo.
Our mission: to organize the world's information and make it universally accessible and useful.	Ponelopele ya rena: go beakanya tshedimošo ya lefase le go e dira gore e fihlelelege lefaseng ka bophara le go ba mohola.
outcome	dipoelo
outfit	seaparo
outgoing	tšwago
outlet	bokantle
outline	akaretša
out	ntle
outside	ka ntle
outstanding	šaletšego
oven	obene
overall	ka kakaretšo
overcome	hlola
over	godimo
over there	godimo ga fao
overthinking	go nagana kudu
overwhelmed	hlotšwe
overwhelming	go fenya
owe	kolota
owl	leribiši
owner	mong
own	rua
ox	poo
pace	kgato
package	sephuthelo
pack	phutha
paid	lefetše
pain	bohloko
painting	mopento
paint	pente
pair	phere
pale	galoga
palm	legoswi
pandemic	leuba
panic	letšhogo
pan	pane
pants	marokgwana
paper	pampiri
paradise	paradeisi
parallel	bapelana
parcel	phasela
pardon	tshwarelo
parents	batswadi
park	phaka
parrot	lepapagai
parsley	paraseli
participate	kgatha tema
particular	itšego
particularly	kudukudu
part	karolo
partner	molekane
party	mokgatlo
passage	sefero
passed	fetile
pass	feta
passionate	ka phišego
passion	phišego
passive	se nago mafolofolo
password	phasewete
past	fetilego
patch	segaswa
pathetic	mahlomola
path	tsela
patience	boiketlo
patient	molwetši
pattern	phethene
pause	ema nakwana
pavement	tselanathoko
pay	lefa
payment	tefelo
peaceful	ka khutšo
peace	khutšo
peach	perekisi
peak	sehloa
pear	pšere
peas	dinawa
peculiar	makatšago
peel	ebula
pee	rota
peers	dithaka
peer	thaka
pencil	phentshele
pending	letetšwe
pen	pene
people	batho
pepper	pherefere
perceive	lemoga
perception	temogo
perfect	phethegilego
performance	phethagatšo
perform	phethagatša
perhaps	mohlomongwe
period	paka
permanent	ruri
permission	tumelelo
permit	phemiti
perseverance	kgotlelelo
persistent	phegelelago
personality	seriti
personal	sephiri
person	motho
perspective	mmono
persuade	kgodiša
pervert	hlanoša
pet	seruiwaratwa
phase	legato
phenomenon	diponagalo
philosophy	filosofi
phone	mogala
photo	senepe
phrase	sekafoko
physical	ka sebele
pick	topa
pick up	topa
picture	seswantšho
piece	karolo
pieces	dikarolwana
pigeon	leeba
pig	kolobe
pile	mokgobo
pillow	mosamelo
pilot	mofofiši wa sefofane
pineapple	phaeneapole
pink	pinki
pin	phini
pitch	segalo
pit	molete
pity	kwelobohloko
place	lefelo
places	mafelo
plague	matshwenyego
plain	hlokago mokgabišo
plane	sefofane
plan	leano
plants	dihlare
plant	semela
plate	poleiti
platform	polatefomo
