abandoned	hlokomologilwe
playing	go raloka
play	raloka
pleasant	thabišago
pleased	thabile
please	hle
pleasure	boithabišo
pledge	holofetša
plenty	ntši
plot	maanomabe
plug	pholaka
plumber	polampara
plum	polamo
plural	bontši
podcast	potekhasete
poem	sereto
poetry	theto
point	šupa
poison	mpholo
police	maphodisa
policy	pholisi
polite	boikokobetšo
pollution	tšhilafatšo
pond	letangwana
pool	bodiba
poop	phupu
poor	diila
pop	tšwelela
popular	tlwaelegilego
population	setšhaba
pork	nama ya kolobe
porridge	bogobe
port	phote
position	maemo
positive	kgotsofatša
possession	go ba le
possessive	ruago
possess	nago le
possible	kgonagalo
postpone	šuthiša
post	poso
potato	letsapane
potential	kgonagalo
pound	ponto
poverty	bodiidi
powerful	nago le maatla
power	maatla
practical	ka dirwago
practice	tlwaetšo
praise	tumiša
prank	metlae
pray	rapela
precious	ya bohlokwa
precisely	thwii
precise	nepago
predict	akanya
preference	kgetho
prefer	rata
pregnant	imile
prejudice	kgethollo
premises	ditikologo
premium	premiamo
preparation	boitokišo
prepare	beakanya
prepared	ipeakantše
preposition	letlema
presence	go ba gona
presentation	tlhagišo
present	mpho
preserve	boloka
president	mopresitente
press	gatelela
pressure	kgatelelo
pretend	ikgakantšha
pretty	botse
prevent	šitiša
previous	peleng
prey	sebolawa
price	theko
pride	boitumelo
priest	moruti
primary	motheo
prime	kgolo
princess	kgošigatšana
principal	motheo
priority	bohlokwa
prior	pele ga
prison	kgolego
privacy	sephiring
private	poraebete
privilege	tokelo
prize	sefoka
probably	mohlomongwe
problem	bothata
procedure	tshepedišo
proceed	tšwela pele
process	tshepedišo
produce	tšweletša
production	tšweletšo
product	setšweletšwa
professional	seprofešenale
profession	phorofešene
profile	phorofaele
profit	profiti
profound	ya kgonthe
progress	kgatelopele
project	protšeke
prominent	tumilego
promise	tshephišo
promote	tšwetša pele
promotion	tlhatlošo
prompt	akgofago
prone	sekametše
pronouns	mašalaina
pronunciation	kwagatšo
proof	bohlatse
properly	ka tshwanelo
proper	maleba
properties	dithoto
property	thoto
proposal	tšhišinyo
prospect	kholofetšo
prosperity	kgatelopele
prosperous	ka katlego
protect	šireletša
proud	itumela
prove	bontšha
provided	neetšego
provide	nea
province	profense
provision	peakanyetšo
puberty	mahlalagading
public	setšhaba
pull	goga
pumpkin	lefodi
punctual	ka nako
pupil	morutwana
purchase	reka
pure	hlwekile
purple	phepolo
purpose	morero
purse	sekhwama
pursue	šala morago
pursuit	go šala morago
push	kgorometša
put	bea
qualification	maswanedi
quality	boleng
quantity	bontši
quarantine	khwaranthaene
quarrel	kgakgana
quarter	kotara
Quechua	Quechua
queen	kgošigadi
queer	makatšago
query	potšišo
question	potšišo
queue	mothaladi
quickly	ka potlako
quick	potlako
quiet	setu
quilt	khwiliti
quite	kudu
quit	etšwa
quiz	tekatlhaologanyo
quotation	setsopolwa
quotes	ditsopolwa
quote	setsopolwa
rabbit	mmutla
race	morafe
rage	pefelo
rain	pula
raised	godišitše
raise	godiša
random	sa kgetholle
range	mehutahuta
ran	kitimile
rapidly	ka potlako
rapid	potlako
rarely	ka sewelo
rare	sewelo
rash	sebabo
rate	kelo
rather	eupša
rational	kgopodišišo
ratio	tekanyo
rat	legotlo
raw	tala
reached	fihleletše
reach	fihlelela
reaction	phetogo
read	bala
reading	go bala
ready	itokišitše
reality	kgonthe
realized	lemogilego
realize	lemoga
really	ka kgonthe
real	makgonthe
rear	kgauswi
reasonable	kwešišegago
reason	lebaka
recall	gomiša
receipt	kamogelo
receive	amogela
received	amogetše
recent	bjale
recently	gabjale
reception	boamogelabaeng
recipe	motswako
reckless	hloka šedi
recognition	temogo
recognize	lemoga
recommended	šišintšwego
recommend	šišinya
record	pego
recover	kokotlela
recovery	kutollo
rectangle	khutlonnethwii
redeem	phološa
redemption	phološo
red	khubedu
reduce	fokotša
redundant	šaletšego
reference	tšhupetšo
refer	lebiša
reflect	bontšha
reflection	sešupo
refrain	tlogela
refrigerator	setšidifatši
refund	pušetšo ya tšhelete
refused	ganne
refuse	gana
re	gape
regard	hlokomela
regarding	mabapi le
regardless	go sa lebelelwa
regards	hlokomela
region	selete
register	ingwadiša
regret	maswabi
regularly	ka mehla
regular	mehleng
reject	gana
relate	amana
related	amanago
relationship	kamano
relative	motswalo
relatives	metswalo
relax	iketla
released	lokollotše
release	lokolla
relevant	maleba
reliable	botegago
relief	kimollo
relieved	thušitše
relieve	imolla
religion	tumelo
religious	ya sedumedi
reluctant	go tšwafa
rely	tshepha
remaining	šetšego
remain	šala
remarkable	makatšago
remedy	kalafo
remember	gopola
reminder	kgopotšo
remind	gopotša
remote	kgole
remove	tloša
render	thuša
rent	hiriša
repair	lokiša
repeat	bušeletša
replace	ema legato
reply	fetola
report	pego
represent	emela
reputation	seriti
request	kgopelo
required	nyakegago
require	hlokega
rescue	phološa
research	dinyakišišo
resemble	swanetšana
resentment	sekgopi
reservation	peeletšo
reserve	boloka
resident	modudi
resign	rola modiro
resilience	kgotlelelo
resilient	yo maatla
resistance	twantšho
resist	iphemela
resolution	tharollo
resolve	rarolla
resort	ithuša ka
resources	methopo
respect	hlompha
respond	fetola
response	phetolo
responsibility	maikarabelo
responsible	maikarabelo
restaurant	restorente
rest in peace	robala ka khutšo
rest	khutša
restore	tsošološa
restrict	bea lepheko
result	poelo
results	dipoelo
resume	thomološa
retail	kgwebopotlana
retain	boloka
retention	poloko
retired	rotšego modiro
retreat	boela morago
retrieve	bušetša
return	boa
revealed	utollotše
reveal	utolla
revenge	itefeletša
revenue	letseno
reverse	bušetša morago
review	lekodišiša
revise	bušeletša
revision	pušeletšo
revolution	borabele
reward	moputso
rhythm	morethetho
rib	kgopo
rice	raese
rich	humile
ride	otlela
ridiculous	segišago
rid	tloša
right	nepagetše
right now	gonabjale
rigid	tiilego
ring	palamonwana
rinse	tsokotša
riot	mpherefere
ripe	butšwitše
rip	gagola
rise	hlaba
risk	kotsi
rival	lenaba
river	noka
road	tsela
roast	gadika
robust	tseneletšego
rock	letlapa
rod	kgati
role	tema
roll	kgokologa
roof	marulelo
room	kamora
root	modu
rope	thapo
rotten	bodile
roughly	e ka ba
rough	makgwakgwa
round	sediko
route	tsela
routine	setlwaedi
row	mothalo
rubber	rapara
rubbish	ditlakala
rub	fogohla
rude	hlokago boitshwaro
rug	phate
ruin	senya
rule	molao
ruler	rula
rules	melao
run	kitima
running	go kitima
rural	metsemagae
rush	akgofa
sack	raka
sacred	tšhogile
sacrifice	ba sehlabelo
safe	bolokegile
safe flight	sefofane se se bolokegilego
safety	polokego
sage	mohlalefi
said	boletše
sailing	go sesa
sail	sesa
sake	ka baka la
salary	mogolo
sale	thekišo
salmon	salmone
salt	letswai
Same here	Le gona mo
same	swanago
sample	sampole
sand	santa
Sanskrit	Sanskrit
sarcastic	ya kodutlo
sassy	sasi
sat	dutše
satisfaction	kgotsofalo
satisfied	kgotsofetše
satisfying	kgotsofatšago
satisfy	kgotsofatša
Saturday	Mokibelo
sausage	sosetše
savage	sehlogo
save	boloka
saw	bone
say	bolela
scale	sekala
scam	bofora
scarce	hlokegago
scared	tšhogile
scarf	sekhafo
scar	lebadi
scary	tšhoša
scattered	phatlaletše
scenery	tebelelegonaga
scene	sefala
scent	monkgo
schedule	beakanya
school	sekolo
science	saentshe
scientists	boramahlale
scientist	setsebi sa saentshe
scissors	sekero
scold	omanya
scope	morero
score	ntlha
scrap	phumola
scratch	ngwapa
scream	goeletša
screen	sekerini
screw	sekurufu
script	sengwalwa
sea	lewatle
seal	tswalela
search	nyaka
season	sehla
seat	madulo
second	motsotswana
secret	sephiri
section	karolo
secure	boloka
security	tšhireletšo
see	bona
seed	peu
seek	nyaka
seem	ka re
seems	ra gore
seen	bone
see you later	tla go bona ka moragonyana
see you	re tla bonana
see you soon	re tla bonana nako ye e sa fetšego pelo
see you tomorrow	re tla bonana gosasa
seize	golega
seizure	golega
seldom	e sego gantši
select	kgetha
self healing	go iphodiša
selfish	timana
self	ka noši
sell	rekiša
send me your picture	nthomele seswantšho sa gago
send	romela
senior	mogolo
sense	sekwi
sensible	hlalefilego
sensitive	kgwathegago maikutlo
sentence	lefoko
sentences	mafoko
sent	rometše
separate	kgaogane
Sepedi	Sepedi
september	setemere
sequence	tatelano
series	tatelano
seriously	ka tiišetšo
serious	tiišitše
serve	solela
service	tirelo
session	tulo
set	sehlopha
setting	lefelo
settle	lefa ka botlalo
set up	beakanya
seven	šupa
seventeen	lesomešupa
seventy	masomešupa
several	mmalwa
severe	šoro
sew	rokile
shade	moriti
shadow	morithi
shake	šikinya
shallow	metša
shall	tla
shame	mahlabišadihlong
shape	sebopego
share	abelana
sharp	bogale
shed	tšholla
sheep	nku
sheet	letlakala
she has	o na
she is	o
shelf	šelefo
shell	legapi
shelter	morithi
she	yena
shield	kotse
shift	šuthiša
shine	phadima
shipping	go romela
ship	sekepe
shirt	gempe
shoes	dieta
shoot	thuntšha
shop	lebenkele
shopping	go reka
shore	lebopo
shortage	tlhaelelo
short	kopana
shot	go betša
shoulder	legetla
should	swanetše
shout	goeletša
show	bontšha
shower	šawara
show me	mpontšhe
shrimp	širimpi
shrink	šošobanya
sh	š
shut	tswalela
shut up	homola
shy	dihlong
sibling	ngwanešo
siblings	baratho
sick	lwala
side	lehlakore
sigh	fegelwa
sight	pono
sightseeing	bona mafelo
signature	mosaeno
significant	bohlokwa
sign	leswao
silence	setu
silent	homotšego
silk	siliki
silly	lešilo
silver	silibera
similar	swanago
simple	bonolo
simp	simpo
simultaneously	sammaletee
since	go tloga
sincere	kgonthe
sincerely	ka kgonthe
singer	moopedi
single	tee
sing	opela
sink	sobelela
Sir	Morena
sister in law	ngwetši
sister	sesi
sit	dula
site	saete
situation	seemo
sixteen	lesometshela
six	tshela
sixty	masometshela
size	bogolo
skill	bokgoni
skills	mabokgoni
skin	letlalo
skinny	otilego
skip	tshela
skirt	sekhethe
sky	lefaufau
slave	lekgoba
sleeping	go robala
sleep	robala
sleepy	swarwa ke boroko
sleeve	letsogo la seaparo
slice	selai
slide	selaete
slightly	gannyane
slim	otile
slip	thelela
slope	motheoga
slot	tsenya
slowly	ka go nanya
slow	nanya
small	nnyane
smart	botse
smell	nkgelela
smile	myemyela
smoke	muši
smooth	boreledi
snack	seneke
snail	kgopa
snake	noga
snap	kgaola
snow	lehlwa
soak	ena
soap	sešepe
sober	sego ka fase ya khuetšo ya bjala
soccer	kgwele ya maoto
social	tša leago
society	setšhaba
socks	masokisi
so cute	bogega kudu
so far	go fihla mo
soft	boleta
software	softewere
soil	mabu
so	ka gona
soldier	lešole
sold out	rekišitšwe
sold	rekišitše
sole	sola
solid	tšhipi
solution	tharollo
solve	rarolla
somebody	motho yo mongwe
some	dingwe
somehow	ka tsela ye nngwe
someone	motho yo mongwe
something	se sengwe
sometimes	nako tše dingwe
song	koša
soon	ka pela
sophisticated	thantše
Sorani	Sorani
sore	sešo
sore throat	mogolo o bohloko
sorrow	manyami
Sorry	Ke maswabi
sort	hlopha
sought	nyakile
soulmate	wa pelo le moya
soul	moya
sound	modumo
soup	sopo
source	mothopo
sour	galaka
south	borwa
space	sekgoba
spam	sepamo
span	bogolo
Spanish	Sepeniši
spare	boloka
speak	bolela
special	ikgetha
species	mohuta
specific	go ikgetha
spectacular	maemo a godimo
speechless	hlokago polelo
speech	polelo
speed	lebelo
spell	peleta
spend	ntšha tšhelete
spent	šomišitše
spicy	ya dinoko
spike	sepikiri
spinach	sepenatšhe
spin	dikološa
spirit	moya
spit	tshwa
splendid	kganyago
split	kgaoganya
spoiled	senyegilego
spoil	senya
spontaneous	ka noši
spoon	lelepola
spot	lefelo
spouse	mogatša
spread	phatlalala
spring	seruthwane
square	khutlonne
squeeze	pitlela
squid	sekwiti
squirrel	sehlora
stab	hlaba
stable	tiilego
stack	hlopha
staff	bašomedi
stage	kgato
stain	sepatso
stairs	ditepisi
stake	katolo
stalk	lehlokwa
stall	setolo
stamp	setempe
standard	motheo
stand	ema
star	naledi
started	thomile
start	thomiša
starving	bolawa ke tlala
statement	setatemente
state	mmušo
station	setiši
statue	sehlwaseeme
status	maemo
stay	dula
stay safe	dula ka polokego
steady	ka boiketlo
steak	nama ya kgomo
steal	utswa
steam	phišo
steel	tšhipi
steep	motheoga
stem	kutu
step	kgato
stick	kgomarela
stiff	thatafa
still	sa
sting	loma
stingy	go timana
stir	hudua
stock	phahlo
stolen	utswitšwe
stomach	dimpa
stone	leswika
stood	eme
stool	mantle
stop	ema
storage	bobolokelo
store	boloka
storm	ledimo
story	kanegelo
stove	setofo
straightforward	lego molaleng
straight	thwii
strain	lapišago
strange	makatša
stranger	moeng
strategy	leanophethagatšo
strawberry	seterooperi
straw	lehlokwa
streak	mothaladi
stream	moela
street	seterata
strength	maatla
stress	kgatelelo
stretch	nganga
strict	tlhoko
strike	go teraeka
string	thapo
strip	moseto
strive	katana
stroke	seterouku
strong	maatla
struck	bethilwe
structure	sebopego
struggle	katana
struggling	go katana
st	seterata
stubborn	hlogothata
stuck	tsentše
student	moithuti
studying	go ithuta
study	ithuta
stuff	kitela
stunning	tumišegago
stupid	setlaela
style	mohuta
subject	hlogotaba
submission	boikokobetšo
submit	tliša
substance	selo
substitute	moemedi
subtle	makatšago
succeed	atlega
successful	atlegile
success	katlego
such as	bjalo ka
such	bjalo
suck	nyanya
sudden	ka bonako
suddenly	ka potlako
suffering	go tlaišega
suffer	tlaišega
sufficient	lekanetšego
sugar	swikiri
suggestion	tšhišinyo
suggest	šišinya
suitable	maswanedi
suitcase	suthukheisi
suit	swanela
summary	kakaretšo
summer	selemo
summit	sehloa
sum	palomoka
sunday	sontaga
sun	letšatši
sunny	na le letšatši
sunset	phirimatšatši
sunshine	mahlasedi a letšatši
superior	ka godimo
super	kgolo
supervisor	mookamedi
supper	difihlolo
supply	kabo
support	thekga
supposed	swanetše
suppose	nagana
sure	kgonthiša
surface	bokagodimo
surge	lephoto
surgery	karo
surname	sefane
surprised	maketše
surprise	makatša
surrender	ineela
surrounding	tikologo
surveillance	phatišišo
survey	diphatišišo
survive	phologa
suspect	mogononelwa
suspended	fegilwe
suspicious	belaetša
sustainability	kgotlelela nako ye telele
sustainable	kgotlelelago nako e telele
sustain	kgotlelela
swag	ikgantšha
swallow	metša
swap	fetoša
swear	ikana
sweater	swetha
sweat	sethitho
sweep	swiela
sweet	bose
sweet dreams	e ba le ditoro tše botse
sweetheart	moratiwa
sweet tooth	kganyogo ya dijo tša swikiri
swelling	go ruruga
swell	ruruga
swimming	go rutha
swim	rutha
swing	hwidinya
switch	fetogela
swollen	rurugile
sword	lerumo
symbol	leswao
sympathy	kwelobohloko
symptoms	dika
system	tshepedišo
table	tafola
tackle	lwantšha
tag	theke
tail	mosela
take away	dijo tša tseleng
take care	hlokomela
taken	tšerwe
take off	fofa
take	tšea
talkative	bolela kudu
talk	bolela
tall	telele
tape	theipi
tap	thepe
target	tebanyo
task	mošomo
taste	tatso
tasty	na le tatso
taught	rutile
teacher	morutiši
teach	ruta
team	sehlopha
tear	gagola
tears	megokgo
tease	kwera
tea	teye
technology	theknolotši
teeth	meno
tell	botša
tell me	mpotše
temperature	themphereitšha
temper	pefelo
temple	tempele
temporary	nakwana
tenant	mohiri
tend	diša
tendency	setlwaedi
tender	thentara
ten	lesome
tense	lebaka
tension	kgohlano
tentative	sego ya kgonthe
ten thousand	dikete tše lesome
tent	tente
term	lereo
terms	mareo
terrible	mpe kudu
terrific	boifišago
territory	mollwane
test	leka
text	sengwalwa
than	go feta
thank	leboga
Thanks for using our app	Re leboga ka go šomiša app ya rena
thanks	ke a leboga
Thank you for your patience while we investigate shipment	Re leboga go se fele pelo ga gago ge re nyakišiša merwalo
thank you	ke a leboga
thank you so much	ke leboga kudu
thank you very much	re leboga kudu
that	gore
that is	e lego
that's good	go a thabiša
theft	bohodu
their	-a bona
them	bona
theme	tabataba
themselves	ka bobona
then	gona
theory	teori
there are	go na le
therefore	ka gona
there is	go na le
there	moo
these	tše
they are	ba a
they	bona
thick	koto
thief	lehodu
thigh	serope
things	dilo
thing	selo
think	nagana
thin	sese
third	boraro
thirsty	nyorilwe
thirteen	lesometharo
thirty	masometharo
this is	se ke
this	se
thorough	go tsenelela
thoroughly	go tsenelela
those	bao
though	le ge
thoughtful	naganišiša
thought	kgopolo
thoughts	dikgopolo
thousand	sekete
thread	garane
threaten	tšhošetša
threat	matšhošetši
three	tharo
threshold	mogato
thrilled	nago le mafolofolo
thrive	atlega
throat	mogolo
through	go
throughout	nako ka moka
throw	foša
thumb	monwana o mogolo
thunder	ledimo
Thursday	Labone
thus	ka gona
tick	swaya
tide	tlema
tidy	hlwekile
tie	bofa
tiger	nkwe
tight	tiišitše
Tigrinya	Tigrinya
time	nako
timid	dihlong
tiny	lehlokwana
tip	ntlha
tips	maele
tired	lapile
tire	lapa
tissue	tlhalenama
title	thaetlele
toast	go thousta
to be	go ba
today	lehono
toddler	mapimpane
toes	menwana ya maoto
together	mmogo
to	go
toilet	ntlwana ya boithomelo
told	boditše
tolerance	kgotlelelo
tolerate	kgotlelela
tomato	tamati
tomorrow	gosasa
tongue	leleme
tonight	bošegong bjo
too	gape
took	tšerwe
tools	ditlabela
tool	thulusi
tooth	leino
top	godimo
topic	hlogotaba
torn	gagogile
torture	tlaiša
total	palomoka
touch	kgoma
tough	thata
tour	leeto
towards	go ya go
toward	ya go
towel	toulo
town	toropo
toxic	na le mpholo
trace	latelela
track	thereke
trade	kgwebo
traditional	ya setšo
tradition	setšo
traffic	sephethephethe
trail	goga
train	hlahla
training	tlhahlo
trait	eka
traits	mekgwa
transfer	fetišetša
transition	phetogo
translate	fetolela
transparent	pepeneneng
transportation	thomelo ka senamelwa
transport	senamelwa
trap	molaba
trash	ditlakala
trauma	tlaišego
travel	sepela
tray	thereyi
treasure	lehumo
treatment	kalafo
treat	swara gabotse
tree	mohlare
tremendous	kgolo kudu
trend	therenta
trial	teko
trick	hlalefetša
tried	lekile
trigger	šušumetša
trim	kgabiša
trip	leeto
trouble	bothata
trousers	marokgo
truck	theraka
true	nnete
trunk	sebelebele
trust	tshepha
truth	bonnete
try	leka
Tsonga	Tsonga
tube	tšhupu
Tuesday	Labobedi
tuition	thuto
turkey	kalakune
turmeric	thumeriki
turn	fetoga
turtle	pshinyaleraga
tutor	mohlahli
twelve	lesomepedi
twenty	masomepedi
twenty-one	masomepedi-tee
twice	gabedi
twist	sopha
Twi	Twi
two	pedi
type	mohuta
typical	mohuta o itsego
ugly	befile
ultimate	ya mafelelo
umbrella	amporela
unable	palelwa
uncle	malome
unconscious	sa ipone
under	ka fase
underneath	ka fase
underrated	nyaditše
understand	kwešiša
understood	kwešišitše
unfortunately	ka madimabe
uniform	yunifomo
unique	moswananoši
unit	yuniti
university	yunibesithi
unknown	sa tsebjego
unless	ntle le
until	go fihla
unusual	sa tlwaelegago
update	mpshafatša
up	godimo
upgrade	kaonafatša
upon	godimo
upset	nyamile
up to you	go tšwa go wena
urban	motsesetoropo
urge	hlohleletša
urgent	tšhoganetšo
used	šomišitšwego
useful	nago le mohola
useless	hlokago mohola
use	šomiša
us	rena
usually	ka tlwaelo
usual	mehleng
utility	thušo
vacation	maikhutšo
vaccination	go hlabela moento
vaccine	moento
vacuum	sebaka
vague	sa kwagalego
valid	makgonthe
valley	molapo
valuable	ya mohola
value	boleng
variety	fapafapana
various	fapafapanego
vary	fapafapana
vase	sebjanatsopa
vast	kgolo
vegetable	morogo
vegetables	merogo
vehicle	senamelwa
vendor	mogwebi
venom	mpholo
venture	phonkgelela
venue	lefelo
verify	kgonthiša
versatile	fetogago
version	bešene
vertical	tsepamego
very good	gabotse kudu
very	kudu
vessel	sekepe
via	ka tsela ya
vibe	baepe
vibes	dibaepe
vicious	šoro
victim	motšwasehlabelo
video	bitio
view	bogela
village	motse
villain	lenaba
vinegar	binika
vintage	puno ya diterebe
violence	dikgaruru
violent	ka dikgoka
viral	baerale
virgin	kgarebe
virtual	kgokagano ya inthanete
virtue	bothakga
vision	ponelopele
visit	etela
visual	bonegago
vital	bohlokwa
vivid	bonagala
vocabulary	tlotlontšu
voice	lentšu
void	sekgoba
volume	bolumu
volunteer	moithaopi
vomit	hlatša
vulnerable	ba kotsing
wage	moputso
wages	meputso
waist	letheka
waiter	waitara
waiting	letile
wait	leta
wake	tsoga
wake up	tsoga
walking	go sepela
walk	sepela
wallet	sekhwama
wall	leboto
wander	ralala
wanna	nyaka
wanted	nyakegago
want	nyaka
wardrobe	otoropo
warehouse	ntlophahlo
warm	ruthela
warning	temošo
warn	lemoša
war	ntwa
warrior	mogale
was	be e le
wash	hlatswa
waste	ditlakala
watch	bogela
water	meetse
watermelon	legapu
wave	lephoto
way	tsela
weak	fokola
weakness	bofokodi
wealth	lehumo
wealthy	humile
wear	apara
we are	re a
wearing	go apara
weather	boso
we can	re ka kgona
wedding	monyanya
Wednesday	Laboraro
weed	ngwang
week	beke
weekend	mafelelo a beke
weight	boima
weird	makatšago
welcome	le amogetšwe
welfare	bobotlana
well done	o šomile gabotse
Well	Gabotse
went	sepetše
were	be e le
we	rena
west	bodikela
wet	thapile
whale	leruarua
what about you	wena o reng
what are you doing now	o dira eng gabjale
what are you doing	o dira eng
what are you doing right now	o dira eng gonabjale
what do you do for a living	o dira eng go iphediša
what do you do	naa o dira eng
what do you mean	o nyaka go reng
what do you want	o nyaka eng
what	eng
whatever	eng le eng
what happened	go diregile eng
what is	ke eng
what is this	ke eng se
what is your job	mošomo wa gago ke eng
what is your name	leina la gago o mang
what's up	o mpotša eng
what's your name	ke wena mang
wheat	korong
wheel	leotwana
whenever	neng le neng
when	neng
where are you from	o tšwa kae
where are you now	o mo kae gabjale
where are you	o mo kae
whereas	mola e le gore
where do you live	o dula kae
where is	o kae
where	kae
whether	e ka ba
which	yona
while	mola
whisper	hwenahwena
whistle	letša molodi
white	tšhweu
who are you	ke wena mang
who is	ke mang
who is this	ke mang yo
whole	ka moka
who	mang
whom	go yena
whose	yoo
why	ka lebaka la eng
why not	ka lebaka la eng go se bjalo
wicked	bokgopo
wide	-phara
widow	mohwana
width	bophara
wife	mosadi
wild	hlaga
willing	ikemišeditšego
will	tla
window	lefasetere
wind	phefo
windy	na le phefo
wine	beine
winter	marega
win	thopa
wipe	phumola
wire	lethale
wisdom	bohlale
wise	bohlale
wish	duma
wish you all the best	ke go lakaletša tše kaone
witch	moloi
withdrawal	gogela morago
withdraw	gogela morago
within	ka gare
with	ka
without	ntle le
witness	hlatse
witty	nago le kelelo
wolf	phiri
woman	mosadi
women	basadi
wonderful	makatšago
wonder	tlabega
won	thopile
won't	ka se
wood	kota
wool	wulu
word	lentšu
words	mantšu
working	go šoma
work	mošomo
work out	hwetša
world	lefase
worm	seboko
worn	onetše
worried	tshwenyega
worry	tshwenyega
worse	gampe kudu
worship	tumiša
worst	mpe kudu
worth it	na le boleng
worth	theko
worthy	nago le mohola
would	tla
wound	sešo
Wow	Ao
wrap	phuthela
wrath	kgalefo
wrist	letheka
Write here	Ngwala mo
write	ngwala
writing	go ngwala
written	ngwadilwe
wrong	phošo
wrote	ngwadile
yard	jarata
yawn	ona
Yeah	Ee
year	ngwaga
years	mengwaga
yeast	komelo
yell	goeletša
yellow	serolane
yes baby	ee ngwana
yes dear	ee moratiwa
Yes	Ee
yes honey	ee moratiwa
yes my love	ee moratiwa
yes of course	ee go bjalo
yesterday	maabane
yet	anthe
yield	tšweletša
you are beautiful	o botse
you are	o
you are so beautiful	o botse kudu
you are welcome	o amogetšwe
you can	o ka kgona
You know	O a tseba
young	nnyane
your	-a gago
you're welcome	o amogetšwe
you’re welcome	o amogetšwe
yourself	wena
your welcome	o amogetšwe
youth	baswa
you too	le wena
you	wena
yummy	tswee
zero	lefeela
