a little	tenê
a lot	kerematêk
a lot of	xeylê
abandon	teriknayene
abandoned	teriknaye
abide	mendene
ability	eşkayîş
able	eşkayox
about	derheq de
above	cor
abroad	teberê welatî
absence	çinbîyayîş
absent	çin
absolutely	eynî wina
absorb	zere girewtene
absorb	antene zere
abstract	razber
abstract	xulasa
absurd	bêmana
abundance	bereket
abundant	bol
abuse	îstismar
abuse	îstismar kerdene
accent	aksan
accept	qebul kerdene
access	ciresayîş
access	cireştene
accident	qeza
accommodation	cayê mendişî
accomplish	besekerdene
accomplished	resna peynî
according	goreyê
account	hesab
accuracy	bêkêmanîye
accurate	raşt
accused	suckerde
ache	dej
achieve	ser kewtene
achievement	serkewtiş
acknowledge	qebul kerdene
acquaintance	nas
acquire	dest girewtene
acquired	girewte
acquisition	destgirewtiş
across	ser ra
act	kerdene
action	aksîyon
active	aktîf
activities	aktîvîteyî
activity	aktîvîte
actor	kaybaz
actual	raştikên
actually	esasen
acute	giran
adapt	yê xo kerdene
adapt	dest dayene
add	îlawe kerdene
addicted	tîryakî
addition	îlawe
additional	îlawe
address	xitab kerdene
address	adrese
adequate	cade
adjacent	pêranîyaye
adjective	sifet
adjust	eyar kerdene
admire	ecibnayene
admit	qebul kerdene
adopt	yê xo kerdene
adopt	qebul kerdene
adorable	zaf şîrin
advance	aver şîyene
advance	averşîyayîş
advanced	averşîyaye
advantage	avantaj
adventure	macera
adverb	zerfe
advertisement	reklam
advertising	reklam kerdene
advice	şîret kerdene
advise	şîret
advocate	avûkat
advocate	pawitene
aesthetic	estetîk
affair	têkilî
affect	tesîr dayene
affection	sînayîş
afford	pê besekerdene
affordable	hêrînbar
afraid	tersaye
after	dima
afternoon	peyê perojî
afterwards	dima
again	reyna
against	duşt de
age	serrî
agency	ajans
agent	ajan
aggressive	hêrişkar
agile	vît
ago	ra ver
agree	hemfikr bîyene
agreement	pêkerdiş
agriculture	zîret
ahead	raver
aid	hetkarîye
aim	amanc
air	hewa
airport	teyarageh
aisle	vîyar
alarm	alarm
alcohol	alkol
alert	baldarî
alive	weş
all	heme kes
all right	temam
all the best	qewet bo
allow	verdayene
allowed	bidestûr
almost	hema-hema
alone	tena
along	bi … ya
already	xora
Alright	Temam
also	zî
alternative	alternatîf
although	herçiqas ke
always	hertim
am	a
amazing	fewqelade
ambiguous	nedîyar
ambition	hewes
ambitious	hewesdar
amend	raşt kerdene
amid	mîyan de
among	mîyan de
among us	mabênê ma de
amount	mîqdar
amusing	komîk
analysis	analîz
ancestors	bav û kal
anchor	asinê keştîye
ancient	qedîm
and	û
and you	ma ti
angel	melek
anger	hêrs
angle	hoke
angry	hêrsin
animal	heywan
ankle	savoke
anniversary	serrgêre
announcement	vilaweke
annoy	hêrs kerdene
annoyed	hêrsbîyaye
annoying	tacizker
annual	serrane
anonymous	anonîm
another	yewna
answer	cewab dayene
answer	cewab
anticipate	hêvî kerdene
anxiety	qisawete
anxious	biqisawet
any	teba
anymore	êdî
anyone	kes
anything	çîyêk
anyway	welhasil
anyways	welhasil
apart	ra ber
apartment	qateban
apologize	ozrê xo waştene
apparent	eşkera
apparently	merdim vano qey
appeal	muracad kerdene
appeal	îtîraz kerdene
appear	asayene
appearance	asayîş
appeared	asaye
appetite	made
apple	saye
application	muracat
apply	muracat kerdene
appointment	randevu
appreciate	qedrê ci zanayene
appreciation	sipasdarî
approach	nêzdî bîyene
approach	helwêst
appropriate	munasîb
approval	tesdîq
approve	tesdîq kerdene
approved	tesdîqbîyaye
approximately	kêm-zêde
april	nîsane
arbitrary	keyfî
architect	mîmar
architecture	mîmarîye
archive	arşîv
are	ê
are you	ti ya
are you busy	meşgul î
are you married	ti zewicîyayî ya
are you married or single	ti zewicîyaya ya yan azeb a
Are you still there?	Ti hîna uca yî?
are you there	ti uca der a
area	herême
argue	munaqeşe kerdene
argument	arguman
arise	weriştene
arm	harme
army	artêşe
around	fekafek
arrange	eyar kerdene
arrangement	eyarkerdiş
arrival	resayîş
arrive	resayene
arrived	resaye
arrogant	qure
arrow	tîre
art	huner
article	meqale
artificial	viraşte
artist	hunermend
as	sey
as long as	heta ke
as well	zî
as well as	hem zî
ash	wele
ashamed	şermezar
ask	persayene
asked	perskerde
asleep	hewn de
aspect	het
Assamese	Asameskî
assault	hêriş kerdene
assembly	meclîs
assertive	xobawer
assess	erjnayene
assessment	erjnayîş
asset	mal û milk
assets	mal û milk
assign	wezîfe dayene
assignment	tayîn
assist	hetkarîye kerdene
assistant	hetkar
associate	hemkar
associated	eleqedar
association	yew kerdene
assume	ferz kerdene
assumption	ferzkerdiş
at	de
at least	tewr tay
ate	werd
athlete	atlet
attach	îlawe kerdene
attached	pirakerde
attachment	îlawe
attack	hêriş kerdene
attempt	teşebus kerdene
attempt	teşebus
attend	beşdar bîyene
attendance	beşdarîye
attention	dîqet
attitude	şêle
attract	celb kerdene
attraction	atraksîyon
attractive	cazîbedar
attribute	sifet
audience	temaşewan û goşdarî
august	tebaxe
aunt	eme
aunty	xalike
authentic	otantîk
author	nuştox
authority	otorîte
autumn	payîz
available	mewcûd
average	averaj
avoid	ci ra dûrî vindetene
awake	hişyar bîyene
award	xelate
aware	hayîdar
awareness	hişyarîye
away	dûrî
awesome	harîka
awful	berbad
awkward	bêeleqe
Aymara	Aymara
baby	pit
bachelor	xorto azeb
back	peyser
background	peyzemîn
bad	xirabin
bag	çente
bait	alef
bake	pewtene
bakery	firine
baking soda	sodyum karbonat
balance	hemsencîye viraştene
balance	hemsencîye
ball	gude
Bambara	Bambara
banana	muze
band	kome
bang	reqayene
bang	req û teq
bank	banka
bar	bar
barely	bi zehmetî
bargain	bazar kerdene
bark	qafik
bark	lawayene
barley	cew
barrier	sînor
base	bingeh
based	temelî
basement	qatê erdî
basic	bingeyên
basically	eslê xo de
basil	rihan
bastard	pinc
batch	pêserîye
bath	awke
bathroom	awke
battery	baterya
battle	ceng
bay	kendawe
be	bîyene
be careful	baldar be
beach	plaj
beam	tîrêje
beans	lobîkî
bear	tebitîyayene
bear	heş
beard	erdîşe
bearing	tewir
beast	cinawir
beat	piro dayene
beat	pirodayîş
beautiful	rindek
beauty	rindekîye
became	bî
because	çike
become	bîyene
bed	cile
bedroom	odaya rakewtişî
bee	hinge
beef	goştê naxirî
been	bî
beer	bîra
before	verê
began	dest pêkerd
begin	dest pêkerdene
beginning	destpêk
behalf	bi nameyê
behave	hedê xo zanayene
behavior	roniştiş weriştiş
behaviour	hal û hereket
behind	pey de
being	bîyayîş
belief	bawerî
believe	bawer kerdene
belly	vêre
belong	aîd bîyene
beloved	heskerde
below	cêrên
belt	qayîş
bench	kursîya derge
bend	fetiloke
beneath	bin de
benefit	feyde dayene
benefit	feyde
benefits	faydeyî
beside	kîşte de
besides	yew zî
best	tewr rind
best of luck	bixeyr bo
best regards	zaf selamî
better	rindêr
between	mabên de
beverage	çîyê şimitişî
beyond	ra dot
Bhojpuri	Bhojpurî
bias	verhukm
biased	verhukmdar
bicycle	bîsîklete
bid	pêşnîyaze
big	girs
bike	bîsîklet
bill	fatura
bind	girê dayene
bird	mîlçike
birthday	rojbîyayîş
bit	vîçek
bite	gaj
bite	gaj kerdene
bitter	tal
black	sîya
blade	fekê kardî
blame	sucdar kerdene
blame	suc
blank	tal
blanket	betanîya
blast	zewq
blast	teqayîş
bleach	awa çamaşirî
bleach	sipî kerdene
blend	pêşanayîş
bless	şukur kerdene
bless	pîroz kerdene
blessed	bimbarek
blind	kor
bliss	bextîyarî
block	asteng kerdene
blood	gonî
bloom	akerdene
blow	puf kerdene
blue	kewe
blunt	kon
board	heyetê îdareyî
boat	keştîye
body	leşe
boil	girênayene
bold	qalind
bond	girê dayene
bone	este
book	ca abirnayene
book	kitab
boost	averberdiş
boost	aver berdene
booster	destek
boot	verbarkerdiş
boot	bot
boots	botî
border	sînor
bore	qule kerdene
bored	bêhêdîr
boring	acizker
born	bîya
borrow	deyn kerdene
boss	patron
both	her di
bother	nerehet kerdene
bottle	şuşe
bottom	bin
bought	hêrînaye
bounce	xil dayene
bound	girêdaye
boundaries	sînorî
bow	kemane
bowl	tase
box	qutîye
boy	lajek
boyfriend	dost
bracelet	bazin
brain	mezg
branch	şax
brand	marka
brave	çêr
breach	şikitene
bread	nan
break	şikitene
break	mabên
breakfast	arayîye
breast	çiçik
breath	nefes girewtene
breathe	nefes girewtene
breed	weyî kerdene
brick	tuxla
bride	veyveke
bridge	pird
brief	kilm
bright	roşt
brilliant	jîr
bring	ardene
bro	bira
broad	hîra
broadcast	weşan kerdene
broke	şikit
broke	îflas
broken	şikite
broom	gezî
brother	bira
brother in law	vistewre
brought	ard
brown	qeweyî
brush	firçe kerdene
bucket	beroş
buddy	dosto
budget	butçe
bug	lulik
build	awan kerdene
building	ban
building	awanî
built	awanîye
bulk	govde
bull	boxe
bully	zorbazîye kerdene
bump	pêro ginayene
bunch	deste
bundle	qevde
burden	barpişt
burden	barpişt kerdene
buried	wedarit
burn	veşnayene
burst	peqayîş
bury	wedardene
bus	otobuse
bush	leme
business	kar
bust	heykel
busy	meşgul
but	la
butter	rûno kele
butterfly	perperike
button	gocege
buy	hêrînayene
by	bi
by the way	na esna de
bye	oxir bo
cabbage	kelem
cabinet	dolabe
cabinet	hukmat
cage	qefes
cake	kek
calf	guk
call	vengdayîş
call	telefon kerdene
call me	mi rê telefon bike
called	bi nameyê
calm	aram
came	ame
campaign	kampanya
can	qutî
can	eşkayene
Cancel	Betal kerdene
cancer	kanser
capable	hêgin
capacity	kapasîta
capital	paytext
caption	manşet
capture	girewtene
car	erebe
career	karîyer
careful	baldar
carefully	bi baldarî
careless	bêxem
caring	zerrîvêşaye
carpenter	necar
carpet	xalî
carrot	gizêr
carry	kiriştene
carry on	dewam kerdene
carry out	ardene ca
case	rewşe
cash	pêşîn
cast	eştene
castle	qesir
casual	rojane
cat	pisînge
catch	tepiştene
category	kategorî
cattle	naxir
caught	tepişt
cause	sebeb
cause	sebeb bîyene
caution	îxtar
cautious	baldar
cave	eşkefte
cease	vindetene
ceiling	serke
celebrate	pîroz kerdene
cell	hucre
center	merkez
century	seserre
cereal	heb
ceremony	merasîm
certain	tayê
certainly	eynen
certificate	sertîfîka
chain	zincîre
chair	kursîye
challenge	duşt de vejîyayene
challenge	zehmetîye
chance	şans
change	vurîyayene
chaos	kaos
character	karakter
characteristics	taybetî
charge	şarj kerdene
charge	sucdar kerdene
charity	xeyrkarî
charming	efsûnên
chart	plan
chart	tablo
chase	fetilnayene
chat	xpşebere
chat	terraqnayene
cheap	erjan
cheat	xapitene
cheating	hîle kerdene
check	kontrol kerdene
check	kontrol
cheek	alişke
cheer	şênî
cheerful	şên
cheers	noş
cheese	pênîr
chemistry	kîmya
cherish	ser o hêc bîyene
chess	kişike
chest	sêne
chew	cutene
chicken	kerge
chief	serek
child	doman
childhood	domanîye
children	domanî
chill	qers … kewtene
chill	qers
chill	honik
chimneys	lojinî
chin	çene
chocolate	çîkolata
choice	tercîh
choose	weçînitene
chop	qesnayene
chores	kar û bar
chubby	goştin
church	dêr
cinnamon	darçîn
circle	dayîre
circumstances	şert û mercî
citizen	hemwelatî
city	şaristan
claim	îdîa kerdene
claim	îdîa
clarify	zelal kerdene
class	sinife
clay	kîle
clean	pak kerdene
clear	zelal
clear	zelal kerdene
clerk	nuştox
clerk	rotox
clever	jîr
client	muşterî
cliff	tirr
climate	îklîm
climb	ro vejîyayene
clingy	zeliqok
clock	saete
close	girewtene
closet	dolabe
cloth	kinc
clothes	kincî
cloud	hewr
cloudy	hewra
clown	palyaço
clue	îma
clumsy	xam
cluster	kome
coach	antrenor
coach	antrenorî kerdene
coal	komir
coast	qerax
coat	çakêt
coffee	qewe
cognitive	hişkî
coincidence	tesaduf
cold	serd
collapse	rijîyayene
collar	pêsîr
colleague	hemkar
colleagues	hemkarî
collect	arê dayene
collection	koleksyon
college	unîversîte
color	reng
colorless green ideas slept furiously	fikrê keskê bêrengî hêrsin kewenê ra
colour	reng
column	kuncik
comb	şane kerdene
combination	pêardiş
combine	pîya kerdene
come	ameyene
come here	bê tîya
come on	hayde
comfort	rehet kerdene
comfortable	rehet
coming	yeno
coming soon	demo nêzdî de
command	ferman dayene
comment	şîrove
commercial	bazirganî
commission	komîsyon
commit	kerdene
commitment	wad
committed	kerde
commodity	mal
common	vilabîyaye
communicate	komunîkasyon
communication	komunîkasyon
community	komel
commute	şîyene kar
companion	heval
company	şîrkete
compare	pêver şanayene
comparison	pêveronayîş
compassion	zerrîvêşayîyîye
compassionate	zerrîveşayîye
compatible	ahengdar
compete	têver ro nayene
competent	ciraameye
competition	musabeqa
competitive	hemberîker
complain	gerre kerdene
complaint	gerre
complement	temam kerdene
complement	pesn
complete	temam kerdene
completely	temamen
complex	aloz
compliance	îtaet
complicated	têmîyankewte
compliment	pesn
comply	îtaet kerdene
composition	pêardiş
compound	pêrabeste
comprehension	fehm
comprehensive	şumûldar
compromise	werêameyîş
compromise	werê ameyene
compulsory	mecburî
computer	komputure
concentrate	konsantre bîyene
concept	konsept
concern	eleqedar bîyene
concern	eleqe
concerned	endîşenak
concerned	eleqedar
concert	konser
conclusion	peynîye
concrete	şênber
concrete	beton
concrete	şênber kerdene
condition	şert
conditions	şertî
conduct	ca ardeene
conference	kombîyayîş
confess	ro xo nayene
confidence	xobawerîye
confident	xobawer
confirm	e kerdene
conflict	têkewtiş
confused	şaşbîyaye
confusion	şaşmendiş
congrats	pîroz bo
congratulation	pîrozkerdiş
congratulations	çimê to roştî bê
conjunction	bestox
connect	girê dayene
conquer	îşxal kerdene
conscious	hişyar
consciousness	hişyarîye
consent	destûr
consent	razî bîyene
consequences	netîceyî
conservation	muhafezekerdiş
conservative	muhafezakar
consider	çiman ver girewtene
considered	fikrkerde
consist	pêra ameyene
consistency	pêgirewtiş
consistent	pêgirewte
constant	berdewam
constantly	timûtim
constipation	qebz
construction	awanîye
consume	serf kerdene
consumption	serf
contact	têkilî
contact	kewtene têkilîye
contagious	serî
contain	tede bîyene
contains	tede
contemporary	hemçax
contempt	razî
content	tedeyî
contest	musabeqe
context	kontekst
continent	qita
continue	dewam kerdene
contract	kontrat
contract	kontrat kerdene
contrast	têver nayene
contrast	zid
contribute	beşdarîye
contribution	beşdarîye
control	kontrol
controversial	nîqaşbar
convenience	musaîdîye
convenient	musaîd
conversation	xoşebere
convert	çarnayîş
convert	çarnayene
convey	resnayene
convince	îqna kerdene
convinced	îqnakerde
cook	werdpewj
cook	pewtene
cooking	pewtiş
cool	weş
cool	honik
cooperation	hemkarîye
cope	hal kerdene
copper	paxir
core	dendik
corn	lazut
corner	kuncik
correct	raşt
cost	mesref
cost	mal bîyene
costume	kisvet
cottage	holike
cotton	peme
couch	meqet
cough	kuxike
council	konseye
count	hûmaritene
counter	muqabele kerdene
country	welat
countryside	dewan de
couple	cite
courage	cesaret
course	kurs
court	dadgeh
courtesy	kibarîye
cousin	dereza
cover	nimitene
cow	manga
coward	tersonek
cozy	rehet
crab	kerkince
crack	qilaşîyayene
crack	qilaş
craft	huner
crap	gî
crash	qeza
crash	qeza kerdene
craving	vîyar kerdene
crawl	kaş bîyene
crazy	xêx
create	afirnayene
creative	viraştox
credit	kredî
creep	kaş bîyene
creepy	tersnak
crew	muretebat
crime	suc
cringe	rokewtene
cringe	şermdar
crisis	krîz
criteria	krîterî
critical	krîtîk
criticism	rexnegerî
crop	ber
crops	mehsul
cross	visîyayene bover
cross	xaç
crow	qijike
crowd	qelebalix
crowded	qelebalix
crown	tac
crucial	girîng
cruel	zorbaz
cruise	raywanîya deryayî
crush	pelçiqnayîş
crush	pelçiqnayene
cry	bermayene
cucumber	xîyar
cuddle	xo verare kerdene
culture	kultur
cunning	qurnaz
cup	fîncane
cupboard	dolabe
curb	sînor kerdene
curb	kemerê peyerayîrî
cure	weş kerdene
cure	weşkerdiş
curfew	qedexeyê vejîyayîşê teberî
curiosity	meraq
curious	meraqdar
curly	gijikin
currency	dovîz
current	nikayin
currently	nika
curse	milqî dayene
curtain	perde
cushion	mînder
custom	adet
customer	muşterî
customs	urf û adetî
customs	gumrik
cut	birnayene
cut	birnaye
cute	şîrin
cycle	dewr
cycling	bîsîklet raimtene
dad	bakil
daddy	bawo
daily	rojane
dairy	qatix
dam	awbend
damage	zerar dayene
damage	zerar
damn	lanet kerdene
damp	tênin
dance	reqisîyayene
danger	tehluke
dangerous	tehlukeyin
dark	tarî
darling	waştî
dash	tîre
dash	pirodayîş
data	data
date	tarîx
date	randevu
daughter	kêna
day	roje
dead	merde
deadline	tarîxo peyên
deaf	kerr
deal	pê ameyene
deal	pêameyîş
dear	sînaye
Dear All	hevalê delalî
Dear Customer	Muşterîyo Erjaye
Dear Parents	May û pîyê erjayeyî
Dear Sir	Efendîyo erjaye
Dear students	Wendekarê erjayeyî
Dear Team	Ekîpa erjayîye
death	merdene
debate	nîqaş
debit	deyndar
debit	debî
debris	enkaz
debt	deyn
decade	desserre
decay	xeripîyayene
decay	rijîyayene
deceased	dinya xo vurna
deceive	xapênayene
december	kanûne
decent	cade
decide	qerar dayene
decided	qerar da
decision	qerar
deck	deste
decline	red kerdene
decrease	kêm bîyene
dedicated	ser o hêc
dedication	îthaf
deed	çalakî
deed	tapû
deep	xorîn
deer	gakovî
default	standard
defeat	mexlub kerdene
defeat	mexlubîye
defend	seveknayene
define	terîf kerdene
definitely	qetîyen
definition	pênas
degree	derece
delay	peyde eştene
delay	peydeeştiş
delayed	taloq bî
delete	estiritene
deliberate	bi zanayîş
delicate	nazik
delicious	tehmweş
delight	keyf
delighted	keyfweş
deliver	teslîm kerdene
deliver	verdayene
delivered	reşte
delivery	ciresnayîş
demand	waştiş
demand	waştene
demanding	israrker
demanding	çetin
democracy	demokrasî
demon	cîn
demonstrate	numayîş kerdene
denied	betalkerde
density	sixletîye
dentist	didansaz
deny	înkar kerdene
department	beş
departure	rayemendiş
depend	girêdaye bîyene
deploy	dayene hereketkerdene
deposit	depozîto dayene
deposit	depozîto
depressed	depresîf
depression	depresyon
depth	xorînîye
describe	pênas kerdene
description	pênas
desert	çol
deserve	heq kerdene
design	dîzayn kerdene
design	dîzayn
designation	tayîn
desire	waştiş
desire	waştene
desk	masa
despair	hêvîya xo ra bîyene
desperate	bêhêvî
despite	herçiqas ke
dessert	şîranîye
destination	hedef
destiny	çarenus
destroy	çin kerdene
destruction	xeripnayîş
detail	teferuat
details	detayî
detect	kifş kerdene
determination	qerardarîye
determine	belî kerdene
determined	qerardar
devastated	xirabe
devastated	mafbîyaye
develop	aver kerdene
developed	averşîyaye
development	averşîyayîş
device	hacete
devil	şeytan
devoted	merbut
Dhivehi	Dhîvehî
diabetes	dîyabet
diarrhea	emel
diary	rojnuşte
dictionary	ferheng
did	kerd
die	merdene
died	merd
diet	parêz
difference	cîyayîye
different	cîya
difficult	zehmet
dig	kinitene
dignity	şeref
diligent	xeyretkêş
dinner	şamîye
dip	tirokerdiş
dip	tiroşîyayîş
direct	raşteraşt
direction	het
director	rejîsor
dirt	lêm
dirty	qilêrin
disable	astengdar
disabled	astengdar
disappear	çiman ver vîndî bîyene
disappointed	zerrîşikite
disaster	afate
discard	eştene
discard	vetene
discharge	tal kerdene
discipline	dîsîplîn
discount	kêmîkerdiş
discover	keşf kerdene
discrimination	dîskrîmînasyon
discuss	munaqeşe kerdene
discussion	werênayîş
disease	nêweşîye
diseases	nêweşî
disguise	kinctebdil bîyene
disgusting	pîs
dish	werd
dishes	firaqî
dismiss	kar ra eştene
dispatch	ruşnayene
display	musnayene
disposal	îdare
disposal	rotiş
disposal	wedaritiş
dispute	nîqaş
distance	mesafe
distinct	cîya
distinguish	cêra vetene
distress	tenge
distribution	vilakerdiş
district	taxe
disturb	nerehet kerdene
ditch	xendeq
dive	kewtene awe
diverse	zafrengin
diversity	bêjbibêjîye
divide	pare kerdene
divine	homayî
divorce	cîyabîyayîş
divorce	cîya bîyene
dizzy	sewsî
do	kerdene
do you love me	ti mi ra hes kenî
doctor	doktor
document	dokuman
does	keno
dog	kutik
Dogri	Dogrî
doing	kerdiş
doll	veyveke
domain	bare
domain	war
domestic	kedî
dominant	serdest
Don't worry	Meraq meke
donate	bexiş kerdene
done	temam
donkey	her
dope	esrar
double	di qat kerdene
double	çut
doubt	guman
doubt	guman kerdene
dough	mîr
down	devacêr
download	war ardene
draft	verkar
draft	verkar viraştene
drag	kaş kerdene
drain	der kerdene
drama	drama
draw	xêz kerdene
drawer	çekmece
drawing	resim
dread	xewf
dream	hewn dîyene
dream	hewn
dress	fîstan
drill	lane kerdene
drink	şimitene
drink	çîyê şimitişî
drive	ramitene
drop	dilope
drop	dilope kerdene
dropped	veradaye
drought	xela
drunk	serxoş
dry	huşk
duck	ordege
dude	mêrik
due	goreyê
due to	semedê
dull	acizker
dumb	ehmeq
dump	rişnayene
duration	mudet
during	wextê … de
dust	tozê ci pak kerdene
duty	wezîfe
dwell	ser o vindetene
dying	mireno
each	her
each other	yewbînan
eager	zerrîwaz
eagle	hêlî
ear	goş
earlier	hîna rew
early	rew
earn	qezenc kerdene
ears	goşî
earth	dinya
earthquake	erdlerz
ease	rehetîye
easily	asan
east	rojhelat
easy	asan
eat	werdene
eating	werdiş
economic	ekonomîk
economy	ekonomî
edge	kobe
edit	sereraşt kerdene
education	perwerde
effect	tesîr
effective	bitesîr
efficiency	tesîrdarîye
efficient	bitesîr
effort	lebate
egg	hak
eggplant	balcane
ego	ego
eight	heşt
eighteen	heştês
eighty	heştay
either	yan
elaborate	bidetay
elbow	henezik
elder	pîl
elderly	kokim
elegant	tîtikin
element	element
elephant	fîl
eleven	yewendes
eligible	munasib
eliminate	vetene
else	sewbîna
embarrassed	şermokin
embarrassing	şermezarker
embrace	qebul kerdene
emerge	vejîyayene
emergency	rewşa lezabezîye
emotional	hîssî
empathy	empatî
emphasis	giranî dayene ser
emphasize	giranî dayene ser
employee	karker
employees	karkerî
employer	kardayox
employment	karkerdiş
empty	veng
enable	aktîf kerdene
encounter	raşt ameyene
encourage	zerrî dayene
end	qedênayene
endangered	tehluke de
endeavor	çalakî
endeavor	teşebus
endurance	tehemul
endure	tebitîyayene
enemy	dişmen
energy	enerjî
engage	meşgul
engaged	meşxul
engagement	nîşan
engine	motor
engineer	muhendis
English	Îngilizkî
enhance	girs kerdene
enjoy	ecibnayene
enormous	zaf girs
enough	bes
ensure	garantî dayene
enter	dekewtene
entertainment	keyf û kelebut
enthusiasm	hewesdarîye
enthusiastic	hewesdar
entire	heme
entitled	selahîyetdar
entity	estîye
entrance	cikewtiş
entrepreneur	muteşebis
envelope	zerfe
environment	dorûver
envy	celudîyayene
epic	destane
epidemic	epîdemî
equal	têduşt
equipment	ekîpman
equity	sermaye
equivalent	muqabil
eraser	pakker
error	xeta
escape	remayene
especially	bitaybetî
essay	meqale
essence	esl
essential	lazim
establish	pê şanayene
established	ronaye
estate	emlak
estimate	texmîn kerdene
estimated	texmînî ser
etc	ûêb
eternal	bêpeynî
ethics	etîk
evaluate	erjnayene
evaluation	erjnayîş
even	hetta
even though	herçend ke
evening	şan
event	çalakîye
eventually	peynîye de
ever	qet
every	her
everybody	her kes
everyone	heme kes
everything	her çî
evidence	delîl
evil	xirabin
evolution	evolusyon
evolve	aver şîyene
Ewe	Ewe
ex	verên
exact	tam
exactly	aynen
exam	ezmûn
examine	muayene kerdene
example	nimûne
exceed	hed ra vîyartene
excellent	zaf weş
except	xeyrja
exception	îstîsna
excess	hed ra vîyartene
excess	zêde
excessive	bêhed
exchange	borsa
exchange	ravurnayîş
excited	heyecandar
excitement	heyecan
exciting	heyecandar
exclusive	taybet
excuse	mazeret
excuse me	bibexşne
execute	bi kar ardene
execution	dardekerdiş
executive	caardox
exercise	temrîn kerdene
exercise	temrîn
exhaust	egzoz
exhaust	qefilnayene
exhausted	rincan
exhibit	nawneyene
exhibition	temaşegeh
exist	est bîyene
existence	estbîyayîş
existing	estbîyaye
exit	vejîyayene
expand	hîra kerdene
expect	pawitene
expected	pawîyaye
expenses	şîyayeyî
expensive	vay
experience	dîyene
experience	tecrube
experiment	cerib
expert	pispor
expired	mudetê ci vîyarte
explain	areze kerdene
explanation	îzah
exploit	îstîsmar kerdene
explore	keşf kerdene
export	îhracad
expose	maruz kerdene
exposed	maruz
exposure	maruz bîyene
express	îfade kerdene
expression	îfade
extend	hîra kerdene
extended	hîrakerde
extension	hîrakerdiş
extent	derece
external	yê teberî
extinct	çinbîyaye
extra	zêde ra
extract	vetene
extraordinary	mustesna
extreme	ekstrem
extremely	xeylê zaf
eye	çim
eyes	çimî
fabric	qumaş
fabulous	mikemel
face	rî
face	têrî ameyene
facilitate	asan kerdene
facilities	tesîsî
facility	tesîs
fact	raştîye
factor	faktor
factory	karxane
facts	raştî
fade	permelîyayene
fail	bin kewtene
fail	binkewtiş
failed	sernêkewte
failure	ser nêkewtene
faint	xeriqîyayene
fair	heq
fair	sivik
fairly	xeylê
fairy	perî
faith	bawerî
faithful	wefadar
fake	zurayin
fall	payîz
fall	war o ginayene
false	XELET
fame	namdarîye
familiar	şinasî
family	keye
famine	vêşanîye
famous	namdar
fan	heyran
fan	perwane
fancy	hewes kerdene
fantastic	fantastîk
far	dûrî
farewell	xatirwaştiş
farm	çewlîg
farmer	rencber
fascinating	balkêş
fashion	moda
fast	lez
fat	qelew
fatal	ê mergî
fate	çarenus
father	pî
fatigue	qefilîyayene
fault	xeta
favorite	favorî
favour	tehm
favourite	favorî
fear	ters
fear	tersayene
feast	şayîye
