a little	tenê
pond	hope
pool	hope
poop	gî kerdene
poor	feqîr
pop	pop
popular	populer
population	nufus
pork	goştê xozî
porridge	lepe
port	lîman
port	port
position	pozîsyon
positive	pozîtîf
possess	wayîr bîyene
possession	mal
possessive	wayîrîye
possible	mumkin
post	erşawitene
post	poste
postpone	peyde eştene
potato	kartole
potential	potansîyel
pound	pound
poverty	xizanîye
power	hêz
powerful	hêzdar
practical	pratîk
practice	pratîk
practice	pratîk kerdene
praise	goynayene
prank	heneke
pray	dua kerdene
precious	qîymetin
precise	tam
precisely	tam
predict	vervînîye kerdene
prefer	tercîh kerdene
preference	tercîh
pregnant	diganî
prejudice	verhukm
premises	warê sazgehî
premium	prim
preparation	amadekarîye
prepare	amade kerdene
prepared	hazir
preposition	veredat
presence	estbîyayîş
present	demo nikayin
present	hazir
present	xelate
presentation	pêşkêş
preserve	pawitene
president	serek
press	çap kerdene
press	çapemenîye
pressure	tezyîq
pretend	rol kay kerdene
pretty	semt
pretty	xeylê
prevent	vernî girewtene
previous	verên
prey	nêçîr
price	vaya
pride	serberzîye
priest	keşîş
primary	verên
prime	serek
princess	prensese
principal	sereke
prior	verên
priority	vernîyîye
prison	hepisxane
privacy	nimiteyîye
private	şexsî
privilege	îmtîyaz
prize	xelate
probably	îhtîmalen
problem	problem
procedure	prosedur
proceed	radayene
process	dewam kerdene
process	proses
produce	afirnayene
product	berhem
production	viraştiş
profession	meslek
professional	profesyonel
profile	profîl
profit	kar
profound	xorîn
progress	aver şîyayene
progress	averşîyayîş
project	proje
prominent	nandar
promise	wad kerdene
promise	wad
promote	teşwîq kerdene
promotion	teşwîq kerdene
prompt	waştiş
prompt	lezabez
prone	meyîldar
pronouns	zamîrî
pronunciation	telafuz
proof	delîl
proper	raşt
properly	raşt û rind
properties	taybetmendî
property	mal û milk
proposal	pêşnîyaze
prospect	hêvî
prospect	ewnîyayîş
prosperity	dewletîye
prosperous	zengîn
protect	seveknayene
proud	sereberz
prove	îsbat kerdene
provide	peyda kerdene
provided	bi şertê
province	qeza
provision	zad
puberty	balixîye
public	pêroyî
pull	antene
pumpkin	kundir
punctual	deqîq
pupil	wendekar
purchase	hêrînayene
pure	zelal
purple	menewşî
purpose	armanc
purse	cizdan
pursue	taqîb kerdene
pursuit	taqîb kerdene
push	tehn dayene
put	ronayene
put	cikerdene
qualification	senînîye
qualification	kalîfîkasyon
quality	senînîye
quantity	mîqdar
quarantine	karantîna
quarrel	werê nayene
quarrel	werênayîş
quarter	çarîge
Quechua	Qeçua
queen	qiralîça
queer	hemcînsger
query	persayene
question	perse
queue	rêze kewtene
queue	rêze
quick	lez
quickly	bilez
quiet	bêveng
quilt	orxan
quit	ca verdayene
quite	xeylê
quiz	ezmûn
quotation	neql
quote	neql kerdene
quote	neql
quotes	neqlî
rabbit	harguşe
race	musabeqa
race	nîjad
rage	hêrs
rain	varan
raise	zêdîyayîş
raise	resnayene
raised	resnaye
ran	vaşt
random	tesadufî
range	silsile
rapid	lez
rapidly	lez
rare	nadîr
rarely	nadîr
rash	germij
rat	merre
rate	nîsbet
rather	hîna zaf
ratio	rêje
rational	bimantiq
raw	kal
re	reyna
reach	reştene
reached	resaye
reaction	reaksîyon
read	wendene
reading	wendiş
ready	amade
real	raştkên
reality	raştîye
realize	pê hesîyayene
realized	temamkerde
really	raştiko
rear	resnayene
reason	sebeb
reasonable	bimantiq
recall	ardene xo vîr
receipt	fîşe
receive	girewtene
received	resa dest
recent	peyên
recently	na peydo
reception	resepsîyon
recipe	terîfê werdî
reckless	bêperwa
recognition	naskerdiş
recognize	nas kerdene
recommend	tewsîye kerdene
recommended	pêşnîyazkerde
record	qeyd kerdene
record	qeyd
recover	weş bîyene
recovery	reyayîş
recovery	weşbîyayîş
rectangle	çargoşe
red	sûr
redeem	raxelişnayene
redeem	dayene
redemption	îtfa
reduce	kêmî kerdene
redundant	bêluzim
refer	etif kerdene
reference	referans
reflect	olan dayene
reflection	refleksîyon
refrain	neqeret
refrain	apey vindetene
refrigerator	dolaba cemedî
refund	heqê ci apey dayene
refuse	red kerdene
refused	betalkerde
regard	rêz û silam
regarding	derheqê
regardless	bê ke
regards	silamî
region	herême
register	qeyd bîyene
regret	poşman bîyene
regular	biserûber
regularly	biserûber
reject	red kerdene
relate	qisey kerdene
related	eleqedar
relationship	têkilîye
relative	nisbî
relative	merdim
relatives	merdimî
relax	boya xo dayene
release	raverdayîş
release	raverdayene
released	azadkerde
relevant	eleqedar
reliable	biîtîbar
relief	rehet kerdene
relieve	rehet bîyene
relieved	rehet
religion	dîn
religious	dînî
reluctant	bêzerrî
rely	bawer bîyene
remain	mendene
remaining	mendene
remarkable	balkêş
remedy	derman
remember	xo vîr ameyene
remind	xo vîr ardene
reminder	vîrardox
remote	dûrî
remove	wedaritene
render	cenayene
render	viraştene
render	çarnayene
rent	kîra kerdene
repair	tamîr kerdene
repeat	tekrar kerdene
replace	avurnayene
reply	cewab dayene
reply	cewab
report	rapor
report	rapor kerdene
represent	temsîl kerdene
reputation	şohret
request	waştiş
request	rica kerdene
require	hewce kerdene
required	hewce
rescue	raxelisnayene
research	cigêrayîş
resemble	ro mendene
resentment	kîn
reservation	caabirnayîş
reserve	abirnayene
resident	roniştox
resign	îstîfa kerdene
resilience	deyax
resilient	pêt
resist	xo ver o dayene
resistance	xoverrodayîş
resolution	çareserîye
resolution	zelalîye
resolve	çareser kerdene
resort	tehtîlgeh
resources	çimeyî
respect	hurmet kerdene
respect	hurmet
respond	cewab dayene
response	cewab
responsibility	berpirsîyarîye
responsible	berpirsîyar
rest	aresîyayene
rest in peace	ruhê ci şad bo
restaurant	restoran
restore	restore kerdene
restrict	sînor kerdene
result	netîce
results	netîceyî
resume	dewam kerdene
retail	perakende
retain	muhafeze kerdene
retain	ramitene
retention	tepîştiş
retired	teqawut
retreat	xo peyser antene
retrieve	peyser girewtene
return	peyser dayene
return	agêrayene
return	ameye
reveal	eşkera kerdene
revealed	eşkera
revenge	heyf
revenue	qezenc
reverse	tînapeykî
review	çimçarnayîş
review	çim çarnayene
revise	çim pira çarnayene
revision	çimçarnayîş
revolution	şoreş
reward	xelat dayene
rhythm	rîtîm
rib	parsû
rice	birinc
rich	dewlemend
rid	qewirnayene
ride	ciniştene
ride	ciniştiş
ridiculous	mesxere
right	raştîye
right	raşt
right now	anika
rigid	terrik
ring	engiştane
rinse	tira çarnayene
riot	serewedaritiş
rip	dirate
rip	dirnayene
ripe	resaye
rise	berz bîyene
rise	berzbîyayîş
risk	rîsk bîyene
risk	rîsk
rival	reqib
river	çem
road	rayîr
roast	sûr kerdene
robust	zixm
rock	kerre
rod	uşîre
role	rol
roll	gindir kerdene
roll	gindir bîyene
roof	serban
room	oda
root	ristim
rope	resen
rotten	poyaye
rough	xirtikin
roughly	qebe
roughly	teqrîben
round	gilover
route	xeta şîyayîşî
routine	rutîn
row	rêze
rub	pira kerdene
rubber	pakker
rubbish	çop
rude	çors
rug	xalîçe
ruin	maf kerdene
rule	qayde
ruler	cetwel
ruler	hukimdar
rules	qeydeyî
run	vazdayene
running	vazdano
rural	neşaristanî
rush	lerze kerdene
rush	lerze
sack	turik
sacred	bimbarek
sacrifice	qurban kerdene
safe	biasayîş
safe flight	firayîşo ewledar
safety	asayîş
sage	budela
said	vat
sail	vaverik
sailing	sporê vaverikî
sake	xatir
salary	meaş
sale	rotiş
salmon	somon
salt	sole
same	eynî
Same here	Tîya zî
sample	nimûne
sand	qum
Sanskrit	Sanskrîtkî
sarcastic	sarkastîk
sassy	kustex
sat	ronişt
satisfaction	tetmîn
satisfied	memnun
satisfy	razî kerdene
satisfying	tetmînkar
Saturday	Şeme
sausage	sosîs
savage	wehşî
save	seveknayene
saw	dî
say	vatene
scale	sentene
scam	dek û dolab
scar	rêçe
scarce	nadîr
scared	tersaye
scarf	milpêşe
scary	tersnak
scattered	vilabîyaye
scene	sehne
scenery	manzara
scent	boye
schedule	program
schedule	plan kerdene
school	mekteb
science	îlm
scientist	zanyar
scientists	zanyarî
scissors	meqes
scold	pede vajîyayene
scope	war
score	gol eştene
scrap	xurde
scratch	kinitene
scream	qîrayene
screen	ekran
screw	vîda
script	destnuşte
sea	derya
seal	mor
search	ro ci gêrayene
season	demserre
seat	qoltuxe
second	dîyin
secret	sirr
section	beş
secure	emîn
security	asayîş
see	dîyene
see you	pê vînenîme
see you later	pê vînenîme
see you soon	pê vînenîme
see you tomorrow	ez to meşe vînena
seed	toxum
seek	ro ci gêrayene
seem	asayene
seems	aseno
seen	dîyaye
seize	îşgal kerdene
seize	dest eştene ser
seizure	felç
seizure	destsernayîş
seldom	zaf kêmî
select	vijnayene
self	xo
self healing	xoweşkerdox
selfish	ezez
sell	rotene
send	erşawitene
send me your picture	resimê xo mi rê birusne
senior	pîl
sense	hîs
sensible	mentiqin
sensitive	hesas
sent	erşawîya
sentence	cumle
sentences	cumleyî
separate	cîya
Sepedi	Sepedî
september	êlule
sequence	rêze
series	rêzefîlm
serious	cidî
seriously	cîdî
serve	îkram kerdene
serve	xizmet kerdene
service	xizmet
session	roniştiş
set	saz kerdene
set	taxim
set up	saz kerdene
setting	eyar
settle	bi ca bîyene
seven	hewt
seventeen	hewtês
seventy	hewtay
several	çend
severe	giran
sew	deştene
shade	sîye
shadow	sîye
shake	raşanayene
shallow	tenik
shame	şerm
shape	şekil
share	pare kerdene
sharp	tuj
she	a
she has	aye de est o
she is	a ya
shed	rişnayene
sheep	mîye
sheet	çarşefe
shelf	ref
shell	qaşik
shelter	sitare
shield	mertal
shift	nobe
shine	beriqîyayene
ship	keştîye
shipping	kargo
shirt	îşlîge
shoes	solî
shoot	pana
shop	dikan
shopping	axsate
shore	qerax
short	kilm
shortage	kêmasîye
shot	panayene
shot	panayîş
shoulder	doşe
shout	zirçayene
show	musnayene
show	şow
show me	mi rê binawne
shower	duş
shrimp	karîdes
shrink	kilm antene
shut	girewtene
shut up	huş
shy	şermokin
sibling	way û bira
siblings	way û birayî
sick	nêweş
side	het
sigh	ax
sight	dîmen
sightseeing	manzara
sign	îşaret
signature	îmza
significant	zaf muhîm
silence	bêvengîye
silent	bêveng
silk	birîsim
silly	gêj
silver	sêm
similar	sey
simp	ehmaq
simple	basît
simultaneously	hemdemkî
since	ra nat
sincere	zerrîpak
sincerely	zerrî ra
sing	kilame vatene
singer	deyîrbaz
single	azeb
sink	binê awe şîyene
sink	binê awe şîyayîş
Sir	Beg
sister	waye
sister in law	veyve
sit	ronîştene
site	sîte
situation	rewşe
six	şeş
sixteen	şîyês
sixty	seştî
size	girsîye
skill	qabîlîyet
skills	qabîlîyetî
skin	çerme
skinny	zar
skip	ravîyartene
skirt	eteg
sky	asmên
slave	kole
sleep	rakewtene
sleeping	rakewtiş
sleepy	bêhewn
sleeve	astî
slice	lete kerdene
slice	lete
slide	şemitene
slightly	sivikek
slim	barî
slip	şemitîyayene
slope	kaş
slot	ca
slot	lane
slow	hêdî
slowly	hêdî-hêdî
small	qijkek
smart	biaqil
smell	boye dayene
smile	beşirîyayene
smile	beşirîyayîş
smoke	dû
smooth	bêxirtik
snack	werdo sivik
snail	şeytanok
snake	mar
snap	cira kerdene
snow	vewre
so	wina
so cute	çiqas şîrin
so far	heta nika
soak	hît kerdene
soap	sabun
sober	hişyar
soccer	gudlinge
social	komelkî
society	komel
socks	puçî
soft	nerm
software	çîynermê komputure
soil	herre
sold	roşîya
sold out	temamen rote
soldier	leşker
sole	binpa
solid	pêt
solution	çareserîye
solve	çareser kerdene
some	tayê
somebody	kes
somehow	bi yew hewa
someone	kesêk
something	çîyêk
sometimes	ge-ge
song	deyîre
soon	demêde nêzdî de
sophisticated	têmîyankewte
Sorani	Sorankî
sore	dej
sore	bidej
sore throat	qirikdej
sorrow	huzn
Sorry	Qusurî ra meewnî
sort	tewir
sought	ro gêra
soul	ruh
soulmate	hemruh
sound	veng
soup	şorbike
sour	tirş
source	çime
south	başûr
space	feza
space	ca
spam	spam
span	dergîye
span	mudet
Spanish	Spankî
spare	bexşnayene
spare	cagir
speak	qisey kerdene
special	taybet
species	tewirî
specific	taybet
spectacular	muhteşem
speech	qiseykerdiş
speechless	bêziwan
speed	lezîye
spell	herf bi herfe vatene
spend	xerc kerd
spent	xerckerde
spicy	tuj
spike	pîj
spin	çarnayene
spinach	îspenax
spirit	ruh
spit	tu kerdene
splendid	harîja
split	parçe
split	parçe kerdene
spoil	herimnayene
spoiled	rîgirewte
spontaneous	spontane
spoon	koçike
spot	nuqta
spouse	mulxit
spread	pişqitene
spring	çime
spring	wisar
square	kare
squeeze	pelixnayene
squid	kalamar
squirrel	simore
st	ç.
stab	kardî kerdene
stable	stabîl
stack	lodike
staff	xebatkarî
stage	sehne
stain	leke
stairs	nêrdîwanî
stake	pîj
stake	rîsk
stalk	taqîb kerdene
stall	axur
stamp	damxe
stamp	pul
stand	pay ra vindetene
stand	stand
standard	standard
star	estare
start	dest pêkerdene
started	dest pêkerd
starving	gestemerde
state	îfade kerdene
state	rewşe
statement	beyan
station	dinge
statue	heykel
status	statu
stay	mendene
stay	mendiş
stay safe	qayîtê xo ke
steady	biîstiqrar
steak	bîftek
steal	tirawitene
steam	bux
steel	polat
steep	tîk
stem	kok
step	game
stick	zeliqnayene
stiff	huşk
still	hîna
still	sakîn
sting	pede dayene
stingy	tamakar
stir	têv dayene
stock	hîse
stolen	tirawite
stomach	pîze
stone	kemere
stood	vindete
stool	tabura
stop	vindetene
storage	embar
store	pêser kerdene
storm	puk
story	çîroke
stove	ocaxe
straight	raşteraşt
straightforward	raşteraşt
strain	tengijîyayene
strange	temaşe
stranger	xerîb
strategy	stratejîye
straw	pîpet
strawberry	çîlege
streak	serî
streak	rêçe
stream	herik
street	kuçe
strength	hêz
stress	stres
stretch	derg kerdene
strict	pêt
strike	piro dayene
string	la
strip	xo rut kerdene
strive	cehd kerdene
stroke	felc
strong	hêzdar
struck	tengekewte
structure	dêsman
struggle	mucadele
struggle	mucadele kerdene
struggling	cehd keno
stubborn	serehuşk
stuck	tenganîyekewte
student	wendekar
study	wendiş
study	wendene
studying	wendiş
stuff	kar û gure
stunning	cazîbedar
stupid	gêj
style	terz
subject	babete
submission	pêşnîyaze, pêşkêş, vileçewtîye
submit	cirusnayene
substance	made
substitute	cagir
subtle	narîn
succeed	ser kewtene
success	serkewtiş
successful	serkewte
such	winasî
such as	sey
suck	lîtene
sudden	xafil de
suddenly	xafil de
suffer	dej antene
suffering	cewr
sufficient	bes
sugar	şeker
suggest	pêşnîyaz kerdene
suggestion	pêşnîyaze
suit	ro ci ameyene
suit	qatlix
suitable	munasib
suitcase	valîze
sum	kome
summary	kilmnus
summer	hamnan
summit	gil
sun	roj
sun	tîje
sunday	yewşeme
sunny	tîje
sunset	koroşîyayîşê tîje
sunshine	tîje
super	super
superior	rindêr
superior	serek
supervisor	teftîşker
supper	şamî
supply	tedarik
supply	tedarik kerdene
support	paştî dayene
support	paştîdayîş
suppose	bawer kerdene
supposed	ferzkerde
sure	emîn
surface	rîverîye
surge	zêdîyayene
surgery	emelîyet
surname	peyname
surprise	surprîz
surprised	surprîzbîyaye
surrender	teslîm bîyene
surrounding	dorme de
surveillance	nezaret
survey	cigêrayîş
survey	cigêrayîş kerdene
survive	weş mendene
suspect	verguman
suspect	guman kerdene
suspended	vindarnaye
suspicious	gumandar
sustain	domnayene
sustainability	dewambarîye
sustainable	dewambar
swag	talan
swallow	raqulotnayene
swap	pêvurîn
swear	sond werdene
sweat	ereq dayene
sweater	fanîla
sweep	derutene
sweet	şîrin
sweet dreams	şewa to sivike bo
sweet tooth	şîranîhes
sweetheart	waştîye
swell	masayene
swelling	masayîş
swim	asnawe kerdene
swimming	ajnekerdiş
swing	hêlaneke
swing	raşanayene
switch	ravurnayene
switch	ravurnayîş
swollen	masaye
sword	şimşêr
symbol	nîşan
sympathy	sempatî
symptoms	nîşaneyî
system	pergale
table	masa
tackle	mucadele kerdene
tag	etîket kerdene
tail	doçik
take	girewtene
take away	berdene
take care	qayîtê xo be
take off	vetene
taken	gêrîya
talk	qisey kerdene
talk	qiseykerdiş
talkative	fekbaz
tall	derg
tap	çirre
tap	tiknayene
tape	qeyd kerdene
tape	qeyd
target	hedef
target	hedef kerdene
task	wezîfe
taste	tehm
taste	tehm kerdene
tasty	tehmweş
taught	ame musnayene
tea	çay
teach	musnayene
teacher	mamosta
team	taxim
tear	hesire
tears	hesirî
tease	pê tinaz kerdene
technology	teknolojî
teeth	didanî
tell	vatene
tell me	mi ra vaje
temper	cigir
temperature	germîye
temple	îbadetxane
temple	qaşik
temporary	demkî
ten	des hezar
ten thousand	des hezar
tenant	kîradar
tend	meyl kerdene
tendency	meyl
tender	pixok
tense	dem
tension	nerehetîye
tent	çadire
tentative	neqetî
term	termîn
terms	termî
terms	şertî
terrible	berbad
terrific	harîka
territory	herême
test	ezmûn kerdene
test	ezmûn
text	metn
than	ra
thank	sipas
thank you	weş be
Thank you for your patience while we investigate shipment	keremê xo ra sebir bike
Thank you for your patience while we investigate shipment	Ma ro kargoyî gêrenîme
thank you so much	zaf sipas
thank you very much	zaf sipas to rê
thanks	sipas
Thanks for using our app	Seba ke appê ma xebitna, weş be
that	o
that is	yanî
that's good	no rind o
theft	tirawitiş
their	yê înan
them	înan
theme	babete
themselves	bi xo
then	o wext
theory	teorî
there	uca
there are	est ê
there is	est o
therefore	coka
these	nê
they	ê
they are	ê yê
thick	qalind
thief	dizd
thigh	çîp
thin	barî
thing	çî
things	çî-mî
think	fikirîyayene
third	hîrêyin
thirsty	têşan
thirteen	hîrês
thirty	hîris
this	no
this is	no yo
thorough	tîtîz
thoroughly	temamen
thoroughly	dergûdila
those	ê
though	herçiqas
thought	fikirîyayene
thought	fikr
thoughtful	fehmdar
thoughts	fikrî
thousand	hezar
thread	tehdîd
thread	la
threat	tehluke
threaten	tehdîd kerdene
three	hîrê
threshold	şêmûge
thrilled	heyecandar
thrive	aver şîyene
throat	qirike
through	pê
throughout	seranser
throw	eştene
thumb	bêçika pîle
thunder	gurrayîşê hewran
Thursday	Pancşeme
thus	coka
tick	nîşan
tick	tiknayene
tide	meddûcezîr
tidy	biserûber
tie	girê dayene
tie	kravate
tiger	piling
tight	teng
Tigrinya	Tîgrînya
time	dem
timid	şermokin
tiny	hurdîkek
tip	sere
tip	îma
tips	îmayî
tips	bexşîşî
tire	goger
tired	qefelîyaye
tissue	qumaş
tissue	destmale
title	sernuşte
to be	bîyene
toast	tost
today	ewro
toddler	tute
toes	bêçikê lingan
together	pîya
toilet	destawxane
told	vat
tolerance	tolerans
tolerate	tehemul kerdene
tomato	tomatêse
tomorrow	meşte
tongue	ziwan
tonight	emşo
too	zî
took	girewt
tool	hacete
tools	hacetî
tooth	didan
top	ser
topic	babete
torn	dirîyaye
torture	îşkence
total	pêro pîya
touch	dest pira nayene
tough	pêt
tough	çetin
tour	tur
toward	ver bi
towards	ver bi
towel	xewlîye
town	bajar
toxic	toksîk
trace	rêçe
track	kamyone
trade	bazirganîye kerdene
trade	bazirganîye
tradition	tradîsyon
traditional	urf û adetî
traffic	trafîk
trail	taqîb kerdene
trail	rêçe
train	trêne
training	temrînkerdiş
trait	taybetî
traits	xususîyetî
transfer	transfer
transition	vîyartiş
transition	vurîyayîş
translate	çarnayene
transparent	transparan
transport	neql kerdene
transportation	neqlîye
trap	dame
trash	qirş
trauma	trawna
travel	raywanîye kerdene
tray	tepsî
treasure	xezîne
treat	muamele kerdene
treatment	muamele
tree	dare
tremendous	zaf girs
trend	moda
trial	ceribnayîş
trick	hîle
tried	ceribnaye
trigger	sebeb bîyene
trigger	linga tifingî
trim	qesnayene
trip	raywanîye
trouble	bela
trousers	pantolî
truck	kamyone
true	raşt
trunk	bagaj
trust	îtîbar ardene
trust	îtîbar
truth	raştîye
try	ceribnayene
Tsonga	Tsonga
tube	lulî
Tuesday	Sêşeme
tuition	xercê mektebî
turkey	kerga şamî
turmeric	zerdeçal
turn	dore
turtle	kesa
tutor	malimo taybetî
twelve	diwês
twenty	vîst
twenty-one	vîst û yew
Twi	Twî
twice	di reyî
twist	deardiş
two	di
type	tewir
typical	tîpîk
ugly	qefçil
ultimate	tewr peyên
umbrella	sîwane
unable	nêşeno
uncle	ap
unconscious	bêhiş
under	bin de
underneath	bin de
underrated	şenikkerde
understand	fehm kerdene
understood	fehm kerd
unfortunately	çi heyf ke
uniform	unîforma
unique	yewek
unit	unîte
university	unîversîte
unknown	nêzanaye
unless	oxro ke
until	heta
unusual	îstîsnayî
up	veracor
up to you	ti zanî
update	aktuelkerdiş
update	aktuel kerdene
upgrade	başêrkerdiş
upgrade	başêr kerdene
upon	ser o
upset	xemgîn
urban	şaristanî
urge	zor dayene
urge	hewes
urgent	lezabez
us	ma
use	xebitnayîş
use	xebitnayene
used	xebitnaye
used	musaye
useful	feydedar
useless	bêfeyde
usual	normal
usually	normal de
utility	havildarîye
vacation	betlane
vaccination	vaksîn
vaccine	derzîne
vacuum	sipitene
vague	nezelal
valid	vîyartbar
valley	newale
valuable	erjaye
value	erje
value	erjnayene
variety	tewir
various	tewir-tewir
vary	vurîyayene
vase	vazo
vast	girs
vegetable	tarrûtur
vegetables	sebzeyî
vehicle	wesyît
vendor	rotox
venom	jehr
venture	teşebus
venue	cayê hedîseyî
verify	tesdîq kerdene
versatile	zafhetin
version	versîyon
vertical	tîkane
very	zaf
very good	zaf weş
vessel	keştîye
via	pê
vibe	enerjî
vibes	enerjî
vicious	zerardar
vicious	nîyetxirab
victim	mexdur
video	vîdeo
view	menzere
village	dewe
villain	xayîn
villain	xirab
vinegar	sîrke
vintage	kan
violence	şîdet
violent	bişîdet
viral	vîral
virgin	bakîre
virtual	vîrtuel
virtue	fezîlet
vision	vîn
visit	şîyene dîyarî
visit	zîyaret
visual	dîyayîşkî
vital	heyatî
vivid	ganî
vocabulary	xezîna çekuyan
voice	veng
void	vengane
volume	hecm
volume	berzîya vengî
volunteer	zerrîwaz
vomit	viritene
vulnerable	hesas
wage	destmiz
wages	meaşî
waist	mîyane
wait	pîtene
waiter	garson
waiting	pîtiş
wake	hişyar
wake up	hişyar bîyene
walk	rayraşîyayîş
walk	raye ra şîyene
walking	şîyayox
wall	dês
wallet	cizdan
wander	fetilîyayene
want	waştene
wanted	waşte
war	ceng
wardrobe	dolaba kincan
warehouse	embar
warm	germ kerdene
warm	germ
warn	baldar kerdene
warning	îxtar
warrior	lejker
was	bî
wash	şutene
waste	îsraf kerdene
waste	îsraf
watch	temaşe kerdene
watch	saete
water	awe
watermelon	zebeşe
wave	pêl
way	rayîr
we	ma
we are	ma yîme
we can	ma eşkenîme
weak	bêhêz
weakness	bêhêzîye
wealth	dewlemendîye
wealthy	dewletî
wear	pira girewtene
wearing	pay keno
weather	hewa
wedding	veyve
Wednesday	Çarşeme
weed	gonce
week	hewte
weekend	peynîya hewteyî
weight	giranîye
weight	bar pira kerdene
weird	terre-turre
welcome	çiman ser
welcome	ti bixeyr ameyî
welfare	bextewarîye
Well	Yanî
well done	aferîn
went	şî
were	bîyî
west	rojawan
wet	hît
whale	balîna
what	çi
what about you	ma ti
what are you doing	ti se kenî
what are you doing now	ti nika se kenî
what are you doing right now	ti nika se kenî
what do you do	ti se kenî
what do you do for a living	ti çi kar kena
what do you mean	qesdê to çi yo
what do you want	ti çi wazenî
what happened	se bî
what is	çi yo
what is this	no çi yo
what is your job	karê to çi yo?
what is your name	nameyê to çi yo
what's up	çi çin o
what's up	çi est o
what's your name	nameyê to çi yo
whatever	çi beno wa bibo
whatever	her çi
wheat	genim
wheel	goger
when	key
whenever	çi wext ke
where	kotî
where are you	ti kotî yî
where are you from	ti kotî ra yî
where are you now	ti nika kotî der a
where do you live	ti kotî de ciwîyena
where is	kotî yo
whereas	ti nêvanê ke
whether	eke
which	kamcîn
while	wexto ke
whisper	pispisnayene
whistle	fîtnayene
white	sipî
who	kam
who are you	ti kam î
who is	kam o
who is this	no kam o
whole	pêro
whom	kamî
whose	yê kamî
why	çira
why not	çira ney
wicked	xirabin
wide	hîra
widow	vîyaye
width	hîrayîye
wife	cinî
wild	kovî
will	waştene
will	îrade
willing	zerrîwaz
win	qezenc kerdene
wind	va
window	pencera
windy	va
wine	şerab
winter	zimistan
wipe	esteritene
wire	têl
wisdom	aqildarîye
wise	aqildar
wish	hêvîye
wish	hêvî kerdene
wish you all the best	her çîyê to bixeyr bo
witch	cazuye
with	bi
withdraw	weancîyayene
withdrawal	peyserantiş
within	zere de
without	bê
witness	şahîd bîyene
witness	şahîd
witty	hazircewab
wolf	verg
woman	cinî
women	cinîkî
won	qezenc kerdene
wonder	meraq kerdene
wonderful	zaf weş
wood	texte
wool	pirç
word	çekuye
words	çekuyî
work	kar kerdene
work	kar
work out	antreman kerdene
working	gureyeno
world	dinya
worm	kerm
worn	werîyaye
worried	biqesawet
worry	efkar kerdene
worse	xirabêr
worship	îbadet kerdene
worst	tewr xirabin
worth	erje
worth it	erjeno
worthy	biqîymet
wound	birîne
Wow	Waw
wrap	pîştene
wrath	xezeb
wrist	zende
write	nuştene
Write here	Tîya binuse
writing	nuşte
writing	nuseno
written	nuşte
wrong	xelet
wrote	nuşt
yard	hewşe
yawn	bawişke
yawn	bawişkanê xo weardene
Yeah	Ya
year	serre
years	serrî
yeast	mîraz
yeast	amên
yell	zirçayene
yellow	zerd
Yes	Heya
yes baby	heya lê
yes dear	heya heyran
yes honey	heya caniko
yes my love	heya delala mi
yes of course	heya tabî
yesterday	vizêr
yet	hema
yield	ber dayene
you	ti
you are	ti ya
you are beautiful	ti rindek a
you are so beautiful	ti zaf rindek a
you are welcome	çiman ser
you can	ti eşkena
You know	Ti zana
you too	ti zî
you're welcome	çiman ser
young	ciwan
your	yê to
your welcome	çiman ser
yourself	bi xo
youth	ciwanî
you’re welcome	çiman ser
yummy	weş
Zaza	Kirmanckî
Zaza	Dimilî
Zaza	Kirdkî
zero	sifir
