hlokomologa	abandon
hlokomologilwe	abandoned
mafelelo a beke	weekend
obamela	abide
bokgoni	ability
kgona	able
ke a bona	I see
hlokega	absent
mona	absorb
naganwago	abstract
makatšago	absurd
bontši	abundance
ntši	abundant
tlaiša	abuse
tobetšo	accent
amogela	accept
fihlelela	access
kotsi	accident
marobalo	accommodation
fihlelela	accomplish
fihleletšego	accomplished
akhaonte	account
nepagetše	accurate
molatofatšwa	accused
bohloko	ache
fihlelela	achieve
phihlelelo	achievement
amogela	acknowledge
motsebalegi	acquaintance
hwetša	acquire
hweditše	acquired
phihlelelo	acquisition
kgabaganya	across
molao	act
kgato	action
mafolofolo	active
mediro	activities
mošomo	activity
moraloki	actor
makgonthe	actual
nnetenete	actually
bogale	acute
amogela	adapt
hlakanya	add
tlaleletšo	addition
tlaleletšo	additional
aterese	address
lekanetšego	adequate
bapela	adjacent
lehlaodi	adjective
beakanya	adjust
kgahlega	admire
amogela	admit
amogela	adopt
hlomphegago	adorable
mohola	advantage
bohlagahlaga	adventure
lehlathi	adverb
papatšo	advertisement
kwalakwatšo	advertising
maele	advice
eletša	advise
mmoleledi	advocate
kamano	affair
amega	affect
lerato	affection
nea	afford
rekega	affordable
tšhogile	afraid
mathapama	afternoon
gape	again
kgahlanong	against
mengwaga	age
lekalatirelo	agency
agente	agent
rumola	aggressive
fetilego	ago
maemo a godimo	spectacular
ke a go rata	I like you
Ke a go rata	I love you
ke a go rata	love you
modimo a go šegofatše	god bless you
dumela	agree
tumelelano	agreement
temo	agriculture
pele	ahead
thušo	aid
maikemišetšo	aim
Ke a	I’m
moya	air
boemafofane	airport
sekgala	aisle
Ke a itlama	I do
go akaretša	including
sa akaretšego	exclusive
go akola	obesity
ke a kwešiša	I understand
alamo	alarm
alkhoholo	alcohol
ke a leboga	thanks
ke a leboga	thank you
matšatšing a lehono	nowadays
temošo	alert
mahlasedi a letšatši	sunshine
gannyane	a little
phela	alive
dumelela	allow
dumeletšwe	allowed
nyakile	almost
noši	alone
kudu	a lot
šetše	already
gape	also
a	am
matswalo a mabotse	happy birthday
makatšago	amazing
belaetšago	ambiguous
phišegelo	ambition
fetoša	amend
magareng	amid
le amogetšwe	welcome
o amogetšwe	you are welcome
o amogetšwe	you're welcome
o amogetšwe	you’re welcome
o amogetšwe	your welcome
magareng	among
palo	amount
makatšago	amusing
tshekatsheko	analysis
bagologolo	ancestors
tshetledi	anchor
kgalekgale	ancient
le	and
lengeloi	angel
pefelo	anger
sekhutlo	angle
befetšwe	angry
phoofolo	animal
kokoilane	ankle
segopotšo	anniversary
tsebišo	announcement
lapiša	annoy
tenegile	annoyed
selekiša	annoying
nngwe	another
karabo	answer
o a nthata naa	do you love me
letela	anticipate
tlalelo	anxiety
fišega	anxious
go apara	wearing
kgaogana	apart
phapoši	apartment
go apea	cooking
bonagalago	apparent
eke	apparently
boipiletšo	appeal
hlaga	appear
ponagalo	appearance
tšweletše	appeared
tumo	appetite
apola	apple
kgopelo	application
diriša	apply
peo	appointment
leboga	appreciate
temogo	appreciation
batamela	approach
maleba	appropriate
tumelelo	approval
dumelela	approve
dumeletšwe	approved
aprele	april
moatšhiteke	architect
thutaboagi	architecture
bokgobadingwalo	archive
tikologo	area
ngangišana	argue
ngangišano	argument
tsoga	arise
letsogo	arm
sešole	army
raretša	around
beakanya	arrange
peakanyo	arrangement
fihla	arrive
fihlile	arrived
boikgantšho	arrogant
lerumo	arrow
bokgabo	art
selo	article
maitirelo	artificial
moraloki	artist
bjalo	as
molora	ash
kgopela	ask
botšišitše	asked
robetše	asleep
ntlha	aspect
Assamese	Assamese
tlaiša	assault
kopano	assembly
lekola	assess
tekolo	assessment
phahlo	asset
dithoto	assets
beela	assign
karolelo	assignment
thuša	assist
mothuši	assistant
amanya	associate
amanago	associated
mokgatlo	association
ga	at
jele	ate
go a thabiša	that's good
ba a	they are
moatlelete	athlete
bonnyane	at least
ke a tseba	I know
O a tseba	You know
kgomaretša	attach
kgomareditšwego	attached
sekgomaretšwa	attachment
hlasela	attack
leka	attempt
tsenela	attend
tlhokomelo	attention
maitshwaro	attitude
maatlakgogedi	attractive
lehlaodi	attribute
batheeletši	audience
agosetose	august
rakgadi	aunt
mofepi	aunty
mongwadi	author
taolo	authority
lehlabula	autumn
hwetšagala	available
magareng	average
efoga	avoid
tsogile	awake
mpho	award
lemoga	aware
temogo	awareness
kgole	away
re a	we are
thabiša	awesome
boifišago	awful
šulafetšego	awkward
Aymara	Aymara
go ba	be
e ba	become
lesea	baby
kgope	bachelor
morago	back
bokamorago	background
mpe	bad
mokotla	bag
go ba gona	exist
go ba gona	existence
go ba gona	presence
segoketšo	bait
Thobela baithuti	Dear students
ka baka la	sake
paka	bake
lepaka	bakery
palantshe	balance
go bala	reading
e ba le ditoro tše botse	sweet dreams
e ba le ditšhegofatšo tše ntšintši tša lethabo letšatšing le	many many happy returns of the day
e ba le letšatši le lebotse	have a good day
e ba le letšatši le lekaone	have a nice day
go ba le matšato	agile
go ba le	possession
kgwele	ball
Bambara	Bambara
panana	banana
lepanta	band
bethiša	bang
panka	bank
go bapela	along
paa	bar
thekofase	bargain
goba	bark
garase	barley
lepheko	barrier
motheo	base
botlaseng	basement
gabotsebotse	basically
peisele	basil
lepastere	bastard
sehlopha	batch
bohlapelo	bathroom
go ba tlalelong	desperate
go ba	to be
Thobela Batswadi	Dear Parents
peteri	battery
tlhabano	battle
khunwana	bay
lebopo	beach
phadima	beam
dinawa	beans
rwala	bear
ditedu	beard
pering	bearing
phoofolo	beast
betha	beat
botse	beautiful
bobotse	beauty
bile	became
hlokomela	be careful
mpete	bed
borobalelo	bedroom
nosi	bee
e be e le	it was
be	been
piri	beer
thomišitše	began
thoma	begin
mathomong	beginning
se be gona	absence
maitshwaro	behavior
maitshwaro	behaviour
sebopiwa	being
ke be ke	I was
tumelo	belief
dumela	believe
mpa	belly
ya	belong
lepanta	belt
panka	bench
koba	bend
kholego	benefit
dikholego	benefits
kaonekaone	best
go betša	shot
kaone	better
magareng	between
dinotagi	beverage
mošola	beyond
Bhojpuri	Bhojpuri
paesekela	bicycle
re	bid
kgolo	big
paesekela	bike
ke bile	I have been
Ke bile le	I had
molaokakanywa	bill
bofa	bind
go bipela	constipation
nonyana	bird
gannyane	bit
loma	bite
galaka	bitter
bontši bja	a lot of
bokgoni bja go itlhamela	creative
e bjang	how is
bošego bjo bobotse	goodnight
bošegong bjo	tonight
ntsho	black
legare	blade
sola	blame
lepai	blanket
thuthupiša	blast
šweufatša	bleach
tswakanya	blend
šegofatša	bless
šegofaditšwe	blessed
foufala	blind
boiketlo	bliss
thibela	block
madi	blood
khukhuša	bloom
butšwetša	blow
talalerata	blue
kubegile	blunt
boto	board
seketswana	boat
ka bobona	themselves
mmele	body
ya bofora	fake
ya bohlokwa	precious
sa boiketlo	comfortable
ka boiketlo	steady
ka boikokobetšo	kindly
bediša	boil
ka boithatelo	arbitrary
hlokago boitshwaro	rude
ke bokae	how much
bokoto	bold
sa bolokegago	insecure
ka bonako	sudden
-a bona	their
kgwerano	bond
lerapo	bone
puku	book
matlafatša	boost
pusetara	booster
putu	boot
diputsu	boots
mollwane	border
bodutu	bore
tenegile	bored
tšwafiša	boring
belegwe	born
adima	borrow
diriša bošaedi	exploit
šomiša bošaedi	manipulate
molaodi	boss
bobedi	both
tshwenya	bother
ka botlalo	completely
ka botlalo	detail
tše botse di go atele	best of luck
o botse kudu	you are so beautiful
o botse	you are beautiful
lebotlelo	bottle
tlase	bottom
rekile	bought
fofa	bounce
tlemilwe	bound
mellwane	boundaries
inama	bow
sekotlelo	bowl
lepokisi	box
mošemane	boy
lesogana	boyfriend
leseka	bracelet
bjoko	brain
lekala	branch
leswao	brand
borotho	bread
thuba	break
difihlolo	breakfast
letswele	breast
mohemo	breath
hema	breathe
lešika	breed
setena	brick
monyadiwa	bride
leporogo	bridge
kopana	brief
phadimago	bright
bohlale	brilliant
tliša	bring
buti	bro
petleke	broad
gaša	broadcast
robegile	broke
robegile	broken
leswielo	broom
buti	brother
mokgonyana	brother in law
rekile	brought
sotho	brown
poraše	brush
pakete	bucket
mogwera	buddy
tekanyetšo	budget
tšhitšhidi	bug
aga	build
moago	building
agilwe	built
mokgobo	bulk
poo	bull
mphenyašilo	bully
thula	bump
ngata	bunch
mokgobo	bundle
morwalo	burden
bolokilwe	buried
fiša	burn
thunya	burst
boloka	bury
pese	bus
sethokgwa	bush
kgwebo	business
sefega	bust
eupša	but
potoro	butter
serurubele	butterfly
kunope	button
reka	buy
ka	by
etse	by the way
khabetšhe	cabbage
kabinete	cabinet
hoko	cage
khekhe	cake
namane	calf
bitša	call
bitšwa	called
mphounele	call me
homola	calm
tlile	came
lesolo	campaign
ka	can
Khansela	Cancel
kankere	cancer
bokgoni	capable
bokgoni	capacity
letlotlo	capital
khepšene	caption
golega	capture
mmotoro	car
boiphedišo	career
hlokomela	careful
mmetli	carpenter
khapete	carpet
borotlelo	carrot
rwala	carry
phethagatša	carry out
molato	case
kheše	cash
lahla	cast
sebo	castle
katse	cat
swara	catch
legoro	category
dikgomo	cattle
swerwe	caught
hlola	cause
temošo	caution
hlokomedišiše	cautious
lewa	cave
emiša	cease
siling	ceiling
keteka	celebrate
sele	cell
bogareng	center
ngwagakgolo	century
serele	cereal
moletlo	ceremony
dingwe	certain
setifikeiti	certificate
tšhaene	chain
setulo	chair
tlhotlo	challenge
sebaka	chance
phetogo	change
tlhakatlhakano	chaos
semelo	character
dipharologantšhi	characteristics
lefiša	charge
lerato	charity
kgahlišago	charming
tšhate	chart
kitimiša	chase
boledišana	chat
rekega	cheap
sehwirihwiri	cheat
lekola	check
lerama	cheek
kgothatsa	cheer
thabilego	cheerful
tšhese	cheese
khemistri	chemistry
rata	cherish
tšhese	chess
kgara	chest
sohla	chew
kgoši	chief
ngwana	child
bobjana	childhood
bana	children
ditšhimele	chimneys
seledu	chin
tšhokolete	chocolate
kgetho	choice
kgetha	choose
rema	chop
mešongwana	chores
senatla	chubby
kereke	church
sinamone	cinnamon
sediko	circle
mabaka	circumstances
modudi	citizen
toropokgolo	city
baka	claim
hlatholla	clarify
phapoši	class
letsopa	clay
hlwekile	clean
tloša	clear
tlelereke	clerk
hlalefile	clever
klaente	client
legaga	cliff
klaemete	climate
namela	climb
nako	clock
tswalela	close
tlelosete	closet
lešela	cloth
diaparo	clothes
leru	cloud
rametlae	clown
sekgomaretši	clue
boatla	clumsy
sehlopha	cluster
mohlahli	coach
malahla	coal
lebopo	coast
baki	coat
kofi	coffee
monagano	cognitive
sewelo	coincidence
tonya	cold
phuhlama	collapse
kholara	collar
mošomimmogo	colleague
bašomimmogo	colleagues
kgoboketša	collect
kgoboketšo	collection
kholetšhe	college
mmala	color
mmala	colour
kholomo	column
kama	comb
kopanyo	combination
kopanya	combine
tla	come
etla	come on
boiketlo	comfort
tlago	coming
laela	command
swayaswaya	comment
khomišene	commission
itlama	commit
boikgafo	commitment
itlamilego	committed
phahlo	commodity
tlwaelega	common
kgokagana	communicate
kgokagano	communication
setšhaba	community
mogwera	companion
khamphani	company
bapetša	compare
papetšo	comparison
kwelobohloko	compassion
swanetšanago	compatible
phadišana	compete
phadišano	competition
phadišanago	competitive
belaela	complain
pelaelo	complaint
tlaleletša	complement
feleletše	complete
raranego	complex
obamela	compliance
hlakahlakane	complicated
obamela	comply
tlhamo	composition
kompo	compound
kwešišo	comprehension
kwešišegago	comprehensive
kwana	compromise
kgapeletšo	compulsory
khomphutha	computer
hlokomedišiša	concentrate
lereo	concept
pelaelo	concern
tshwenyegile	concerned
khonsata	concert
mafetšo	conclusion
khonkriti	concrete
peelano	condition
mabaka	conditions
maitshwaro	conduct
khonferentshe	conference
ipolela	confess
boitshepho	confidence
boitshepho	confident
tiišetša	confirm
thulano	conflict
hlakahlakane	confused
tlhakatlhakano	confusion
ditebogišo	congrats
tebogišo	congratulation
malebo	congratulations
lekopanyi	conjunction
kopanya	connect
thopa	conquer
lemogago	conscious
temogo	consciousness
tumelelo	consent
ditlamorago	consequences
pabalelotlhago	conservation
akanya	consider
akantšwego	considered
phegelelo	consistency
tiilego	constant
kgafetšakgafetša	constantly
kago	construction
šomiša	consume
tšhomišo	consumption
kgokaganyo	contact
fetelago	contagious
lenyatšo	contempt
diteng	content
phadišano	contest
kamano	context
kontinente	continent
kontraka	contract
pharologanyo	contrast
seabe	contribution
laola	control
ngangišanwa	controversial
boiketlo	convenience
loketšego	convenient
poledišano	conversation
fetoša	convert
sepetša	convey
kgodiša	convince
kgotšwe	convinced
apea	cook
tonya	cool
tšhomišano	cooperation
katana	cope
koporo	copper
mooko	core
korong	corn
sekhutlo	corner
nepagetše	correct
tshenyegelo	cost
khosetumo	costume
kotase	cottage
leokodi	cotton
sofa	couch
gohlola	cough
ka	could
lekgotla	council
bala	count
khaontara	counter
naga	country
nageng	countryside
bobedi	couple
mafolofolo	courage
tsela	course
kgorotsheko	court
tlhompho	courtesy
motswala	cousin
šireletša	cover
kgomo	cow
lefšega	coward
letlapakgerere	crab
monga	crack
tiroatla	craft
mongongoregi	crap
thulana	crash
gogoba	crawl
gafago	crazy
hlama	create
khrediti	credit
gagaba	creep
gagabago	creepy
sehlopha	crew
bosenyi	crime
ithapeletša	cringe
tlhakatlhakano	crisis
dinyakwa	criteria
bohlokwa	critical
tsholo	criticism
puno	crop
merogo	crops
sefapano	cross
legokobu	crow
lešaba	crowd
kgobokanetšwego	crowded
korone	crown
bohlokwa	crucial
sehlogo	cruel
šila	crush
lla	cry
khukhampa	cucumber
phaphatha	cuddle
setšo	culture
bohlale	cunning
komiki	cup
khatepote	cupboard
fediša	curb
alafa	cure
kiletšo	curfew
bjale	current
gabjale	currently
rogaka	curse
garateine	curtain
mosamelo	cushion
tlwaelo	custom
modiriši	customer
lekgetho	customs
ripa	cut
botse	cute
sediko	cycle
papa	dad
papa	daddy
maswing	dairy
letamo	dam
tshenyo	damage
rogaka	damn
kolobile	damp
tantsha	dance
kotsi	danger
kotsi	dangerous
leswiswi	dark
moratiwa	darling
teše	dash
datha	data
letšatšikgwedi	date
morwedi	daughter
letšatši	day
hlokofetše	dead
mofoafadi	deaf
šogana	deal
rategago	dear
lehu	death
ngangišano	debate
goga	debit
marope	debris
sekoloto	debt
ngwagasome	decade
bola	decay
mohu	deceased
fora	deceive
disemere	december
lokilego	decent
phetha	decide
sephetho	decision
teka	deck
latola	decline
fokotša	decrease
ikgafilego	dedicated
kabelo	dedication
tiro	deed
tlase	deep
tshepe	deer
hlokomologa	default
fenya	defeat
šireletša	defend
hlaloša	define
tlhalošo	definition
tikrii	degree
diega	delay
diegišitše	delayed
phumola	delete
akanya	deliberate
boleta	delicate
monate	delicious
lethabo	delight
thabile	delighted
romela	deliver
rometšwe	delivered
thomelo	delivery
nyaka	demand
nyakago	demanding
temokrasi	democracy
letimone	demon
laetša	demonstrate
ganeditše	denied
kitlano	density
gana	deny
lefapha	department
holofela	depend
romela	deploy
tipositi	deposit
botebo	depth
hlaloša	describe
tlhalošo	description
leganata	desert
moakanyetšo	design
sešupo	designation
kganyogo	desire
teseke	desk
hloboga	despair
leganata	dessert
boyo	destination
boyo	destiny
senya	destroy
tshenyo	destruction
dintlha	details
lemoga	detect
phegelelo	determination
laetša	determine
tiišitše	determined
sentšwego	devastated
hlabolla	develop
hlabolotšwego	developed
tlhabollo	development
setlabela	device
diabolo	devil
ineetšego	devoted
Dhivehi	Dhivehi
twetšiswikiri	diabetes
letšhollo	diarrhea
maswing	diary
ferola dibete	nuisance
pukuntšu	dictionary
dirile	did
hlokofala	die
hlokofetše	died
dijo	diet
ditsela dife goba dife	anyways
phapano	difference
fapanego	different
bothata	difficult
epa	dig
seriti	dignity
ya dihlare	medical
ka dikgoka	violent
bokgwari	diligent
matena	dinner
ya dinoko	spicy
tipa	dip
o dira eng gabjale	what are you doing now
o dira eng go iphediša	what do you do for a living
o dira eng gonabjale	what are you doing right now
o dira eng	what are you doing
lebiša	direct
taetšo	direction
molaodi	director
go diregile eng	what happened
tšhila	dirt
ditqhila	dirty
ka dirwago	practical
šitiša	disable
šitišitšwe	disabled
nyamelela	disappear
nyamile	disappointed
masetlapelo	disaster
lahla	discard
lokolla	discharge
kgalema	discipline
phokoletšo	discount
utolla	discover
kgethollo	discrimination
ahlaahla	discuss
therišano	discussion
bolwetši	disease
malwetši	diseases
ikgakanya	disguise
šišimiša	disgusting
sebjana	dish
dibjana	dishes
raka	dismiss
romela	dispatch
bontšha	display
phedišo	disposal
kgakgano	dispute
monabo	distance
fapantšha	distinguish
kgakanego	distress
phatlalatšo	distribution
distriki	district
šitiša	disturb
sola	ditch
thinya	dive
fapafapana	diverse
pharologano	diversity
arola	divide
hlala	divorce
dikologa	dizzy
dira	do
ngaka	doctor
tokumente	document
dira	does
mpša	dog
Dogri	Dogri
dira	doing
popi	doll
selete	domain
koketšwa	dominant
neela	donate
phethilwe	done
tonki	donkey
toupu	dope
gabedi	double
doubt	doubt
tege	dough
fase	down
taonelouta	download
sethalwa	draft
goga	drag
gamola	drain
terama	drama
thala	draw
mothadi	drawer
sethalwa	drawing
poifo	dread
toro	dream
seaparo	dress
tirila	drill
nwa	drink
otlela	drive
lerothodi	drop
lahlile	dropped
komelelo	drought
tagilwe	drunk
omile	dry
lepelepele	duck
mothaka	dude
kolotwago	due
o dula kae	where do you live
sethotho	dull
go duma	craving
foafala	dumb
lahla	dump
nako	duration
lerole	dust
mošomo	duty
dula	dwell
phišego	eager
ntšhu	eagle
tsebe	ear
pejana	earlier
pele	early
gola	earn
ditsebe	ears
lefase	earth
bonolo	ease
gabonolo	easily
bohlabela	east
bonolo	easy
ja	eat
katlego e botse	all the best
ekonomi	economy
morumo	edge
rulaganya	edit
thuto	education
seabe	effect
bokgoni	efficiency
maitekelo	effort
ga e gampe	not bad
lee	egg
mohlareselee	eggplant
boithato	ego
seswai	eight
lesomeseswai	eighteen
masomeseswai	eighty
fahlela	elaborate
setšu	elbow
motšofe	elder
batšofe	elderly
bothakga	elegant
mola e le gore	whereas
ntlha	element
tlou	elephant
lesometee	eleven
be e le	was
be e le	were
maswanedi	eligible
fediša	eliminate
sengwe	else
gakanegile	embarrassed
tlontlollago	embarrassing
gokarela	embrace
tšwelela	emerge
tšhoganetšo	emergency
maikutlo	emotional
kelobohloko	empathy
kgatelelo	emphasis
gatelela	emphasize
mošomi	employee
bašomi	employees
mongmošomo	employer
thwalo	employment
kgontšha	enable
gahlana	encounter
hlohleletša	encourage
mafelelo	end
phegelelo	endeavor
kgotlelelo	endurance
kgotlelela	endure
lenaba	enemy
enetši	energy
beeletša	engage
beeleditšwe	engaged
nyalano	engagement
entšine	engine
moentšineere	engineer
Seisimane	English
ke eng se	what is this
ke eng	what is
kaonafatša	enhance
ipshina	enjoy
lekanetše	enough
netefatša	ensure
tsena	enter
boithabišo	entertainment
mafolofolo	enthusiasm
sehlongwa	entity
mojako	entrance
rakgwebopotlana	entrepreneur
omfolopo	envelope
tikologo	environment
duma	envy
hlogo e opago	headache
thetogale	epic
leuba	epidemic
lekana	equal
setlabela	equipment
tekatekano	equity
lekanago	equivalent
rapa	eraser
phošo	error
ngwega	escape
naga e šele	abroad
kudukudu	especially
taodišo	essay
gabotsebotse	essence
bohlokwa	essential
hloma	establish
hlamilwe	established
leruo	estate
akanya	estimate
akanywago	estimated
bjalobjalo	etc
polelo e tee e ka se tsoge e lekanetše	one language is never enough
maitshwaro	ethics
lekola	evaluate
tekolo	evaluation
mantšiboa	evening
tiragalo	event
mafelelong	eventually
bohlatse	evidence
bobe	evil
phetogo	evolution
tšweletša	evolve
Ewe	Ewe
peleng	ex
thwii	exact
thwii	exactly
tlhahlobo	exam
hlahloba	examine
mohlala	example
fetiša	exceed
fapanago	exception
fetago	excess
kgolo	excessive
phetošo	exchange
lebalela	excuse
tshwarelo	excuse me
phethagatša	execute
phethagatšo	execution
phethiši	executive
itšhidulla	exercise
lapiša	exhaust
lapile	exhausted
pontšho	exhibit
pontšho	exhibition
tšwa	exit
katološa	expand
letela	expect
letetšwego	expected
ditshenyegelo	expenses
tura	expensive
maitemogelo	experience
maitekelo	experiment
setsebi	expert
hlaloša	explain
tlhalošo	explanation
utolla	explore
bonagatša	expose
utollotšego	exposed
maitemogelo	exposure
gatelela	express
tlhagišo	expression
katološa	extend
katološitšwe	extended
katološo	extension
katološa	extent
fedilego	extinct
tlaleletšo	extra
kgola	extract
fetišišago	extraordinary
kudukudu	extreme
leihlo	eye
mahlo	eyes
lešela	fabric
makatšago	fabulous
sefahlogo	face
sepetša	facilitate
ditlabela	facilities
senolofatši	facility
ntlha	fact
ntlha	factor
feketheri	factory
dintlha	facts
galoga	fade
palelwa	fail
paletšwe	failed
idibala	faint
lokilego	fair
kanegelo	fairy
tumelo	faith
botega	faithful
wa	fall
maaka	false
tlwaelegilego	familiar
lapa	family
tlala	famine
tumile	famous
mothekgi	fan
kganyoga	fancy
makatšago	fantastic
kgole	far
taelano	farewell
polase	farm
molemi	farmer
ka fase	below
ka fase	beneath
tsene fase	busy
ka fase	under
ka fase	underneath
fešene	fashion
potlako	fast
lekhura	fat
pheletšo	fate
papa	father
phošo	fault
mmamoratwa	favorite
gaugela	favour
mmamoratwa	favourite
tšhoga	fear
monyanya	feast
lefofa	feather
sebopego	feature
dibopego	features
fepreware	february
tenegile	fed up
tšhelete	fee
fepa	feed
dipoelo	feedback
ikwa	feel
maikutlo	feeling
maoto	feet
ge fela e le gore	as long as
sa felego	infinity
sa feleng	eternal
wele	fell
mogagešo	fellow
kwelego	felt
mosadi	female
legora	fence
go fenya	overwhelming
go feroga dibete	nausea
nonnego	fertile
mokete	festival
go feta fao	furthermore
go feta moo	moreover
go feta	more
go feta	than
nyaka	fetch
go fetišiša	extremely
letadi	fever
mmalwa	few
molekane	fiance
nonwane	fiction
tšhemo	field
bogale	fierce
lesomehlano	fifteen
masomehlano	fifty
lwa	fight
seswantšho	figure
akanya	figure out
go fihla	arrival
go fihla mo	so far
go fihla	until
faele	file
tlatša	fill
tladitšwe	filled
filimi	film
ditšhila	filthy
mafelelong	finally
matlotlo	finance
hwetša	find
utolla	find out
tefišo	fine
monwana	finger
fetša	finish
feditše	finished
mollo	fire
tiilego	firm
mathomo	first
leina	first name
hlapi	fish
swanela	fit
hlano	five
lokiša	fix
hlometšwego	fixed
folaga	flag
gadima	flash
folete	flat
monga	flaw
ngwega	flee
nama	flesh
fofile	flew
mena	flex
nolo	flexible
phepheula	flip
kalatša	flirt
phaphama	float
mafula	flood
lebato	floor
folouru	flour
elela	flow
letšoba	flower
mokgohlane	flu
boreledi	fluent
sekafofa	fluffy
seela	fluid
fofa	fly
nepa	focus
go fofa	flight
kgodi	fog
phutha	fold
merafe	folks
latela	follow
latelago	following
tatišišo	follow up
dijo	food
setlaela	fool
botlaela	foolish
leoto	foot
ya	for
lebaletšwe	forbidden
gapeletša	force
akanya	forecast
phatla	forehead
ntle	foreign
lešoka	forest
go-ya-go-ile	forever
Mohlala	For example
lebala	forget
lebalela	forgive
lebetše	forgot
mohlala	for instance
foroko	fork
sebopego	form
semmušo	formal
peleng	former
mahlatse	fortune
masomenne	forty
masomenne-pedi	forty-two
pele	forward
tlwaetša	foster
lwelego	fought
hweditše	found
motheo	foundation
nne	four
lesomenne	fourteen
phukubje	fox
foreime	frame
tlhako	framework
bomenetša	fraud
lokologile	free
tokologo	freedom
tšidifatša	freeze
makga	frequency
gantši	frequent
kgafetšakgafetša	frequently
foreše	fresh
labohlano	friday
