hlokomologa	abandon
setšidifatši	fridge
mogwera	friend
bagwera	friends
segwera	friendship
tšhošitšwe	frightened
tšhošago	frightening
segwagwa	frog
tšidifaditšwe	frozen
seenywa	fruit
hlakahlakane	frustrated
makhura	fuel
Fulfulde	Fulfulde
tletše	full
boipshino	fun
mošomo	function
bohlokwa	fundamental
poloko	funeral
segišago	funny
boya	fur
galefilego	furious
fenišara	furniture
gape	further
bokamoso	future
morago ga	after
pele ga	before
thubega gabonolo	fragile
itshwara gabotse	behave
šala gabotse	bye
šala gabotse	good bye
šala gabotse	goodbye
lebelelega gabotse	good looking
robala gabotse	good night
swara gabotse	treat
godimo ga fao	over there
ya gago	for you
-a gago	your
hwetša	gain
pele ga	in front of
papadi	game
morago ga moo	afterwards
ema gannyane	hold on
sekgoba	gap
pele ga	prior
karatšhe	garage
thogorogo	garbage
serapa	garden
ka gare	inside
ka gare	internal
magareng ga rena	among us
ka gare	within
kaliki	garlic
mojako	gate
le gatee	anymore
le gatee	never
le gatee	not at all
kgoboketša	gather
kopano	gathering
ela	gauge
file	gave
le ge	although
kere	gear
le ge e ba	even though
le ge	even
le ge go le bjalo	however
le ge go le bjalo	instead
le ge go le bjalo	nevertheless
bong	gender
kakaretšo	general
tšweletša	generate
tlhagišo	generation
bohlale	genius
mohuta	genre
botho	gentle
makgonthe	genuine
taetšo	gesture
hwetša	get
apara	get dressed
le ge	though
hwetšago	getting
tsoga	get up
sepoko	ghost
lekgema	giant
mpho	gift
gemere	ginger
mosetsana	girl
lekgarebe	girlfriend
fa	give
filwego	given
thabile	glad
kgerulo	glance
galase	glass
digalase	glasses
kwešišo	glimpse
lefase	global
ditlelafo	gloves
phadima	glow
sekgomaretši	glue
eya	go
nepo	goal
dinepo	goals
pudi	goat
tloga	go away
efe goba efe	any
theilwe go	based
ao go bjalo	oh really
ee go bjalo	yes of course
tla go bona ka moragonyana	see you later
ga go bothata	no problem
modimo	god
ka godimo	above
ka godimo	superior
sepela	goes
thabile go fetišiša	exciting
ya go	going to
ke go goletše	I miss you
ke go gopotše kudu	I miss you so much
ke go gopotše	miss you
ya	going
gore go	in order to
ka go	into
re go lakaletša mahlatse	best regards
re go lakaletša mahlatse	good luck
re go lakaletša matswalo a mabotse	happy birthday to you
ke go lakaletša tše kaone	wish you all the best
gauta	gold
ka go le lengwe	meanwhile
ga go motho	nobody
o gona	are you there
lego gona	existing
ke gona mo	I'm here
Le gona mo	Same here
ka go nanya	slowly
ka gona	so
ka gona	therefore
ka gona	thus
sepetše	gone
tla	gonna
sekgomaretši	goo
gabotse	good
thobela	good afternoon
thobela	good evening
thobela	good morning
diphahlo	goods
Google	Google
leganse	goose
ke go rata kudu	I love you so much
bona gore	assume
ra gore	means
ra gore	seems
ga go selo	none
ga go selo	nothing
hwenahwena	gossip
hweditše	got
ya go	toward
ga go tsela ye nngwe	no way
mmušo	government
kganya go ya pele	glow up
ubula	grab
kereiti	grade
gabotsana	gradually
sealoga	graduate
lebele	grain
mphiwafela	grant
neetšego	granted
diterebe	grapes
kwešiša	grasp
bjang	grass
leboga	grateful
tebogo	gratitude
lebitla	grave
tshehla	gray
kgolo	great
megabaru	greed
talamorogo	green
dumediša	greet
madume	greeting
madume	greetings
sehla	grey
keriti	grid
bohloko	grief
šila	grind
swarelela	grip
krosari	grocery
monyadi	groom
palomoka	gross
lebala	ground
sehlopha	group
gola	grow
kgolo	growth
Guarani	Guarani
tiišetšo	guarantee
leta	guard
akanya	guess
moeng	guest
tlhahlo	guidance
hlahla	guide
mothaka	guy
mathaka	guys
boitšhidullo	gym
setlwaedi	habit
bodulo	habitat
bile	had
go haeka	hiking
sefako	hail
moriri	hair
seripagare	half
holo	hall
seatla	hand
swara	handle
bogegago	handsome
ikgama	hang
direga	happen
hlagile	happened
lethabo	happiness
thabile	happy
bothata	hard
tshenyo	harm
kotsi	harmful
kwano	harmony
bogale	harsh
buna	harvest
hloya	hate
ipshine	have fun
kotsi	hazard
letobe	haze
yena	he
hlogo	head
fodiša	heal
pholo	healing
maphelo	health
phelegile	healthy
kwa	hear
kwele	heard
pelo	heart
phišo	heat
legodimong	heaven
boima	heavy
leemaema	hectic
bogodimo	height
mojalefa	heir
ke	he is
swerwe	held
hele	hell
Thobela	Hello
lekarapa	helmet
thušo	help
gagwe	her
mohlape	herd
mo	here
bohwa	heritage
dikadika	hesitate
Hei	Hey
Thobela	Hi
fihlilwe	hidden
fihla	hide
tatelano	hierarchy
godimo	high
laetša	highlight
haeka	hike
thabilego	hilarious
mmoto	hill
yena	him
lomatsebe	hint
noka	hip
dinoka	hips
thwala	hire
go hiriša	hiring
gagwe	his
histori	history
betha	hit
go hlabela moento	vaccination
go hlapa	bath
go hloka lešata	introvert
sa hlokomelego	careless
Hmm	Hmm
setlošabodutu	hobby
swara	hold
lešoba	hole
maikhutšo	holiday
sekoti	hollow
gae	home
potego	honest
Rato	Honey
hlompha	honor
kefa	hood
kobi	hook
thwethwa	hop
kholofelo	hope
rapamego	horizontal
lenaka	horn
boifišago	horrible
poifo	horror
pere	horse
sepetlele	hospital
kamogelabaeng	hospitality
monggae	host
lwantšhago	hostile
fiša	hot
hotele	hotel
iri	hour
diiri	hours
ntlo	house
lapeng	household
bjang	how
hapo	hub
gokara	hug
kgolokgolo	huge
go hula ka dibetša	heist
botho	human
ikokobetša	humble
bošidi	humid
bošidi	humidity
lekgolo	hundred
tsoma	hunt
ledimo	hurricane
phakiša	hurry
phakiša	hurry up
gobetše	hurt
mokhukhu	hut
go hwa	dying
e hweditše	got it
maphelo	hygiene
nna	I
aese	ice
aesekhirimi	ice cream
kgopolo	idea
kgonthe	ideal
swanago	identical
hlaola	identify
boitsebišo	identity
sethotho	idiot
ebela	idle
ge	if
hlokomologa	ignore
go iketla	cozy
go ikgetha	specific
o ikwa bjang	how do you do
lwala	ill
bolwetši	illness
Ilocano	Ilocano
seswantšho	image
nagana	imagine
kamego	impact
phethagatša	implement
bohlokwa	important
lefiša	impose
gatelela	impress
kgatišo	impression
kgahlišago	impressive
kaonafala	improve
kaonafalo	improvement
ka	in
tšhušumetšo	incentive
tiragalo	incident
akaretša	include
letseno	income
tshwenya	inconvenience
oketša	increase
oketšegile	increased
makatšago	incredible
ikemego	independent
India	India
laetša	indicate
intasteri	industry
Gabotsebotse	In fact
lesea	infant
phetetšo	infection
infoleišene	inflation
khuetšo	influence
tsebiša	inform
tshedimošo	information
ditswaki	ingredients
bohwa	inheritance
tlhakaina	initial
boitlhagišetšo	initiative
gobaditšwe	injured
kgobalo	injury
boitlhagišetšo	innovation
dinyakišišo	inquiry
gafa	insane
khunkhwane	insect
tsenya	insert
tlhaologanyo	insight
gatelela	insist
bogaswi	insomnia
tlhohleletšo	inspiration
hlohleletša	inspire
hloma	install
tiragalo	instance
gatee	instant
ditaelo	instructions
sedirišwa	instrument
maroga	insult
inšorentshe	insurance
titiane	intact
seriti	integrity
-bohlale	intellectual
bohlodi	intelligence
bohlale	intelligent
ikemišetša	intend
nepilego	intended
tseneletše	intense
maikemišetšo	intention
kgokagana	interact
kgokagano	interaction
kgahlego	interest
kgahliša	interesting
mmaditsela	intermediate
boditšhabatšhaba	international
hlatholla	interpret
mofetoledi	interpreter
dipoledišano	interview
sekgotse	intimate
hlagiša	introduce
matseno	introduction
hlama	invent
beeletša	invest
nyakišiša	investigate
taletšo	invitation
laletša	invite
lenanetheko	invoice
ama	involve
amegago	involved
go iphodiša	self healing
sa ipone	unconscious
go ipotsefatša	make up
aene	iron
ke	is
sehlakahlaka	island
hlaotšwego	isolated
tlhagišo	issue
dintlha	issues
sona	it
aetheme	item
diaetheme	items
go ithuta	learning
go ithuta	studying
ke	it is
go itlhaola	distinct
ke	it's
go itshwarelela	clingy
baki	jacket
go ja	eating
kgolego	jail
Janeware	January
jeke	jar
mohlagare	jaw
mona	jealous
ubula	jerk
dibenyabje	jewelry
mošomo	job
kopanya	join
makopano	joint
metlae	joke
mmegaditaba	journalist
leeto	journey
boipshino	joy
moahlodi	judge
tšuse	juice
julae	july
tshela	jump
june	june
tlhakatlhakano	junk
fela	just
toka	justice
lokafatša	justify
e ka ba	either
e ka bago	approximately
e ka ba ka sewelo	hardly ever
e ka ba	nearly
e ka ba	roughly
e ka ba	whether
tsena ka bogare	interfere
tsena ka bogare	interrupt
lefa ka botlalo	settle
sego kae	fewer
le kae	how are you
o kae	where is
sego ka fase ya khuetšo ya bjala	sober
ka kakaretšo	entire
ka kakaretšo	generally
ka kakaretšo	overall
re ka kgona	we can
o ka kgona	you can
robala ka khutšo	rest in peace
Kalaallisut	Kalaallisut
go kalatša	flirting
Thobela Ka Moka	Dear All
dilo ka moka	everything
nako ka moka	throughout
thomelo ka nageng	import
ngwaga ka ngwaga	annual
dula ka polokego	stay safe
ithuša ka	resort
sepela ka sekepe	cruise
sepela ka senamelwa	commute
thomelo ka senamelwa	transportation
bjalo ka	such as
go katana	struggling
ka katlego	prosperous
tsebo ka tlhago	intuition
tšatši ka tšatši	daily
šomago ka tshwanelo	effective
šoma ka tshwanelo	efficient
swarwa ke boroko	sleepy
bopša ke	consist
swanelwa ke	deserve
jewa ke dihlong	ashamed
se ke	don't
mafolofolo	keen
boloka	keep
ga ke go kwešiše	I don't understand you
ga ke	I don't
ga ke kwešiše	I do not understand
Ga ke kwešiše	I don't understand
ga ke kwešiše	I don’t understand
Ga ke kwešiše seo o se bolelago	I don't understand what you mean
felelwa ke maatla	give up
feletšwe ke nako	expired
ga ke na mathata	I am fine
ga ke na molato	I'm fine
ga ke na molato	I'm good
bolokile	kept
se ke	this is
swerwe ke tlala	hungry
bolawa ke tlala	starving
ga ke tsebe	I do not know
ga ke tsebe	I don't know
Ga ke tsebe	I don’t know
ketlele	kettle
khii	key
sa kgetholle	random
sa kgonagalego	impossible
nka kgona	I can
ya kgonthe	profound
ka kgonthe	really
ka kgonthe	sincerely
ka kholofetšo	hopefully
ka khutšo	peaceful
raga	kick
mapimpane	kid
swaswa	kidding
pshio	kidney
bomapimpane	kids
bolaya	kill
mohuta	kind
mohuta	kinda
botho	kindness
kgošikgolo	king
atla	kiss
khitšhing	kitchen
khaete	kite
go kitima	jogging
go kitima	running
katsana	kitten
khuru	knee
tsebile	knew
thipa	knife
mogale	knight
tseba	know
tsebo	knowledge
tsebegago	known
ya kodutlo	sarcastic
go kokomoga	inflammation
Konkani	Konkani
lego kotsing	endangered
ba kotsing	vulnerable
Krio	Krio
ntši kudu	enormous
gabotse kudu	excellent
lapile kudu	fatigue
botse kudu	gorgeous
kgolo kudu	immense
botse kudu	magnificent
mpe kudu	nasty
naganago kudu	obsessed
bogega kudu	so cute
bolela kudu	talkative
mpe kudu	terrible
kgolo kudu	tremendous
gabotse kudu	very good
gampe kudu	worse
mpe kudu	worst
sa kwagalego	vague
lekgoba la	addicted
legatong la	behalf
leibole	label
mošomo	labor
modiro	labour
tlhokego	lack
llere	ladder
lenaneo la diphahlo	inventory
lekgarebe	lady
letšatši la gago le bile bjang	how was your day
leina la gago o mang	what is your name
lethabo la go fetišiša	excitement
se lahlegelwe ke tshepho	never give up
beilwe	laid
legatong la	instead of
letsha	lake
letšatši la matswalo	birthday
kwana	lamb
hlotšago	lame
lebone	lamp
naga	land
polelo	language
difaro	lap
kgolo	large
letsogo la seaparo	sleeve
mafelelo	last
sefane	last name
morago	late
moragonyana	lately
moragonyana	later
moragorago	latest
sega	laugh
lesego	laughter
hloma	launch
lonteri	laundry
molao	law
llone	lawn
ramolao	lawyer
ala	lay
llaga	layer
tlhamego	layout
tšwafa	lazy
mabapi le	about
moetapele	leader
lehlare	leaf
tša leago	social
šwahla	leak
otile	lean
tlola	leap
ithuta	learn
hiriša	lease
gannyanenyane	least
gammogo le	as well
gammogo le	as well as
mokgopa	leather
tloga	leave
tlogela	leaves
ka lebaka la	because
ka lebaka la	due to
ka lebaka la eng go se bjalo	why not
ka lebaka la eng	why
ntle le	beside
Re leboga go se fele pelo ga gago ge re nyakišiša merwalo	Thank you for your patience while we investigate shipment
Re leboga ka go šomiša app ya rena	Thanks for using our app
ke leboga kudu	thank you so much
re leboga kudu	thank you very much
go leboga nna	my pleasure
nago le bokgoni	competent
na le boleng	worth it
kwanago le	consistent
na le	contain
na le	contains
ntle le	despite
efe le efe	anyway
eng le eng	whatever
nngwe le e nngwe	each
ntle le	except
ya lefela	null
nngele	left
leoto	leg
bohwa	legacy
semolao	legal
ema legato	replace
nonwane	legend
makgonthe	legit
e lego	that is
na le	has
na le	have
na le	having
tšea lehlakore	bias
tšea lehlakore	biased
hlolago lehu	fatal
bea leihlo	monitor
boiketlo	leisure
thobela le kae	hello how are you
thobela le kae	hi how are you
nago le kelelo	witty
na le kgahlego	curious
nago le kgahlego	interested
nago le kgaugelo	compassionate
na le kgodi	foggy
nago le kholofelo	optimistic
letšatši le lebotse	good day
nago le leetse	curly
na le letšatši	sunny
ba le maatlakgogedi	attract
nago le maatla	powerful
na le mafolofolo	enthusiastic
nago le mafolofolo	thrilled
mang le mang	anyone
mang le mang	every
mang le mang	everybody
mang le mang	everyone
nago le manyami	gloomy
na le maru	cloudy
nago le maswanedi	entitled
nago le mohola	helpful
nago le mohola	useful
nago le mohola	worthy
na le molato	guilty
mongwe le mongwe	each other
na le mpholo	toxic
adima	lend
neng le neng	whenever
kgauswi le	next to
botelele	length
hlaboša lentšu	loud
na le phefo	windy
bea lepheko	restrict
na le phišego	ambitious
ba le phišego	curiosity
nago le	possess
mabapi le	regarding
ya lešata	noisy
thobela le sa thabile	hello how are you doing
na le seabe	contribute
nago le sebete	brave
ba le šedi	caring
nnyane	less
thutwana	lesson
dumelela	let
na le tatso	tasty
ka lethabo	friendly
ke lethabo go kopana le wena	nice to meet you
na le tiišetšo	assertive
lengwalo	letter
letase	lettuce
ntle le	unless
kelo	level
lekanyetša	leverage
ntle le	without
molato	liability
bokgobapuku	library
latswa	lick
maaka	lie
maaka	lies
bophelo	life
kuka	lift
seetša	light
legadima	lightning
rata	like
kgonagalo	likely
bjalo	likewise
mothaladi	line
Lingala	Lingala
amanya	link
tau	lion
seela	liquid
lenaneo	list
theeletša	listen
ntšukantšu	literally
dingwalo	literature
matlakala	litter
nnyane	little
phela	live
sebete	liver
maphelo	lives
phelago	living
mokgaritswane	lizard
morwalo	load
llofo	loaf
kadimo	loan
lefelo	location
senotlelo	lock
kota	log
go lokile	all right
Go lokile	Alright
go lokile	it's ok
Go lokile	It's okay
go lokile moratiwa	okay dear
go lokile moratiwa	okay my love
go lokile moratiwa	ok my love
go lokile ngwana	okay baby
go lokile	ok
go lokile	okay
go lokile rato	okay honey
go lokile rato	ok dear
go lokile rato	ok honey
lol	lol
bodutu	lonely
telele	long
lebelela	look
segole	loop
hlephilego	loose
morena	lord
lahlegelwa	lose
tahlegelo	loss
lahlegetšwe	lost
kabelo	lot
lontše	lounge
lerato	love
rategago	lovely
fase	low
fasana	lower
botega	loyal
botshepegi	loyalty
mahlatse	luck
mahlatse	lucky
Luganda	Luganda
morwalo	luggage
sekutu	lump
matena	lunch
maswafo	lungs
matsaka	luxury
go lwa	fighting
bolela maaka	lying
dira maano	hustle
yo maatla	resilient
motšhene	machine
gafa	mad
mohumagadi	madam
dirilwe	made
ka madimabe	unfortunately
sa mafelelo pele ke fihla mafelelong	last but not least
ya mafelelo	ultimate
bona mafelo	sightseeing
kgatišobaka	magazine
ka mahlatse	fortunately
gogago mahlo	attraction
gogago mahlo	fascinating
lakaletša mahlogonolo	compliment
kgarebe	maid
kgwathegago maikutlo	sensitive
kgolo	main
hlokomela	maintain
tlhokomelo	maintenance
Maithili	Maithili
kgolo	major
bontši	majority
dira	make
ke makga a makae	how often
ya makgonthe	authentic
eya malaong	go to bed
monna	male
sego maleba	inappropriate
mmolo	mall
monna	man
laola	manage
taolo	management
molaodi	manager
kgapeletšo	mandatory
ke mang	who is
ke mang yo	who is this
bonagatša	manifest
mokgwa	manner
manyuale	manual
ntši	many
matšhe	march
magomo	margin
mmaraka	market
lenyalo	marriage
nyetšwe	married
maseke	mask
boima	mass
boima	massive
nkgwete	master
ke maswabi	I'm sorry
Ke maswabi	Sorry
bapetša	match
thaka	mate
didirišwa	material
mmetse	math
tša matlotlo	financial
taba	matter
matšhurithi	maturity
ka	may
mohlomongwe	maybe
nna	me
dijo	meal
ra	mean
ra	meant
lekanya	measure
ela	measures
nama	meat
sehlare	medicine
kgopolo	meditation
dirišwago	medium
kopana	meet
kopano	meeting
ka mehla	always
ka mehla	ever
ka mehla	regularly
Meiteilon	Meiteilon
tologa	melt
dikgopotšo	memories
kgopolo	memory
laetša	mention
laeditšego	mentioned
mohlahli	mentor
mogwebi	merchant
mogau	mercy
fela	merely
bošaedi	mess
molaetša	message
hlakahlakane	messy
tšhipi	metal
mokgwa	method
magotlo	mice
bogareng	middle
bošegogare	midnight
ka	might
magareng	mild
monabo	milestone
sešole	military
maswi	milk
milione	million
monagano	mind
mogopolo	mindset
moepo	mine
hlakahlakana	mingle
nnyane	minor
motsotso	minute
metsotso	minutes
mohlolo	miracle
seipone	mirror
hlakahlakanego	miscellaneous
selekago	mischievous
mahlomola	miserable
masetlapelo	misery
fetilwe	miss
timetše	missing
ponelopele	mission
mouwane	mist
phošo	mistake
Mizo	Mizo
kodutla	mock
etla mo	come here
mmotlolo	model
magareng	moderate
sebjalebjale	modern
ikokobetšago	modest
sa Modimo	divine
rola modiro	resign
rotšego modiro	retired
Thobela Mohlomphegi	Dear Sir
hlokago mohola	useless
ya mohola	valuable
monola	moist
monola	moisture
ka moka	all
o mo kae gabjale	where are you now
o mo kae	where are you
ka moka	whole
hlokago mokgabišo	plain
lego molaleng	straightforward
sego molaong	illegal
hloka molato	innocent
sebopego	mold
serunya	mole
letša molodi	whistle
mma	mom
nakwana	moment
ya monagano	mental
gateletše monaganong	depressed
mošupologo	monday
tšhelete	money
kgabo	monkey
kgwedi	month
maikutlo	mood
matepe	moody
Dumela moo	Hi there
ngwedi	moon
ka morago	behind
ya morago	latter
šala morago	pursue
boela morago	retreat
bušetša morago	reverse
gogela morago	withdraw
gogela morago	withdrawal
setho	moral
dumela moratiwa	hello dear
thobela moratiwa wa ka	good morning my love
ee moratiwa	yes dear
ee moratiwa	yes honey
ee moratiwa	yes my love
Thobela Moreki	Dear Customer
mesong	morning
adimiša	mortgage
tlhahlo mošomong	internship
bontši	most
kudukudu	mostly
ya motheo	basic
mma	mother
tšhišinyo	motion
tlhohleletšo	motivation
thaba	mountain
legotlo	mouse
molomo	mouth
sepela	move
mosepelo	movement
mmobi	movie
Ngwala mo	Write here
o mpotša eng	what's up
mdi	mrs
kudu	much
leraga	mud
komiki	mug
mošifa	muscle
musiamo	museum
tlokwane	mushroom
mmino	music
swanetše	must
homola	mute
mmogo	mutual
-ka	my
Moratiwa	My dear
nna	myself
makatšago	mysterious
semaka	mystery
nonwane	myth
ke nagana bjalo	i guess
Ke nagana bjalo	I hope so
Ke nagana	I think
go nagana kudu	overthinking
ka nageng	domestic
ka nageng	local
se nago bosodi	flawless
se nago kholofelo	hopeless
se nago mafolofolo	passive
se nago selo	blank
se nago selo	empty
o na	he has
lenala	nail
bokangwana	naive
tla nako e sa fetšego pelo	coming soon
kgotlelelago nako e telele	sustainable
ka nako	punctual
kgotlelela nako ye telele	sustainability
ema nakwana	pause
ke na le	I have
o na le mengwaga e mekae	how old are you
go na le	there are
go na le	there is
leina	name
kanegelo	narrative
sesane	narrow
o na	she has
bosetšhaba	national
mohlobo	nationality
tlhago	natural
tlhago	nature
kgauswi	near
kgauswi	nearby
hlwekile	neat
hlokega	necessary
molala	neck
pheta	necklace
nyaka	need
hlokomologa	neglect
rerišana	negotiate
moagišani	neighbor
boagišani	neighborhood
ka nepagalo	accuracy
motlogolo	nephew
nete	nerd
tšhogile	nervous
sehlaga	nest
nete	net
neteweke	network
magareng	neutral
mpsha	new
ditaba	news
latelago	next
go ngongorega	grumpy
go ngwala	writing
ee ngwana	yes baby
botse	nice
motlogolo	niece
bošego	night
segateledi	nightmare
senyane	nine
lesomesenyane	nineteen
masomesenyane	ninety
ke nna	I am
ke nna	I'm
le nna ke a go rata	I love you too
le nna	me too
ke nna	my name is
ka nnete	absolutely
ka nnete	certainly
ka nnete	definitely
ka nnete	indeed
ka nnete	of course
ye nngwe	alternative
Aowa	No
lešata	noise
mosegare	noon
aowa	nope
goba	nor
tlwaelo	normal
leboa	north
nko	nose
e no se dira	just do it
ka noši	individual
ka noši	self
ka noši	spontaneous
hlologetšego	nostalgic
temošo	note
lemogile	noted
tsebišo	notice
lemogilego	noticed
leina	noun
maina	nouns
kanegelo	novel
nofemere	november
gabjale	now
romela ntle	export
ka ntle	external
ka ntle ga	besides
fega ntle	hang out
ka ntle	outside
bogatšo	numb
nomoro	number
mooki	nurse
koko	nut
mekgahlong	nutmeg
phepo	nutrition
o nyaka eng	what do you want
o nyaka go reng	what do you mean
ke nyaka	I want
ke nyaka wena	I want you
o nyetšwe goba ga se wa nyalwa	are you married or single
naa o	are you
kano	oath
obamela	obey
selo	object
nepo	objective
tlamego	obligation
mogolo o bohloko	sore throat
šira	obscure
temogo	observation
lemoga	observe
onetšego	obsolete
lepheko	obstacle
hwetša	obtain
hweditše	obtained
molaleng	obvious
mošomo	occupation
dutšego	occupied
hlaga	occur
hlagilego	occurred
hlaga	occurs
lewatle	ocean
oktobere	october
makatšago	odd
naa o dira eng	what do you do
naa o	do you
ya	of
tima	off
lehlapa	offensive
mpho	offer
ofisi	office
semmušo	official
gantši	often
Ao	Oh
oli	oil
mohuta o itsego	typical
naa o jele	have you eaten
kgale	old
mošomo o mmotse	good job
monwana o mogolo	thumb
ngwaga o moswa wa lethabo	happy new year
go	on
gatee	once
tee	one
eiye	onion
inthaneteng	online
fela	only
naa o nyetšwe	are you married
bula	open
opareišene	operation
maikutlo	opinion
dibaka	opportunities
sebaka	opportunity
lelatodi	opposite
kgetho	option
boikgethelo	optional
goba	or
namune	orange
tatelano	order
tlwaelo	ordinary
wena o reng	what about you
mokgatlo	organization
tlwaetšo	orientation
setlogo	origin
mathomo	original
Oromo	Oromo
tšhuana	orphan
Naa o sa le gona?	Are you still there?
nngwe	other
wena o tsogile bjang	how about you
swanetše	ought
ntle	out
dipoelo	outcome
seaparo	outfit
tšwago	outgoing
bokantle	outlet
akaretša	outline
šaletšego	outstanding
obene	oven
godimo	over
hlola	overcome
hlotšwe	overwhelmed
kolota	owe
leribiši	owl
rua	own
mong	owner
poo	ox
kgato	pace
phutha	pack
sephuthelo	package
lefetše	paid
bohloko	pain
pente	paint
mopento	painting
phere	pair
galoga	pale
go palelwa	failure
legoswi	palm
pane	pan
leuba	pandemic
letšhogo	panic
marokgwana	pants
pampiri	paper
paradeisi	paradise
bapelana	parallel
phasela	parcel
tshwarelo	pardon
batswadi	parents
phaka	park
lepapagai	parrot
paraseli	parsley
karolo	part
itšego	particular
kudukudu	particularly
molekane	partner
mokgatlo	party
feta	pass
sefero	passage
fetile	passed
phišego	passion
phasewete	password
fetilego	past
segaswa	patch
tsela	path
mahlomola	pathetic
boiketlo	patience
molwetši	patient
phethene	pattern
tselanathoko	pavement
lefa	pay
tefelo	payment
khutšo	peace
perekisi	peach
sehloa	peak
pšere	pear
dinawa	peas
makatšago	peculiar
rota	pee
ebula	peel
thaka	peer
dithaka	peers
ka pela	immediate
ka pela	soon
gatetšego pele	advance
gatetšego pele	advanced
tšwela pele bjalo	keep it up
tšwela pele	carry on
tšwela pele	continue
ka pele	front
eya pele	go ahead
eta pele	lead
etilwe pele	led
tšwela pele	proceed
tšwetša pele	promote
felago pelo	impatient
wa pelo le moya	soulmate
pene	pen
phentshele	pencil
